alpha,condition,effective_theta,evaluations,executed_search,formula_theta,instance,raw_certificate_sha256,raw_cost_increment_pct,raw_minimum_profit_ratio,raw_profit_ratio_json,raw_solution_sha256,raw_total_cost,reused_from_alpha0,seed,source_alpha,spec_id,unrestricted_mu
0.5,mixed,0.9516412161699048,4000,True,0.9516412161699048,L-main-threeshift-10c-01,954cba3c8adcc904940f5b846f41ad6fe5b197ef5a88af86dd4ecb6daa45dcdc,3.186447447269273,0.9751226683159863,"{""D0"": 1.4558587690903593, ""D1"": 0.9751226683159863}",b78c72ccd9e9ed81261a88619a84da94d4cdc2f059bc71383d74b453ab3ce228,723.2481266925422,False,2,0.5,L-main-threeshift-10c-01__mixed__seed2,0.9032824323398098
0.75,mixed,0.9758206080849524,4000,True,0.9758206080849524,L-main-threeshift-10c-01,19aa55aede1f5e6bf95577e2b7c42560a948abf46e92da7b3b7c43d919069f53,5.10151437252384,0.9910405284579352,"{""D0"": 0.9910405284579352, ""D1"": 1.1963211627525212}",7bb077e7cbedefc330cca5b7981ecad52a40a97a07da0af7e0b39ac63cd9c15b,736.6710964763311,False,2,0.75,L-main-threeshift-10c-01__mixed__seed2,0.9032824323398098
1.0,mixed,1.0,4000,True,1.0,L-main-threeshift-10c-01,d74c9fab2325f01f15249ae595ec68e15b2a532dd19e73d2929a8105fe16444c,2.903325075134262,1.0371143114302608,"{""D0"": 1.3386935454296771, ""D1"": 1.0371143114302608}",c279208e57dba22712d7cc9ec7e4d43568fe3e25fa92e387f6addf9bc2bc80cc,721.2636827046238,False,2,1.0,L-main-threeshift-10c-01__mixed__seed2,0.9032824323398098
0.0,mixed,,4000,True,0.9040775931753626,L-main-threeshift-10c-01,b72ea82a27640ff6023e0842b35999a04f5c72cf476e886b2a03e41e54088089,0.0,0.9040775931753626,"{""D0"": 1.5843198320311322, ""D1"": 0.9040775931753626}",abc60633f59f73be0c36d76ae767f8e7b45312da9fd6536ae2638cd7cebecfe7,691.8378823390868,False,3,0.0,L-main-threeshift-10c-01__mixed__seed3,0.9040775931753626
0.25,mixed,0.928058194881522,4000,True,0.928058194881522,L-main-threeshift-10c-01,b1129fe765c9b67861ffe87b94f37235294565eb08774469f199880de008312e,0.7145639046300511,1.0354170011226749,"{""D0"": 1.3236712067747858, ""D1"": 1.0354170011226749}",545dfd34b19caa1f1b6cd6b5c0d59431065d8cc206411d05b4c5959a91866d6c,696.7815061248389,False,3,0.25,L-main-threeshift-10c-01__mixed__seed3,0.9040775931753626
0.5,mixed,0.9520387965876813,4000,True,0.9520387965876813,L-main-threeshift-10c-01,d74c9fab2325f01f15249ae595ec68e15b2a532dd19e73d2929a8105fe16444c,4.239831831493529,0.9830594803942339,"{""D0"": 1.3698789931035864, ""D1"": 0.9830594803942339}",c8c3eead055683fbfb612298622c83d2661397de8c759e15d0a1cc9a0b79e2f9,721.1706450968302,False,3,0.5,L-main-threeshift-10c-01__mixed__seed3,0.9040775931753626
0.75,mixed,0.9760193982938407,4000,True,0.9760193982938407,L-main-threeshift-10c-01,3093078bb64331ecdd2afbb33c8ebd31fbf4107f2b9fb6c7d1841bf1225c5cd6,3.7464358484560907,0.9830594803942339,"{""D0"": 1.3773506477817103, ""D1"": 0.9830594803942339}",5a38bf7ca3f7e7e8a22a04c03580c462a2dc2963c883ea1f04a3a4ed904587a6,717.7571447762379,False,3,0.75,L-main-threeshift-10c-01__mixed__seed3,0.9040775931753626
1.0,mixed,1.0,4000,True,1.0,L-main-threeshift-10c-01,1e750b2b8065a9b45c4486256bbd08b9b37a88ee41bb436edf008f57e39c5092,3.820774934514317,1.0274910196233624,"{""D0"": 1.2917092860125918, ""D1"": 1.0274910196233624}",3b2ef94ece48941bb3e9559e741ed05d87768830462223ac15b7b0403d1c956e,718.2714507349733,False,3,1.0,L-main-threeshift-10c-01__mixed__seed3,0.9040775931753626
0.0,geographic,,4000,True,0.9983902295432238,L-main-threeshift-15c-01,524e1c5fe749a1c2836933e3b5df4b9eb7e68f30816e7c846b8b3e1f067de816,0.0,0.9983902295432238,"{""D0"": 1.0154142506291826, ""D1"": 0.9983902295432238}",97b1e02859f4d878ac7265c3a98da6248776ccf39878883d47daaebc569fefc6,957.3644242111433,False,1,0.0,L-main-threeshift-15c-01__geographic__seed1,0.9983902295432238
0.25,geographic,0.9987926721574178,4000,True,0.9987926721574178,L-main-threeshift-15c-01,5443f574748ec8ed19f4c243d37c20dd08c5651224bd5fb04431d24e25db816c,-2.709049140016567,1.0092875111491715,"{""D0"": 1.0377653901582433, ""D1"": 1.0092875111491715}",9f53d48d1cc685e9b171f0b540cd3df1b3277d62de67da968878bc4b56d8e34a,931.4289515102267,False,1,0.25,L-main-threeshift-15c-01__geographic__seed1,0.9983902295432238
