row_id,category,query,title,publication_year,authors,venue,doi,openalex_id,url,cited_by_count,source_mapping,abstract
11,ALNS original / operator selection,adaptive large neighborhood search operator selection vehicle routing Ropke Pisinger,A destroy and repair algorithm for the Bike sharing Rebalancing Problem,2016,Mauro Dell’Amico; Manuel Iori; Stefano Novellani; Thomas Stützle,Computers & Operations Research,https://doi.org/10.1016/j.cor.2016.01.011,https://openalex.org/W2294139373,https://doi.org/10.1016/j.cor.2016.01.011,148,solver/src/setp_solver/search/winner_operators.py; solver/src/setp_solver/search/resetp_alns/select.py,
12,ALNS original / operator selection,adaptive large neighborhood search operator selection vehicle routing Ropke Pisinger,A framework to integrate mode choice in the design of mobility-on-demand systems,2018,Yang Liu; Prateek Bansal; Ricardo A. Daziano; Samitha Samaranayake,Transportation Research Part C Emerging Technologies,https://doi.org/10.1016/j.trc.2018.09.022,https://openalex.org/W2805024659,https://doi.org/10.1016/j.trc.2018.09.022,140,solver/src/setp_solver/search/winner_operators.py; solver/src/setp_solver/search/resetp_alns/select.py,
13,ALNS original / operator selection,adaptive large neighborhood search operator selection vehicle routing Ropke Pisinger,Robust vehicle routing problem with hard time windows under demand and travel time uncertainty,2018,C. Hu; Jie Lü; X. Liu; Guangquan Zhang,Computers & Operations Research,https://doi.org/10.1016/j.cor.2018.02.006,https://openalex.org/W2791449870,https://doi.org/10.1016/j.cor.2018.02.006,137,solver/src/setp_solver/search/winner_operators.py; solver/src/setp_solver/search/resetp_alns/select.py,
14,ALNS original / operator selection,adaptive large neighborhood search operator selection vehicle routing Ropke Pisinger,"Last-Mile Drone Delivery: Past, Present, and Future",2023,Hossein Eskandaripour; Enkhsaikhan Boldsaikhan,Drones,https://doi.org/10.3390/drones7020077,https://openalex.org/W4317743226,https://doi.org/10.3390/drones7020077,136,solver/src/setp_solver/search/winner_operators.py; solver/src/setp_solver/search/resetp_alns/select.py,"Sustainable green products and services garner more attention from companies and enterprises that aim to succeed and grow in highly competitive markets by imposing less harms on the environment and ecosystems. Last-mile delivery from local distribution centers to customers plays an essential role in the retail business. Retail companies are leaning towards implementing green, efficient transportation methods, such as drones, in their last-mile delivery operations to conserve ecosystems. Accordingly, researchers have documented numerous research findings on last-mile drone delivery in recent years. This literature review selected a collection of articles mostly from 2011 to 2022 and reviewed them in terms of key technical challenges, such as routing, cargo distribution optimization, battery management, data communication, and environmental protection. These challenges are interrelated in a sense of achieving eco-friendly, efficient, lean, last-mile drone delivery. The selection of these technical challenges is based on the top challenges discussed in the literature."
15,ALNS original / operator selection,adaptive large neighborhood search operator selection vehicle routing Ropke Pisinger,A matheuristic for AGV scheduling with battery constraints,2021,Nitish Singh; Quang-Vinh Dang; Alp Akçay; Ivo Adan; Tugce Martagan,European Journal of Operational Research,https://doi.org/10.1016/j.ejor.2021.08.008,https://openalex.org/W3193936373,https://doi.org/10.1016/j.ejor.2021.08.008,132,solver/src/setp_solver/search/winner_operators.py; solver/src/setp_solver/search/resetp_alns/select.py,"This paper considers the problem of scheduling automated guided vehicles (AGVs) with battery constraints. Each transport request involves a soft time window, and the AGV fleet used to service those requests is heterogeneous with a diverse set of capabilities and travel costs. In contrast to the existing literature, each transport request may require different AGV material handling capabilities (such as lift loads, tow loads, or handle loads with a mounted robot arm), and the AGV batteries can be recharged partially under consideration of a critical battery threshold. The problem is to assign the transport and charging requests to AGVs, sequence the requests, and determine their starting times and the recharging durations of the AGVs with the objective of minimizing a weighted sum of the tardiness costs of transport requests and travel costs of AGVs. A mixed-integer linear programming model is formulated. We also propose a new matheuristic that makes use of an adaptive large neighborhood search algorithm and a linear program to solve industry-size instances. We illustrate the efficacy of our approach with an industry case study using real-world data."
16,ALNS original / operator selection,adaptive large neighborhood search operator selection vehicle routing Ropke Pisinger,A review on the electric vehicle routing problems: Variants and algorithms,2021,Hu Qin; Xinxin Su; Teng Ren; Zhixing Luo,Frontiers of Engineering Management,https://doi.org/10.1007/s42524-021-0157-1,https://openalex.org/W3160725325,https://doi.org/10.1007/s42524-021-0157-1,119,solver/src/setp_solver/search/winner_operators.py; solver/src/setp_solver/search/resetp_alns/select.py,"Abstract Over the past decade, electric vehicles (EVs) have been considered in a growing number of models and methods for vehicle routing problems (VRPs). This study presents a comprehensive survey of EV routing problems and their many variants. We only consider the problems in which each vehicle may visit multiple vertices and be recharged during the trip. The related literature can be roughly divided into nine classes: Electric traveling salesman problem, green VRP, electric VRP, mixed electric VRP, electric location routing problem, hybrid electric VRP, electric dial-a-ride problem, electric two-echelon VRP, and electric pickup and delivery problem. For each of these nine classes, we focus on reviewing the settings of problem variants and the algorithms used to obtain their solutions."
17,ALNS original / operator selection,adaptive large neighborhood search operator selection vehicle routing Ropke Pisinger,An adaptive large neighborhood search heuristic for the share-a-ride problem,2015,Baoxiang Li; Dmitry Krushinsky; Tom Van Woensel; Hajo A. Reijers,Computers & Operations Research,https://doi.org/10.1016/j.cor.2015.08.008,https://openalex.org/W1533441792,https://doi.org/10.1016/j.cor.2015.08.008,119,solver/src/setp_solver/search/winner_operators.py; solver/src/setp_solver/search/resetp_alns/select.py,
18,ALNS original / operator selection,adaptive large neighborhood search operator selection vehicle routing Ropke Pisinger,The time-dependent vehicle routing problem with soft time windows and stochastic travel times,2014,Duygu Taş; Nico Dellaert; Tom Van Woensel; A.G. de Kok,Transportation Research Part C Emerging Technologies,https://doi.org/10.1016/j.trc.2014.08.007,https://openalex.org/W2141089842,https://doi.org/10.1016/j.trc.2014.08.007,117,solver/src/setp_solver/search/winner_operators.py; solver/src/setp_solver/search/resetp_alns/select.py,
19,ALNS original / operator selection,adaptive large neighborhood search operator selection vehicle routing Ropke Pisinger,A cooperative coevolutionary algorithm for the Multi-Depot Vehicle Routing Problem,2015,Fernando Bernardes de Oliveira; Rasul Enayatifar; Hossein Javedani Sadaei; Frederico Gadelha Guimarães; Jean‐Yves Potvin,Expert Systems with Applications,https://doi.org/10.1016/j.eswa.2015.08.030,https://openalex.org/W1896927632,https://doi.org/10.1016/j.eswa.2015.08.030,112,solver/src/setp_solver/search/winner_operators.py; solver/src/setp_solver/search/resetp_alns/select.py,
20,ALNS original / operator selection,adaptive large neighborhood search operator selection vehicle routing Ropke Pisinger,Resource constrained routing and scheduling: Review and research prospects,2017,Dimitris C. Paraskevopoulos; Gilbert Laporte; Panagiotis P. Repoussis; Christos D. Tarantilis,European Journal of Operational Research,https://doi.org/10.1016/j.ejor.2017.05.035,https://openalex.org/W2618694566,https://doi.org/10.1016/j.ejor.2017.05.035,110,solver/src/setp_solver/search/winner_operators.py; solver/src/setp_solver/search/resetp_alns/select.py,
21,ALNS original / operator selection,adaptive large neighborhood search operator selection vehicle routing Ropke Pisinger,An Optimization Model and Solution Algorithms for the Vehicle Routing Problem With a “Factory-in-a-Box”,2020,Junayed Pasha; Maxim A. Dulebenets; Masoud Kavoosi; Olumide F. Abioye; Hui Wang; Weihong Guo,IEEE Access,https://doi.org/10.1109/access.2020.3010176,https://openalex.org/W3044242234,https://doi.org/10.1109/access.2020.3010176,100,solver/src/setp_solver/search/winner_operators.py; solver/src/setp_solver/search/resetp_alns/select.py,"The “factory-in-a-box” concept involves assembling production modules (i.e., factories) in containers and transporting the containers to different customer locations. Such a concept could be highly effective during emergencies, when there is an urgent demand for products (e.g., the COVID-19 pandemic). The “factory-in-a-box” planning problem can be divided into two sub-problems. The first sub-problem deals with the assignment of raw materials to suppliers, sub-assembly decomposition, assignment of sub-assembly modules to manufacturers, and assignment of tasks to manufacturers. The second sub-problem focuses on the transport of sub-assembly modules between suppliers and manufacturers by assigning vehicles to locations, deciding the order of visits for suppliers, manufacturers, and customers, and selecting the appropriate routes within the transportation network. This study addresses the second sub-problem, which resembles the vehicle routing problem, by developing an optimization model and solution algorithms in order to optimize the “factory-in-a-box” supply chain. A mixed-integer linear programming model, which aims to minimize the total cost of the “factory-in-a-box” supply chain,"
22,ALNS original / operator selection,adaptive large neighborhood search operator selection vehicle routing Ropke Pisinger,Scheduling heterogeneous multi-load AGVs with battery constraints,2021,Quang-Vinh Dang; Nitish Singh; Ivo Adan; Tugce Martagan; Dirk van de Sande,Computers & Operations Research,https://doi.org/10.1016/j.cor.2021.105517,https://openalex.org/W3194012445,https://doi.org/10.1016/j.cor.2021.105517,98,solver/src/setp_solver/search/winner_operators.py; solver/src/setp_solver/search/resetp_alns/select.py,"Recent trends towards larger and more complex systems necessitate the use of heterogeneous and flexible automated guided vehicles (AGVs) to fulfill the transport demand within a factory. To operate the fleet of AGVs efficiently, it is also important to consider their limited battery capacity. In this context, we tackle the problem of scheduling transport requests on multi-load and multi-ability AGVs with battery management. Each AGV can carry more than one load at a time and have specific capabilities such as lift loads, tow loads, or handle loads with a mounted robot arm. Each request consists of a pickup and a delivery task associated with an origin, a destination, a soft time window, and a priority. Each transport request may also require different AGV capabilities, and the AGV batteries can be recharged partially under consideration of a critical battery threshold. The decisions involve assigning transport and charging requests to AGVs, sequencing these requests, and determining the arrival times and charging duration. A mixed-integer linear programming model is formulated. A hybrid adaptive large neighborhood search with an integrated local search method is proposed to find a "
23,ALNS original / operator selection,adaptive large neighborhood search operator selection vehicle routing Ropke Pisinger,Hybrid metaheuristics for the Clustered Vehicle Routing Problem,2014,Thibaut Vidal; Maria Battarra; Anand Subramanian; Güneş Erdogˇan,Computers & Operations Research,https://doi.org/10.1016/j.cor.2014.10.019,https://openalex.org/W2093698911,https://doi.org/10.1016/j.cor.2014.10.019,97,solver/src/setp_solver/search/winner_operators.py; solver/src/setp_solver/search/resetp_alns/select.py,
24,ALNS original / operator selection,adaptive large neighborhood search operator selection vehicle routing Ropke Pisinger,The vehicle routing problem with simultaneous pickup and delivery and handling costs,2019,Richard P. Hornstra; Allyson Silva; Kees Jan Roodbergen; Leandro C. Coelho,Computers & Operations Research,https://doi.org/10.1016/j.cor.2019.104858,https://openalex.org/W2991372427,https://doi.org/10.1016/j.cor.2019.104858,94,solver/src/setp_solver/search/winner_operators.py; solver/src/setp_solver/search/resetp_alns/select.py,
25,ALNS original / operator selection,adaptive large neighborhood search operator selection vehicle routing Ropke Pisinger,Adaptive large neighborhood search for the time-dependent profitable pickup and delivery problem with time windows,2020,Peng Sun; Lucas P. Veelenturf; Mike Hewitt; Tom Van Woensel,Transportation Research Part E Logistics and Transportation Review,https://doi.org/10.1016/j.tre.2020.101942,https://openalex.org/W3014585394,https://doi.org/10.1016/j.tre.2020.101942,92,solver/src/setp_solver/search/winner_operators.py; solver/src/setp_solver/search/resetp_alns/select.py,
26,ALNS original / operator selection,adaptive large neighborhood search operator selection vehicle routing Ropke Pisinger,Effective learning hyper-heuristics for the course timetabling problem,2014,Jorge A. Soria-Alcaraz; Gabriela Ochoa; Jerry Swan; Martín Carpio; Héctor José Puga Soberanes; Edmund Burke,European Journal of Operational Research,https://doi.org/10.1016/j.ejor.2014.03.046,https://openalex.org/W1972450409,https://doi.org/10.1016/j.ejor.2014.03.046,91,solver/src/setp_solver/search/winner_operators.py; solver/src/setp_solver/search/resetp_alns/select.py,
27,ALNS original / operator selection,adaptive large neighborhood search operator selection vehicle routing Ropke Pisinger,Adaptive memetic algorithm for minimizing distance in the vehicle routing problem with time windows,2015,Jakub Nalepa; Mirosław Błocho,Soft Computing,https://doi.org/10.1007/s00500-015-1642-4,https://openalex.org/W1974791820,https://doi.org/10.1007/s00500-015-1642-4,90,solver/src/setp_solver/search/winner_operators.py; solver/src/setp_solver/search/resetp_alns/select.py,"This paper presents an adaptive memetic algorithm to solve the vehicle routing problem with time windows (VRPTW). It is a well-known NP-hard discrete optimization problem with two objectives—to minimize the number of vehicles serving a set of geographically dispersed customers, and to minimize the total distance traveled in the routing plan. Although memetic algorithms have been proven to be extremely efficient in solving the VRPTW, their main drawback is an unclear tuning of their numerous parameters. Here, we introduce the adaptive memetic algorithm (AMA-VRPTW) for minimizing the total travel distance. In AMA-VRPTW, a population of solutions evolves with time. The parameters of the algorithm, including the selection scheme, population size and the number of child solutions generated for each pair of parents, are adjusted dynamically during the search. We propose a new adaptive selection scheme to balance the exploration and exploitation of the solution space. Extensive experimental study performed on the well-known Solomon’s and Gehring and Homberger’s benchmark sets confirms the efficacy and convergence capabilities of the proposed AMA-VRPTW. We show that it is very competitive "
28,ALNS original / operator selection,adaptive large neighborhood search operator selection vehicle routing Ropke Pisinger,A general deep reinforcement learning hyperheuristic framework for solving combinatorial optimization problems,2023,Jakob Vigerust Kallestad; Ramin Hasibi; Ahmad Hemmati; Kenneth Sörensen,European Journal of Operational Research,https://doi.org/10.1016/j.ejor.2023.01.017,https://openalex.org/W4316654748,https://doi.org/10.1016/j.ejor.2023.01.017,80,solver/src/setp_solver/search/winner_operators.py; solver/src/setp_solver/search/resetp_alns/select.py,"Many problem-specific heuristic frameworks have been developed to solve combinatorial optimization problems, but these frameworks do not generalize well to other problem domains. Metaheuristic frameworks aim to be more generalizable compared to traditional heuristics, however their performances suffer from poor selection of low-level heuristics (operators) during the search process. An example of heuristic selection in a metaheuristic framework is the adaptive layer of the popular framework of Adaptive Large Neighborhood Search (ALNS). Here, we propose a selection hyperheuristic framework that uses Deep Reinforcement Learning (Deep RL) as an alternative to the adaptive layer of ALNS. Unlike the adaptive layer which only considers heuristics’ past performance for future selection, a Deep RL agent is able to take into account additional information from the search process, e.g., the difference in objective value between iterations, to make better decisions. This is due to the representation power of Deep Learning methods and the decision making capability of the Deep RL agent which can learn to adapt to different problems and instance characteristics. In this paper, by integrating th"
29,ALNS original / operator selection,adaptive large neighborhood search operator selection vehicle routing Ropke Pisinger,The cumulative capacitated vehicle routing problem with min-sum and min-max objectives: An effective hybridisation of adaptive variable neighbourhood search and large neighbourhood search,2017,Jeeu Fong Sze; Saı̈d Salhi; Niaz A. Wassan,Transportation Research Part B Methodological,https://doi.org/10.1016/j.trb.2017.04.003,https://openalex.org/W2606987170,https://doi.org/10.1016/j.trb.2017.04.003,80,solver/src/setp_solver/search/winner_operators.py; solver/src/setp_solver/search/resetp_alns/select.py,
30,ALNS original / operator selection,adaptive large neighborhood search operator selection vehicle routing Ropke Pisinger,A mixed truck and robot delivery approach for the daily supply of customers,2022,Andreas Heimfarth; Manuel Ostermeier; Alexander Hübner,European Journal of Operational Research,https://doi.org/10.1016/j.ejor.2022.02.028,https://openalex.org/W4220894234,https://doi.org/10.1016/j.ejor.2022.02.028,75,solver/src/setp_solver/search/winner_operators.py; solver/src/setp_solver/search/resetp_alns/select.py,
31,ALNS original / operator selection,adaptive large neighborhood search operator selection vehicle routing Ropke Pisinger,Time/sequence-dependent scheduling: the design and evaluation of a general purpose tabu-based adaptive large neighbourhood search algorithm,2019,Lei He; Mathijs de Weerdt; Neil Yorke‐Smith,Journal of Intelligent Manufacturing,https://doi.org/10.1007/s10845-019-01518-4,https://openalex.org/W2994842245,https://doi.org/10.1007/s10845-019-01518-4,75,solver/src/setp_solver/search/winner_operators.py; solver/src/setp_solver/search/resetp_alns/select.py,"Abstract In intelligent manufacturing, it is important to schedule orders from customers efficiently. Make-to-order companies may have to reject or postpone orders when the production capacity does not meet the demand. Many such real-world scheduling problems are characterised by processing times being dependent on the start time (time dependency) or on the preceding orders (sequence dependency), and typically have an earliest and latest possible start time. We introduce and analyze four algorithmic ideas for this class of time/sequence-dependent over-subscribed scheduling problems with time windows: a novel hybridization of adaptive large neighbourhood search (ALNS) and tabu search (TS), a new randomization strategy for neighbourhood operators, a partial sequence dominance heuristic, and a fast insertion strategy. Through factor analysis, we demonstrate the performance of these new algorithmic features on problem domains with varying properties. Evaluation of the resulting general purpose algorithm on three domains—an order acceptance and scheduling problem, a real-world multi-orbit agile Earth observation satellite scheduling problem, and a time-dependent orienteering problem wit"
32,ALNS original / operator selection,adaptive large neighborhood search operator selection vehicle routing Ropke Pisinger,Solution approaches for integrated vehicle and crew scheduling with electric buses,2021,Shyam Sundar Govinda Raja Perumal; Twan Dollevoet; Dennis Huisman; Richard Martin Lusby; Jesper Larsen; Morten S. Riis,Computers & Operations Research,https://doi.org/10.1016/j.cor.2021.105268,https://openalex.org/W3134000775,https://doi.org/10.1016/j.cor.2021.105268,75,solver/src/setp_solver/search/winner_operators.py; solver/src/setp_solver/search/resetp_alns/select.py,
33,ALNS original / operator selection,adaptive large neighborhood search operator selection vehicle routing Ropke Pisinger,The school bus routing and scheduling problem with transfers,2015,Michael Bögl; Karl F. Doerner; Sophie N. Parragh,Networks,https://doi.org/10.1002/net.21589,https://openalex.org/W2063039911,https://doi.org/10.1002/net.21589,68,solver/src/setp_solver/search/winner_operators.py; solver/src/setp_solver/search/resetp_alns/select.py,"In this article, we study the school bus routing and scheduling problem with transfers arising in the field of nonperiodic public transportation systems. It deals with the transportation of pupils from home to their school in the morning taking the possibility that pupils may change buses into account. Allowing transfers has several consequences. On the one hand, it allows more flexibility in the bus network structure and can, therefore, help to reduce operating costs. On the other hand, transfers have an impact on the service level: the perceived service quality is lower due to the existence of transfers; however, at the same time, user ride times may be reduced and, thus, transfers may also have a positive impact on service quality. The main objective is the minimization of the total operating costs. We develop a heuristic solution framework to solve this problem and compare it with two solution concepts that do not consider transfers. The impact of transfers on the service level in terms of time loss (or user ride time) and the number of transfers is analyzed. Our results show that allowing transfers reduces total operating costs significantly while average and maximum user ride"
34,ALNS original / operator selection,adaptive large neighborhood search operator selection vehicle routing Ropke Pisinger,The vehicle routing problem with heterogeneous locker boxes,2021,Jasmin Grabenschweiger; Karl F. Doerner; Richard F. Hartl; Martin Savelsbergh,Central European Journal of Operations Research,https://doi.org/10.1007/s10100-020-00725-2,https://openalex.org/W3118985022,https://doi.org/10.1007/s10100-020-00725-2,67,solver/src/setp_solver/search/winner_operators.py; solver/src/setp_solver/search/resetp_alns/select.py,"Abstract To achieve logistic efficiency and customer convenience in last-mile delivery processes, a system with alternative delivery points in the form of locker box stations can be used. In such a system, customers can be served either at their home address within a certain time window, or at a locker box station where parcels can be picked up at any time. Customers can get a compensation payment when being served at a locker box. They can have a request of more than one parcel and the parcels can be of different sizes. At a locker box station, a limited number of slots of different sizes is available; we assume that parcels of one customer can be stored together in a slot. We consider the vehicle routing problem with heterogeneous locker boxes, where the total cost—consisting of routing and compensation costs—has to be minimized while taking into account the packing of parcels into locker boxes. We provide a mathematical formulation of the problem and propose a metaheuristic solution method. Instances and results from the literature for the problem with a single parcel and a single slot size are used to benchmark our metaheuristic solution method. For the problem with different s"
35,ALNS original / operator selection,adaptive large neighborhood search operator selection vehicle routing Ropke Pisinger,Berth allocation and scheduling at marine container terminals: A state-of-the-art review of solution approaches and relevant scheduling attributes,2023,Bokang Li; Zeinab Elmi; Ashley Manske; Edwina Jacobs; Yui‐yip Lau; Qiong Chen,Journal of Computational Design and Engineering,https://doi.org/10.1093/jcde/qwad075,https://openalex.org/W4383893913,https://doi.org/10.1093/jcde/qwad075,66,solver/src/setp_solver/search/winner_operators.py; solver/src/setp_solver/search/resetp_alns/select.py,"Abstract Marine container terminals play a significant role for international trade networks and global market. To cope with the rapid and steady growth of the seaborne trade market, marine container terminal operators must address the operational challenges with appropriate analytical methods to meet the needs of the market. The berth allocation and scheduling problem is one of the important decisions faced by operators during operations planning. The optimization of a berth schedule is strongly associated with the allocation of spatial and temporal resources. An optimal and robust berth schedule remarkably improves the productivity and competitiveness of a seaport. A significant number of berth allocation and scheduling studies have been conducted over the last years. Thus, there is an existing need for a comprehensive and critical literature survey to analyze the state-of-the-art research progress, developing tendencies, current shortcomings, and potential future research directions. Therefore, this study thoroughly selected scientific manuscripts dedicated to the berth allocation and scheduling problem. The identified studies were categorized based on spatial attributes, includ"
36,ALNS original / operator selection,adaptive large neighborhood search operator selection vehicle routing Ropke Pisinger,"Facility Location Problems: Models, Techniques, and Applications in Waste Management",2020,Olawale J. Adeleke; David O. Olukanni,Recycling,https://doi.org/10.3390/recycling5020010,https://openalex.org/W3021465977,https://doi.org/10.3390/recycling5020010,66,solver/src/setp_solver/search/winner_operators.py; solver/src/setp_solver/search/resetp_alns/select.py,"This paper presents a brief description of some existing models of facility location problems (FLPs) in solid waste management. The study provides salient information on commonly used distance functions in location models along with their corresponding mathematical formulation. Some of the optimization techniques that have been applied to location problems are also presented along with an appropriate pseudocode algorithm for their implementation. Concerning the models and solution techniques, the survey concludes by summarizing some recent studies on the applications of FLPs to waste collection and disposal. It is expected that this paper will contribute in no small measure to an integrated solid waste management system with specific emphasis on issues associated with waste collection, thereby boosting the drive for effective and efficient waste collection systems. The content will also provide early career researchers with some necessary starting information required to formulate and solve problems relating to FLP."
