network,condition,stream,all_four_arms_executable,full_minus_no_cooperation_net_profit,full_minus_no_cooperation_revenue,full_minus_no_cooperation_cost,full_minus_no_cooperation_completed_customer_count,full_minus_no_cooperation_completed_demand,full_minus_no_participation_net_profit,full_minus_no_participation_revenue,full_minus_no_participation_system_cost,full_minus_no_participation_completed_customer_count,full_minus_no_participation_completed_demand,full_minus_simple_insertion_net_profit,full_minus_simple_insertion_revenue,full_minus_simple_insertion_cost,full_minus_simple_insertion_completed_customer_count,full_minus_simple_insertion_completed_demand,simple_insertion_minus_full_actual_total_emissions_kg,full_day_participation_floor_met
N221,historical_mixed,2,True,-74.06741305222113,-3.637978807091713e-12,74.06741305221658,0,0.0,82.2998005338568,0.0,-82.2998005338577,0,0.0,95.00804121013243,0.0,-95.00804121013425,0,0.0,100.88877292234974,False
N221,historical_mixed,3,True,72.01926708723022,0.0,-72.01926708723295,0,0.0,122.3793097614298,-3.637978807091713e-12,-122.37930976143434,0,0.0,177.34004305466442,0.0,-177.34004305466442,0,0.0,24.980531084547692,True
N221,historical_mixed,4,True,-116.71931915414189,0.0,116.71931915414643,0,0.0,-3.379547132899461,0.0,3.379547132899461,0,0.0,258.14940193708026,0.0,-258.14940193707844,0,0.0,47.98276218641786,False
N221,historical_mixed,5,True,157.23343816678062,0.0,-157.23343816678062,0,0.0,-9.979292879409513,0.0,9.979292879408604,0,0.0,457.7603518518699,-3.637978807091713e-12,-457.76035185187175,0,0.0,130.50720871129624,False
N322,geographic,1,True,279.6058002637619,0.0,-279.6058002637619,0,0.0,-156.13380509138005,0.0,156.1338050913837,0,0.0,58.101778178282984,3.637978807091713e-12,-58.10177817827753,0,0.0,63.16227667587873,False
N322,geographic,2,True,-18.942272633386892,7.275957614183426e-12,18.94227263339235,0,0.0,-80.47724757931974,6.3286966821069655,86.80594426143034,0,33.42150761568337,-93.36549911656402,0.0,93.36549911656584,0,0.0,47.29493523766814,False
N322,geographic,3,True,300.5475353107249,0.0,-300.5475353107249,0,0.0,103.88433080835239,3.637978807091713e-12,-103.88433080835239,0,0.0,275.4612176986102,0.0,-275.46121769861566,0,0.0,108.3980565485358,True
N322,geographic,4,True,-351.0722881472939,0.0,351.07228814729024,0,0.0,-529.3993852535204,0.0,529.3993852535186,0,0.0,-323.4062794981546,-151.86672000000544,171.53955949814736,-1,-802.0,-104.27848330629877,False
N322,geographic,5,True,-139.40551329296432,0.0,139.4055132929625,0,0.0,0.0,0.0,0.0,0,0.0,297.7959873079235,-60.216480000002775,-358.0124673079299,-1,-318.0,72.830694642048,False
N322,historical_mixed,1,True,111.30831119084178,-3.637978807091713e-12,-111.30831119084178,0,0.0,-249.02152182349892,-3.637978807091713e-12,249.0215218234971,0,0.0,138.23275856120017,-132.9307200000112,-271.16347856120774,-1,-702.0,138.50727989228926,False
N322,historical_mixed,2,True,118.38971342919831,3.637978807091713e-12,-118.38971342920013,0,0.0,577.1937748495802,0.0,-577.193774849582,0,0.0,236.91738648335195,6.3286966821069655,-230.58868980125044,0,33.42150761568337,183.63813378180657,True
N322,historical_mixed,3,True,475.93727708278675,65.32920000000013,-410.6080770827848,1,345.0,-138.29051771142986,0.0,138.29051771143168,0,0.0,587.5194953315349,65.32920000000013,-522.190295331533,1,345.0,37.320462265370224,True
N322,historical_mixed,4,True,634.6304264824812,-3.637978807091713e-12,-634.6304264824848,0,0.0,53.47834844935096,0.0,-53.47834844934732,0,0.0,603.4305659885867,0.0,-603.4305659885867,0,0.0,166.24184648890605,True
N322,historical_mixed,5,True,86.5378672882598,-7.275957614183426e-12,-86.5378672882598,0,0.0,34.258843484771205,-7.275957614183426e-12,-34.25884348477666,0,0.0,379.9276515925667,4.358779129383038,-375.5688724631782,0,23.018478714540834,123.3389258974812,True
