E_total,battery_kwh,cost_elec,cost_fix,cost_fuel,ev_routes,failure_reason,feasible,mask,route_count,source_profile,source_seed,source_solution_path,source_start,total_cost
N/A,80.0,,,,3,charging_repair:No feasible charging insert between C013 and C002,False,1001100,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,4,charging_repair:No feasible charging insert between C051 and C052,False,1001101,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,4,charging_repair:No feasible charging insert between C013 and C002,False,1001110,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,5,charging_repair:No feasible charging insert between C051 and C052,False,1001111,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,2,charging_repair:No feasible charging insert between C041 and C040,False,1010000,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,3,charging_repair:No feasible charging insert between C051 and C052,False,1010001,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,3,charging_repair:No feasible charging insert between C041 and C040,False,1010010,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,4,charging_repair:No feasible charging insert between C051 and C052,False,1010011,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,3,charging_repair:No feasible charging insert between C013 and C002,False,1010100,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,4,charging_repair:No feasible charging insert between C051 and C052,False,1010101,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
