battery_kwh,category,constraint_scenario,in_band_count,instance,mean_ev_customer_share,mean_ev_demand_share,mean_ev_distance_share,mean_ev_route_share,phase,reason,required_majority,size,winner_count
60.0,vanilla,goeke_total_cap,0,e2-vanilla-100c-01,,,,,stage_a,missing_or_infeasible,1,100,0
60.0,vanilla,goeke_total_cap,0,e2-vanilla-10c-01,,,,,stage_a,missing_or_infeasible,1,10,0
60.0,vanilla,goeke_total_cap,0,e2-vanilla-150c-01,,,,,stage_a,missing_or_infeasible,1,150,0
60.0,vanilla,goeke_total_cap,0,e2-vanilla-15c-01,,,,,stage_a,missing_or_infeasible,1,15,0
60.0,vanilla,goeke_total_cap,0,e2-vanilla-200c-01,,,,,stage_a,missing_or_infeasible,1,200,0
60.0,vanilla,goeke_total_cap,0,e2-vanilla-20c-01,,,,,stage_a,missing_or_infeasible,1,20,0
60.0,vanilla,goeke_total_cap,0,e2-vanilla-25c-01,,,,,stage_a,missing_or_infeasible,1,25,0
60.0,vanilla,goeke_total_cap,0,e2-vanilla-50c-01,,,,,stage_a,missing_or_infeasible,1,50,0
60.0,vanilla,goeke_total_cap,0,e2-vanilla-75c-01,,,,,stage_a,missing_or_infeasible,1,75,0
60.0,multidepot,public_charging_disabled_diagnostic,1,e2-multidepot-150c-01,0.36,0.38004444633176215,0.18161091459333115,0.3877551020408163,stage_a,fake_balance,1,150,1
60.0,multidepot,public_charging_disabled_diagnostic,0,e2-multidepot-15c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,15,1
60.0,multidepot,public_charging_disabled_diagnostic,0,e2-multidepot-200c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,200,1
60.0,multidepot,public_charging_disabled_diagnostic,1,e2-multidepot-20c-01,0.25,0.3053834650715659,0.14722647987176898,0.2857142857142857,stage_a,fake_balance,1,20,1
60.0,multidepot,public_charging_disabled_diagnostic,0,e2-multidepot-50c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,50,1
60.0,threeshift,public_charging_disabled_diagnostic,1,e2-threeshift-100c-01,0.29,0.2884338109398937,0.16287572285084234,0.3,stage_a,fake_balance,1,100,1
60.0,vanilla,public_charging_disabled_diagnostic,0,e2-vanilla-100c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,100,1
60.0,vanilla,public_charging_disabled_diagnostic,1,e2-vanilla-10c-01,0.2,0.2616822429906542,0.1351389555837525,0.25,stage_a,fake_balance,1,10,1
60.0,vanilla,public_charging_disabled_diagnostic,0,e2-vanilla-150c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,150,1
60.0,vanilla,public_charging_disabled_diagnostic,0,e2-vanilla-15c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,15,1
60.0,vanilla,public_charging_disabled_diagnostic,1,e2-vanilla-200c-01,0.23,0.2522233201581028,0.12736295596152347,0.27941176470588236,stage_a,fake_balance,1,200,1
60.0,vanilla,public_charging_disabled_diagnostic,0,e2-vanilla-20c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,20,1
60.0,vanilla,public_charging_disabled_diagnostic,1,e2-vanilla-25c-01,0.2,0.2722772277227723,0.11662481698655558,0.2857142857142857,stage_a,fake_balance,1,25,1
60.0,vanilla,public_charging_disabled_diagnostic,0,e2-vanilla-50c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,50,1
60.0,vanilla,public_charging_disabled_diagnostic,0,e2-vanilla-75c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,75,1
60.0,multidepot,unbounded_reference,0,e2-multidepot-150c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,150,1
60.0,threeshift,unbounded_reference,0,e2-threeshift-100c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,100,1
60.0,threeshift,unbounded_reference,0,e2-threeshift-200c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,200,1
60.0,vanilla,unbounded_reference,1,e2-vanilla-100c-01,0.19,0.1961490127585252,0.1095762480104836,0.21212121212121213,stage_a,fake_balance,1,100,1
60.0,vanilla,unbounded_reference,1,e2-vanilla-10c-01,0.2,0.2616822429906542,0.1351389555837525,0.25,stage_a,fake_balance,1,10,1
60.0,vanilla,unbounded_reference,0,e2-vanilla-150c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,150,1
60.0,vanilla,unbounded_reference,0,e2-vanilla-15c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,15,1
60.0,vanilla,unbounded_reference,0,e2-vanilla-200c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,200,1
60.0,vanilla,unbounded_reference,0,e2-vanilla-20c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,20,1
60.0,vanilla,unbounded_reference,1,e2-vanilla-25c-01,0.2,0.25685453160700683,0.14778620740552695,0.2857142857142857,stage_a,fake_balance,1,25,1
60.0,vanilla,unbounded_reference,0,e2-vanilla-50c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,50,1
60.0,vanilla,unbounded_reference,0,e2-vanilla-75c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,75,1
81.0,multidepot,depot_chargers_manifest_ev_diagnostic,0,e2-multidepot-150c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,150,1
81.0,multidepot,depot_chargers_manifest_ev_diagnostic,0,e2-multidepot-200c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,200,1
81.0,multidepot,depot_chargers_manifest_ev_diagnostic,1,e2-multidepot-25c-01,0.24,0.2757044935262757,0.19100597818202308,0.2857142857142857,stage_a,fake_balance,1,25,1
81.0,threeshift,depot_chargers_manifest_ev_diagnostic,0,e2-threeshift-200c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,200,1
81.0,vanilla,depot_chargers_manifest_ev_diagnostic,0,e2-vanilla-100c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,100,1
81.0,vanilla,depot_chargers_manifest_ev_diagnostic,1,e2-vanilla-10c-01,0.2,0.2616822429906542,0.13513895558375247,0.25,stage_a,fake_balance,1,10,1
81.0,vanilla,depot_chargers_manifest_ev_diagnostic,0,e2-vanilla-150c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,150,1
81.0,vanilla,depot_chargers_manifest_ev_diagnostic,1,e2-vanilla-15c-01,0.2,0.21263332871588864,0.11534773171498756,0.2,stage_a,fake_balance,1,15,1
81.0,vanilla,depot_chargers_manifest_ev_diagnostic,0,e2-vanilla-200c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,200,1
81.0,vanilla,depot_chargers_manifest_ev_diagnostic,0,e2-vanilla-20c-01,0.15,0.16599017303994873,0.11647247510893836,0.16666666666666666,stage_a,route_share_outside_practical_band,1,20,1
81.0,vanilla,depot_chargers_manifest_ev_diagnostic,0,e2-vanilla-25c-01,0.08,0.14927646610814926,0.13474098230710302,0.14285714285714285,stage_a,route_share_outside_practical_band,1,25,1
81.0,vanilla,depot_chargers_manifest_ev_diagnostic,0,e2-vanilla-50c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,50,1
81.0,vanilla,depot_chargers_manifest_ev_diagnostic,1,e2-vanilla-75c-01,0.16,0.19355809753160746,0.13657953133440032,0.2,stage_a,fake_balance,1,75,1
81.0,multidepot,depot_chargers_manifest_total_diagnostic,0,e2-multidepot-150c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,150,1
81.0,multidepot,depot_chargers_manifest_total_diagnostic,0,e2-multidepot-15c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,15,1
81.0,multidepot,depot_chargers_manifest_total_diagnostic,0,e2-multidepot-200c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,200,1
81.0,multidepot,depot_chargers_manifest_total_diagnostic,0,e2-multidepot-25c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,25,1
81.0,threeshift,depot_chargers_manifest_total_diagnostic,0,e2-threeshift-200c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,200,1
81.0,vanilla,depot_chargers_manifest_total_diagnostic,0,e2-vanilla-100c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,100,1
81.0,vanilla,depot_chargers_manifest_total_diagnostic,1,e2-vanilla-10c-01,0.2,0.2616822429906542,0.13513895558375247,0.25,stage_a,fake_balance,1,10,1
81.0,vanilla,depot_chargers_manifest_total_diagnostic,0,e2-vanilla-150c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,150,1
81.0,vanilla,depot_chargers_manifest_total_diagnostic,1,e2-vanilla-15c-01,0.2,0.21263332871588864,0.11534773171498756,0.2,stage_a,fake_balance,1,15,1
81.0,vanilla,depot_chargers_manifest_total_diagnostic,0,e2-vanilla-200c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,200,1
81.0,multidepot,depot_manifest_ev_no_public_diagnostic,0,e2-multidepot-150c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,150,1
81.0,multidepot,depot_manifest_ev_no_public_diagnostic,0,e2-multidepot-200c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,200,1
81.0,multidepot,depot_manifest_ev_no_public_diagnostic,1,e2-multidepot-25c-01,0.24,0.2757044935262757,0.19100597818202308,0.2857142857142857,stage_a,fake_balance,1,25,1
81.0,multidepot,depot_manifest_ev_no_public_diagnostic,0,e2-multidepot-50c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,50,1
81.0,threeshift,depot_manifest_ev_no_public_diagnostic,0,e2-threeshift-200c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,200,1
81.0,vanilla,depot_manifest_ev_no_public_diagnostic,0,e2-vanilla-100c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,100,1
81.0,vanilla,depot_manifest_ev_no_public_diagnostic,1,e2-vanilla-10c-01,0.2,0.2616822429906542,0.13513895558375247,0.25,stage_a,fake_balance,1,10,1
81.0,vanilla,depot_manifest_ev_no_public_diagnostic,0,e2-vanilla-150c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,150,1
81.0,vanilla,depot_manifest_ev_no_public_diagnostic,1,e2-vanilla-15c-01,0.2,0.21263332871588864,0.11534773171498756,0.2,stage_a,fake_balance,1,15,1
81.0,vanilla,depot_manifest_ev_no_public_diagnostic,0,e2-vanilla-200c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,200,1
81.0,vanilla,depot_manifest_ev_no_public_diagnostic,0,e2-vanilla-20c-01,0.1,0.1683400982696005,0.10908787193605715,0.16666666666666666,stage_a,route_share_outside_practical_band,1,20,1
81.0,vanilla,depot_manifest_ev_no_public_diagnostic,0,e2-vanilla-25c-01,0.08,0.12785605483625287,0.1152578923823096,0.14285714285714285,stage_a,route_share_outside_practical_band,1,25,1
81.0,vanilla,depot_manifest_ev_no_public_diagnostic,0,e2-vanilla-50c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,50,1
81.0,vanilla,depot_manifest_ev_no_public_diagnostic,1,e2-vanilla-75c-01,0.17333333333333334,0.18548519511794648,0.1229313472199146,0.2,stage_a,fake_balance,1,75,1
81.0,multidepot,goeke_ev_cap_only,1,e2-multidepot-100c-01,0.22,0.20807684934716394,0.18451081973761185,0.21212121212121213,stage_a,fake_balance,1,100,1
81.0,multidepot,goeke_ev_cap_only,1,e2-multidepot-150c-01,0.2,0.2036887624386032,0.13141695902915854,0.20833333333333334,stage_a,fake_balance,1,150,1
81.0,multidepot,goeke_ev_cap_only,0,e2-multidepot-15c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,15,1
81.0,multidepot,goeke_ev_cap_only,0,e2-multidepot-200c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,200,1
81.0,multidepot,goeke_ev_cap_only,0,e2-multidepot-20c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,20,1
81.0,multidepot,goeke_ev_cap_only,0,e2-multidepot-25c-01,0.24,0.14813404417364814,0.1702591660059955,0.14285714285714285,stage_a,route_share_outside_practical_band,1,25,1
81.0,multidepot,goeke_ev_cap_only,0,e2-multidepot-50c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,50,1
81.0,multidepot,goeke_ev_cap_only,0,e2-multidepot-75c-01,0.17333333333333334,0.18228339992337583,0.16928057207993777,0.19230769230769232,stage_a,route_share_outside_practical_band,1,75,1
81.0,threeshift,goeke_ev_cap_only,1,e2-threeshift-150c-01,0.17333333333333334,0.2086580330594817,0.16964386503234893,0.20408163265306123,stage_a,fake_balance,1,150,1
81.0,threeshift,goeke_ev_cap_only,0,e2-threeshift-200c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,200,1
81.0,threeshift,goeke_ev_cap_only,0,e2-threeshift-50c-01,0.16,0.18495074221013685,0.1257915198892738,0.1875,stage_a,route_share_outside_practical_band,1,50,1
81.0,threeshift,goeke_ev_cap_only,1,e2-threeshift-75c-01,0.2,0.20225811061883664,0.1524367517345085,0.20833333333333334,stage_a,fake_balance,1,75,1
81.0,vanilla,goeke_ev_cap_only,1,e2-vanilla-100c-01,0.19,0.20166563718077063,0.12637277630618451,0.21875,stage_a,fake_balance,1,100,1
81.0,vanilla,goeke_ev_cap_only,1,e2-vanilla-10c-01,0.2,0.2616822429906542,0.13513895558375247,0.25,stage_a,fake_balance,1,10,1
81.0,vanilla,goeke_ev_cap_only,1,e2-vanilla-150c-01,0.19333333333333333,0.19770124704516823,0.18213457918748385,0.2,stage_a,fake_balance,1,150,1
81.0,vanilla,goeke_ev_cap_only,0,e2-vanilla-15c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,15,1
81.0,vanilla,goeke_ev_cap_only,0,e2-vanilla-200c-01,0.16,0.18755146574440051,0.11203925936648262,0.19402985074626866,stage_a,route_share_outside_practical_band,1,200,1
81.0,vanilla,goeke_ev_cap_only,0,e2-vanilla-20c-01,0.1,0.09517197180089725,0.07567581591345561,0.14285714285714285,stage_a,route_share_outside_practical_band,1,20,1
81.0,vanilla,goeke_ev_cap_only,0,e2-vanilla-25c-01,0.08,0.14927646610814926,0.13674796833853514,0.14285714285714285,stage_a,route_share_outside_practical_band,1,25,1
