battery_kwh,category,constraint_scenario,cv_over_manifest,depot_charging_energy_share,depot_peak_capacity,depot_peak_concurrent,ev_over_manifest,fake_balance,in_practical_band,instance,manifest_num_cv,manifest_num_ev,public_charging_energy_share,size,source_artifact,winner_composition,winner_cv_route_count,winner_ev_customer_share,winner_ev_demand_share,winner_ev_distance_share,winner_ev_route_count,winner_ev_route_share
89.0,vanilla,unbounded_reference,False,,,,True,False,False,e2-vanilla-150c-01,10,10,,150,09l_stage_a,ev_heavy_mixed,8,0.7933333333333333,0.831302107662038,0.7236497783849514,44,0.8461538461538461
89.0,vanilla,unbounded_reference,True,,,,True,True,True,e2-vanilla-15c-01,2,0,,15,09l_stage_a,balanced_mixed,4,0.2,0.21263332871588864,0.11534773171498758,1,0.2
89.0,vanilla,unbounded_reference,True,,,,True,False,True,e2-vanilla-200c-01,14,14,,200,09l_stage_a,balanced_mixed,20,0.675,0.6923583662714098,0.5824498375725402,51,0.7183098591549296
89.0,vanilla,unbounded_reference,True,,,,True,False,True,e2-vanilla-20c-01,2,1,,20,09l_stage_a,balanced_mixed,4,0.3,0.37128818628498184,0.28733606559409347,3,0.42857142857142855
89.0,vanilla,unbounded_reference,False,,,,True,False,True,e2-vanilla-25c-01,2,1,,25,09l_stage_a,balanced_mixed,2,0.56,0.7271515613099772,0.5953835978089564,5,0.7142857142857143
89.0,vanilla,unbounded_reference,True,,,,True,False,True,e2-vanilla-50c-01,4,3,,50,09l_stage_a,balanced_mixed,7,0.52,0.541900890772291,0.4451018615528149,9,0.5625
89.0,vanilla,unbounded_reference,True,,,,True,False,True,e2-vanilla-75c-01,6,5,,75,09l_stage_a,balanced_mixed,13,0.41333333333333333,0.4674347326364184,0.36187435571023086,13,0.5
100.0,multidepot,unbounded_reference,True,,,,True,False,True,e2-multidepot-100c-01,7,7,,100,09l_stage_a,balanced_mixed,8,0.72,0.7469594666553068,0.5675084465550854,25,0.7575757575757576
100.0,multidepot,unbounded_reference,False,,,,True,False,False,e2-multidepot-10c-01,1,1,,10,09l_stage_a,all_ev,0,1.0,1.0,1.0,4,1.0
100.0,multidepot,unbounded_reference,False,,,,True,False,False,e2-multidepot-150c-01,10,10,,150,09l_stage_a,ev_heavy_mixed,5,0.86,0.896372103557122,0.8270426388847699,46,0.9019607843137255
100.0,multidepot,unbounded_reference,False,,,,True,False,True,e2-multidepot-15c-01,2,0,,15,09l_stage_a,balanced_mixed,2,0.6,0.62418617537055,0.43387378048217173,3,0.6
100.0,multidepot,unbounded_reference,True,,,,False,False,False,e2-multidepot-200c-01,14,14,,200,09l_stage_a,all_cv,66,0.0,0.0,0.0,0,0.0
100.0,multidepot,unbounded_reference,False,,,,True,False,True,e2-multidepot-20c-01,2,1,,20,09l_stage_a,balanced_mixed,2,0.65,0.6919461653492843,0.5543197736115493,5,0.7142857142857143
100.0,multidepot,unbounded_reference,False,,,,True,False,True,e2-multidepot-25c-01,2,1,,25,09l_stage_a,balanced_mixed,2,0.6,0.7046839299314547,0.4491341997972206,5,0.7142857142857143
100.0,multidepot,unbounded_reference,False,,,,True,False,False,e2-multidepot-50c-01,4,3,,50,09l_stage_a,ev_heavy_mixed,2,0.86,0.8623627086396264,0.8091035863807347,14,0.875
100.0,multidepot,unbounded_reference,False,,,,True,False,True,e2-multidepot-75c-01,6,5,,75,09l_stage_a,balanced_mixed,6,0.7066666666666667,0.7516282633681791,0.6386020094027594,22,0.7857142857142857
100.0,threeshift,unbounded_reference,True,,,,False,False,False,e2-threeshift-100c-01,7,7,,100,09l_stage_a,all_cv,31,0.0,0.0,0.0,0,0.0
100.0,threeshift,unbounded_reference,False,,,,True,False,False,e2-threeshift-150c-01,10,10,,150,09l_stage_a,ev_heavy_mixed,8,0.8,0.8320674154136662,0.6852146857198895,42,0.84
100.0,threeshift,unbounded_reference,False,,,,True,False,False,e2-threeshift-200c-01,14,14,,200,09l_stage_a,ev_heavy_mixed,6,0.87,0.8994872691891419,0.8280045690944647,61,0.9104477611940298
100.0,threeshift,unbounded_reference,False,,,,True,False,False,e2-threeshift-50c-01,4,3,,50,09l_stage_a,ev_heavy_mixed,1,0.94,0.9311728257477823,0.9153631392320253,15,0.9375
100.0,threeshift,unbounded_reference,True,,,,False,False,False,e2-threeshift-75c-01,6,5,,75,09l_stage_a,all_cv,26,0.0,0.0,0.0,0,0.0
100.0,vanilla,unbounded_reference,True,,,,True,False,True,e2-vanilla-100c-01,7,7,,100,09l_stage_a,balanced_mixed,12,0.58,0.6131972991970011,0.5215701234895974,22,0.6470588235294118
