cap_scenario,category,composition,eval_budget,instance,phase,queue_status,run_status,runtime_cap_seconds,seed,total_cost,variant
goeke_total_cap,threeshift,infeasible,1000,e2-threeshift-75c-01,stage_a,terminal,INIT_INFEASIBLE,240.0,1,inf,ev_shell
goeke_total_cap,threeshift,infeasible,1000,e2-threeshift-100c-01,stage_a,terminal,INIT_INFEASIBLE,360.0,1,inf,free_mixed
goeke_total_cap,threeshift,infeasible,1000,e2-threeshift-100c-01,stage_a,terminal,INIT_INFEASIBLE,360.0,1,inf,cv_shell
goeke_total_cap,threeshift,infeasible,1000,e2-threeshift-100c-01,stage_a,terminal,INIT_INFEASIBLE,360.0,1,inf,ev_shell
goeke_total_cap,threeshift,infeasible,1000,e2-threeshift-150c-01,stage_a,terminal,INIT_INFEASIBLE,900.0,1,inf,free_mixed
goeke_total_cap,threeshift,infeasible,1000,e2-threeshift-150c-01,stage_a,terminal,INIT_INFEASIBLE,900.0,1,inf,cv_shell
goeke_total_cap,threeshift,infeasible,1000,e2-threeshift-150c-01,stage_a,terminal,INIT_INFEASIBLE,900.0,1,inf,ev_shell
goeke_total_cap,threeshift,infeasible,1000,e2-threeshift-200c-01,stage_a,terminal,INIT_INFEASIBLE,900.0,1,inf,free_mixed
goeke_total_cap,threeshift,infeasible,1000,e2-threeshift-200c-01,stage_a,terminal,INIT_INFEASIBLE,900.0,1,inf,cv_shell
goeke_total_cap,threeshift,infeasible,1000,e2-threeshift-200c-01,stage_a,terminal,INIT_INFEASIBLE,900.0,1,inf,ev_shell
goeke_ev_cap_only,vanilla,balanced_mixed,1000,e2-vanilla-75c-01,stage_a,terminal,OK,240.0,1,4477.702857135915,free_mixed
goeke_ev_cap_only,vanilla,all_cv,1000,e2-vanilla-75c-01,stage_a,terminal,OK,240.0,1,4668.631771653173,cv_shell
goeke_ev_cap_only,vanilla,infeasible,1000,e2-vanilla-75c-01,stage_a,terminal,INIT_INFEASIBLE,240.0,1,inf,ev_shell
goeke_ev_cap_only,vanilla,balanced_mixed,1000,e2-vanilla-100c-01,stage_a,terminal,OK,360.0,1,5689.131661330765,free_mixed
goeke_ev_cap_only,vanilla,all_cv,1000,e2-vanilla-100c-01,stage_a,terminal,OK,360.0,1,5826.874187184658,cv_shell
goeke_ev_cap_only,vanilla,infeasible,1000,e2-vanilla-100c-01,stage_a,terminal,INIT_INFEASIBLE,360.0,1,inf,ev_shell
goeke_ev_cap_only,vanilla,balanced_mixed,1000,e2-vanilla-150c-01,stage_a,terminal,OK,900.0,1,7289.825768515231,free_mixed
goeke_ev_cap_only,vanilla,all_cv,1000,e2-vanilla-150c-01,stage_a,terminal,OK,900.0,1,7592.641707650496,cv_shell
goeke_ev_cap_only,vanilla,infeasible,1000,e2-vanilla-150c-01,stage_a,terminal,INIT_INFEASIBLE,900.0,1,inf,ev_shell
goeke_ev_cap_only,vanilla,balanced_mixed,1000,e2-vanilla-200c-01,stage_a,terminal,OK,900.0,1,11107.26718705865,free_mixed
goeke_ev_cap_only,vanilla,all_cv,1000,e2-vanilla-200c-01,stage_a,terminal,OK,900.0,1,11164.214856565932,cv_shell
goeke_ev_cap_only,vanilla,timeout,1000,e2-vanilla-200c-01,stage_a,terminal,TIMEOUT,900.0,1,inf,ev_shell
goeke_ev_cap_only,multidepot,cv_heavy_mixed,1000,e2-multidepot-75c-01,stage_a,terminal,OK,240.0,1,4081.4659762465394,free_mixed
goeke_ev_cap_only,multidepot,all_cv,1000,e2-multidepot-75c-01,stage_a,terminal,OK,240.0,1,4257.4366557039775,cv_shell
goeke_ev_cap_only,multidepot,infeasible,1000,e2-multidepot-75c-01,stage_a,terminal,INIT_INFEASIBLE,240.0,1,inf,ev_shell
goeke_ev_cap_only,multidepot,balanced_mixed,1000,e2-multidepot-100c-01,stage_a,terminal,OK,360.0,1,5012.069792318614,free_mixed
goeke_ev_cap_only,multidepot,all_cv,1000,e2-multidepot-100c-01,stage_a,terminal,OK,360.0,1,5059.385878752753,cv_shell
goeke_ev_cap_only,multidepot,infeasible,1000,e2-multidepot-100c-01,stage_a,terminal,INIT_INFEASIBLE,360.0,1,inf,ev_shell
goeke_ev_cap_only,multidepot,balanced_mixed,1000,e2-multidepot-150c-01,stage_a,terminal,OK,900.0,1,6870.75037105597,free_mixed
goeke_ev_cap_only,multidepot,all_cv,1000,e2-multidepot-150c-01,stage_a,terminal,OK,900.0,1,7270.566593981815,cv_shell
goeke_ev_cap_only,multidepot,infeasible,1000,e2-multidepot-150c-01,stage_a,terminal,INIT_INFEASIBLE,900.0,1,inf,ev_shell
goeke_ev_cap_only,multidepot,cv_heavy_mixed,1000,e2-multidepot-200c-01,stage_a,terminal,OK,900.0,1,9762.203374578532,free_mixed
goeke_ev_cap_only,multidepot,all_cv,1000,e2-multidepot-200c-01,stage_a,terminal,OK,900.0,1,9549.623080396133,cv_shell
goeke_ev_cap_only,multidepot,infeasible,1000,e2-multidepot-200c-01,stage_a,terminal,INIT_INFEASIBLE,900.0,1,inf,ev_shell
goeke_ev_cap_only,threeshift,balanced_mixed,1000,e2-threeshift-75c-01,stage_a,terminal,OK,240.0,1,3629.547182039939,free_mixed
goeke_ev_cap_only,threeshift,all_cv,1000,e2-threeshift-75c-01,stage_a,terminal,OK,240.0,1,3960.5538278976487,cv_shell
goeke_ev_cap_only,threeshift,infeasible,1000,e2-threeshift-75c-01,stage_a,terminal,INIT_INFEASIBLE,240.0,1,inf,ev_shell
goeke_ev_cap_only,threeshift,balanced_mixed,1000,e2-threeshift-100c-01,stage_a,terminal,OK,360.0,1,4862.806657048771,free_mixed
goeke_ev_cap_only,threeshift,all_cv,1000,e2-threeshift-100c-01,stage_a,terminal,OK,360.0,1,5107.53757812103,cv_shell
goeke_ev_cap_only,threeshift,infeasible,1000,e2-threeshift-100c-01,stage_a,terminal,INIT_INFEASIBLE,360.0,1,inf,ev_shell
goeke_ev_cap_only,threeshift,balanced_mixed,1000,e2-threeshift-150c-01,stage_a,terminal,OK,900.0,1,7456.549464239839,free_mixed
goeke_ev_cap_only,threeshift,all_cv,1000,e2-threeshift-150c-01,stage_a,terminal,OK,900.0,1,8525.481461998606,cv_shell
goeke_ev_cap_only,threeshift,infeasible,1000,e2-threeshift-150c-01,stage_a,terminal,INIT_INFEASIBLE,900.0,1,inf,ev_shell
goeke_ev_cap_only,threeshift,balanced_mixed,1000,e2-threeshift-200c-01,stage_a,terminal,OK,900.0,1,9309.568308266409,free_mixed
goeke_ev_cap_only,threeshift,all_cv,1000,e2-threeshift-200c-01,stage_a,terminal,OK,900.0,1,9537.791917774082,cv_shell
goeke_ev_cap_only,threeshift,infeasible,1000,e2-threeshift-200c-01,stage_a,terminal,INIT_INFEASIBLE,900.0,1,inf,ev_shell
depot_scaled_cap,vanilla,infeasible,1000,e2-vanilla-75c-01,stage_a,terminal,INIT_INFEASIBLE,240.0,1,inf,free_mixed
depot_scaled_cap,vanilla,infeasible,1000,e2-vanilla-75c-01,stage_a,terminal,INIT_INFEASIBLE,240.0,1,inf,cv_shell
depot_scaled_cap,vanilla,infeasible,1000,e2-vanilla-75c-01,stage_a,terminal,INIT_INFEASIBLE,240.0,1,inf,ev_shell
depot_scaled_cap,vanilla,infeasible,1000,e2-vanilla-100c-01,stage_a,terminal,INIT_INFEASIBLE,360.0,1,inf,free_mixed
depot_scaled_cap,vanilla,infeasible,1000,e2-vanilla-100c-01,stage_a,terminal,INIT_INFEASIBLE,360.0,1,inf,cv_shell
depot_scaled_cap,vanilla,infeasible,1000,e2-vanilla-100c-01,stage_a,terminal,INIT_INFEASIBLE,360.0,1,inf,ev_shell
depot_scaled_cap,vanilla,infeasible,1000,e2-vanilla-150c-01,stage_a,terminal,INIT_INFEASIBLE,900.0,1,inf,free_mixed
depot_scaled_cap,vanilla,infeasible,1000,e2-vanilla-150c-01,stage_a,terminal,INIT_INFEASIBLE,900.0,1,inf,cv_shell
depot_scaled_cap,vanilla,infeasible,1000,e2-vanilla-150c-01,stage_a,terminal,INIT_INFEASIBLE,900.0,1,inf,ev_shell
depot_scaled_cap,vanilla,timeout,1000,e2-vanilla-200c-01,stage_a,terminal,TIMEOUT,900.0,1,inf,free_mixed
depot_scaled_cap,vanilla,timeout,1000,e2-vanilla-200c-01,stage_a,terminal,TIMEOUT,900.0,1,inf,cv_shell
depot_scaled_cap,vanilla,timeout,1000,e2-vanilla-200c-01,stage_a,terminal,TIMEOUT,900.0,1,inf,ev_shell
depot_scaled_cap,multidepot,infeasible,1000,e2-multidepot-75c-01,stage_a,terminal,INIT_INFEASIBLE,240.0,1,inf,free_mixed
depot_scaled_cap,multidepot,infeasible,1000,e2-multidepot-75c-01,stage_a,terminal,INIT_INFEASIBLE,240.0,1,inf,cv_shell
depot_scaled_cap,multidepot,infeasible,1000,e2-multidepot-75c-01,stage_a,terminal,INIT_INFEASIBLE,240.0,1,inf,ev_shell
depot_scaled_cap,multidepot,infeasible,1000,e2-multidepot-100c-01,stage_a,terminal,INIT_INFEASIBLE,360.0,1,inf,free_mixed
depot_scaled_cap,multidepot,infeasible,1000,e2-multidepot-100c-01,stage_a,terminal,INIT_INFEASIBLE,360.0,1,inf,cv_shell
depot_scaled_cap,multidepot,infeasible,1000,e2-multidepot-100c-01,stage_a,terminal,INIT_INFEASIBLE,360.0,1,inf,ev_shell
depot_scaled_cap,multidepot,infeasible,1000,e2-multidepot-150c-01,stage_a,terminal,INIT_INFEASIBLE,900.0,1,inf,free_mixed
depot_scaled_cap,multidepot,infeasible,1000,e2-multidepot-150c-01,stage_a,terminal,INIT_INFEASIBLE,900.0,1,inf,cv_shell
depot_scaled_cap,multidepot,infeasible,1000,e2-multidepot-150c-01,stage_a,terminal,INIT_INFEASIBLE,900.0,1,inf,ev_shell
depot_scaled_cap,multidepot,infeasible,1000,e2-multidepot-200c-01,stage_a,terminal,INIT_INFEASIBLE,900.0,1,inf,free_mixed
depot_scaled_cap,multidepot,infeasible,1000,e2-multidepot-200c-01,stage_a,terminal,INIT_INFEASIBLE,900.0,1,inf,cv_shell
depot_scaled_cap,multidepot,infeasible,1000,e2-multidepot-200c-01,stage_a,terminal,INIT_INFEASIBLE,900.0,1,inf,ev_shell
depot_scaled_cap,threeshift,infeasible,1000,e2-threeshift-75c-01,stage_a,terminal,INIT_INFEASIBLE,240.0,1,inf,free_mixed
depot_scaled_cap,threeshift,infeasible,1000,e2-threeshift-75c-01,stage_a,terminal,INIT_INFEASIBLE,240.0,1,inf,cv_shell
depot_scaled_cap,threeshift,infeasible,1000,e2-threeshift-75c-01,stage_a,terminal,INIT_INFEASIBLE,240.0,1,inf,ev_shell
depot_scaled_cap,threeshift,infeasible,1000,e2-threeshift-100c-01,stage_a,terminal,INIT_INFEASIBLE,360.0,1,inf,free_mixed
depot_scaled_cap,threeshift,infeasible,1000,e2-threeshift-100c-01,stage_a,terminal,INIT_INFEASIBLE,360.0,1,inf,cv_shell
depot_scaled_cap,threeshift,infeasible,1000,e2-threeshift-100c-01,stage_a,terminal,INIT_INFEASIBLE,360.0,1,inf,ev_shell
depot_scaled_cap,threeshift,infeasible,1000,e2-threeshift-150c-01,stage_a,terminal,INIT_INFEASIBLE,900.0,1,inf,free_mixed
depot_scaled_cap,threeshift,infeasible,1000,e2-threeshift-150c-01,stage_a,terminal,INIT_INFEASIBLE,900.0,1,inf,cv_shell
depot_scaled_cap,threeshift,infeasible,1000,e2-threeshift-150c-01,stage_a,terminal,INIT_INFEASIBLE,900.0,1,inf,ev_shell
depot_scaled_cap,threeshift,infeasible,1000,e2-threeshift-200c-01,stage_a,terminal,INIT_INFEASIBLE,900.0,1,inf,free_mixed
depot_scaled_cap,threeshift,infeasible,1000,e2-threeshift-200c-01,stage_a,terminal,INIT_INFEASIBLE,900.0,1,inf,cv_shell
depot_scaled_cap,threeshift,infeasible,1000,e2-threeshift-200c-01,stage_a,terminal,INIT_INFEASIBLE,900.0,1,inf,ev_shell
