instance_id,routes,all_cv_feasible,all_cv_cost,sealed_cost,sealed_violations,sealed_ev_routes,sealed_station_charging_kwh,forced_maxev_cost,forced_maxev_violations,forced_maxev_ev_routes,forced_maxev_station_charging_kwh,forced_vs_sealed_pct,ev_feasible_routes,ev_route_feasible_rate,per_route_delta_min,per_route_delta_median,per_route_delta_max,per_route_negative_deltas,per_route_feasible_variants,forced_rejected_infeasible,all_cv_cost_fix,all_cv_cost_fuel,all_cv_cost_elec,all_cv_cost_carbon,all_cv_E_total,forced_cost_fix,forced_cost_fuel,forced_cost_elec,forced_cost_carbon,forced_E_total
cn-cy-25c-01-V2-LOCATIONS,4,True,1379.2589178167552,1287.1206743588011,0,1,0,1287.1206743588011,0,1,0,0.0,1,0.25,-92.1382434579541,-76.02056891466395,-66.12920425059497,3,3,0,680.0,382.05107569904123,0,10.33649356047432,137.78317196046814,680.0,286.9782079212841,15.604284378906566,8.679509328121265,115.69593879127251
cn-cy-25c-02-V2-LOCATIONS,4,True,1441.5252141764643,1441.5252141764643,0,0,0,1441.5252141764643,0,0,0,0.0,0,0.0,,,,0,0,0,680.0,417.9040396225954,0,11.306505043995621,150.71321039716904,680.0,417.9040396225954,0,11.306505043995621,150.71321039716904
cn-cy-25c-03-V2-LOCATIONS,5,True,1661.0438764362823,1479.7388864856903,0,2,0,1479.7388864856903,0,2,0,0.0,2,0.4,-97.55224602907288,-76.85991100192598,-67.26389823679892,6,6,0,850.0,445.4402895720026,0,12.051505616918686,160.6439031847332,850.0,254.89549673005817,33.94843376521916,8.889873789948014,118.50005051916841
cn-cy-50c-01-V2-LOCATIONS,9,True,2714.080900247794,2554.9626718192767,0,2,0,2554.9626718192767,0,2,0,0.0,2,0.2222222222222222,-95.49182600993572,-71.2125871849687,-43.522586972837416,6,6,0,1530.0,648.3102494542833,0,17.556779301449538,234.02798322380082,1530.0,485.73623235559523,25.59501272854267,14.171168866171532,188.89854527021504
cn-cy-50c-02-V2-LOCATIONS,9,True,2814.8288351735105,2569.7527036301794,0,3,0,2569.7527036301794,0,3,0,0.0,3,0.3333333333333333,-93.49614517430109,-76.70890487060069,-42.16101635433324,9,9,0,1530.0,702.9937429710678,0,19.036555340375642,253.7530703862389,1530.0,449.92576053336364,41.994239218943775,14.189670874252629,189.14517294391666
cn-cy-50c-03-V2-LOCATIONS,9,True,2781.310129075155,2719.9033915460254,0,1,0,2719.9033915460254,0,1,0,0.0,1,0.1111111111111111,-61.406737529129714,-41.29143918656018,-41.29143918656018,3,3,0,1530.0,687.8089962200736,0,18.626884267573253,248.2922456354739,1530.0,625.7725197730351,9.442252273287432,17.013401253130436,226.78487407531907
cn-cy-75c-01-V2-LOCATIONS,12,True,3728.557158307866,3552.311451169535,0,2,0,3552.311451169535,0,2,0,0.0,2,0.16666666666666666,-107.0832564794182,-79.13109376255284,-49.30383600099685,6,6,0,2040.0,928.7811783193434,0,25.150859055093783,335.2553859649931,2040.0,750.0623743018991,26.933792211763482,21.402544123102885,285.2911773274178
cn-cy-75c-02-V2-LOCATIONS,13,True,3990.148135005022,3791.4238007995455,0,2,0,3791.4238007995455,0,2,0,0.0,2,0.15384615384615385,-132.46391979243344,-84.23736114166286,-45.28272168408739,6,6,0,2210.0,977.5028982351361,0,26.472333012778485,352.87034141266975,2210.0,772.1885078546401,34.04841194112437,22.42012331804173,298.8552828318012
cn-cy-75c-03-V2-LOCATIONS,12,True,3746.6526153432883,3642.1498460696434,0,1,0,3642.1498460696434,0,1,0,0.0,1,0.08333333333333333,-104.50276927364484,-85.79997928161538,-75.88023553563198,3,3,0,2040.0,938.2955303745407,0,25.407856099301338,338.6810996974318,2040.0,829.862130459912,18.097493879609203,23.53805111202396,313.7570129568643
cn-jjj-100c-01-V2-LOCATIONS,17,True,5128.624285022313,4873.815682546802,0,4,0,4873.815682546802,0,4,0,0.0,4,0.23529411764705882,-78.57793458992455,-50.849522130215064,-38.1853647558537,12,12,0,2890.0,1232.9049032784917,0,33.49176187225113,446.4377748900444,2890.0,952.5300203090615,58.89676578341703,31.91133570749081,425.37104382152506
cn-jjj-100c-02-V2-LOCATIONS,17,True,5088.780281518587,5010.020684180303,0,1,0,5010.020684180303,0,1,0,0.0,1,0.058823529411764705,-78.75959733828404,-58.74442133297089,-58.689424764367686,3,3,0,2890.0,1215.2950798164018,0,33.01406677094016,440.0702048912311,2890.0,1126.6434644820279,20.43686905660306,32.360763410600114,431.36181565715964
cn-jjj-100c-03-V2-LOCATIONS,17,True,5016.480473468135,4969.467076423541,0,1,0,4969.467076423541,0,1,0,0.0,1,0.058823529411764705,-47.01339704459406,-40.67629793949618,-40.67629793949618,3,3,0,2890.0,1170.6748201051132,0,31.800757131706504,423.89705587452016,2890.0,1121.1967352734655,8.42804080429361,31.58048700532853,420.9609038300257
cn-jjj-10c-01-V2-LOCATIONS,2,True,655.1102246719714,655.1102246719714,0,0,0,655.1102246719714,0,0,0,0.0,0,0.0,,,,0,0,0,340.0,173.7270565089678,0,4.712799227071965,62.82057087539276,340.0,173.7270565089678,0,4.712799227071965,62.82057087539276
cn-jjj-10c-02-V2-LOCATIONS,2,True,656.0731655378434,565.6693362689498,0,1,0,565.6693362689498,0,1,0,0.0,1,0.5,-90.40382926889356,-73.34389590597914,-70.48896558995955,3,3,0,340.0,173.24714402673033,0,4.699780350100236,62.64703212610285,340.0,70.90441375417387,24.154872682019988,3.993912548706422,53.237970523945904
cn-jjj-10c-03-V2-LOCATIONS,2,True,657.6626520975624,579.4713968936917,0,1,0,579.4713968936917,0,1,0,0.0,1,0.5,-78.1912552038707,-63.51604759750239,-60.97531769774014,3,3,0,340.0,174.60621241166496,0,4.736648622450934,63.13847803853551,340.0,85.00998171960643,21.73391381730418,4.168950043554612,55.57118159896844
cn-jjj-150c-01-V2-LOCATIONS,24,True,7067.745233435571,6920.658137092465,0,2,0,6920.658137092465,0,2,0,0.0,2,0.08333333333333333,-90.70014906319739,-63.153482136179264,-55.31599343034031,6,6,0,4080.0,1646.9095593450268,0,44.760135585951105,596.6427030918569,4080.0,1481.5013841252853,38.85593602387227,42.742891714886774,569.753288654849
cn-jjj-150c-02-V2-LOCATIONS,25,True,7381.469068064545,7318.820868363391,0,1,0,7318.820868363391,0,1,0,0.0,1,0.04,-62.648199701154226,-61.37658809261029,-60.56913857808104,3,3,0,4250.0,1728.6566587343382,0,46.98250097761741,626.2663420103627,4250.0,1660.1842770727033,15.18671323537162,45.591766338993835,607.7281570113814
cn-jjj-150c-03-V2-LOCATIONS,25,True,7400.9733125545035,7260.371109289286,0,2,0,7260.371109289286,0,2,0,0.0,2,0.08,-83.94521183389134,-58.93867873018371,-40.79891697333642,6,6,0,4250.0,1734.875088454425,0,47.153482991571614,628.5454944224422,4250.0,1579.2887835175748,33.41195207728857,46.28321158789596,616.9449691801648
cn-jjj-15c-01-V2-LOCATIONS,3,True,984.1064238218574,890.1851758129094,0,1,0,890.1851758129094,0,1,0,0.0,1,0.3333333333333333,-93.92124800894806,-76.43387440210893,-76.32856402005325,3,3,0,510.0,261.1924819282675,0,7.085526870047475,94.44850533254431,510.0,156.39764432120572,24.588807378630193,6.35035195854508,84.64878643755104
cn-jjj-15c-02-V2-LOCATIONS,3,True,992.6415869518114,992.6415869518114,0,0,0,992.6415869518114,0,0,0,0.0,0,0.0,,,,0,0,0,510.0,264.4316720164078,0,7.173398344131529,95.61981263838348,510.0,264.4316720164078,0,7.173398344131529,95.61981263838348
cn-jjj-15c-03-V2-LOCATIONS,3,True,1012.3090478938277,1012.3090478938277,0,0,0,1012.3090478938277,0,0,0,0.0,0,0.0,,,,0,0,0,510.0,276.58145112255954,0,7.502992770763694,100.01323341460535,510.0,276.58145112255954,0,7.502992770763694,100.01323341460535
cn-jjj-200c-01-V2-LOCATIONS,33,True,9763.558601325636,9696.276535914245,0,1,0,9696.276535914245,0,1,0,0.0,1,0.030303030303030304,-67.28206541139116,-67.12812187070267,-66.1104469932834,3,3,0,5610.0,2291.3949285635276,0,62.27693766489804,830.137798785631,5610.0,2215.7383465654084,18.600856956211537,60.80239473161286,810.4824677634344
cn-jjj-200c-02-V2-LOCATIONS,34,True,10013.967354506744,9830.690496736503,0,3,0,9830.690496736503,0,3,0,0.0,3,0.08823529411764706,-72.96945535047598,-54.31549112351058,-33.93572208644582,9,9,0,5780.0,2329.9943016956195,0,63.32331443172177,844.0857695510766,5780.0,2131.4377274578746,38.40668288849949,62.151849808013715,828.4704053320943
cn-jjj-200c-03-V2-LOCATIONS,33,True,9648.753398543977,9553.847711786362,0,2,0,9553.847711786362,0,2,0,0.0,2,0.06060606060606061,-47.629805706454135,-46.96450155278217,-41.12304987663265,6,6,0,5610.0,2227.069842247015,0,60.524651521551334,806.7802122307562,5610.0,2121.19696725192,24.51762004162329,59.323220997537355,790.7654091913803
cn-jjj-20c-01-V2-LOCATIONS,3,True,992.0656343726765,992.0656343726765,0,0,0,992.0656343726765,0,0,0,0.0,0,0.0,,,,0,0,0,510.0,265.44115267091524,0,7.200783138094589,95.98484588235921,510.0,265.44115267091524,0,7.200783138094589,95.98484588235921
cn-jjj-20c-02-V2-LOCATIONS,4,True,1255.853256576519,1174.3861400588266,0,1,0,1174.3861400588266,0,1,0,0.0,1,0.25,-81.46711651769238,-71.75817481836907,-67.44551432302637,3,3,0,680.0,316.9358420095916,0,8.597710807223073,114.60558260761228,680.0,225.02756169530048,21.22950406580117,7.924035473728843,105.62563947919011
cn-jjj-20c-03-V2-LOCATIONS,4,True,1278.5760285132303,1199.9122137237935,0,1,0,1199.9122137237935,0,1,0,0.0,1,0.25,-78.66381478943686,-64.75288428330646,-64.56351008813476,3,3,0,680.0,330.00729463027153,0,8.952308030277202,119.33228512766198,680.0,241.0952518662326,20.958024423800346,8.336632323655031,111.12546419161599
cn-jjj-25c-01-V2-LOCATIONS,4,True,1326.1206720451082,1247.0186692958644,0,1,0,1247.0186692958644,0,1,0,0.0,1,0.25,-79.10200274924387,-65.11353140345773,-63.06226304677671,3,3,0,680.0,356.3341847953993,0,9.666493546999051,128.85222003464477,680.0,267.0310470788188,21.03674340548041,9.046959029663666,120.59396200564737
cn-jjj-25c-02-V2-LOCATIONS,5,True,1585.827083378477,1426.643032749301,0,2,0,1426.643032749301,0,2,0,0.0,2,0.4,-80.06168028882257,-59.94993317336059,-56.97797340453462,6,6,0,850.0,404.51696837402324,0,10.973577139909594,146.27535510410016,850.0,223.58687216414825,43.201788700239085,9.768227557651967,130.20831188552341
cn-jjj-25c-03-V2-LOCATIONS,5,True,1637.4754148759093,1473.9617071398193,0,2,0,1473.9617071398193,0,2,0,0.0,2,0.4,-91.90549574055422,-71.85246523288868,-51.868066657217014,6,6,0,850.0,433.25473275231997,0,11.753163903603031,156.66707416159733,850.0,246.03638849915956,45.86193645560779,10.604444489267284,141.35489855061695
cn-jjj-50c-01-V2-LOCATIONS,8,True,2474.430149624234,2474.430149624234,0,0,0,2474.430149624234,0,0,0,0.0,0,0.0,,,,0,0,0,1360.0,613.9373101551216,0,16.67523427799806,222.2771831244743,1360.0,613.9373101551216,0,16.67523427799806,222.2771831244743
cn-jjj-50c-02-V2-LOCATIONS,9,True,2689.0798368635064,2638.913419965574,0,1,0,2638.913419965574,0,1,0,0.0,1,0.1111111111111111,-50.16641689793232,-39.97046293942685,-37.073517442530374,3,3,0,1530.0,637.9520659644786,0,17.33086586270705,231.0166070742075,1530.0,585.6077187718978,8.547718859424249,17.048377610571244,227.25110118063506
cn-jjj-50c-03-V2-LOCATIONS,10,True,3034.748882807334,2902.8621872585445,0,2,0,2902.8621872585445,0,2,0,0.0,3,0.3,-78.29181042029222,-39.03007457868398,-27.987841136137376,9,9,0,1700.0,732.7178008287672,0,19.904620962891915,265.3241930537445,1700.0,586.8453023664528,31.496487489458644,19.097886953066194,254.57060721229263
cn-jjj-75c-01-V2-LOCATIONS,13,True,3876.2513223482797,3823.106569937251,0,1,0,3823.106569937251,0,1,0,0.0,2,0.15384615384615385,-53.14475241102855,-37.78028176383805,-27.425093729398668,6,6,0,2210.0,918.3648921573745,0,24.9503757899922,332.5829884029885,2210.0,861.9725226031405,9.925667616436682,24.742305324294456,329.80945513588983
cn-jjj-75c-02-V2-LOCATIONS,12,True,3628.7354398328944,3628.7354398328944,0,0,0,3628.7354398328944,0,0,0,0.0,0,0.0,,,,0,0,0,2040.0,878.5905136095389,0,23.86472368067627,318.11148601274687,2040.0,878.5905136095389,0,23.86472368067627,318.11148601274687
cn-jjj-75c-03-V2-LOCATIONS,13,True,3947.0575483014245,3804.1949811150616,0,2,0,3804.1949811150616,0,2,0,0.0,2,0.15384615384615385,-76.51256935705578,-56.44930798584119,-51.649951180999324,6,6,0,2210.0,959.0072236258899,0,26.047786858329136,347.21123511502446,2210.0,798.288529117258,37.725608966183614,24.921106574905643,332.1928362424106
cn-prd-100c-01-V2-LOCATIONS,15,True,4407.539429826138,4312.448489640502,0,1,0,4312.448489640502,0,1,0,0.0,1,0.06666666666666667,-95.0909401856361,-68.64095291625381,-65.73687501630957,3,3,0,2550.0,1024.6679874715728,0,27.94623506275498,372.5171296021725,2550.0,929.4124485324203,12.254666382051104,26.382792683773662,351.67678864001147
cn-prd-100c-02-V2-LOCATIONS,18,True,5119.834056843039,4981.2082452573295,0,2,0,4981.2082452573295,0,2,0,0.0,2,0.1111111111111111,-73.27147607336974,-49.27544225907013,-43.35214156505208,6,6,0,3060.0,1132.3284039523612,0,30.882506462577243,411.6569776403258,3060.0,996.318933813536,15.024389851413348,28.570140566366902,380.83365191104906
cn-prd-100c-03-V2-LOCATIONS,16,True,4616.183683334074,4616.183683334074,0,0,0,4616.183683334074,0,0,0,0.0,0,0.0,,,,0,0,0,2720.0,1046.105557638982,0,28.53091164326476,380.31073904645103,2720.0,1046.105557638982,0,28.53091164326476,380.31073904645103
cn-prd-10c-01-V2-LOCATIONS,2,True,565.595835965041,565.595835965041,0,0,0,565.595835965041,0,0,0,0.0,0,0.0,,,,0,0,0,340.0,123.3672300954259,0,3.3646504559930936,44.85004606762321,340.0,123.3672300954259,0,3.3646504559930936,44.85004606762321
cn-prd-10c-02-V2-LOCATIONS,2,True,552.6641923349677,493.6879527458795,0,1,0,493.6879527458795,0,1,0,0.0,1,0.5,-58.97623958908815,-41.693403098750366,-41.67762856849458,3,3,0,340.0,114.78235819538726,0,3.130511348462152,41.72902357320917,340.0,58.37370421711882,5.079126101313873,2.1356727114402463,28.468044673956896
cn-prd-10c-03-V2-LOCATIONS,2,True,556.9875527416896,495.11445205865334,0,1,0,495.11445205865334,0,1,0,0.0,1,0.5,-61.87310068303623,-51.41181981725521,-51.41181981725521,3,3,0,340.0,117.4444152005218,0,3.203114837324448,42.696812014455446,340.0,57.888949449202336,5.666973966472909,2.1853133587131675,29.12974351790412
cn-prd-150c-01-V2-LOCATIONS,25,True,7361.3438921273855,7230.894451860513,0,2,0,7230.894451860513,0,2,0,0.0,2,0.08,-72.1861278417955,-45.949802719851505,-40.838233435808434,6,6,0,4250.0,1711.5906096591466,0,46.680987494074145,622.2472339919241,4250.0,1584.6805376192522,13.600935689246523,44.49452718202736,593.1022018398742
cn-prd-150c-02-V2-LOCATIONS,24,True,7242.376805706349,7242.376805706349,0,0,0,7242.376805706349,0,0,0,0.0,0,0.0,,,,0,0,0,4080.0,1751.3376141856238,0,47.76502558750403,636.697221907545,4080.0,1751.3376141856238,0,47.76502558750403,636.697221907545
cn-prd-150c-03-V2-LOCATIONS,23,True,6938.671328667318,6802.399778859607,0,1,0,6802.399778859607,0,1,0,0.0,1,0.043478260869565216,-136.27154980771138,-99.53760309531754,-94.94741359959153,3,3,0,3910.0,1671.2878886192357,0,45.58179309196424,607.5952158353003,3910.0,1533.412566467533,19.25660027595765,43.4239309209386,578.831390575028
cn-prd-15c-01-V2-LOCATIONS,3,True,853.5341976582582,787.2819935020146,0,1,0,787.2819935020146,0,1,0,0.0,1,0.3333333333333333,-66.25220415624358,-56.13566886496585,-56.13566886496585,3,3,0,510.0,187.65628396929355,0,5.118034999560742,68.22227405439538,510.0,124.2062151245905,5.480251352323616,3.9740851988086674,52.973676337092336
cn-prd-15c-02-V2-LOCATIONS,3,True,826.285128991907,766.6803387806436,0,1,0,766.6803387806436,0,1,0,0.0,1,0.3333333333333333,-59.60479021126332,-40.00993261153644,-39.99585496941381,3,3,0,510.0,172.57847673512126,0,4.706811119875736,62.74075073148141,510.0,114.72441050498716,5.757644958938603,3.7445697054478924,49.9142855964795
cn-prd-15c-03-V2-LOCATIONS,3,True,840.538004630585,774.2448575122603,0,1,0,774.2448575122603,0,1,0,0.0,1,0.3333333333333333,-66.29314711832467,-47.386219142458685,-47.01660555728267,3,3,0,510.0,182.054216829028,0,4.965247279974117,66.18564756030548,510.0,118.5401199521154,5.6982273366616365,3.842636590848305,51.22149547918295
cn-prd-200c-01-V2-LOCATIONS,33,True,9688.21103593844,9619.350720807923,0,1,0,9619.350720807923,0,1,0,0.0,1,0.030303030303030304,-68.86031513051785,-55.218415699288016,-44.80421362525158,3,3,0,5610.0,2250.686056011882,0,61.38398226822515,818.2349009360856,5610.0,2182.789434431607,8.131391742158653,60.23013162628041,802.8543271964863
cn-prd-200c-02-V2-LOCATIONS,34,True,9997.670637941379,9934.809498400024,0,1,0,9934.809498400024,0,1,0,0.0,1,0.029411764705882353,-62.86113954135544,-45.36718023850699,-45.33888769339683,3,3,0,5780.0,2329.2883960055683,0,63.52773956015196,846.8107112790183,5780.0,2268.9972496067744,5.144790330785227,62.434040004803265,832.2319382138531
cn-prd-200c-03-V2-LOCATIONS,35,True,10198.669813906685,10001.533906631263,0,3,0,10001.533906631263,0,3,0,0.0,3,0.08571428571428572,-69.76180494501205,-53.65839815025538,-41.435832735594886,9,9,0,5950.0,2339.6693653894667,0,63.81086444951006,850.5847034058926,5950.0,2145.1919691183716,23.40098419451099,60.51591199508351,806.663716276773
cn-prd-20c-01-V2-LOCATIONS,4,True,1096.8791901388674,1031.6270367212462,0,1,0,1031.6270367212462,0,1,0,0.0,2,0.5,-65.25215341762123,-45.986749229270345,-37.714737820124355,6,6,0,680.0,226.18027219890786,0,6.168717214466449,82.22763549008863,680.0,163.620627497616,5.664407292562775,5.068722187012228,67.56494517478309
cn-prd-20c-02-V2-LOCATIONS,4,True,1095.9206089114487,1033.3991542735002,0,1,0,1033.3991542735002,0,1,0,0.0,1,0.25,-62.52145463794841,-52.02477812863117,-52.02477812863117,3,3,0,680.0,226.5016095763082,0,6.177481194597651,82.34445740599375,680.0,166.24388342163016,5.686085704083455,5.142456777255649,68.54781094715608
cn-prd-20c-03-V2-LOCATIONS,4,True,1109.651968183228,1046.9299381401734,0,1,0,1046.9299381401734,0,1,0,0.0,1,0.25,-62.7220300430547,-52.56174001698946,-52.56174001698946,3,3,0,680.0,235.16181744009162,0,6.413674974058655,85.49286822258938,680.0,174.7817645241405,5.503953829267093,5.35599199329646,71.3941881271189
cn-prd-25c-01-V2-LOCATIONS,4,True,1125.4666756178794,1125.4666756178794,0,0,0,1125.4666756178794,0,0,0,0.0,0,0.0,,,,0,0,0,680.0,244.59037538942533,0,6.670824314114716,88.92061202498955,680.0,244.59037538942533,0,6.670824314114716,88.92061202498955
cn-prd-25c-02-V2-LOCATIONS,5,True,1386.8407687650554,1272.9961360850173,0,2,0,1272.9961360850173,0,2,0,0.0,2,0.4,-61.41907984467775,-41.552906278717046,-36.40495631649674,6,6,0,850.0,292.93218190615875,0,7.989272342932765,106.49523251043408,850.0,183.21875890480385,10.545355568795685,6.124570865765125,81.63917443035356
cn-prd-25c-03-V2-LOCATIONS,4,True,1140.5569045915854,1140.5569045915854,0,0,0,1140.5569045915854,0,0,0,0.0,0,0.0,,,,0,0,0,680.0,252.13356257407997,0,6.87655308163959,91.66293097360156,680.0,252.13356257407997,0,6.87655308163959,91.66293097360156
cn-prd-50c-01-V2-LOCATIONS,9,True,2607.533192345182,2393.8185755222853,0,3,0,2393.8185755222853,0,3,0,0.0,4,0.4444444444444444,-86.97368234202168,-52.70052955274468,-33.737774990068374,12,12,0,1530.0,591.0110756854791,0,16.118913294591717,214.86154751521883,1530.0,382.3775393630515,22.298518807088207,12.569443385945116,167.54789903952434
cn-prd-50c-02-V2-LOCATIONS,9,True,2614.817274980924,2466.646903780146,0,2,0,2466.646903780146,0,2,0,0.0,2,0.2222222222222222,-80.4556798561016,-47.77206632684488,-46.877074249502584,6,6,0,1530.0,598.8275176721179,0,16.33209466434643,217.70320800248507,1530.0,452.49372545924757,16.66737517330074,13.888421672965615,185.129587749475
cn-prd-50c-03-V2-LOCATIONS,9,True,2575.471956687225,2512.9322491171747,0,1,0,2512.9322491171747,0,1,0,0.0,1,0.1111111111111111,-62.53970757005027,-44.19920369342799,-44.19072012644165,3,3,0,1530.0,575.3163259241757,0,15.690863261367983,209.15573528882942,1530.0,515.479940250921,5.387532036333201,14.63554730936897,195.08860716300947
cn-prd-75c-01-V2-LOCATIONS,13,True,3664.3530250330105,3597.6729563569675,0,1,0,3597.6729563569675,0,1,0,0.0,1,0.07692307692307693,-66.68006867604299,-56.04630248211379,-56.04630248211379,3,3,0,2210.0,799.6629330585957,0,21.809570096330937,290.7167434861495,2210.0,735.7697776085977,5.760106736608437,20.682870480052394,275.6980869108557
