instance_id,route_index,split_position,delta_vs_current
cn-cy-150c-02-V2-LOCATIONS,10,3,209.167163
cn-cy-150c-02-V2-LOCATIONS,11,4,197.91445
cn-cy-150c-02-V2-LOCATIONS,11,5,196.568387
cn-cy-150c-02-V2-LOCATIONS,12,2,206.747759
cn-cy-150c-02-V2-LOCATIONS,14,3,185.157901
cn-cy-150c-02-V2-LOCATIONS,14,4,183.976944
cn-cy-150c-02-V2-LOCATIONS,15,3,185.236373
cn-cy-150c-02-V2-LOCATIONS,15,4,186.22797
cn-cy-150c-02-V2-LOCATIONS,17,3,197.520183
cn-cy-150c-02-V2-LOCATIONS,19,4,185.689028
cn-cy-150c-02-V2-LOCATIONS,20,3,182.49812
cn-cy-150c-02-V2-LOCATIONS,21,2,188.877156
cn-cy-150c-02-V2-LOCATIONS,22,3,187.58223
cn-cy-150c-02-V2-LOCATIONS,22,4,187.610183
cn-cy-150c-02-V2-LOCATIONS,23,2,196.270774
cn-cy-150c-02-V2-LOCATIONS,23,3,195.785914
cn-cy-150c-02-V2-LOCATIONS,25,3,185.52334
cn-cy-150c-03-V2-LOCATIONS,0,2,206.500845
cn-cy-150c-03-V2-LOCATIONS,1,4,187.602603
cn-cy-150c-03-V2-LOCATIONS,1,5,187.982426
cn-cy-150c-03-V2-LOCATIONS,2,4,188.215488
cn-cy-150c-03-V2-LOCATIONS,4,2,179.523947
cn-cy-150c-03-V2-LOCATIONS,4,3,183.338149
cn-cy-150c-03-V2-LOCATIONS,6,3,193.777915
cn-cy-150c-03-V2-LOCATIONS,7,3,184.278682
cn-cy-150c-03-V2-LOCATIONS,7,4,183.847967
cn-cy-150c-03-V2-LOCATIONS,8,3,191.077392
cn-cy-150c-03-V2-LOCATIONS,9,3,153.28322
cn-cy-150c-03-V2-LOCATIONS,10,3,186.09885
cn-cy-150c-03-V2-LOCATIONS,11,3,212.66451
cn-cy-150c-03-V2-LOCATIONS,12,4,205.461478
cn-cy-150c-03-V2-LOCATIONS,14,4,180.842493
cn-cy-150c-03-V2-LOCATIONS,15,3,195.755965
cn-cy-150c-03-V2-LOCATIONS,16,2,180.219856
cn-cy-150c-03-V2-LOCATIONS,18,2,190.247325
cn-cy-150c-03-V2-LOCATIONS,19,3,193.114307
cn-cy-150c-03-V2-LOCATIONS,20,2,199.804861
cn-cy-150c-03-V2-LOCATIONS,21,3,183.243199
cn-cy-150c-03-V2-LOCATIONS,21,4,183.376478
cn-cy-150c-03-V2-LOCATIONS,21,5,181.720043
cn-cy-150c-03-V2-LOCATIONS,22,2,204.539275
cn-cy-150c-03-V2-LOCATIONS,23,4,205.277147
cn-cy-150c-03-V2-LOCATIONS,23,5,196.551236
cn-cy-200c-01-V2-LOCATIONS,0,2,189.958866
cn-cy-200c-01-V2-LOCATIONS,0,3,188.814172
cn-cy-200c-01-V2-LOCATIONS,1,4,185.105723
cn-cy-200c-01-V2-LOCATIONS,2,3,191.642613
cn-cy-200c-01-V2-LOCATIONS,3,4,191.614352
cn-cy-200c-01-V2-LOCATIONS,4,3,185.774346
cn-cy-200c-01-V2-LOCATIONS,5,3,190.079818
cn-cy-200c-01-V2-LOCATIONS,5,4,191.121515
cn-cy-200c-01-V2-LOCATIONS,6,3,187.571297
cn-cy-200c-01-V2-LOCATIONS,6,4,185.192384
cn-cy-200c-01-V2-LOCATIONS,7,3,192.482593
cn-cy-200c-01-V2-LOCATIONS,8,2,173.777428
cn-cy-200c-01-V2-LOCATIONS,9,3,187.773388
cn-cy-200c-01-V2-LOCATIONS,9,4,186.442226
cn-cy-200c-01-V2-LOCATIONS,10,2,188.189613
cn-cy-200c-01-V2-LOCATIONS,10,3,185.825752
cn-cy-200c-01-V2-LOCATIONS,10,4,190.043113
cn-cy-200c-01-V2-LOCATIONS,11,4,190.799085
cn-cy-200c-01-V2-LOCATIONS,12,2,184.130283
cn-cy-200c-01-V2-LOCATIONS,13,3,202.216633
cn-cy-200c-01-V2-LOCATIONS,14,2,205.326031
cn-cy-200c-01-V2-LOCATIONS,15,2,147.240497
cn-cy-200c-01-V2-LOCATIONS,15,3,145.892325
cn-cy-200c-01-V2-LOCATIONS,16,2,188.81189
cn-cy-200c-01-V2-LOCATIONS,16,3,183.397396
cn-cy-200c-01-V2-LOCATIONS,17,3,173.642839
cn-cy-200c-01-V2-LOCATIONS,17,4,179.650743
cn-cy-200c-01-V2-LOCATIONS,18,3,186.68527
cn-cy-200c-01-V2-LOCATIONS,19,2,208.418459
cn-cy-200c-01-V2-LOCATIONS,20,3,186.08549
cn-cy-200c-01-V2-LOCATIONS,21,3,194.583
cn-cy-200c-01-V2-LOCATIONS,22,5,195.584473
cn-cy-200c-01-V2-LOCATIONS,23,2,193.453304
cn-cy-200c-01-V2-LOCATIONS,23,3,193.864904
cn-cy-200c-01-V2-LOCATIONS,24,3,201.242196
cn-cy-200c-01-V2-LOCATIONS,26,4,209.761649
cn-cy-200c-01-V2-LOCATIONS,27,2,189.245628
cn-cy-200c-01-V2-LOCATIONS,28,4,201.561913
cn-cy-200c-01-V2-LOCATIONS,29,3,199.334945
cn-cy-200c-01-V2-LOCATIONS,30,2,199.051538
cn-cy-200c-01-V2-LOCATIONS,31,4,179.848996
cn-cy-200c-02-V2-LOCATIONS,0,4,190.139647
cn-cy-200c-02-V2-LOCATIONS,1,4,188.97531
cn-cy-200c-02-V2-LOCATIONS,2,3,191.539707
cn-cy-200c-02-V2-LOCATIONS,3,3,187.429028
cn-cy-200c-02-V2-LOCATIONS,4,3,184.34237
cn-cy-200c-02-V2-LOCATIONS,4,4,186.62542
cn-cy-200c-02-V2-LOCATIONS,5,4,200.145749
cn-cy-200c-02-V2-LOCATIONS,6,3,186.696373
cn-cy-200c-02-V2-LOCATIONS,7,4,181.351392
cn-cy-200c-02-V2-LOCATIONS,7,5,181.894266
cn-cy-200c-02-V2-LOCATIONS,10,3,176.87997
cn-cy-200c-02-V2-LOCATIONS,10,4,175.451567
cn-cy-200c-02-V2-LOCATIONS,11,3,193.989384
cn-cy-200c-02-V2-LOCATIONS,12,4,191.356191
cn-cy-200c-02-V2-LOCATIONS,12,5,186.126114
cn-cy-200c-02-V2-LOCATIONS,13,4,176.599404
cn-cy-200c-02-V2-LOCATIONS,14,4,186.405781
cn-cy-200c-02-V2-LOCATIONS,15,3,186.356104
cn-cy-200c-02-V2-LOCATIONS,16,3,187.435575
cn-cy-200c-02-V2-LOCATIONS,17,3,198.383902
cn-cy-200c-02-V2-LOCATIONS,18,3,187.454207
cn-cy-200c-02-V2-LOCATIONS,19,2,206.702664
cn-cy-200c-02-V2-LOCATIONS,20,3,199.614813
cn-cy-200c-02-V2-LOCATIONS,20,4,200.270547
cn-cy-200c-02-V2-LOCATIONS,21,4,193.725108
cn-cy-200c-02-V2-LOCATIONS,22,3,213.970061
cn-cy-200c-02-V2-LOCATIONS,23,2,186.427747
cn-cy-200c-02-V2-LOCATIONS,23,3,190.115369
cn-cy-200c-02-V2-LOCATIONS,24,3,196.899574
cn-cy-200c-02-V2-LOCATIONS,25,3,194.874435
cn-cy-200c-02-V2-LOCATIONS,26,3,188.499532
cn-cy-200c-02-V2-LOCATIONS,27,4,210.990381
cn-cy-200c-02-V2-LOCATIONS,28,2,187.554677
cn-cy-200c-02-V2-LOCATIONS,28,3,194.780051
cn-cy-200c-02-V2-LOCATIONS,29,4,196.054575
cn-cy-200c-02-V2-LOCATIONS,30,3,200.11823
cn-cy-200c-02-V2-LOCATIONS,31,3,209.204953
cn-cy-200c-03-V2-LOCATIONS,0,4,189.334188
cn-cy-200c-03-V2-LOCATIONS,1,3,192.786863
cn-cy-200c-03-V2-LOCATIONS,2,3,186.231035
cn-cy-200c-03-V2-LOCATIONS,3,3,188.191613
cn-cy-200c-03-V2-LOCATIONS,4,4,185.352073
cn-cy-200c-03-V2-LOCATIONS,5,3,210.610473
cn-cy-200c-03-V2-LOCATIONS,6,3,215.375108
cn-cy-200c-03-V2-LOCATIONS,8,2,184.2194
cn-cy-200c-03-V2-LOCATIONS,9,2,203.808352
cn-cy-200c-03-V2-LOCATIONS,10,3,192.736367
cn-cy-200c-03-V2-LOCATIONS,11,3,188.183066
cn-cy-200c-03-V2-LOCATIONS,11,4,188.436653
cn-cy-200c-03-V2-LOCATIONS,12,3,193.05297
cn-cy-200c-03-V2-LOCATIONS,13,2,202.945029
cn-cy-200c-03-V2-LOCATIONS,13,3,207.11445
cn-cy-200c-03-V2-LOCATIONS,14,3,184.734547
cn-cy-200c-03-V2-LOCATIONS,15,3,184.035557
cn-cy-200c-03-V2-LOCATIONS,16,3,190.382535
cn-cy-200c-03-V2-LOCATIONS,17,3,186.305979
cn-cy-200c-03-V2-LOCATIONS,19,4,182.579412
cn-cy-200c-03-V2-LOCATIONS,19,5,187.045872
cn-cy-200c-03-V2-LOCATIONS,20,2,189.383155
cn-cy-200c-03-V2-LOCATIONS,22,2,186.491466
cn-cy-200c-03-V2-LOCATIONS,23,4,183.007981
cn-cy-200c-03-V2-LOCATIONS,24,3,194.310245
cn-cy-200c-03-V2-LOCATIONS,25,3,208.092541
cn-cy-200c-03-V2-LOCATIONS,25,4,207.962968
cn-cy-200c-03-V2-LOCATIONS,26,2,181.386845
cn-cy-200c-03-V2-LOCATIONS,26,3,188.765186
cn-cy-200c-03-V2-LOCATIONS,27,4,177.107021
cn-cy-200c-03-V2-LOCATIONS,28,3,191.905468
cn-cy-200c-03-V2-LOCATIONS,29,4,205.206971
cn-cy-200c-03-V2-LOCATIONS,30,3,158.235728
cn-cy-200c-03-V2-LOCATIONS,30,4,189.987236
cn-cy-200c-03-V2-LOCATIONS,31,3,194.819528
cn-cy-200c-03-V2-LOCATIONS,32,2,205.545958
cn-cy-25c-02-V2-LOCATIONS,0,3,186.589605
cn-cy-25c-02-V2-LOCATIONS,1,4,153.008203
cn-cy-25c-02-V2-LOCATIONS,1,5,136.829514
cn-cy-25c-02-V2-LOCATIONS,3,3,181.668605
cn-cy-50c-03-V2-LOCATIONS,4,3,175.789235
cn-cy-50c-03-V2-LOCATIONS,5,3,174.893035
cn-cy-50c-03-V2-LOCATIONS,6,3,191.819439
cn-cy-50c-03-V2-LOCATIONS,7,2,189.283551
cn-cy-50c-03-V2-LOCATIONS,8,3,191.687111
cn-cy-75c-03-V2-LOCATIONS,0,4,186.891606
cn-cy-75c-03-V2-LOCATIONS,1,2,184.627883
cn-cy-75c-03-V2-LOCATIONS,1,3,183.456614
cn-cy-75c-03-V2-LOCATIONS,2,2,186.785695
cn-cy-75c-03-V2-LOCATIONS,2,3,188.866265
cn-cy-75c-03-V2-LOCATIONS,3,4,190.56482
cn-cy-75c-03-V2-LOCATIONS,4,2,184.065376
cn-cy-75c-03-V2-LOCATIONS,4,3,182.640916
cn-jjj-100c-02-V2-LOCATIONS,0,3,185.862355
cn-jjj-100c-02-V2-LOCATIONS,1,2,176.585408
cn-jjj-100c-02-V2-LOCATIONS,1,3,177.474738
cn-jjj-100c-02-V2-LOCATIONS,1,4,177.558234
cn-jjj-100c-02-V2-LOCATIONS,2,3,176.822013
cn-jjj-100c-02-V2-LOCATIONS,3,3,182.721809
cn-jjj-100c-02-V2-LOCATIONS,4,3,172.889625
cn-jjj-100c-02-V2-LOCATIONS,5,2,171.178545
cn-jjj-100c-02-V2-LOCATIONS,5,3,171.426936
cn-jjj-100c-02-V2-LOCATIONS,6,4,205.924255
cn-jjj-100c-02-V2-LOCATIONS,7,3,179.019184
cn-jjj-100c-02-V2-LOCATIONS,8,3,190.891661
cn-jjj-100c-02-V2-LOCATIONS,8,4,177.96858
cn-jjj-100c-02-V2-LOCATIONS,9,3,193.555153
cn-jjj-100c-02-V2-LOCATIONS,11,3,188.722148
cn-jjj-100c-02-V2-LOCATIONS,11,4,191.081795
cn-jjj-100c-02-V2-LOCATIONS,12,3,200.471531
cn-jjj-100c-02-V2-LOCATIONS,13,4,195.927149
cn-jjj-100c-02-V2-LOCATIONS,14,3,193.316327
cn-jjj-100c-03-V2-LOCATIONS,0,3,189.95309
cn-jjj-100c-03-V2-LOCATIONS,0,4,193.229876
cn-jjj-100c-03-V2-LOCATIONS,1,3,198.039102
cn-jjj-100c-03-V2-LOCATIONS,2,4,197.981412
cn-jjj-100c-03-V2-LOCATIONS,3,2,187.170829
cn-jjj-100c-03-V2-LOCATIONS,3,3,185.123204
cn-jjj-100c-03-V2-LOCATIONS,4,3,202.01589
cn-jjj-100c-03-V2-LOCATIONS,4,4,190.814235
cn-jjj-100c-03-V2-LOCATIONS,5,3,190.552214
cn-jjj-100c-03-V2-LOCATIONS,6,4,197.090897
cn-jjj-100c-03-V2-LOCATIONS,7,2,214.46722
cn-jjj-100c-03-V2-LOCATIONS,8,3,201.158004
cn-jjj-100c-03-V2-LOCATIONS,10,3,188.408589
cn-jjj-100c-03-V2-LOCATIONS,10,4,188.94042
cn-jjj-100c-03-V2-LOCATIONS,15,4,192.008059
cn-jjj-100c-03-V2-LOCATIONS,16,2,202.54364
cn-jjj-150c-01-V2-LOCATIONS,1,4,192.450528
cn-jjj-150c-01-V2-LOCATIONS,2,2,185.516721
cn-jjj-150c-01-V2-LOCATIONS,3,2,204.81917
cn-jjj-150c-01-V2-LOCATIONS,4,2,198.223028
cn-jjj-150c-01-V2-LOCATIONS,5,3,175.096346
cn-jjj-150c-01-V2-LOCATIONS,6,2,190.593636
cn-jjj-150c-01-V2-LOCATIONS,7,3,202.397412
cn-jjj-150c-01-V2-LOCATIONS,7,4,199.552665
cn-jjj-150c-01-V2-LOCATIONS,8,3,196.613319
cn-jjj-150c-01-V2-LOCATIONS,9,3,181.791696
cn-jjj-150c-01-V2-LOCATIONS,10,3,200.090568
cn-jjj-150c-01-V2-LOCATIONS,11,4,198.914084
cn-jjj-150c-01-V2-LOCATIONS,12,4,195.838661
cn-jjj-150c-01-V2-LOCATIONS,13,3,194.891021
cn-jjj-150c-01-V2-LOCATIONS,18,3,171.656094
cn-jjj-150c-01-V2-LOCATIONS,19,3,183.508967
cn-jjj-150c-01-V2-LOCATIONS,20,4,185.483377
cn-jjj-150c-01-V2-LOCATIONS,21,3,183.497963
cn-jjj-150c-01-V2-LOCATIONS,22,2,169.030892
cn-jjj-150c-01-V2-LOCATIONS,22,3,169.332654
cn-jjj-150c-01-V2-LOCATIONS,23,1,180.690204
cn-jjj-150c-01-V2-LOCATIONS,23,2,184.045633
cn-jjj-150c-02-V2-LOCATIONS,0,3,189.314686
cn-jjj-150c-02-V2-LOCATIONS,1,4,193.060111
cn-jjj-150c-02-V2-LOCATIONS,2,4,192.755525
cn-jjj-150c-02-V2-LOCATIONS,3,2,191.54241
cn-jjj-150c-02-V2-LOCATIONS,3,3,189.243767
cn-jjj-150c-02-V2-LOCATIONS,5,2,184.602073
cn-jjj-150c-02-V2-LOCATIONS,5,3,185.260143
cn-jjj-150c-02-V2-LOCATIONS,6,2,184.888201
cn-jjj-150c-02-V2-LOCATIONS,7,2,178.726512
cn-jjj-150c-02-V2-LOCATIONS,7,3,176.793741
cn-jjj-150c-02-V2-LOCATIONS,8,3,177.600331
cn-jjj-150c-02-V2-LOCATIONS,9,4,168.573852
cn-jjj-150c-02-V2-LOCATIONS,9,5,173.650743
cn-jjj-150c-02-V2-LOCATIONS,10,3,175.433618
cn-jjj-150c-02-V2-LOCATIONS,10,4,178.309818
cn-jjj-150c-02-V2-LOCATIONS,11,5,206.230945
cn-jjj-150c-02-V2-LOCATIONS,12,3,195.922116
cn-jjj-150c-02-V2-LOCATIONS,13,3,189.613799
cn-jjj-150c-02-V2-LOCATIONS,14,3,196.90005
cn-jjj-150c-02-V2-LOCATIONS,15,2,199.537359
cn-jjj-150c-02-V2-LOCATIONS,16,2,202.272878
cn-jjj-150c-02-V2-LOCATIONS,17,3,197.784714
cn-jjj-150c-02-V2-LOCATIONS,18,2,188.761825
cn-jjj-150c-02-V2-LOCATIONS,18,3,185.507161
cn-jjj-150c-02-V2-LOCATIONS,20,2,190.966951
cn-jjj-150c-02-V2-LOCATIONS,23,3,191.284342
cn-jjj-150c-02-V2-LOCATIONS,23,4,189.261328
cn-jjj-150c-02-V2-LOCATIONS,24,3,189.228065
cn-jjj-150c-03-V2-LOCATIONS,0,3,192.901463
cn-jjj-150c-03-V2-LOCATIONS,0,4,192.147741
cn-jjj-150c-03-V2-LOCATIONS,1,3,205.449227
cn-jjj-150c-03-V2-LOCATIONS,3,3,186.353096
cn-jjj-150c-03-V2-LOCATIONS,3,4,185.810374
cn-jjj-150c-03-V2-LOCATIONS,4,3,202.144767
cn-jjj-150c-03-V2-LOCATIONS,9,3,197.210413
cn-jjj-150c-03-V2-LOCATIONS,10,3,194.221915
cn-jjj-150c-03-V2-LOCATIONS,11,2,196.366171
cn-jjj-150c-03-V2-LOCATIONS,11,3,193.266261
cn-jjj-150c-03-V2-LOCATIONS,12,2,191.799858
cn-jjj-150c-03-V2-LOCATIONS,14,4,207.007698
cn-jjj-150c-03-V2-LOCATIONS,16,4,184.338956
cn-jjj-150c-03-V2-LOCATIONS,18,3,192.22378
cn-jjj-150c-03-V2-LOCATIONS,18,4,190.027773
cn-jjj-150c-03-V2-LOCATIONS,19,3,194.774779
cn-jjj-150c-03-V2-LOCATIONS,20,2,210.107909
cn-jjj-150c-03-V2-LOCATIONS,20,3,204.507045
cn-jjj-200c-01-V2-LOCATIONS,0,2,197.011089
cn-jjj-200c-01-V2-LOCATIONS,1,4,196.338571
cn-jjj-200c-01-V2-LOCATIONS,2,4,194.332826
cn-jjj-200c-01-V2-LOCATIONS,3,3,200.448737
cn-jjj-200c-01-V2-LOCATIONS,5,3,195.290742
cn-jjj-200c-01-V2-LOCATIONS,6,3,189.818891
cn-jjj-200c-01-V2-LOCATIONS,7,4,194.75087
cn-jjj-200c-01-V2-LOCATIONS,8,3,198.104749
cn-jjj-200c-01-V2-LOCATIONS,9,3,175.827496
cn-jjj-200c-01-V2-LOCATIONS,10,4,180.86003
cn-jjj-200c-01-V2-LOCATIONS,11,2,194.830293
cn-jjj-200c-01-V2-LOCATIONS,12,2,181.924461
cn-jjj-200c-01-V2-LOCATIONS,13,3,186.594076
cn-jjj-200c-01-V2-LOCATIONS,15,3,203.238105
cn-jjj-200c-01-V2-LOCATIONS,16,3,183.567161
cn-jjj-200c-01-V2-LOCATIONS,17,2,175.759634
cn-jjj-200c-01-V2-LOCATIONS,18,3,204.195255
cn-jjj-200c-01-V2-LOCATIONS,19,3,196.560524
cn-jjj-200c-01-V2-LOCATIONS,20,3,186.379612
cn-jjj-200c-01-V2-LOCATIONS,20,4,182.382633
cn-jjj-200c-01-V2-LOCATIONS,21,4,188.867003
cn-jjj-200c-01-V2-LOCATIONS,22,3,205.495731
cn-jjj-200c-01-V2-LOCATIONS,23,3,167.761635
cn-jjj-200c-01-V2-LOCATIONS,24,4,174.928448
cn-jjj-200c-01-V2-LOCATIONS,24,5,174.985786
cn-jjj-200c-01-V2-LOCATIONS,25,2,193.741784
cn-jjj-200c-01-V2-LOCATIONS,26,3,193.466512
cn-jjj-200c-01-V2-LOCATIONS,26,4,189.070505
cn-jjj-200c-01-V2-LOCATIONS,27,3,203.232675
cn-jjj-200c-01-V2-LOCATIONS,28,3,199.989279
cn-jjj-200c-02-V2-LOCATIONS,0,2,195.899807
cn-jjj-200c-02-V2-LOCATIONS,0,3,187.681585
cn-jjj-200c-02-V2-LOCATIONS,1,2,185.082402
cn-jjj-200c-02-V2-LOCATIONS,2,3,197.561777
cn-jjj-200c-02-V2-LOCATIONS,3,4,186.749077
cn-jjj-200c-02-V2-LOCATIONS,4,3,195.902557
cn-jjj-200c-02-V2-LOCATIONS,4,4,190.512209
cn-jjj-200c-02-V2-LOCATIONS,5,3,196.59492
cn-jjj-200c-02-V2-LOCATIONS,6,3,197.33008
cn-jjj-200c-02-V2-LOCATIONS,7,3,209.820545
cn-jjj-200c-02-V2-LOCATIONS,8,2,200.26148
cn-jjj-200c-02-V2-LOCATIONS,9,4,208.11201
cn-jjj-200c-02-V2-LOCATIONS,10,3,204.465057
cn-jjj-200c-02-V2-LOCATIONS,11,4,206.255794
cn-jjj-200c-02-V2-LOCATIONS,12,2,202.027943
cn-jjj-200c-02-V2-LOCATIONS,13,3,200.095348
cn-jjj-200c-02-V2-LOCATIONS,13,4,202.806541
cn-jjj-200c-02-V2-LOCATIONS,14,2,195.359879
cn-jjj-200c-02-V2-LOCATIONS,15,2,188.13838
cn-jjj-200c-02-V2-LOCATIONS,16,3,198.045323
cn-jjj-200c-02-V2-LOCATIONS,17,4,213.789928
cn-jjj-200c-02-V2-LOCATIONS,18,3,204.765913
cn-jjj-200c-02-V2-LOCATIONS,19,3,197.524399
cn-jjj-200c-02-V2-LOCATIONS,20,3,194.169581
cn-jjj-200c-02-V2-LOCATIONS,22,3,142.122258
cn-jjj-200c-02-V2-LOCATIONS,23,2,168.572152
cn-jjj-200c-02-V2-LOCATIONS,24,4,147.591277
cn-jjj-200c-02-V2-LOCATIONS,25,2,154.260845
cn-jjj-200c-03-V2-LOCATIONS,0,3,203.632751
cn-jjj-200c-03-V2-LOCATIONS,1,3,191.023158
cn-jjj-200c-03-V2-LOCATIONS,4,4,203.140042
cn-jjj-200c-03-V2-LOCATIONS,5,3,191.648867
cn-jjj-200c-03-V2-LOCATIONS,6,3,199.857994
cn-jjj-200c-03-V2-LOCATIONS,10,3,189.867427
cn-jjj-200c-03-V2-LOCATIONS,11,3,208.323008
cn-jjj-200c-03-V2-LOCATIONS,11,4,206.572648
cn-jjj-200c-03-V2-LOCATIONS,12,4,192.416758
cn-jjj-200c-03-V2-LOCATIONS,13,3,195.079715
cn-jjj-200c-03-V2-LOCATIONS,14,4,191.385695
cn-jjj-200c-03-V2-LOCATIONS,15,3,199.216364
cn-jjj-200c-03-V2-LOCATIONS,16,2,187.709123
cn-jjj-200c-03-V2-LOCATIONS,18,3,187.124606
cn-jjj-200c-03-V2-LOCATIONS,19,3,186.541588
cn-jjj-200c-03-V2-LOCATIONS,19,4,191.715067
cn-jjj-200c-03-V2-LOCATIONS,20,4,191.610049
cn-jjj-200c-03-V2-LOCATIONS,20,5,188.522913
cn-jjj-200c-03-V2-LOCATIONS,21,3,199.693631
cn-jjj-200c-03-V2-LOCATIONS,22,3,202.730907
cn-jjj-200c-03-V2-LOCATIONS,22,4,199.513355
cn-jjj-200c-03-V2-LOCATIONS,23,3,195.766716
cn-jjj-200c-03-V2-LOCATIONS,23,4,195.429315
cn-jjj-200c-03-V2-LOCATIONS,30,3,195.906421
cn-jjj-50c-01-V2-LOCATIONS,0,3,190.127717
cn-jjj-50c-01-V2-LOCATIONS,1,3,190.321933
cn-jjj-50c-01-V2-LOCATIONS,1,4,188.293664
cn-jjj-50c-01-V2-LOCATIONS,2,3,187.448467
cn-jjj-50c-01-V2-LOCATIONS,3,4,184.257492
cn-jjj-50c-01-V2-LOCATIONS,5,3,187.92727
cn-jjj-50c-02-V2-LOCATIONS,0,3,188.672018
cn-jjj-50c-02-V2-LOCATIONS,1,4,190.392971
cn-jjj-50c-02-V2-LOCATIONS,2,4,180.052199
cn-jjj-50c-02-V2-LOCATIONS,3,3,187.34856
cn-jjj-50c-02-V2-LOCATIONS,4,2,199.853313
cn-jjj-50c-02-V2-LOCATIONS,5,4,201.998539
cn-jjj-75c-01-V2-LOCATIONS,0,2,187.368144
cn-jjj-75c-01-V2-LOCATIONS,1,4,176.455586
cn-jjj-75c-01-V2-LOCATIONS,2,4,191.836629
cn-jjj-75c-01-V2-LOCATIONS,3,2,192.998394
cn-jjj-75c-01-V2-LOCATIONS,3,3,195.102595
cn-jjj-75c-01-V2-LOCATIONS,4,3,188.789096
cn-jjj-75c-01-V2-LOCATIONS,5,3,194.497179
cn-jjj-75c-01-V2-LOCATIONS,6,3,201.397598
cn-jjj-75c-01-V2-LOCATIONS,7,3,189.604348
cn-jjj-75c-01-V2-LOCATIONS,8,3,186.37069
cn-jjj-75c-01-V2-LOCATIONS,8,4,192.963399
cn-jjj-75c-02-V2-LOCATIONS,0,3,182.504733
cn-jjj-75c-02-V2-LOCATIONS,1,3,191.312168
cn-jjj-75c-02-V2-LOCATIONS,2,3,205.917023
