instance_id,depot_id,routes,total_load_kg,mean_route_load_kg,capacity_utilisation_vs_cv,routes_already_under_ev_payload,ev_routes_in_sealed_solution,num_ev_slots,k_bound_by_capacity_slack,k_bound_final,additional_ev_routes_available
cn-cy-75c-01-V2-LOCATIONS,D_chengdu,5,7777.0,1555.4,0.896484,1,1,2,1,1,0
cn-cy-75c-01-V2-LOCATIONS,D_chongqing,7,11112.0,1587.429,0.914944,1,1,2,1,1,0
cn-cy-75c-02-V2-LOCATIONS,D_chengdu,6,9168.0,1528.0,0.880692,1,1,2,1,1,0
cn-cy-75c-02-V2-LOCATIONS,D_chongqing,7,10555.0,1507.857,0.869082,1,1,2,2,2,1
cn-cy-75c-03-V2-LOCATIONS,D_chengdu,5,8125.0,1625.0,0.936599,0,0,2,0,0,0
cn-cy-75c-03-V2-LOCATIONS,D_chongqing,7,11110.0,1587.143,0.91478,1,1,2,1,1,0
cn-jjj-100c-01-V2-LOCATIONS,D_beijing,12,18958.0,1579.833,0.910567,2,2,3,2,2,0
cn-jjj-100c-01-V2-LOCATIONS,D_tianjin,5,7014.0,1402.8,0.80853,2,2,2,2,2,0
cn-jjj-100c-02-V2-LOCATIONS,D_beijing,12,19652.0,1637.667,0.9439,1,1,4,1,1,0
cn-jjj-100c-02-V2-LOCATIONS,D_tianjin,5,7780.0,1556.0,0.89683,0,0,2,1,1,1
cn-jjj-100c-03-V2-LOCATIONS,D_beijing,12,19860.0,1655.0,0.95389,0,0,4,1,1,1
cn-jjj-100c-03-V2-LOCATIONS,D_tianjin,5,7221.0,1444.2,0.832392,1,1,2,1,1,0
cn-jjj-10c-01-V2-LOCATIONS,D_beijing,2,3196.0,1598.0,0.921037,0,0,1,0,0,0
cn-jjj-10c-02-V2-LOCATIONS,D_beijing,2,2431.0,1215.5,0.700576,1,1,1,1,1,0
cn-jjj-10c-03-V2-LOCATIONS,D_beijing,2,2570.0,1285.0,0.740634,1,1,1,1,1,0
cn-jjj-150c-01-V2-LOCATIONS,D_beijing,15,24515.0,1634.333,0.941979,1,1,4,2,2,1
cn-jjj-150c-01-V2-LOCATIONS,D_shijiazhuang,3,4166.0,1388.667,0.800384,1,1,1,1,1,0
cn-jjj-150c-01-V2-LOCATIONS,D_tianjin,6,9515.0,1585.833,0.914025,0,0,2,1,1,1
cn-jjj-150c-02-V2-LOCATIONS,D_beijing,16,26532.0,1658.25,0.955764,0,0,5,1,1,1
cn-jjj-150c-02-V2-LOCATIONS,D_shijiazhuang,3,3543.0,1181.0,0.680692,1,1,1,2,1,0
cn-jjj-150c-02-V2-LOCATIONS,D_tianjin,6,9652.0,1608.667,0.927185,0,0,2,1,1,1
cn-jjj-150c-03-V2-LOCATIONS,D_beijing,16,26042.0,1627.625,0.938112,1,1,4,2,2,1
cn-jjj-150c-03-V2-LOCATIONS,D_shijiazhuang,3,4444.0,1481.333,0.853794,0,0,1,1,1,1
cn-jjj-150c-03-V2-LOCATIONS,D_tianjin,6,9512.0,1585.333,0.913737,1,1,2,1,1,0
cn-jjj-15c-01-V2-LOCATIONS,D_beijing,3,4305.0,1435.0,0.827089,1,1,1,1,1,0
cn-jjj-15c-02-V2-LOCATIONS,D_beijing,3,4444.0,1481.333,0.853794,0,0,1,1,1,1
cn-jjj-15c-03-V2-LOCATIONS,D_beijing,3,4653.0,1551.0,0.893948,0,0,1,0,0,0
cn-jjj-200c-01-V2-LOCATIONS,D_beijing,21,35277.0,1679.857,0.968217,0,0,6,1,1,1
cn-jjj-200c-01-V2-LOCATIONS,D_shijiazhuang,4,5626.0,1406.5,0.810663,1,1,1,1,1,0
cn-jjj-200c-01-V2-LOCATIONS,D_tianjin,8,13476.0,1684.5,0.970893,0,0,3,0,0,0
cn-jjj-200c-02-V2-LOCATIONS,D_beijing,22,36181.0,1644.591,0.947891,1,1,6,2,2,1
cn-jjj-200c-02-V2-LOCATIONS,D_shijiazhuang,4,6736.0,1684.0,0.970605,0,0,2,0,0,0
cn-jjj-200c-02-V2-LOCATIONS,D_tianjin,8,12015.0,1501.875,0.865634,2,2,2,2,2,0
cn-jjj-200c-03-V2-LOCATIONS,D_beijing,21,35210.0,1676.667,0.966378,0,0,6,1,1,1
cn-jjj-200c-03-V2-LOCATIONS,D_shijiazhuang,4,6042.0,1510.5,0.870605,1,1,1,1,1,0
cn-jjj-200c-03-V2-LOCATIONS,D_tianjin,8,12153.0,1519.125,0.875576,1,1,2,2,2,1
cn-jjj-20c-01-V2-LOCATIONS,D_beijing,3,4791.0,1597.0,0.920461,0,0,1,0,0,0
cn-jjj-20c-02-V2-LOCATIONS,D_beijing,4,5348.0,1337.0,0.770605,1,1,1,2,1,0
cn-jjj-20c-03-V2-LOCATIONS,D_beijing,4,5280.0,1320.0,0.760807,1,1,1,2,1,0
cn-jjj-25c-01-V2-LOCATIONS,D_beijing,4,6042.0,1510.5,0.870605,1,1,1,1,1,0
cn-jjj-25c-02-V2-LOCATIONS,D_beijing,5,7015.0,1403.0,0.808646,2,2,2,2,2,0
cn-jjj-25c-03-V2-LOCATIONS,D_beijing,5,6878.0,1375.6,0.792853,2,2,2,2,2,0
cn-jjj-50c-01-V2-LOCATIONS,D_beijing,6,9931.0,1655.167,0.953987,0,0,2,0,0,0
cn-jjj-50c-01-V2-LOCATIONS,D_tianjin,2,3333.0,1666.5,0.960519,0,0,1,0,0,0
cn-jjj-50c-02-V2-LOCATIONS,D_beijing,6,9932.0,1655.333,0.954083,0,0,2,0,0,0
cn-jjj-50c-02-V2-LOCATIONS,D_tianjin,3,3611.0,1203.667,0.693756,1,1,1,2,1,0
cn-jjj-50c-03-V2-LOCATIONS,D_beijing,7,11114.0,1587.714,0.915109,1,1,2,1,1,0
cn-jjj-50c-03-V2-LOCATIONS,D_tianjin,3,3611.0,1203.667,0.693756,2,1,1,2,1,0
cn-jjj-75c-01-V2-LOCATIONS,D_beijing,9,15070.0,1674.444,0.965098,0,0,3,0,0,0
cn-jjj-75c-01-V2-LOCATIONS,D_tianjin,4,5277.0,1319.25,0.760375,2,1,1,2,1,0
cn-jjj-75c-02-V2-LOCATIONS,D_beijing,9,15279.0,1697.667,0.978482,0,0,3,0,0,0
cn-jjj-75c-02-V2-LOCATIONS,D_tianjin,3,5002.0,1667.333,0.960999,0,0,1,0,0,0
cn-jjj-75c-03-V2-LOCATIONS,D_beijing,10,15417.0,1541.7,0.888588,2,2,3,2,2,0
cn-jjj-75c-03-V2-LOCATIONS,D_tianjin,3,4790.0,1596.667,0.920269,0,0,1,0,0,0
cn-prd-100c-01-V2-LOCATIONS,D_guangzhou,7,10834.0,1547.714,0.892054,1,1,2,1,1,0
cn-prd-100c-01-V2-LOCATIONS,D_shenzhen,8,13609.0,1701.125,0.980476,0,0,3,0,0,0
cn-prd-100c-02-V2-LOCATIONS,D_guangzhou,8,12292.0,1536.5,0.885591,1,1,2,2,2,1
cn-prd-100c-02-V2-LOCATIONS,D_shenzhen,10,15699.0,1569.9,0.904841,1,1,3,2,2,1
cn-prd-100c-03-V2-LOCATIONS,D_guangzhou,7,11318.0,1616.857,0.931906,0,0,2,1,1,1
cn-prd-100c-03-V2-LOCATIONS,D_shenzhen,9,15002.0,1666.889,0.960743,0,0,3,0,0,0
cn-prd-10c-01-V2-LOCATIONS,D_shenzhen,2,3403.0,1701.5,0.980692,0,0,1,0,0,0
cn-prd-10c-02-V2-LOCATIONS,D_shenzhen,2,2292.0,1146.0,0.660519,1,1,1,1,1,0
cn-prd-10c-03-V2-LOCATIONS,D_shenzhen,2,2224.0,1112.0,0.640922,1,1,1,1,1,0
cn-prd-150c-01-V2-LOCATIONS,D_dongguan,4,5695.0,1423.75,0.820605,1,1,1,1,1,0
cn-prd-150c-01-V2-LOCATIONS,D_foshan,3,5069.0,1689.667,0.973871,0,0,1,0,0,0
cn-prd-150c-01-V2-LOCATIONS,D_guangzhou,8,13544.0,1693.0,0.975793,0,0,3,0,0,0
cn-prd-150c-01-V2-LOCATIONS,D_shenzhen,10,15903.0,1590.3,0.916599,1,1,3,1,1,0
cn-prd-150c-02-V2-LOCATIONS,D_dongguan,3,4862.0,1620.667,0.934102,0,0,1,0,0,0
cn-prd-150c-02-V2-LOCATIONS,D_foshan,4,6805.0,1701.25,0.980548,0,0,1,0,0,0
cn-prd-150c-02-V2-LOCATIONS,D_guangzhou,8,13473.0,1684.125,0.970677,0,0,3,0,0,0
cn-prd-150c-02-V2-LOCATIONS,D_shenzhen,9,15347.0,1705.222,0.982837,0,0,3,0,0,0
cn-prd-150c-03-V2-LOCATIONS,D_dongguan,3,4931.0,1643.667,0.947358,0,0,1,0,0,0
cn-prd-150c-03-V2-LOCATIONS,D_foshan,4,6669.0,1667.25,0.960951,0,0,1,0,0,0
cn-prd-150c-03-V2-LOCATIONS,D_guangzhou,7,11180.0,1597.143,0.920543,1,1,2,1,1,0
cn-prd-150c-03-V2-LOCATIONS,D_shenzhen,9,15346.0,1705.111,0.982773,0,0,3,0,0,0
cn-prd-15c-01-V2-LOCATIONS,D_shenzhen,3,4234.0,1411.333,0.813449,1,1,1,1,1,0
cn-prd-15c-02-V2-LOCATIONS,D_shenzhen,3,3820.0,1273.333,0.73391,1,1,1,1,1,0
cn-prd-15c-03-V2-LOCATIONS,D_shenzhen,3,4096.0,1365.333,0.786936,1,1,1,1,1,0
cn-prd-200c-01-V2-LOCATIONS,D_dongguan,5,7361.0,1472.2,0.84853,1,1,2,1,1,0
cn-prd-200c-01-V2-LOCATIONS,D_foshan,5,8471.0,1694.2,0.976484,0,0,2,0,0,0
cn-prd-200c-01-V2-LOCATIONS,D_guangzhou,10,16877.0,1687.7,0.972738,0,0,3,0,0,0
cn-prd-200c-01-V2-LOCATIONS,D_shenzhen,13,22014.0,1693.385,0.976014,0,0,4,0,0,0
cn-prd-200c-02-V2-LOCATIONS,D_dongguan,5,8127.0,1625.4,0.93683,0,0,2,0,0,0
cn-prd-200c-02-V2-LOCATIONS,D_foshan,5,8264.0,1652.8,0.952622,0,0,2,0,0,0
cn-prd-200c-02-V2-LOCATIONS,D_guangzhou,11,18678.0,1698.0,0.978674,0,0,3,0,0,0
cn-prd-200c-02-V2-LOCATIONS,D_shenzhen,13,20902.0,1607.846,0.926712,1,1,4,2,2,1
cn-prd-200c-03-V2-LOCATIONS,D_dongguan,5,7013.0,1402.6,0.808415,2,2,2,2,2,0
cn-prd-200c-03-V2-LOCATIONS,D_foshan,5,8474.0,1694.8,0.97683,0,0,2,0,0,0
cn-prd-200c-03-V2-LOCATIONS,D_guangzhou,12,19241.0,1603.417,0.924159,1,1,3,2,2,1
cn-prd-200c-03-V2-LOCATIONS,D_shenzhen,13,21389.0,1645.308,0.948304,0,0,4,1,1,1
cn-prd-20c-01-V2-LOCATIONS,D_shenzhen,4,5140.0,1285.0,0.740634,2,1,1,2,1,0
cn-prd-20c-02-V2-LOCATIONS,D_shenzhen,4,5416.0,1354.0,0.780403,1,1,1,2,1,0
cn-prd-20c-03-V2-LOCATIONS,D_shenzhen,4,5695.0,1423.75,0.820605,1,1,1,1,1,0
cn-prd-25c-01-V2-LOCATIONS,D_shenzhen,4,6459.0,1614.75,0.930692,0,0,2,0,0,0
cn-prd-25c-02-V2-LOCATIONS,D_shenzhen,5,7013.0,1402.6,0.808415,2,2,2,2,2,0
cn-prd-25c-03-V2-LOCATIONS,D_shenzhen,4,6668.0,1667.0,0.960807,0,0,2,0,0,0
cn-prd-50c-01-V2-LOCATIONS,D_guangzhou,4,5347.0,1336.75,0.770461,2,1,1,2,1,0
cn-prd-50c-01-V2-LOCATIONS,D_shenzhen,5,6876.0,1375.2,0.792622,2,2,2,2,2,0
cn-prd-50c-02-V2-LOCATIONS,D_guangzhou,4,5626.0,1406.5,0.810663,1,1,1,1,1,0
cn-prd-50c-02-V2-LOCATIONS,D_shenzhen,5,7221.0,1444.2,0.832392,1,1,2,1,1,0
cn-prd-50c-03-V2-LOCATIONS,D_guangzhou,4,6251.0,1562.75,0.90072,0,0,1,0,0,0
cn-prd-50c-03-V2-LOCATIONS,D_shenzhen,5,7362.0,1472.4,0.848646,1,1,2,1,1,0
cn-prd-75c-01-V2-LOCATIONS,D_guangzhou,5,8126.0,1625.2,0.936715,0,0,2,0,0,0
cn-prd-75c-01-V2-LOCATIONS,D_shenzhen,8,12223.0,1527.875,0.88062,1,1,2,2,2,1
cn-prd-75c-02-V2-LOCATIONS,D_guangzhou,6,8889.0,1481.5,0.85389,1,1,2,2,2,1
cn-prd-75c-02-V2-LOCATIONS,D_shenzhen,7,11391.0,1627.286,0.937917,0,0,2,1,1,1
cn-prd-75c-03-V2-LOCATIONS,D_guangzhou,6,9583.0,1597.167,0.920557,0,0,2,1,1,1
cn-prd-75c-03-V2-LOCATIONS,D_shenzhen,8,12294.0,1536.75,0.885735,1,1,2,2,2,1
