instance_id,seed,depot_id,base_all_cv_routes_Rd,num_cv,num_ev,total_fleet_cap,routes_used,cv_used,ev_used,cv_idle,ev_idle,total_idle,required_ev_by_completer
cn-cy-150c-03-V2-LOCATIONS,2,D_chongqing,15,15,4,19,14,14,0,1,4,5,0
cn-cy-150c-03-V2-LOCATIONS,3,D_chengdu,11,11,3,14,10,10,0,1,3,4,0
cn-cy-150c-03-V2-LOCATIONS,3,D_chongqing,15,15,4,19,14,14,0,1,4,5,0
cn-cy-150c-03-V2-LOCATIONS,4,D_chengdu,11,11,3,14,11,9,2,2,1,3,0
cn-cy-150c-03-V2-LOCATIONS,4,D_chongqing,15,15,4,19,14,14,0,1,4,5,0
cn-cy-150c-03-V2-LOCATIONS,5,D_chengdu,11,11,3,14,11,9,2,2,1,3,0
cn-cy-150c-03-V2-LOCATIONS,5,D_chongqing,15,15,4,19,14,14,0,1,4,5,0
cn-cy-15c-01-V2-LOCATIONS,1,D_chongqing,3,3,1,4,3,2,1,1,0,1,0
cn-cy-15c-01-V2-LOCATIONS,2,D_chongqing,3,3,1,4,3,2,1,1,0,1,0
cn-cy-15c-01-V2-LOCATIONS,3,D_chongqing,3,3,1,4,3,2,1,1,0,1,0
cn-cy-15c-01-V2-LOCATIONS,4,D_chongqing,3,3,1,4,3,2,1,1,0,1,0
cn-cy-15c-01-V2-LOCATIONS,5,D_chongqing,3,3,1,4,3,2,1,1,0,1,0
cn-cy-15c-02-V2-LOCATIONS,1,D_chongqing,3,3,1,4,3,2,1,1,0,1,0
cn-cy-15c-02-V2-LOCATIONS,2,D_chongqing,3,3,1,4,3,2,1,1,0,1,0
cn-cy-15c-02-V2-LOCATIONS,3,D_chongqing,3,3,1,4,3,2,1,1,0,1,0
cn-cy-15c-02-V2-LOCATIONS,4,D_chongqing,3,3,1,4,3,2,1,1,0,1,0
cn-cy-15c-02-V2-LOCATIONS,5,D_chongqing,3,3,1,4,3,2,1,1,0,1,0
cn-cy-15c-03-V2-LOCATIONS,1,D_chongqing,3,3,1,4,3,2,1,1,0,1,0
cn-cy-15c-03-V2-LOCATIONS,2,D_chongqing,3,3,1,4,3,2,1,1,0,1,0
cn-cy-15c-03-V2-LOCATIONS,3,D_chongqing,3,3,1,4,3,2,1,1,0,1,0
cn-cy-15c-03-V2-LOCATIONS,4,D_chongqing,3,3,1,4,3,2,1,1,0,1,0
cn-cy-15c-03-V2-LOCATIONS,5,D_chongqing,3,3,1,4,3,2,1,1,0,1,0
cn-cy-200c-01-V2-LOCATIONS,1,D_chengdu,14,14,4,18,13,13,0,1,4,5,0
cn-cy-200c-01-V2-LOCATIONS,1,D_chongqing,20,20,5,25,19,19,0,1,5,6,0
cn-cy-200c-01-V2-LOCATIONS,2,D_chengdu,14,14,4,18,13,13,0,1,4,5,0
cn-cy-200c-01-V2-LOCATIONS,2,D_chongqing,20,20,5,25,19,19,0,1,5,6,0
cn-cy-200c-01-V2-LOCATIONS,3,D_chengdu,14,14,4,18,13,13,0,1,4,5,0
cn-cy-200c-01-V2-LOCATIONS,3,D_chongqing,20,20,5,25,19,19,0,1,5,6,0
cn-cy-200c-01-V2-LOCATIONS,4,D_chengdu,14,14,4,18,13,13,0,1,4,5,0
cn-cy-200c-01-V2-LOCATIONS,4,D_chongqing,20,20,5,25,19,19,0,1,5,6,0
cn-cy-200c-01-V2-LOCATIONS,5,D_chengdu,14,14,4,18,13,13,0,1,4,5,0
cn-cy-200c-01-V2-LOCATIONS,5,D_chongqing,20,20,5,25,19,19,0,1,5,6,0
cn-cy-200c-02-V2-LOCATIONS,1,D_chengdu,14,14,4,18,13,13,0,1,4,5,0
cn-cy-200c-02-V2-LOCATIONS,1,D_chongqing,20,20,5,25,19,19,0,1,5,6,0
cn-cy-200c-02-V2-LOCATIONS,2,D_chengdu,14,14,4,18,13,13,0,1,4,5,0
cn-cy-200c-02-V2-LOCATIONS,2,D_chongqing,20,20,5,25,19,19,0,1,5,6,0
cn-cy-200c-02-V2-LOCATIONS,3,D_chengdu,14,14,4,18,13,13,0,1,4,5,0
cn-cy-200c-02-V2-LOCATIONS,3,D_chongqing,20,20,5,25,19,19,0,1,5,6,0
cn-cy-200c-02-V2-LOCATIONS,4,D_chengdu,14,14,4,18,13,13,0,1,4,5,0
cn-cy-200c-02-V2-LOCATIONS,4,D_chongqing,20,20,5,25,19,19,0,1,5,6,0
cn-cy-200c-02-V2-LOCATIONS,5,D_chengdu,14,14,4,18,13,13,0,1,4,5,0
cn-cy-200c-02-V2-LOCATIONS,5,D_chongqing,20,20,5,25,19,19,0,1,5,6,0
cn-cy-200c-03-V2-LOCATIONS,1,D_chengdu,14,14,4,18,13,13,0,1,4,5,0
cn-cy-200c-03-V2-LOCATIONS,1,D_chongqing,21,21,6,27,20,20,0,1,6,7,0
cn-cy-200c-03-V2-LOCATIONS,2,D_chengdu,14,14,4,18,13,13,0,1,4,5,0
cn-cy-200c-03-V2-LOCATIONS,2,D_chongqing,21,21,6,27,20,20,0,1,6,7,0
cn-cy-200c-03-V2-LOCATIONS,3,D_chengdu,14,14,4,18,13,13,0,1,4,5,0
cn-cy-200c-03-V2-LOCATIONS,3,D_chongqing,21,21,6,27,20,20,0,1,6,7,0
cn-cy-200c-03-V2-LOCATIONS,4,D_chengdu,14,14,4,18,13,13,0,1,4,5,0
cn-cy-200c-03-V2-LOCATIONS,4,D_chongqing,21,21,6,27,20,20,0,1,6,7,0
cn-cy-200c-03-V2-LOCATIONS,5,D_chengdu,14,14,4,18,13,13,0,1,4,5,0
cn-cy-200c-03-V2-LOCATIONS,5,D_chongqing,21,21,6,27,20,20,0,1,6,7,0
cn-cy-20c-01-V2-LOCATIONS,1,D_chongqing,4,4,1,5,4,3,1,1,0,1,0
cn-cy-20c-01-V2-LOCATIONS,2,D_chongqing,4,4,1,5,4,3,1,1,0,1,0
cn-cy-20c-01-V2-LOCATIONS,3,D_chongqing,4,4,1,5,4,3,1,1,0,1,0
cn-cy-20c-01-V2-LOCATIONS,4,D_chongqing,4,4,1,5,4,3,1,1,0,1,0
cn-cy-20c-01-V2-LOCATIONS,5,D_chongqing,4,4,1,5,4,3,1,1,0,1,0
cn-cy-20c-02-V2-LOCATIONS,1,D_chongqing,4,4,1,5,4,3,1,1,0,1,0
cn-cy-20c-02-V2-LOCATIONS,2,D_chongqing,4,4,1,5,4,3,1,1,0,1,0
cn-cy-20c-02-V2-LOCATIONS,3,D_chongqing,4,4,1,5,4,3,1,1,0,1,0
cn-cy-20c-02-V2-LOCATIONS,4,D_chongqing,4,4,1,5,4,3,1,1,0,1,0
cn-cy-20c-02-V2-LOCATIONS,5,D_chongqing,4,4,1,5,4,3,1,1,0,1,0
cn-cy-20c-03-V2-LOCATIONS,1,D_chongqing,4,4,1,5,4,3,1,1,0,1,0
cn-cy-20c-03-V2-LOCATIONS,2,D_chongqing,4,4,1,5,4,3,1,1,0,1,0
cn-cy-20c-03-V2-LOCATIONS,3,D_chongqing,4,4,1,5,4,3,1,1,0,1,0
cn-cy-20c-03-V2-LOCATIONS,4,D_chongqing,4,4,1,5,4,3,1,1,0,1,0
cn-cy-20c-03-V2-LOCATIONS,5,D_chongqing,4,4,1,5,4,3,1,1,0,1,0
cn-cy-25c-01-V2-LOCATIONS,1,D_chongqing,4,4,1,5,4,3,1,1,0,1,0
cn-cy-25c-01-V2-LOCATIONS,2,D_chongqing,4,4,1,5,4,3,1,1,0,1,0
cn-cy-25c-01-V2-LOCATIONS,3,D_chongqing,4,4,1,5,4,3,1,1,0,1,0
cn-cy-25c-01-V2-LOCATIONS,4,D_chongqing,4,4,1,5,4,3,1,1,0,1,0
cn-cy-25c-01-V2-LOCATIONS,5,D_chongqing,4,4,1,5,4,3,1,1,0,1,0
cn-cy-25c-02-V2-LOCATIONS,1,D_chongqing,5,5,2,7,4,4,0,1,2,3,0
cn-cy-25c-02-V2-LOCATIONS,2,D_chongqing,5,5,2,7,4,4,0,1,2,3,0
cn-cy-25c-02-V2-LOCATIONS,3,D_chongqing,5,5,2,7,4,4,0,1,2,3,0
cn-cy-25c-02-V2-LOCATIONS,4,D_chongqing,5,5,2,7,4,4,0,1,2,3,0
cn-cy-25c-02-V2-LOCATIONS,5,D_chongqing,5,5,2,7,4,4,0,1,2,3,0
cn-cy-25c-03-V2-LOCATIONS,1,D_chongqing,5,5,2,7,5,3,2,2,0,2,0
