instance,arm,seed,requested_iterations,iterations,runtime_seconds,cost,route_sha256,complete,feasible,completed_clients,total_clients,completed_delivery,total_delivery,no_duplicate_clients,compound_calls,compound_accepted_calls,compound_customer_calls,compound_customer_candidate_evaluations,compound_customer_joint_evaluations,compound_customer_moves_accepted,compound_customer_joint_only_accepted_moves,compound_route_slot_evaluations,compound_rotations_evaluated,compound_assignments_changed,compound_rotations_changed,compound_cache_hits,compound_cache_misses,compound_runtime_seconds
PR22A,copied_loop,11,1000,1000,36.343562124995515,8302128,ee162ae1a90a8247dfa0c27b70467671d26adf2760f0347958b045d143e33265,True,True,600,600,7575000,7575000,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
PR22A,route_only_compound,11,1000,1000,41.180460958974436,8346420,882652cde5658943b953e4087fc9e9de391248346d10ceb4e70083cc67686a9e,True,True,600,600,7575000,7575000,True,263,191,0,0,0,0,0,951192,862332,729,1,88512,70020,0.7819787513581105
PR22A,full_customer_compound,11,1000,1000,294.9172318330384,8402924,b2cd7953c9fa97a74308682eef679653e40e4e9ef36b0fc54ccf06f05b993ac2,True,True,600,600,7575000,7575000,True,291,334,291,4318337,4317383,125,125,64133517,448790829,761,4,30394135,32493002,245.81430104497122
PR22B,copied_loop,11,1000,1000,37.625699208001606,6669759,975b4ef51c75e8bb2b8571c04fdfc4602767046fb0d2fccf7e37d9f1c70f8bee,True,True,600,600,7575000,7575000,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
PR22B,route_only_compound,11,1000,1000,40.78334870800609,6647577,73655ed56d4f5b97fbb87982c59f0dc5f6fb44d8fd1c4b78c88cf572baba9c55,True,True,600,600,7575000,7575000,True,322,221,0,0,0,0,0,1007784,965316,737,83,97956,70008,0.9054706746828742
PR22B,full_customer_compound,11,1000,1000,245.79483983298996,6666713,8029c2cf431401357d3867e6b31359e7e440f4dd18ddf18a1337a2492da977e2,True,True,600,600,7575000,7575000,True,256,324,256,3006465,3005632,141,141,54900640,422713755,689,93,26007279,27843361,193.44615841686027
PR23A,copied_loop,11,1000,1000,61.18294516700553,10343936,8c1daeae6410ecebca14086e9918d9992ea8dd94efe288503aef2d0443753f6f,True,True,780,780,9956000,9956000,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
PR23A,route_only_compound,11,1000,1000,64.4396279999637,10344267,5db7e69cd2a1c32f41e8456d1dcf7feb794cd9c90adc3e31a2c6a1a34a6af4c3,True,True,780,780,9956000,9956000,True,240,186,0,0,0,0,0,1495104,992460,950,14,104316,82572,1.0739259508554824
PR23A,full_customer_compound,11,1000,1000,345.207716416975,10413790,71bc46bef0a2874b11e1eb78d26354ffeaaafd46da61578dbe6b79f73fecfa83,True,True,780,780,9956000,9956000,True,233,274,233,4723489,4722682,93,93,76502111,529411487,784,15,36163689,38588618,278.374552673311
PR23B,copied_loop,11,1000,1000,58.670011165959295,8768221,8a60fbe5719b8e84342e3f7c21bc2aab5ee6c31b9270aee7a00b2b825a2a5f66,True,True,780,780,9956000,9956000,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
PR23B,route_only_compound,11,1000,1000,73.6422190410085,8755458,00e961243dff8a3fd2850fd3bc4a726dab617d95540528f8e715df53361dabbb,True,True,780,780,9956000,9956000,True,252,193,0,0,0,0,0,1246392,1201020,826,221,87180,90876,1.525027166644577
PR23B,full_customer_compound,11,1000,1000,302.1689371659886,8751118,47802fd3687f747aa3c013546dc8e6216fb35b0f7dcc1258de2b19cbb0d84e33,True,True,780,780,9956000,9956000,True,270,318,270,4578655,4577907,131,131,69155899,509113431,762,184,32595156,34858879,240.12110466661397
PR24A,copied_loop,11,1000,1000,90.17123691597953,12334592,33c17fa4fcf00fec1e09dbcd23606914e9384c0ac2e34d0f59d824097e698471,True,True,960,960,12524000,12524000,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
PR24A,route_only_compound,11,1000,1000,74.77288845798466,12409473,71c5c3a96490b658965afc29fb6ec67cec3a03f4a57706610dd1bd82b1781917,True,True,960,960,12524000,12524000,True,314,230,0,0,0,0,0,3066360,1484628,980,4,180528,126108,1.3394127480569296
PR24A,full_customer_compound,11,1000,1000,342.11955458298326,12435802,116b70236dcb00fac102436f27f8e500b2a70172a1947991e47540082b147903,True,True,960,960,12524000,12524000,True,255,323,255,5658096,5657032,125,125,89263846,583664476,1010,12,41607335,44279783,275.2092612472479
PR24B,copied_loop,11,1000,1000,81.03155433299253,11045693,a355b995ef1dedc63255c35ce97dba99b65949ddd3d80aefe197c8110effbad1,True,True,960,960,12524000,12524000,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
PR24B,route_only_compound,11,1000,1000,76.86585604102584,10960431,3fe4a74e90b49144a109114f479d0484ee65ce04df2b985231f32d65286d5ff2,True,True,960,960,12524000,12524000,True,240,196,0,0,0,0,0,1781088,1486284,1067,305,102648,119988,1.245927673066035
PR24B,full_customer_compound,11,1000,1000,259.65361137501895,10983130,4d93a866208a7caf9d6c99623c30e61519ef4113ed1ac318f20864b0e862a7fc,True,True,960,960,12524000,12524000,True,271,374,271,4366914,4366235,203,203,52041120,345823374,884,215,23710052,25244152,189.15169289516052
