update_index,policy_version_before,policy_version_after,curriculum_phase,learning_rate,entropy_coef,clip_range,device,valid_steps,valid_episodes,stale_episodes,shared_baseline_group_count,shared_baseline_skipped_group_count,checkpoint_path,mask_invalid_rate_head_0,mask_invalid_rate_head_1,mask_invalid_rate_head_2,mask_invalid_rate_head_3,mask_invalid_rate_head_4,mask_invalid_rate_head_5,mask_invalid_rate_head_6,policy_loss,value_loss,entropy,approx_kl,clip_fraction,target_kl_hit,target_kl_value
26,26,27,energy,5e-05,0.01,0.15,cuda,48,12,0,4,1,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/checkpoints/async_block_ppo_update_0027.pt,0.30654761904761907,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.00036116318369749933,1917.0503540039062,7.2617127895355225,0.00028915703296661377,0.0,0.0,0.00035330653190612793
27,27,28,energy,5e-05,0.01,0.15,cuda,48,12,0,5,0,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/checkpoints/async_block_ppo_update_0028.pt,0.2797619047619048,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,-0.00010776333965623053,2826.1661376953125,7.301518678665161,3.9632122934563085e-05,0.0,0.0,6.910165393492207e-05
28,28,29,energy,5e-05,0.01,0.15,cuda,48,12,0,5,0,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/checkpoints/async_block_ppo_update_0029.pt,0.318452380952381,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,-0.0006166895327623934,2480.0428466796875,7.254687547683716,0.0001309216022491455,0.0,0.0,0.00015968084335327148
29,29,30,energy,5e-05,0.01,0.15,cuda,56,14,0,5,0,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/checkpoints/async_block_ppo_update_0030.pt,0.2933673469387755,0.0,0.021428571428571432,0.0,0.0,0.0,0.0,-3.3870341212605126e-05,2903.857421875,7.305974721908569,6.378974467224907e-05,0.0,0.0,6.017514897393994e-05
30,30,31,energy,5e-05,0.01,0.15,cuda,48,12,0,4,1,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/checkpoints/async_block_ppo_update_0031.pt,0.2857142857142857,0.0,0.025000000000000005,0.0,0.0,0.0,0.0,2.127140760421753e-05,2636.2889404296875,7.312756538391113,5.68230952922022e-05,0.0,0.0,8.144974708557129e-05
31,31,32,energy,5e-05,0.01,0.15,cuda,48,12,0,5,0,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/checkpoints/async_block_ppo_update_0032.pt,0.2916666666666667,0.0,0.025000000000000005,0.0,0.0,0.0,0.0,-5.373234671424143e-05,2571.5906982421875,7.303896188735962,9.394188964506611e-05,0.0,0.0,7.350246596615762e-05
32,32,33,carbon,1e-05,0.005,0.1,cuda,48,12,0,4,1,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/checkpoints/async_block_ppo_update_0033.pt,0.2916666666666667,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,-4.353746953711379e-05,2418.333251953125,7.24996018409729,0.0002005298956646584,0.0,0.0,0.00022331874060910195
33,33,34,carbon,1e-05,0.005,0.1,cuda,48,12,0,5,0,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/checkpoints/async_block_ppo_update_0034.pt,0.30357142857142855,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,-2.0153820514678955e-05,2988.668212890625,7.294276237487793,7.788340269598848e-06,0.0,0.0,7.05321667737735e-07
34,34,35,carbon,1e-05,0.005,0.1,cuda,48,12,0,4,1,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/checkpoints/async_block_ppo_update_0035.pt,0.2916666666666667,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,-4.378706216812134e-05,2940.9013671875,7.311984539031982,3.4223002103317413e-06,0.0,0.0,9.636084996600403e-07
35,35,36,carbon,1e-05,0.005,0.1,cuda,48,12,0,4,1,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/checkpoints/async_block_ppo_update_0036.pt,0.27976190476190477,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,8.129204161377857e-06,2798.2972412109375,7.329397916793823,8.308887481689453e-05,0.0,0.0,0.00010123848915100098
36,36,37,carbon,1e-05,0.005,0.1,cuda,48,12,0,5,0,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/checkpoints/async_block_ppo_update_0037.pt,0.27678571428571425,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,-6.532917723234277e-06,2826.32470703125,7.31226372718811,2.8014184408675646e-05,0.0,0.0,5.127986514708027e-05
37,37,38,carbon,1e-05,0.005,0.1,cuda,48,12,0,4,1,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/checkpoints/async_block_ppo_update_0038.pt,0.2916666666666667,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,2.3731341570965014e-05,2677.130126953125,7.290118217468262,3.2568971619184595e-05,0.0,0.0,4.997849464416504e-05
38,38,39,carbon,1e-05,0.005,0.1,cuda,48,12,0,5,0,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/checkpoints/async_block_ppo_update_0039.pt,0.28273809523809523,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,-2.952540944534121e-05,2585.152099609375,7.260776519775391,0.00011423727119108662,0.0,0.0,0.0001449286937713623
39,39,40,carbon,1e-05,0.005,0.1,cuda,48,12,0,5,0,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/checkpoints/async_block_ppo_update_0040.pt,0.30059523809523814,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,1.1565164044213816e-05,2431.7725830078125,7.297978401184082,4.627804082701914e-05,0.0,0.0,5.867084109922871e-05
40,40,41,carbon,1e-05,0.005,0.1,cuda,52,13,0,4,1,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/checkpoints/async_block_ppo_update_0041.pt,0.3021978021978022,0.0,0.015384615384615385,0.0,0.0,0.0,0.0,-5.203944283493911e-06,3232.593994140625,7.297708034515381,7.16035210643895e-05,0.0,0.0,9.27540022530593e-05
41,41,42,carbon,1e-05,0.005,0.1,cuda,48,12,0,4,1,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/checkpoints/async_block_ppo_update_0042.pt,0.29464285714285715,0.0,0.025000000000000005,0.0,0.0,0.0,0.0,-3.4860026062233374e-05,1925.3296508789062,7.29596471786499,1.1026859738194617e-05,0.0,0.0,1.54872741404688e-05
42,42,43,carbon,1e-05,0.005,0.1,cuda,48,12,0,5,0,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/checkpoints/async_block_ppo_update_0043.pt,0.2708333333333333,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,-8.356074613402598e-05,2841.03466796875,7.341484785079956,5.3137542636250146e-05,0.0,0.0,5.801519000669941e-05
43,43,44,carbon,1e-05,0.005,0.1,cuda,60,15,0,5,0,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/checkpoints/async_block_ppo_update_0044.pt,0.29523809523809524,0.0,0.04666666666666667,0.0,0.0,0.0,0.0,-5.137622429174371e-05,2670.7900390625,7.267807245254517,8.033911763050128e-05,0.0,0.0,0.00010419687168905511
44,44,45,carbon,1e-05,0.005,0.1,cuda,48,12,0,3,2,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/checkpoints/async_block_ppo_update_0045.pt,0.2976190476190476,0.0,0.075,0.0,0.0,0.0,0.0,1.2459854588087182e-05,1906.05712890625,7.227921962738037,3.524124622344971e-05,0.0,0.0,3.820657730102539e-05
45,45,46,carbon,1e-05,0.005,0.1,cuda,48,12,0,4,1,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/checkpoints/async_block_ppo_update_0046.pt,0.2976190476190476,0.0,0.025000000000000005,0.0,0.0,0.0,0.0,-9.046619379660115e-05,2624.1566162109375,7.291539669036865,1.0435780041007092e-05,0.0,0.0,1.2348095879133325e-05
46,46,47,carbon,1e-05,0.005,0.1,cuda,48,12,0,4,1,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/checkpoints/async_block_ppo_update_0047.pt,0.2886904761904762,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,-0.00014436990386457182,2387.7120361328125,7.2831339836120605,0.00013056894385954365,0.0,0.0,0.00016701221466064453
47,47,48,carbon,1e-05,0.005,0.1,cuda,48,12,0,4,1,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/checkpoints/async_block_ppo_update_0048.pt,0.31250000000000006,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,-0.00016360109657398425,2033.7679443359375,7.248593330383301,8.481741133437026e-05,0.0,0.0,0.00011145075404783711
48,48,49,carbon,1e-05,0.005,0.1,cuda,48,12,0,5,0,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/checkpoints/async_block_ppo_update_0049.pt,0.306547619047619,0.0,0.008333333333333333,0.0,0.0,0.0,0.0,-0.0001263357698917389,2458.934814453125,7.299601078033447,1.722077558952151e-05,0.0,0.0,9.198984116665088e-06
49,49,50,carbon,1e-05,0.005,0.1,cuda,48,12,0,5,0,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/checkpoints/async_block_ppo_update_0050.pt,0.27678571428571425,0.0,0.025000000000000005,0.0,0.0,0.0,0.0,-0.00012098936349502765,2632.82763671875,7.3220648765563965,5.559623423323501e-05,0.0,0.0,5.913774293730967e-05
50,50,51,carbon,1e-05,0.005,0.1,cuda,48,12,0,5,0,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/checkpoints/async_block_ppo_update_0051.pt,0.3005952380952381,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,-6.521244904433843e-05,2790.422119140625,7.276273965835571,5.9793394029838964e-05,0.0,0.0,7.252892100950703e-05
51,51,52,carbon,1e-05,0.005,0.1,cuda,48,12,0,5,0,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/checkpoints/async_block_ppo_update_0052.pt,0.29464285714285715,0.0,0.05000000000000001,0.0,0.0,0.0,0.0,6.652375122939702e-05,3341.929443359375,7.2634406089782715,6.358822247420903e-05,0.0,0.0,7.551908493041992e-05
52,52,53,carbon,1e-05,0.005,0.1,cuda,48,12,0,4,1,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/checkpoints/async_block_ppo_update_0053.pt,0.28273809523809523,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,-0.00012456874537747353,2850.1566162109375,7.323048114776611,0.00017896791541716084,0.0,0.0,0.00022349755454342812
53,53,54,carbon,1e-05,0.005,0.1,cuda,48,12,0,4,1,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/checkpoints/async_block_ppo_update_0054.pt,0.2738095238095238,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,5.0779433877323754e-05,2595.2476806640625,7.3148627281188965,4.125634950469248e-05,0.0,0.0,5.041559779783711e-05
54,54,55,carbon,1e-05,0.005,0.1,cuda,48,12,0,4,1,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/checkpoints/async_block_ppo_update_0055.pt,0.29464285714285715,0.0,0.05833333333333333,0.0,0.0,0.0,0.0,-7.306039697141387e-05,2640.3525390625,7.2527618408203125,2.5878350697894348e-06,0.0,0.0,1.6490619145770324e-06
55,55,56,carbon,1e-05,0.005,0.1,cuda,48,12,0,5,0,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/checkpoints/async_block_ppo_update_0056.pt,0.2886904761904762,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,-0.00011188909411430359,2512.7188720703125,7.282869577407837,7.670124614378437e-05,0.0,0.0,7.723768794676289e-05
56,56,57,carbon,1e-05,0.005,0.1,cuda,48,12,0,5,0,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/checkpoints/async_block_ppo_update_0057.pt,0.30654761904761907,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,1.814464667404536e-05,2862.90087890625,7.2666847705841064,0.00015844405425013974,0.0,0.0,0.00018837055540643632
57,57,58,carbon,1e-05,0.005,0.1,cuda,48,12,0,4,0,solver/reports/dr_alns_ppo_v3/final_track23/stage_c_train24/checkpoints/async_block_ppo_update_0058.pt,0.30952380952380953,0.0,0.008333333333333333,0.0,0.0,0.0,0.0,5.805244057910386e-06,3052.44091796875,7.294961452484131,6.508827573270537e-05,0.0,0.0,9.799997496884316e-05
