budget,category,instance,seed,lns_best_cost_naked,lns_best_cost_common,lns_cost_delta_common_minus_naked,lns_route_count_delta_common_minus_naked,lns_cost_fix_delta_common_minus_naked,a13_best_cost_naked,a13_best_cost_common,a13_cost_delta_common_minus_naked,a13_route_count_delta_common_minus_naked,a13_cost_fix_delta_common_minus_naked
8000,threeshift,e2-threeshift-50c-01,3,1352.8899307919728,1352.8899307919728,0.0,0,0.0,1352.8899307919728,1352.8899307919728,0.0,0,0.0
8000,threeshift,e2-threeshift-75c-01,1,1975.8041668544186,1975.8041668544186,0.0,0,0.0,1975.8041668544186,1975.8041668544186,0.0,0,0.0
8000,threeshift,e2-threeshift-75c-01,2,1928.0455806021268,1928.0455806021268,0.0,0,0.0,1928.0455806021268,1928.0455806021268,0.0,0,0.0
8000,threeshift,e2-threeshift-75c-01,3,1924.6763704677783,1924.6763704677783,0.0,0,0.0,1924.6763704677783,1924.6763704677783,0.0,0,0.0
8000,vanilla,e2-vanilla-100c-01,1,2878.152113730783,2878.152113730783,0.0,0,0.0,2878.152113730783,2878.152113730783,0.0,0,0.0
8000,vanilla,e2-vanilla-100c-01,2,2865.4859715577313,2865.4859715577313,0.0,0,0.0,2865.4859715577313,2865.4859715577313,0.0,0,0.0
8000,vanilla,e2-vanilla-100c-01,3,2872.2976789880618,2872.2976789880618,0.0,0,0.0,2872.2976789880618,2872.2976789880618,0.0,0,0.0
8000,vanilla,e2-vanilla-150c-01,1,3578.7942292379844,3578.7942292379844,0.0,0,0.0,3578.7942292379844,3578.7942292379844,0.0,0,0.0
8000,vanilla,e2-vanilla-150c-01,2,3425.490341646978,3425.490341646978,0.0,0,0.0,3425.490341646978,3425.490341646978,0.0,0,0.0
8000,vanilla,e2-vanilla-150c-01,3,3612.1203659356856,3612.1203659356856,0.0,0,0.0,3612.1203659356856,3612.1203659356856,0.0,0,0.0
8000,vanilla,e2-vanilla-15c-01,1,647.3784356649101,647.3784356649101,0.0,0,0.0,647.3784356649101,647.3784356649101,0.0,0,0.0
8000,vanilla,e2-vanilla-15c-01,2,642.185285005708,642.185285005708,0.0,0,0.0,642.185285005708,642.185285005708,0.0,0,0.0
8000,vanilla,e2-vanilla-15c-01,3,642.185285005708,642.185285005708,0.0,0,0.0,642.185285005708,642.185285005708,0.0,0,0.0
8000,vanilla,e2-vanilla-25c-01,1,640.1754851140676,640.1754851140676,0.0,0,0.0,640.1754851140676,640.1754851140676,0.0,0,0.0
8000,vanilla,e2-vanilla-25c-01,2,640.1754851140676,640.1754851140676,0.0,0,0.0,640.1754851140676,640.1754851140676,0.0,0,0.0
8000,vanilla,e2-vanilla-25c-01,3,640.1754851140676,640.1754851140676,0.0,0,0.0,640.1754851140676,640.1754851140676,0.0,0,0.0
8000,vanilla,e2-vanilla-50c-01,1,1390.3368012202452,1390.3368012202452,0.0,0,0.0,1390.3368012202452,1390.3368012202452,0.0,0,0.0
8000,vanilla,e2-vanilla-50c-01,2,1389.755598223681,1389.755598223681,0.0,0,0.0,1389.755598223681,1389.755598223681,0.0,0,0.0
8000,vanilla,e2-vanilla-50c-01,3,1414.6385784001584,1414.6385784001584,0.0,0,0.0,1414.6385784001584,1414.6385784001584,0.0,0,0.0
16000,multidepot,e2-multidepot-100c-01,1,2470.345558303238,2470.345558303238,0.0,0,0.0,2470.345558303238,2470.345558303238,0.0,0,0.0
16000,multidepot,e2-multidepot-100c-01,2,2486.6734386889134,2486.6734386889134,0.0,0,0.0,2486.6734386889134,2486.6734386889134,0.0,0,0.0
16000,multidepot,e2-multidepot-100c-01,3,2467.994869985334,2467.994869985334,0.0,0,0.0,2467.994869985334,2467.994869985334,0.0,0,0.0
16000,multidepot,e2-multidepot-10c-01,1,371.9993673208387,371.9993673208387,0.0,0,0.0,371.9993673208387,371.9993673208387,0.0,0,0.0
16000,multidepot,e2-multidepot-10c-01,2,371.9993673208387,371.9993673208387,0.0,0,0.0,371.9993673208387,371.9993673208387,0.0,0,0.0
16000,multidepot,e2-multidepot-10c-01,3,371.9993673208387,371.9993673208387,0.0,0,0.0,371.9993673208387,371.9993673208387,0.0,0,0.0
16000,multidepot,e2-multidepot-150c-01,1,3521.1139602678973,3521.1139602678973,0.0,0,0.0,3521.1139602678973,3521.1139602678973,0.0,0,0.0
16000,multidepot,e2-multidepot-150c-01,2,3383.1210530865765,3383.1210530865765,0.0,0,0.0,3383.1210530865765,3383.1210530865765,0.0,0,0.0
16000,multidepot,e2-multidepot-150c-01,3,3549.3256372673836,3549.3256372673836,0.0,0,0.0,3549.3256372673836,3549.3256372673836,0.0,0,0.0
