year,region,hour_count,mean_tCO2_per_MWh,min_tCO2_per_MWh,max_tCO2_per_MWh,MEE_2023_kgCO2_per_kWh,relative_difference_to_MEE_2023_pct
2030,Liaoning,8760,0.19111664,0.01480000,0.63000000,,
2030,Jilin,8760,0.10388987,0.00030000,0.74500000,,
2030,Heilongjiang,8760,0.11916426,0.00010000,0.67110000,,
2030,Shanghai,8760,0.46786267,0.16540000,0.63750000,0.5737,
2030,Jiangsu,8760,0.42887828,0.07170000,0.65320000,0.5827,
2030,Zhejiang,8760,0.26573543,0.00000000,0.44790000,,
2030,Anhui,8760,0.50315744,0.13290000,0.64650000,,
2030,Fujian,8760,0.22411325,0.01020000,0.59770000,,
2030,Jiangxi,8760,0.63115088,0.45820000,0.74880000,,
2030,Shandong,8760,0.45822330,0.09420000,0.69870000,,
2030,Henan,8760,0.48190056,0.12780000,0.69870000,,
2030,Hubei,8760,0.19695419,0.00100000,0.59060000,,
2030,Hunan,8760,0.25235718,0.04260000,0.58870000,,
2030,Guangdong,8760,0.37216789,0.02030000,0.56410000,,
2030,Guangxi,8760,0.23332767,0.01470000,0.49680000,,
2030,Hainan,8760,0.06239837,0.00000000,0.25010000,,
2030,Chongqing,8760,0.21543010,0.00290000,0.49290000,,
2030,Sichuan,8760,0.01511894,0.00000000,0.17930000,,
2030,Guizhou,8760,0.52362671,0.09950000,0.78260000,,
2030,Yunnan,8760,0.06256525,0.00000000,0.35160000,,
2030,Tibet,8760,0.00172724,0.00000000,0.08600000,,
2030,Shaanxi,8760,0.57566604,0.18750000,0.76830000,,
2030,Gansu,8760,0.13739083,0.00360000,0.68100000,,
2030,Qinghai,8760,0.09817759,0.00000000,0.50630000,,
2030,Ningxia,8760,0.38204329,0.03120000,0.77780000,,
2030,Xinjiang,8760,0.58601579,0.13450000,0.79330000,,
2035,Mainland China,8760,0.27108209,0.04490000,0.44730000,0.5306,
2035,Beijing,8760,0.32406631,0.01720000,0.71380000,,
2035,Tianjin,8760,0.63648840,0.07790000,0.75760000,,
2035,Hebei,8760,0.34570745,0.02800000,0.74350000,,
2035,Shanxi,8760,0.49483449,0.04310000,0.76390000,,
2035,Inner Mongolia,8760,0.29041643,0.01440000,0.77520000,,
2035,Liaoning,8760,0.18250296,0.01350000,0.64130000,,
2035,Jilin,8760,0.11806532,0.00760000,0.68250000,,
2035,Heilongjiang,8760,0.12066051,0.00030000,0.65020000,,
2035,Shanghai,8760,0.31824997,0.07720000,0.51490000,0.5737,
2035,Jiangsu,8760,0.28921041,0.03790000,0.55680000,0.5827,
2035,Zhejiang,8760,0.18711634,0.00000000,0.38770000,,
2035,Anhui,8760,0.43614457,0.06620000,0.62020000,,
2035,Fujian,8760,0.13809834,0.00670000,0.52160000,,
2035,Jiangxi,8760,0.44470712,0.12960000,0.60760000,,
2035,Shandong,8760,0.28059687,0.03200000,0.50180000,,
2035,Henan,8760,0.41140710,0.06720000,0.65870000,,
2035,Hubei,8760,0.14425208,0.00070000,0.50590000,,
2035,Hunan,8760,0.23451381,0.03140000,0.56470000,,
2035,Guangdong,8760,0.19841874,0.01980000,0.47890000,,
2035,Guangxi,8760,0.19031123,0.01610000,0.42550000,,
2035,Hainan,8760,0.04623744,0.00000000,0.22760000,,
2035,Chongqing,8760,0.15752880,0.00220000,0.40810000,,
2035,Sichuan,8760,0.00933377,0.00000000,0.10740000,,
2035,Guizhou,8760,0.37441492,0.01850000,0.75790000,,
2035,Yunnan,8760,0.04198212,0.00000000,0.20790000,,
2035,Tibet,8760,0.00096358,0.00000000,0.04980000,,
2035,Shaanxi,8760,0.53708825,0.07250000,0.75870000,,
2035,Gansu,8760,0.11215914,0.00520000,0.60300000,,
2035,Qinghai,8760,0.07213632,0.00000000,0.39540000,,
2035,Ningxia,8760,0.36015918,0.03340000,0.76450000,,
2035,Xinjiang,8760,0.49226525,0.03620000,0.78680000,,
2040,Mainland China,8784,0.18218719,0.02650000,0.35830000,0.5306,
2040,Beijing,8784,0.23324235,0.00670000,0.66380000,,
2040,Tianjin,8784,0.48129406,0.06930000,0.72420000,,
2040,Hebei,8784,0.25287050,0.02120000,0.67210000,,
2040,Shanxi,8784,0.37618967,0.04030000,0.74280000,,
2040,Inner Mongolia,8784,0.20356477,0.00970000,0.74150000,,
2040,Liaoning,8784,0.10841396,0.00000000,0.61690000,,
2040,Jilin,8784,0.07352883,0.00000000,0.67870000,,
2040,Heilongjiang,8784,0.05810600,0.00000000,0.54180000,,
2040,Shanghai,8784,0.21927778,0.02790000,0.42230000,0.5737,
2040,Jiangsu,8784,0.15240584,0.01560000,0.40980000,0.5827,
2040,Zhejiang,8784,0.09086137,0.00000000,0.26350000,,
2040,Anhui,8784,0.29167884,0.04350000,0.58090000,,
2040,Fujian,8784,0.08081852,0.00000000,0.32140000,,
2040,Jiangxi,8784,0.32656355,0.04030000,0.56750000,,
2040,Shandong,8784,0.21152051,0.02490000,0.46400000,,
2040,Henan,8784,0.28757894,0.03720000,0.54960000,,
2040,Hubei,8784,0.13348831,0.01160000,0.42170000,,
2040,Hunan,8784,0.18125862,0.02100000,0.41860000,,
2040,Guangdong,8784,0.15445238,0.01290000,0.33580000,,
2040,Guangxi,8784,0.09689541,0.00340000,0.33350000,,
2040,Hainan,8784,0.03233223,0.00000000,0.17710000,,
2040,Chongqing,8784,0.08866500,0.00000000,0.37810000,,
2040,Sichuan,8784,0.00739151,0.00000000,0.13360000,,
2040,Guizhou,8784,0.21144092,0.02450000,0.60670000,,
2040,Yunnan,8784,0.00580824,0.00000000,0.08650000,,
2040,Tibet,8784,0.00143214,0.00000000,0.07120000,,
2040,Shaanxi,8784,0.36988008,0.03940000,0.74910000,,
2040,Gansu,8784,0.06969012,0.00000000,0.59930000,,
2040,Qinghai,8784,0.04672024,0.00000000,0.38610000,,
2040,Ningxia,8784,0.21749964,0.01600000,0.74980000,,
2040,Xinjiang,8784,0.32606664,0.02700000,0.77520000,,
2045,Mainland China,8760,0.11124642,0.01150000,0.27690000,0.5306,
2045,Beijing,8760,0.15953313,0.00480000,0.48650000,,
2045,Tianjin,8760,0.34516814,0.05130000,0.62570000,,
2045,Hebei,8760,0.15844341,0.00810000,0.53960000,,
2045,Shanxi,8760,0.24074447,0.02150000,0.63520000,,
2045,Inner Mongolia,8760,0.10661614,0.00000000,0.61110000,,
2045,Liaoning,8760,0.07890537,0.00000000,0.52150000,,
2045,Jilin,8760,0.05755056,0.00000000,0.55040000,,
2045,Heilongjiang,8760,0.03841452,0.00000000,0.46060000,,
2045,Shanghai,8760,0.12878741,0.00270000,0.40220000,0.5737,
2045,Jiangsu,8760,0.06798348,0.00000000,0.27910000,0.5827,
2045,Zhejiang,8760,0.04466140,0.00000000,0.18190000,,
2045,Anhui,8760,0.21673363,0.03710000,0.52590000,,
2045,Fujian,8760,0.04723171,0.00000000,0.28240000,,
2045,Jiangxi,8760,0.26616653,0.04200000,0.54150000,,
2045,Shandong,8760,0.11898059,0.00000000,0.38920000,,
2045,Henan,8760,0.20823777,0.01730000,0.46350000,,
2045,Hubei,8760,0.10380385,0.00000000,0.31270000,,
2045,Hunan,8760,0.12514342,0.00000000,0.35160000,,
2045,Guangdong,8760,0.08541263,0.00000000,0.24250000,,
2045,Guangxi,8760,0.03795861,0.00000000,0.29330000,,
2045,Hainan,8760,0.01644026,0.00000000,0.10110000,,
2045,Chongqing,8760,0.04600548,0.00000000,0.29780000,,
2045,Sichuan,8760,0.00366354,0.00000000,0.10270000,,
2045,Guizhou,8760,0.11932779,0.01190000,0.44800000,,
2045,Yunnan,8760,0.00028806,0.00000000,0.02490000,,
2045,Tibet,8760,0.00020457,0.00000000,0.01970000,,
2045,Shaanxi,8760,0.21998712,0.03020000,0.65770000,,
2045,Gansu,8760,0.05169215,0.00000000,0.63080000,,
2045,Qinghai,8760,0.02539484,0.00000000,0.35230000,,
2045,Ningxia,8760,0.09991893,0.00000000,0.62700000,,
2045,Xinjiang,8760,0.19086345,0.01230000,0.75010000,,
2050,Mainland China,8760,0.04917315,0.00130000,0.20510000,0.5306,
2050,Beijing,8760,0.09394150,0.00000000,0.37290000,,
2050,Tianjin,8760,0.16642435,0.01660000,0.58460000,,
2050,Hebei,8760,0.07854317,0.00000000,0.37610000,,
2050,Shanxi,8760,0.13086565,0.00000000,0.50340000,,
2050,Inner Mongolia,8760,0.04583919,0.00000000,0.49580000,,
2050,Liaoning,8760,0.04682691,0.00000000,0.40610000,,
2050,Jilin,8760,0.03982307,0.00000000,0.49360000,,
2050,Heilongjiang,8760,0.02509108,0.00000000,0.40520000,,
2050,Shanghai,8760,0.03899646,0.00000000,0.29540000,0.5737,
2050,Jiangsu,8760,0.02194930,0.00000000,0.20650000,0.5827,
2050,Zhejiang,8760,0.01079377,0.00000000,0.11660000,,
2050,Anhui,8760,0.05668182,0.00000000,0.37930000,,
2050,Fujian,8760,0.01923667,0.00000000,0.14900000,,
2050,Jiangxi,8760,0.18375725,0.02140000,0.41660000,,
2050,Shandong,8760,0.06458602,0.00000000,0.31460000,,
2050,Henan,8760,0.06690497,0.00000000,0.36120000,,
2050,Hubei,8760,0.02430289,0.00000000,0.14000000,,
2050,Hunan,8760,0.04374458,0.00000000,0.25900000,,
2050,Guangdong,8760,0.03284805,0.00000000,0.15460000,,
2050,Guangxi,8760,0.02368982,0.00000000,0.25030000,,
2050,Hainan,8760,0.01104401,0.00000000,0.06730000,,
2050,Chongqing,8760,0.01189174,0.00000000,0.11750000,,
2050,Sichuan,8760,0.00125308,0.00000000,0.04430000,,
2050,Guizhou,8760,0.02692627,0.00000000,0.20530000,,
2050,Yunnan,8760,0.00003234,0.00000000,0.00620000,,
2050,Tibet,8760,0.00010565,0.00000000,0.01390000,,
2050,Shaanxi,8760,0.11266469,0.00770000,0.47900000,,
2050,Gansu,8760,0.03631429,0.00000000,0.51680000,,
2050,Qinghai,8760,0.01385670,0.00000000,0.25060000,,
2050,Ningxia,8760,0.07433522,0.00000000,0.61560000,,
2050,Xinjiang,8760,0.07067290,0.00000000,0.63340000,,
2055,Mainland China,8760,0.02188365,0.00000000,0.13850000,0.5306,
2055,Beijing,8760,0.06995233,0.00000000,0.29150000,,
2055,Tianjin,8760,0.11336960,0.00000000,0.61910000,,
2055,Hebei,8760,0.03303836,0.00000000,0.27410000,,
2055,Shanxi,8760,0.05033482,0.00000000,0.36290000,,
2055,Inner Mongolia,8760,0.02651941,0.00000000,0.47290000,,
2055,Liaoning,8760,0.01404507,0.00000000,0.19860000,,
2055,Jilin,8760,0.02306566,0.00000000,0.39870000,,
2055,Heilongjiang,8760,0.01095580,0.00000000,0.21450000,,
2055,Shanghai,8760,0.03056156,0.00000000,0.22440000,0.5737,
2055,Jiangsu,8760,0.01458501,0.00000000,0.16120000,0.5827,
2055,Zhejiang,8760,0.01069728,0.00000000,0.10560000,,
2055,Anhui,8760,0.02009217,0.00000000,0.32480000,,
2055,Fujian,8760,0.00817870,0.00000000,0.08300000,,
2055,Jiangxi,8760,0.02923721,0.00000000,0.24500000,,
2055,Shandong,8760,0.03559451,0.00000000,0.27340000,,
2055,Henan,8760,0.02662027,0.00000000,0.26520000,,
2055,Hubei,8760,0.00503273,0.00000000,0.09170000,,
2055,Hunan,8760,0.01084916,0.00000000,0.19250000,,
2055,Guangdong,8760,0.01142817,0.00000000,0.07920000,,
2055,Guangxi,8760,0.00631516,0.00000000,0.07250000,,
2055,Hainan,8760,0.00827626,0.00000000,0.04060000,,
2055,Chongqing,8760,0.00454402,0.00000000,0.06290000,,
2055,Sichuan,8760,0.00112516,0.00000000,0.03210000,,
2055,Guizhou,8760,0.01216499,0.00000000,0.14940000,,
2055,Yunnan,8760,0.00003237,0.00000000,0.00350000,,
2055,Tibet,8760,0.00010088,0.00000000,0.01070000,,
2055,Shaanxi,8760,0.01586548,0.00000000,0.22270000,,
2055,Gansu,8760,0.01896127,0.00000000,0.43400000,,
2055,Qinghai,8760,0.00980363,0.00000000,0.16850000,,
2055,Ningxia,8760,0.04777562,0.00000000,0.59770000,,
2055,Xinjiang,8760,0.04124908,0.00000000,0.56020000,,
2060,Mainland China,8784,0.01193061,0.00000000,0.08760000,0.5306,
2060,Beijing,8784,0.03266727,0.00000000,0.32380000,,
2060,Tianjin,8784,0.10532224,0.00000000,0.55440000,,
2060,Hebei,8784,0.01914787,0.00000000,0.19780000,,
2060,Shanxi,8784,0.03017805,0.00000000,0.34140000,,
2060,Inner Mongolia,8784,0.01535246,0.00000000,0.47030000,,
2060,Liaoning,8784,0.00068981,0.00000000,0.04270000,,
2060,Jilin,8784,0.00122157,0.00000000,0.07700000,,
2060,Heilongjiang,8784,0.00090788,0.00000000,0.06940000,,
2060,Shanghai,8784,0.01110269,0.00000000,0.17960000,0.5737,
2060,Jiangsu,8784,0.00761275,0.00000000,0.12190000,0.5827,
2060,Zhejiang,8784,0.00573325,0.00000000,0.06580000,,
2060,Anhui,8784,0.00919892,0.00000000,0.24290000,,
2060,Fujian,8784,0.00350982,0.00000000,0.04070000,,
2060,Jiangxi,8784,0.00820348,0.00000000,0.14730000,,
2060,Shandong,8784,0.02332522,0.00000000,0.21780000,,
2060,Henan,8784,0.01047122,0.00000000,0.15970000,,
2060,Hubei,8784,0.00212990,0.00000000,0.06110000,,
2060,Hunan,8784,0.00378345,0.00000000,0.08560000,,
2060,Guangdong,8784,0.00664159,0.00000000,0.05410000,,
2060,Guangxi,8784,0.00044957,0.00000000,0.00990000,,
2060,Hainan,8784,0.00322116,0.00000000,0.03070000,,
2060,Chongqing,8784,0.00166001,0.00000000,0.03760000,,
2060,Sichuan,8784,0.00054565,0.00000000,0.01600000,,
2060,Guizhou,8784,0.00503267,0.00000000,0.06750000,,
2060,Yunnan,8784,0.00002526,0.00000000,0.00210000,,
2060,Tibet,8784,0.00003374,0.00000000,0.00260000,,
2060,Shaanxi,8784,0.01016195,0.00000000,0.15710000,,
2060,Gansu,8784,0.00587628,0.00000000,0.15640000,,
2060,Qinghai,8784,0.00175937,0.00000000,0.07750000,,
2060,Ningxia,8784,0.03031884,0.00000000,0.46870000,,
2060,Xinjiang,8784,0.03368961,0.00000000,0.48460000,,
