task_id,instance_id,region,arm,charge_timing_policy,seed,view,improvement_sequence,iteration,global_iteration,objective_before,objective_after,improvement_absolute,improvement_relative,objective_type
T24__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,mechanism_ev,18,7622,19622,1707311,1704458,2853,0.0016710488013021647,PyVRP integer proxy objective
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,cv_only,1,5,5,9223372036854775807,2555683,9223372036852220124,0.9999999999997229,PyVRP integer proxy objective
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,cv_only,2,48,48,2555683,2451104,104579,0.04092017671988271,PyVRP integer proxy objective
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,cv_only,3,127,127,2451104,2433638,17466,0.007125768633236288,PyVRP integer proxy objective
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,cv_only,4,233,233,2433638,2418154,15484,0.00636249105249014,PyVRP integer proxy objective
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,cv_only,5,260,260,2418154,2407257,10897,0.004506330035225217,PyVRP integer proxy objective
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,cv_only,6,346,346,2407257,2407145,112,4.6525983723383086e-05,PyVRP integer proxy objective
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,cv_only,7,665,665,2407145,2399991,7154,0.0029719854848793904,PyVRP integer proxy objective
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,cv_only,8,777,777,2399991,2399910,81,3.375012656297461e-05,PyVRP integer proxy objective
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,cv_only,9,1017,1017,2399910,2396645,3265,0.0013604676842048243,PyVRP integer proxy objective
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,cv_only,10,1025,1025,2396645,2392835,3810,0.0015897222992975596,PyVRP integer proxy objective
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,cv_only,11,1339,1339,2392835,2392710,125,5.223928937849873e-05,PyVRP integer proxy objective
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,cv_only,12,1390,1390,2392710,2386908,5802,0.0024248655290444727,PyVRP integer proxy objective
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,cv_only,13,2598,2598,2386908,2386606,302,0.0001265235191301885,PyVRP integer proxy objective
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,cv_only,14,2798,2798,2386606,2384523,2083,0.0008727875485103113,PyVRP integer proxy objective
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,cv_only,15,4488,4488,2384523,2383377,1146,0.00048059926450698946,PyVRP integer proxy objective
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,cv_only,16,4645,4645,2383377,2383002,375,0.00015733977461391966,PyVRP integer proxy objective
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,cv_only,17,4678,4678,2383002,2382639,363,0.0001523288692162239,PyVRP integer proxy objective
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,cv_only,18,4967,4967,2382639,2381761,878,0.00036849896270479916,PyVRP integer proxy objective
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,cv_only,19,5577,5577,2381761,2374821,6940,0.0029138104117079756,PyVRP integer proxy objective
T24__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,cv_only,20,5738,5738,2374821,2372381,2440,0.001027445858024668,PyVRP integer proxy objective
