task_id,instance_id,seed,candidate_signature,action_type,source_route,target_route,source_pos,target_pos,aux,proxy_score,proxy_feasible,exact_status,exact_objective,exact_improvement,exact_violation_count,exact_completion_seconds,error
cn-cy-100c-01-V2-LOCATIONS__seed1,cn-cy-100c-01-V2-LOCATIONS,1,f3a43b3e919770266132c4fe5e39912447dc3cd2c5147e3157c16464913a39d7,relocate,3,7,1,4,0,5598774,False,INFEASIBLE_OR_ERROR,,,,0.0017347080283798277,"China81 route skeleton has no feasible all-CV completion: TIME_WINDOW:CH81-0008:C022:late by 10864.346 s (due l=51596.305, start=62460.652)"
cn-cy-100c-01-V2-LOCATIONS__seed1,cn-cy-100c-01-V2-LOCATIONS,1,4865fee2b4d6f0fccb73879cd58e6d459a2211496fc986a48cab5a30512a652f,relocate,0,15,3,4,0,6756567,False,INFEASIBLE_OR_ERROR,,,,0.0014961250126361847,"China81 route skeleton has no feasible all-CV completion: CAPACITY:CH81-0016:D_chongqing:initial load 2014.000000 exceeds Q=1735.000000; TIME_WINDOW:CH81-0016:C035:late by 9663.601 s (due l=50877.168, start=60540.770); TIME_WINDOW:CH81-0016:C062:late by 17456.309 s (due l=56355.461, start=73811.770); TIME_WINDOW:CH81-0016:C050:late by 11148.583 s (due l=63924.486, start=75073.070)"
cn-cy-100c-01-V2-LOCATIONS__seed1,cn-cy-100c-01-V2-LOCATIONS,1,10cb6d524e6be98c71a007502cdad85749b3a661de471034078dadc6711d2a6f,relocate,13,14,2,0,0,5421589,False,INFEASIBLE_OR_ERROR,,,,0.0013647910091094673,"China81 route skeleton has no feasible all-CV completion: CAPACITY:CH81-0015:D_chongqing:initial load 2014.000000 exceeds Q=1735.000000; TIME_WINDOW:CH81-0015:C051:late by 3943.438 s (due l=47160.581, start=51104.019); TIME_WINDOW:CH81-0015:C094:late by 4513.421 s (due l=47708.998, start=52222.419); TIME_WINDOW:CH81-0015:C090:late by 3062.234 s (due l=50166.385, start=53228.619); TIME_WINDOW:CH81-0015:C058:late by 2545.839 s (due l=51657.980, start=54203.819)"
cn-cy-100c-01-V2-LOCATIONS__seed1,cn-cy-100c-01-V2-LOCATIONS,1,9499dacdf8883ca8ea65d8a489d2cc1d6fe154424f61f83907bcab20827cf9b2,relocate,7,5,3,0,0,5554769,False,INFEASIBLE_OR_ERROR,,,,0.0013308750349096954,"China81 route skeleton has no feasible all-CV completion: CAPACITY:CH81-0006:D_chengdu:initial load 1874.000000 exceeds Q=1735.000000; TIME_WINDOW:CH81-0006:C019:late by 13219.033 s (due l=49193.238, start=62412.271); TIME_WINDOW:CH81-0006:C015:late by 12894.408 s (due l=50440.963, start=63335.371); TIME_WINDOW:CH81-0006:C004:late by 14707.056 s (due l=49760.515, start=64467.571); TIME_WINDOW:CH81-0006:C032:late by 13795.140 s (due l=51860.430, start=65655.571); TIME_WINDOW:CH81-0006:C002:late by 14468.137 s (due l=52149.734, start=66617.871)"
cn-cy-100c-01-V2-LOCATIONS__seed1,cn-cy-100c-01-V2-LOCATIONS,1,d3b78f829e3ae84f15f5a6c63c2f3a00738b3ce6058520c7c7c2c0610560f107,relocate,11,10,6,4,0,5318998,False,INFEASIBLE_OR_ERROR,,,,0.0020234999828971922,"China81 route skeleton has no feasible all-CV completion: CAPACITY:CH81-0011:D_chongqing:initial load 1874.000000 exceeds Q=1735.000000; TIME_WINDOW:CH81-0011:C046:late by 2021.886 s (due l=59066.060, start=61087.946)"
cn-cy-100c-01-V2-LOCATIONS__seed1,cn-cy-100c-01-V2-LOCATIONS,1,135083530afd60e9127582b1f2c7be29c3b72ae85128c70a8fb060c1ba205c23,relocate,6,15,1,1,0,6826340,False,INFEASIBLE_OR_ERROR,,,,0.0013123750104568899,"China81 route skeleton has no feasible all-CV completion: CAPACITY:CH81-0016:D_chongqing:initial load 1806.000000 exceeds Q=1735.000000; TIME_WINDOW:CH81-0016:C033:late by 9226.001 s (due l=48292.779, start=57518.780); TIME_WINDOW:CH81-0016:C078:late by 23984.194 s (due l=46426.186, start=70410.380); TIME_WINDOW:CH81-0016:C071:late by 22314.524 s (due l=49088.757, start=71403.280); TIME_WINDOW:CH81-0016:C076:late by 21711.134 s (due l=50411.946, start=72123.080); TIME_WINDOW:CH81-0016:C062:late by 16675.419 s (due l=56355.461, start=73030.880); TIME_WINDOW:CH81-0016:C050:late by 10367.694 s (due l=63924.486, start=74292.180)"
cn-cy-100c-01-V2-LOCATIONS__seed1,cn-cy-100c-01-V2-LOCATIONS,1,2cfdc11313fc4ab8aef7b9adbb311a1be571f94071b0e6832b41c6e9b61ffefe,relocate,11,15,4,0,0,5525514,False,INFEASIBLE_OR_ERROR,,,,0.0014461249811574817,"China81 route skeleton has no feasible all-CV completion: CAPACITY:CH81-0016:D_chongqing:initial load 1945.000000 exceeds Q=1735.000000; TIME_WINDOW:CH81-0016:C099:late by 9858.971 s (due l=47801.378, start=57660.348); TIME_WINDOW:CH81-0016:C078:late by 11823.962 s (due l=46426.186, start=58250.148); TIME_WINDOW:CH81-0016:C071:late by 10154.292 s (due l=49088.757, start=59243.048); TIME_WINDOW:CH81-0016:C076:late by 9550.902 s (due l=50411.946, start=59962.848); TIME_WINDOW:CH81-0016:C062:late by 4515.187 s (due l=56355.461, start=60870.648)"
cn-cy-100c-01-V2-LOCATIONS__seed1,cn-cy-100c-01-V2-LOCATIONS,1,e0c594261dffe68e8243638cb3804df14890dec524bac298d16eaa8ef7758e15,relocate,15,14,3,0,0,5364094,False,INFEASIBLE_OR_ERROR,,,,0.0015482080052606761,"China81 route skeleton has no feasible all-CV completion: CAPACITY:CH81-0015:D_chongqing:initial load 1945.000000 exceeds Q=1735.000000; TIME_WINDOW:CH81-0015:C051:late by 1792.689 s (due l=47160.581, start=48953.270); TIME_WINDOW:CH81-0015:C094:late by 2362.672 s (due l=47708.998, start=50071.670); TIME_WINDOW:CH81-0015:C090:late by 911.484 s (due l=50166.385, start=51077.870); TIME_WINDOW:CH81-0015:C058:late by 395.089 s (due l=51657.980, start=52053.070)"
cn-cy-100c-01-V2-LOCATIONS__seed1,cn-cy-100c-01-V2-LOCATIONS,1,68c5ee4160acd2887f81793fec4589bc337b27ff8983cfa732d43bdf0b6a66ff,relocate,8,7,2,4,0,6367942,False,INFEASIBLE_OR_ERROR,,,,0.00107029196806252,"China81 route skeleton has no feasible all-CV completion: TIME_WINDOW:CH81-0008:C093:late by 25768.148 s (due l=48634.504, start=74402.652); TIME_WINDOW:CH81-0008:D_chengdu:late by 7632.152 s (due l=79200.000, start=86832.152)"
cn-cy-100c-01-V2-LOCATIONS__seed1,cn-cy-100c-01-V2-LOCATIONS,1,1d5e6e9c533102259bf386c6b8699ed2c5ec279911c4eafca5f06014d8421c83,relocate,11,15,2,6,0,5624386,False,INFEASIBLE_OR_ERROR,,,,0.0012064999900758266,"China81 route skeleton has no feasible all-CV completion: CAPACITY:CH81-0016:D_chongqing:initial load 2084.000000 exceeds Q=1735.000000; TIME_WINDOW:CH81-0016:C074:late by 13339.564 s (due l=50670.382, start=64009.947)"
cn-cy-100c-01-V2-LOCATIONS__seed1,cn-cy-100c-01-V2-LOCATIONS,1,2d23eda86153ffe0779d2e3ce53ee0aa7815534ff4bc039c047c85ce9ec076fe,swap,11,8,3,5,0,5230819,False,INFEASIBLE_OR_ERROR,,,,0.001507542037870735,"China81 route skeleton has no feasible all-CV completion: TIME_WINDOW:CH81-0009:C083:late by 381.929 s (due l=55428.689, start=55810.618)"
cn-cy-100c-01-V2-LOCATIONS__seed1,cn-cy-100c-01-V2-LOCATIONS,1,d4e98538bac1ef98cfd1380df175bf67c06ef803d45a22dc03a8d8f13051cca1,swap,8,14,1,3,0,5494302,False,INFEASIBLE_OR_ERROR,,,,0.0012237500050105155,"China81 route skeleton has no feasible all-CV completion: TIME_WINDOW:CH81-0009:C093:late by 2288.874 s (due l=48634.504, start=50923.378); TIME_WINDOW:CH81-0009:C087:late by 363.658 s (due l=51665.920, start=52029.578); CAPACITY:CH81-0015:D_chongqing:initial load 1806.000000 exceeds Q=1735.000000; TIME_WINDOW:CH81-0015:C067:late by 5126.303 s (due l=45131.022, start=50257.325)"
cn-cy-100c-01-V2-LOCATIONS__seed1,cn-cy-100c-01-V2-LOCATIONS,1,ea20085d6775a3a11a3d7e6c16de152110f41a9c62b6241687acfe3b85de5043,swap,14,15,2,5,0,5525862,False,INFEASIBLE_OR_ERROR,,,,0.0012612079735845327,"China81 route skeleton has no feasible all-CV completion: CAPACITY:CH81-0015:D_chongqing:initial load 1737.000000 exceeds Q=1735.000000; TIME_WINDOW:CH81-0015:C058:late by 12184.966 s (due l=51657.980, start=63842.947); TIME_WINDOW:CH81-0015:C086:late by 3270.258 s (due l=61005.889, start=64276.147); TIME_WINDOW:CH81-0015:C096:late by 3783.451 s (due l=61739.095, start=65522.547); TIME_WINDOW:CH81-0016:C090:late by 4092.517 s (due l=50166.385, start=54258.903)"
cn-cy-100c-01-V2-LOCATIONS__seed1,cn-cy-100c-01-V2-LOCATIONS,1,e467bc2f38e3b3fee80790a8809f46d072542f69da8d79ed5ccf69e5fd152bbe,swap,14,6,4,4,0,7180574,False,INFEASIBLE_OR_ERROR,,,,0.0013299999991431832,"China81 route skeleton has no feasible all-CV completion: TIME_WINDOW:CH81-0015:C040:late by 11126.396 s (due l=51407.382, start=62533.778); TIME_WINDOW:CH81-0015:C096:late by 13848.082 s (due l=61739.095, start=75587.178)"
cn-cy-100c-01-V2-LOCATIONS__seed1,cn-cy-100c-01-V2-LOCATIONS,1,9f1d2fec7fe2be11d6acc9638a9c6e2ad754640fc63e3d0ebd7ef9ed5f414d1a,swap,14,1,4,4,0,8293324,False,INFEASIBLE_OR_ERROR,,,,0.0014204590115696192,"China81 route skeleton has no feasible all-CV completion: CAPACITY:CH81-0002:D_chengdu:initial load 1876.000000 exceeds Q=1735.000000; TIME_WINDOW:CH81-0002:C086:late by 8480.825 s (due l=61005.889, start=69486.713); TIME_WINDOW:CH81-0002:C018:late by 24127.819 s (due l=59387.294, start=83515.113); TIME_WINDOW:CH81-0002:C011:late by 24257.110 s (due l=59908.903, start=84166.013); TIME_WINDOW:CH81-0002:D_chengdu:late by 7295.313 s (due l=79200.000, start=86495.313); TIME_WINDOW:CH81-0015:C014:late by 5876.987 s (due l=57021.691, start=62898.678); TIME_WINDOW:CH81-0015:C096:late by 14780.982 s (due l=61739.095, start=76520.078)"
cn-cy-100c-01-V2-LOCATIONS__seed1,cn-cy-100c-01-V2-LOCATIONS,1,37a954cbc191841f9e8c5bca40039591d2d902f20a5a4d4419cb470c8163ec36,swap,7,13,1,4,0,7635890,False,INFEASIBLE_OR_ERROR,,,,0.0014798749471083283,"China81 route skeleton has no feasible all-CV completion: TIME_WINDOW:CH81-0008:C097:late by 6454.080 s (due l=51678.595, start=58132.675); TIME_WINDOW:CH81-0008:C007:late by 9196.888 s (due l=63115.787, start=72312.675); TIME_WINDOW:CH81-0008:C016:late by 8472.153 s (due l=64733.322, start=73205.475); TIME_WINDOW:CH81-0014:C027:late by 7976.876 s (due l=56388.544, start=64365.419); TIME_WINDOW:CH81-0014:C092:late by 20921.701 s (due l=56603.619, start=77525.319); TIME_WINDOW:CH81-0014:C089:late by 22831.503 s (due l=55622.116, start=78453.619); TIME_WINDOW:CH81-0014:D_chongqing:late by 1206.719 s (due l=79200.000, start=80406.719)"
cn-cy-100c-01-V2-LOCATIONS__seed1,cn-cy-100c-01-V2-LOCATIONS,1,17bf344a01883d0c79844b2c68193fffc7e5df3cc0390544c5576245997e9e23,swap,2,11,2,3,0,8216083,False,INFEASIBLE_OR_ERROR,,,,0.0011174169485457242,"China81 route skeleton has no feasible all-CV completion: TIME_WINDOW:CH81-0003:C083:late by 6072.173 s (due l=55428.689, start=61500.863); TIME_WINDOW:CH81-0003:C012:late by 23683.748 s (due l=50962.415, start=74646.163); TIME_WINDOW:CH81-0003:C005:late by 24974.739 s (due l=50442.623, start=75417.363); TIME_WINDOW:CH81-0003:C013:late by 15974.018 s (due l=59994.244, start=75968.263); CAPACITY:CH81-0012:D_chongqing:initial load 1736.000000 exceeds Q=1735.000000; TIME_WINDOW:CH81-0012:C024:late by 10309.736 s (due l=51677.764, start=61987.500); TIME_WINDOW:CH81-0012:C043:late by 15197.045 s (due l=60062.055, start=75259.100); TIME_WINDOW:CH81-0012:C066:late by 10888.653 s (due l=65192.147, start=76080.800)"
cn-cy-100c-01-V2-LOCATIONS__seed1,cn-cy-100c-01-V2-LOCATIONS,1,035207767ba1fac94f817569b7d29aec87e87640fdd872ccccd5e4e2e78952b6,swap,8,9,2,5,0,5650915,False,INFEASIBLE_OR_ERROR,,,,0.00141270796302706,"China81 route skeleton has no feasible all-CV completion: TIME_WINDOW:CH81-0009:C087:late by 8096.829 s (due l=51665.920, start=59762.749); TIME_WINDOW:CH81-0009:C079:late by 3226.484 s (due l=57914.865, start=61141.349); TIME_WINDOW:CH81-0009:C052:late by 631.044 s (due l=61402.505, start=62033.549); CAPACITY:CH81-0010:D_chongqing:initial load 1807.000000 exceeds Q=1735.000000; TIME_WINDOW:CH81-0010:C093:late by 8968.572 s (due l=48634.504, start=57603.075)"
cn-cy-100c-01-V2-LOCATIONS__seed1,cn-cy-100c-01-V2-LOCATIONS,1,b2ab25eea3e33b2bd9650c79bef1ddd77779d535a77bbfdc27d7be0d62eec3c7,swap,11,7,5,1,0,7602034,False,INFEASIBLE_OR_ERROR,,,,0.001354374981019646,"China81 route skeleton has no feasible all-CV completion: TIME_WINDOW:CH81-0008:C007:late by 12822.295 s (due l=63115.787, start=75938.082); TIME_WINDOW:CH81-0008:C016:late by 12097.560 s (due l=64733.322, start=76830.882); TIME_WINDOW:CH81-0012:C027:late by 13855.305 s (due l=56388.544, start=70243.848); TIME_WINDOW:CH81-0012:C063:late by 20438.701 s (due l=63160.447, start=83599.148); TIME_WINDOW:CH81-0012:D_chongqing:late by 6250.548 s (due l=79200.000, start=85450.548)"
cn-cy-100c-01-V2-LOCATIONS__seed1,cn-cy-100c-01-V2-LOCATIONS,1,8ff749315d15470116874cc2d4a7f0eb62dd3be36ae19e9511f3fded89010bcd,swap,5,11,0,3,0,8172671,False,INFEASIBLE_OR_ERROR,,,,0.0016814999980852008,"China81 route skeleton has no feasible all-CV completion: TIME_WINDOW:CH81-0006:C015:late by 16341.900 s (due l=50440.963, start=66782.862); TIME_WINDOW:CH81-0006:C004:late by 18154.547 s (due l=49760.515, start=67915.062); TIME_WINDOW:CH81-0006:C032:late by 17242.632 s (due l=51860.430, start=69103.062); TIME_WINDOW:CH81-0006:C002:late by 17915.628 s (due l=52149.734, start=70065.362); CAPACITY:CH81-0012:D_chongqing:initial load 1875.000000 exceeds Q=1735.000000; TIME_WINDOW:CH81-0012:C019:late by 12881.462 s (due l=49193.238, start=62074.700); TIME_WINDOW:CH81-0012:C043:late by 15757.845 s (due l=60062.055, start=75819.900); TIME_WINDOW:CH81-0012:C066:late by 11449.453 s (due l=65192.147, start=76641.600)"
cn-cy-100c-01-V2-LOCATIONS__seed1,cn-cy-100c-01-V2-LOCATIONS,1,435f6b3aa234f4e701171caa094a234f60e0336b6c987e7119047474cbf7bbb0,swap,4,2,3,5,0,5192141,True,PASS,5189.088920625254,-12.295650059860236,0,0.2999767499859445,
cn-cy-100c-01-V2-LOCATIONS__seed1,cn-cy-100c-01-V2-LOCATIONS,1,8b2da66121d77ab58bb30b1b2a1b795fe4b39ea3843f127af571df0936322bee,swap,14,8,1,4,0,5458954,False,INFEASIBLE_OR_ERROR,,,,0.0022857910371385515,"China81 route skeleton has no feasible all-CV completion: TIME_WINDOW:CH81-0009:C094:late by 3291.884 s (due l=47708.998, start=51000.882); TIME_WINDOW:CH81-0015:C090:late by 5827.633 s (due l=50166.385, start=55994.018); TIME_WINDOW:CH81-0015:C058:late by 5311.238 s (due l=51657.980, start=56969.218)"
cn-cy-100c-01-V2-LOCATIONS__seed1,cn-cy-100c-01-V2-LOCATIONS,1,52a621b8bd0891ac319d956ef5c792b44b6b2a83c80d06e3ead9137ff9741321,swap,3,15,4,1,0,8365596,False,INFEASIBLE_OR_ERROR,,,,0.0018531670211814344,"China81 route skeleton has no feasible all-CV completion: TIME_WINDOW:CH81-0004:C078:late by 25180.698 s (due l=46426.186, start=71606.884); TIME_WINDOW:CH81-0004:D_chengdu:late by 4780.084 s (due l=79200.000, start=83980.084); CAPACITY:CH81-0016:D_chongqing:initial load 1806.000000 exceeds Q=1735.000000; TIME_WINDOW:CH81-0016:C071:late by 25005.560 s (due l=49088.757, start=74094.317); TIME_WINDOW:CH81-0016:C076:late by 24402.171 s (due l=50411.946, start=74814.117); TIME_WINDOW:CH81-0016:C062:late by 19366.456 s (due l=56355.461, start=75721.917); TIME_WINDOW:CH81-0016:C050:late by 13058.730 s (due l=63924.486, start=76983.217); TIME_WINDOW:CH81-0016:D_chongqing:late by 819.417 s (due l=79200.000, start=80019.417)"
cn-cy-100c-01-V2-LOCATIONS__seed1,cn-cy-100c-01-V2-LOCATIONS,1,d0e5c06d5152853e0bace0d6f1e0eb3532fd2e705028bf67d9a0a19463773c37,swap,9,13,1,0,0,5217325,False,INFEASIBLE_OR_ERROR,,,,0.001708832976873964,"China81 route skeleton has no feasible all-CV completion: TIME_WINDOW:CH81-0014:C045:late by 65.117 s (due l=50751.632, start=50816.748)"
cn-cy-100c-01-V2-LOCATIONS__seed1,cn-cy-100c-01-V2-LOCATIONS,1,3808145ab11b6d24b47e85387b34439253312a12e231ffbcb93d2a2c00ffc6d4,swap,13,8,6,1,0,5662050,False,INFEASIBLE_OR_ERROR,,,,0.0011342500220052898,"China81 route skeleton has no feasible all-CV completion: TIME_WINDOW:CH81-0009:C093:late by 6053.180 s (due l=48634.504, start=54687.683); TIME_WINDOW:CH81-0009:C087:late by 4127.963 s (due l=51665.920, start=55793.883); CAPACITY:CH81-0014:D_chongqing:initial load 1806.000000 exceeds Q=1735.000000; TIME_WINDOW:CH81-0014:C067:late by 10765.653 s (due l=45131.022, start=55896.674)"
