scope,algorithm,seed,run_id,verdict,flags,native_best_updates,route_count_unique
run,t3_main_alns,2,C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-200c-01__t3_main_alns__seed2,ALNS_ROUTE_COUNT_INFO,LOW_ROUTE_COUNT_DIVERSITY_INFO,84,1
run,t3_main_alns,3,C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-200c-01__t3_main_alns__seed3,ALNS_ROUTE_COUNT_INFO,LOW_ROUTE_COUNT_DIVERSITY_INFO,124,1
run,LNS,1,C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-200c-02__LNS__seed1,BASELINE_LIVENESS_PASS,,42,5
run,LNS,2,C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-200c-02__LNS__seed2,BASELINE_LIVENESS_FAIL,LOW_ROUTE_COUNT_DIVERSITY,25,4
run,LNS,3,C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-200c-02__LNS__seed3,BASELINE_LIVENESS_PASS,,32,5
run,t3_main_alns,1,C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-200c-02__t3_main_alns__seed1,ALNS_ROUTE_COUNT_INFO,LOW_ROUTE_COUNT_DIVERSITY_INFO,68,1
run,t3_main_alns,2,C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-200c-02__t3_main_alns__seed2,ALNS_ROUTE_COUNT_INFO,LOW_ROUTE_COUNT_DIVERSITY_INFO,79,1
run,t3_main_alns,3,C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-200c-02__t3_main_alns__seed3,ALNS_ROUTE_COUNT_INFO,LOW_ROUTE_COUNT_DIVERSITY_INFO,81,1
run,LNS,1,C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-200c-03__LNS__seed1,BASELINE_LIVENESS_PASS,,20,6
run,LNS,2,C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-200c-03__LNS__seed2,BASELINE_LIVENESS_PASS,,22,6
run,LNS,3,C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-200c-03__LNS__seed3,BASELINE_LIVENESS_PASS,,16,5
run,t3_main_alns,1,C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-200c-03__t3_main_alns__seed1,ALNS_ROUTE_COUNT_INFO,LOW_ROUTE_COUNT_DIVERSITY_INFO,85,1
run,t3_main_alns,2,C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-200c-03__t3_main_alns__seed2,ALNS_ROUTE_COUNT_INFO,LOW_ROUTE_COUNT_DIVERSITY_INFO,90,1
run,t3_main_alns,3,C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-200c-03__t3_main_alns__seed3,ALNS_ROUTE_COUNT_INFO,LOW_ROUTE_COUNT_DIVERSITY_INFO,94,1
algorithm_seed_group,LNS,1|2|3|1|2|3|1|2|3|1|2|3|1|2|3|1|2|3|1|2|3|1|2|3|1|2|3,,SEED_VARIATION_OK,,,
algorithm_seed_group,t3_main_alns,1|2|3|1|2|3|1|2|3|1|2|3|1|2|3|1|2|3|1|2|3|1|2|3|1|2|3,,SEED_VARIATION_OK,,,
