category,instance,seed,profile,display_algorithm,best_cost,route_count,native_best_updates,scan_restart_attempts,scan_restart_accepts,scan_rebuild_attempts,scan_rebuild_accepts,scan_infeasible,route_elimination_selected_count,route_elimination_best_improve_count,route_elimination_objective_improve_count,route_elimination_accepted_non_improve_count,route_elimination_rejected_or_reverted_count,route_elimination_route_count_drop_count,route_elimination_reverted_reason,local_search_call_count,local_search_seconds,local_search_improve_count,local_search_route_count_delta,best_update_operator_distribution,best_update_operator_route_counts,history_route_count_available,destroy_operator_counts,repair_operator_counts
multidepot,e2-multidepot-15c-01,2,A0_CURRENT,alns_e2_throughput+LOCAL_SEARCH,649.8601526479185,3,6,1,0,63,0,64,0,0,0,0,0,UNKNOWN,UNKNOWN,1966,5.2870625391369686,UNKNOWN,UNKNOWN,random_customer_removal+regret2_insert_repair:6,random_customer_removal+regret2_insert_repair:UNKNOWN,False,"random_customer_removal:6,7,7,5877|route_segment_removal:0,0,0,993|shaw_related_removal:0,20,19,6024|vehicle_type_swap:0,0,0,993|whole_route_removal:0,0,0,994|worst_customer_removal:0,0,0,996","greedy_insert_repair:0,0,0,1990|regret2_insert_repair:6,7,7,6870|regret3_insert_repair:0,20,19,7017"
multidepot,e2-multidepot-15c-01,3,A0_CURRENT,alns_e2_throughput+LOCAL_SEARCH,649.8601526479185,3,2,1,0,63,0,64,0,0,0,0,0,UNKNOWN,UNKNOWN,1233,1.7533363619004376,UNKNOWN,UNKNOWN,random_customer_removal+greedy_insert_repair:2,random_customer_removal+greedy_insert_repair:UNKNOWN,False,"random_customer_removal:2,16,12,7648|route_segment_removal:0,0,0,1503|shaw_related_removal:0,2,1,2243|vehicle_type_swap:0,0,0,1503|whole_route_removal:0,0,0,1503|worst_customer_removal:0,0,0,1503","greedy_insert_repair:2,16,12,9151|regret2_insert_repair:0,2,1,3746|regret3_insert_repair:0,0,0,3006"
multidepot,e2-multidepot-20c-01,1,A0_CURRENT,alns_e2_throughput+LOCAL_SEARCH,707.0076075763136,3,11,1,0,62,0,63,0,0,0,0,0,UNKNOWN,UNKNOWN,2352,7.512645408889512,UNKNOWN,UNKNOWN,random_customer_removal+greedy_insert_repair:9|shaw_related_removal+regret3_insert_repair:2,random_customer_removal+greedy_insert_repair:UNKNOWN|shaw_related_removal+regret3_insert_repair:UNKNOWN,False,"random_customer_removal:9,20,19,9935|route_segment_removal:0,0,0,954|shaw_related_removal:2,0,0,2136|vehicle_type_swap:0,0,0,954|whole_route_removal:0,0,0,954|worst_customer_removal:0,0,0,954","greedy_insert_repair:9,20,19,10889|regret2_insert_repair:0,0,0,1908|regret3_insert_repair:2,0,0,3090"
multidepot,e2-multidepot-20c-01,2,A0_CURRENT,alns_e2_throughput+LOCAL_SEARCH,705.750850756463,3,8,1,0,62,0,63,0,0,0,0,0,UNKNOWN,UNKNOWN,1657,9.045608642103616,UNKNOWN,UNKNOWN,random_customer_removal+greedy_insert_repair:6|shaw_related_removal+regret3_insert_repair:1|worst_customer_removal+regret2_insert_repair:1,random_customer_removal+greedy_insert_repair:UNKNOWN|shaw_related_removal+regret3_insert_repair:UNKNOWN|worst_customer_removal+regret2_insert_repair:UNKNOWN,False,"random_customer_removal:6,18,17,8992|route_segment_removal:0,0,0,1104|shaw_related_removal:1,0,0,1795|vehicle_type_swap:0,0,0,1104|whole_route_removal:0,0,0,1104|worst_customer_removal:1,0,0,1795","greedy_insert_repair:6,17,17,9795|regret2_insert_repair:1,0,0,2899|regret3_insert_repair:1,1,0,3200"
multidepot,e2-multidepot-20c-01,3,A0_CURRENT,alns_e2_throughput+LOCAL_SEARCH,705.750850756463,3,14,1,0,62,0,63,0,0,0,0,0,UNKNOWN,UNKNOWN,1659,8.668594658316579,UNKNOWN,UNKNOWN,random_customer_removal+greedy_insert_repair:13|worst_customer_removal+regret2_insert_repair:1,random_customer_removal+greedy_insert_repair:UNKNOWN|worst_customer_removal+regret2_insert_repair:UNKNOWN,False,"random_customer_removal:13,12,15,10322|route_segment_removal:0,0,0,984|shaw_related_removal:0,0,0,986|vehicle_type_swap:0,0,0,984|whole_route_removal:0,0,0,984|worst_customer_removal:1,0,0,1636","greedy_insert_repair:13,12,15,11306|regret2_insert_repair:1,0,0,2620|regret3_insert_repair:0,0,0,1970"
multidepot,e2-multidepot-50c-01,1,A0_CURRENT,alns_e2_throughput+LOCAL_SEARCH,1267.7182507006753,7,37,1,0,61,0,62,0,0,0,0,0,UNKNOWN,UNKNOWN,7968,121.81089043640532,UNKNOWN,UNKNOWN,random_customer_removal+greedy_insert_repair:36|vehicle_type_swap+greedy_insert_repair:1,random_customer_removal+greedy_insert_repair:UNKNOWN|vehicle_type_swap+greedy_insert_repair:UNKNOWN,False,"random_customer_removal:36,16,2696,13025|route_segment_removal:0,0,1,22|shaw_related_removal:0,0,2,28|vehicle_type_swap:1,0,0,81|whole_route_removal:0,0,0,15|worst_customer_removal:0,0,0,15","greedy_insert_repair:37,16,2697,13113|regret2_insert_repair:0,0,2,43|regret3_insert_repair:0,0,0,30"
multidepot,e2-multidepot-50c-01,2,A0_CURRENT,alns_e2_throughput+LOCAL_SEARCH,1193.3883632185073,7,32,1,0,60,0,61,0,0,0,0,0,UNKNOWN,UNKNOWN,9424,175.69944392883917,UNKNOWN,UNKNOWN,random_customer_removal+greedy_insert_repair:21|random_customer_removal+regret3_insert_repair:7|route_segment_removal+greedy_insert_repair:2|shaw_related_removal+regret3_insert_repair:1|vehicle_type_swap+greedy_insert_repair:1,random_customer_removal+greedy_insert_repair:UNKNOWN|random_customer_removal+regret3_insert_repair:UNKNOWN|route_segment_removal+greedy_insert_repair:UNKNOWN|shaw_related_removal+regret3_insert_repair:UNKNOWN|vehicle_type_swap+greedy_insert_repair:UNKNOWN,False,"random_customer_removal:28,17,5846,9600|route_segment_removal:2,0,49,267|shaw_related_removal:1,0,0,58|vehicle_type_swap:1,0,0,58|whole_route_removal:0,0,0,6|worst_customer_removal:0,0,0,6","greedy_insert_repair:24,17,717,3600|regret2_insert_repair:0,0,0,12|regret3_insert_repair:8,0,5178,6383"
multidepot,e2-multidepot-50c-01,3,A0_CURRENT,alns_e2_throughput+LOCAL_SEARCH,1192.938027839612,7,44,1,0,60,0,61,0,0,0,0,0,UNKNOWN,UNKNOWN,10294,193.01438103753026,UNKNOWN,UNKNOWN,random_customer_removal+greedy_insert_repair:43|vehicle_type_swap+greedy_insert_repair:1,random_customer_removal+greedy_insert_repair:UNKNOWN|vehicle_type_swap+greedy_insert_repair:UNKNOWN,False,"random_customer_removal:43,16,6776,9059|route_segment_removal:0,0,0,3|shaw_related_removal:0,0,0,3|vehicle_type_swap:1,0,0,32|whole_route_removal:0,0,0,3|worst_customer_removal:0,0,0,3","greedy_insert_repair:44,16,6775,9088|regret2_insert_repair:0,0,0,6|regret3_insert_repair:0,0,1,9"
multidepot,e2-multidepot-75c-01,1,A0_CURRENT,alns_e2_throughput+LOCAL_SEARCH,2041.9845583532313,11,76,1,0,56,0,57,0,0,0,0,0,UNKNOWN,UNKNOWN,9892,209.95226987174829,UNKNOWN,UNKNOWN,random_customer_removal+greedy_insert_repair:76,random_customer_removal+greedy_insert_repair:UNKNOWN,False,"random_customer_removal:76,8,3344,12485|route_segment_removal:0,0,0,6|shaw_related_removal:0,0,0,6|vehicle_type_swap:0,0,0,6|whole_route_removal:0,0,0,6|worst_customer_removal:0,0,0,6","greedy_insert_repair:76,8,3342,12481|regret2_insert_repair:0,0,2,22|regret3_insert_repair:0,0,0,12"
multidepot,e2-multidepot-75c-01,2,A0_CURRENT,alns_e2_throughput+LOCAL_SEARCH,2010.0586625413714,11,52,1,0,58,0,59,0,0,0,0,0,UNKNOWN,UNKNOWN,13776,358.0334423535387,UNKNOWN,UNKNOWN,random_customer_removal+greedy_insert_repair:39|random_customer_removal+regret3_insert_repair:10|route_segment_removal+regret2_insert_repair:1|vehicle_type_swap+greedy_insert_repair:2,random_customer_removal+greedy_insert_repair:UNKNOWN|random_customer_removal+regret3_insert_repair:UNKNOWN|route_segment_removal+regret2_insert_repair:UNKNOWN|vehicle_type_swap+greedy_insert_repair:UNKNOWN,False,"random_customer_removal:49,14,3542,12088|route_segment_removal:1,0,9,98|shaw_related_removal:0,0,0,9|vehicle_type_swap:2,0,0,111|whole_route_removal:0,0,0,9|worst_customer_removal:0,0,0,9","greedy_insert_repair:41,14,684,4405|regret2_insert_repair:1,0,9,107|regret3_insert_repair:10,0,2858,7812"
multidepot,e2-multidepot-75c-01,3,A0_CURRENT,alns_e2_throughput+LOCAL_SEARCH,2085.5026899963696,11,36,1,0,60,0,61,0,0,0,0,0,UNKNOWN,UNKNOWN,9849,234.65793935020338,UNKNOWN,UNKNOWN,random_customer_removal+regret2_insert_repair:35|vehicle_type_swap+greedy_insert_repair:1,random_customer_removal+regret2_insert_repair:UNKNOWN|vehicle_type_swap+greedy_insert_repair:UNKNOWN,False,"random_customer_removal:35,24,4595,11206|route_segment_removal:0,0,1,11|shaw_related_removal:0,0,0,6|vehicle_type_swap:1,0,0,48|whole_route_removal:0,0,0,6|worst_customer_removal:0,0,0,6","greedy_insert_repair:1,0,0,54|regret2_insert_repair:35,24,4596,11217|regret3_insert_repair:0,0,0,12"
threeshift,e2-threeshift-100c-01,1,A0_CURRENT,alns_e2_throughput+LOCAL_SEARCH,2723.2098966075837,14,54,1,0,60,0,61,0,0,0,0,0,UNKNOWN,UNKNOWN,14213,688.2760457122931,UNKNOWN,UNKNOWN,random_customer_removal+regret2_insert_repair:50|vehicle_type_swap+greedy_insert_repair:4,random_customer_removal+regret2_insert_repair:UNKNOWN|vehicle_type_swap+greedy_insert_repair:UNKNOWN,False,"random_customer_removal:50,12,6112,9625|route_segment_removal:0,0,0,3|shaw_related_removal:0,0,0,3|vehicle_type_swap:4,0,0,124|whole_route_removal:0,0,0,3|worst_customer_removal:0,0,0,3","greedy_insert_repair:4,0,0,127|regret2_insert_repair:50,12,6112,9628|regret3_insert_repair:0,0,0,6"
threeshift,e2-threeshift-100c-01,2,A0_CURRENT,alns_e2_throughput+LOCAL_SEARCH,2820.4571745731005,14,48,1,0,55,0,56,0,0,0,0,0,UNKNOWN,UNKNOWN,13518,515.5692080966837,UNKNOWN,UNKNOWN,random_customer_removal+greedy_insert_repair:47|vehicle_type_swap+regret3_insert_repair:1,random_customer_removal+greedy_insert_repair:UNKNOWN|vehicle_type_swap+regret3_insert_repair:UNKNOWN,False,"random_customer_removal:47,22,4740,11079|route_segment_removal:0,0,0,3|shaw_related_removal:0,0,0,3|vehicle_type_swap:1,0,0,43|whole_route_removal:0,0,0,3|worst_customer_removal:0,0,0,3","greedy_insert_repair:47,22,4740,11082|regret2_insert_repair:0,0,0,6|regret3_insert_repair:1,0,0,46"
threeshift,e2-threeshift-100c-01,3,A0_CURRENT,alns_e2_throughput+LOCAL_SEARCH,2692.3220464783494,13,37,1,0,61,0,62,0,0,0,0,0,UNKNOWN,UNKNOWN,11226,546.6769678196579,UNKNOWN,UNKNOWN,random_customer_removal+regret2_insert_repair:36|vehicle_type_swap+greedy_insert_repair:1,random_customer_removal+regret2_insert_repair:UNKNOWN|vehicle_type_swap+greedy_insert_repair:UNKNOWN,False,"random_customer_removal:36,13,2998,12761|route_segment_removal:0,0,0,12|shaw_related_removal:0,0,0,12|vehicle_type_swap:1,0,0,73|whole_route_removal:0,0,1,19|worst_customer_removal:0,0,0,12","greedy_insert_repair:1,0,1,92|regret2_insert_repair:36,13,2998,12773|regret3_insert_repair:0,0,0,24"
threeshift,e2-threeshift-150c-01,1,A0_CURRENT,alns_e2_throughput+LOCAL_SEARCH,4177.50598222582,22,75,1,0,54,0,55,0,0,0,0,0,UNKNOWN,UNKNOWN,7616,630.7351990312454,UNKNOWN,UNKNOWN,route_segment_removal+greedy_insert_repair:1|route_segment_removal+regret2_insert_repair:64|vehicle_type_swap+greedy_insert_repair:4|whole_route_removal+regret2_insert_repair:6,route_segment_removal+greedy_insert_repair:UNKNOWN|route_segment_removal+regret2_insert_repair:UNKNOWN|vehicle_type_swap+greedy_insert_repair:UNKNOWN|whole_route_removal+regret2_insert_repair:UNKNOWN,False,"random_customer_removal:0,0,1,16|route_segment_removal:65,1,2724,12378|shaw_related_removal:0,1,1,41|vehicle_type_swap:4,0,0,210|whole_route_removal:6,1,35,452|worst_customer_removal:0,0,0,9","greedy_insert_repair:5,2,59,543|regret2_insert_repair:70,1,2689,12484|regret3_insert_repair:0,0,13,79"
threeshift,e2-threeshift-150c-01,2,A0_CURRENT,alns_e2_throughput+LOCAL_SEARCH,3948.141136593668,22,126,1,0,48,0,49,0,0,0,0,0,UNKNOWN,UNKNOWN,6385,694.9121732303756,UNKNOWN,UNKNOWN,random_customer_removal+regret3_insert_repair:44|route_segment_removal+greedy_insert_repair:65|shaw_related_removal+regret2_insert_repair:12|vehicle_type_swap+greedy_insert_repair:5,random_customer_removal+regret3_insert_repair:UNKNOWN|route_segment_removal+greedy_insert_repair:UNKNOWN|shaw_related_removal+regret2_insert_repair:UNKNOWN|vehicle_type_swap+greedy_insert_repair:UNKNOWN,False,"random_customer_removal:44,0,959,2593|route_segment_removal:65,10,2889,8627|shaw_related_removal:12,3,13,479|vehicle_type_swap:5,4,2,234|whole_route_removal:0,0,1,8|worst_customer_removal:0,0,0,3","greedy_insert_repair:70,13,2853,8751|regret2_insert_repair:12,3,13,483|regret3_insert_repair:44,1,998,2710"
threeshift,e2-threeshift-150c-01,3,A0_CURRENT,alns_e2_throughput+LOCAL_SEARCH,3606.94552015496,21,103,1,0,56,0,57,0,0,0,0,0,UNKNOWN,UNKNOWN,3421,352.4132794457546,UNKNOWN,UNKNOWN,random_customer_removal+regret2_insert_repair:93|route_segment_removal+regret3_insert_repair:1|vehicle_type_swap+greedy_insert_repair:6|whole_route_removal+regret3_insert_repair:3,random_customer_removal+regret2_insert_repair:UNKNOWN|route_segment_removal+regret3_insert_repair:UNKNOWN|vehicle_type_swap+greedy_insert_repair:UNKNOWN|whole_route_removal+regret3_insert_repair:UNKNOWN,False,"random_customer_removal:93,8,125,6021|route_segment_removal:1,0,1590,7430|shaw_related_removal:0,0,0,18|vehicle_type_swap:6,0,0,389|whole_route_removal:3,0,5,236|worst_customer_removal:0,0,0,18","greedy_insert_repair:6,0,1322,6479|regret2_insert_repair:93,8,125,6039|regret3_insert_repair:4,0,273,1594"
threeshift,e2-threeshift-50c-01,1,A0_CURRENT,alns_e2_throughput+LOCAL_SEARCH,1363.4454483400793,7,32,1,0,61,0,62,0,0,0,0,0,UNKNOWN,UNKNOWN,9320,244.39077365290723,UNKNOWN,UNKNOWN,random_customer_removal+greedy_insert_repair:32,random_customer_removal+greedy_insert_repair:UNKNOWN,False,"random_customer_removal:32,8,3570,12252|route_segment_removal:0,0,4,29|shaw_related_removal:0,0,1,15|vehicle_type_swap:0,0,0,9|whole_route_removal:0,0,0,9|worst_customer_removal:0,0,0,9","greedy_insert_repair:32,8,3571,12267|regret2_insert_repair:0,0,2,28|regret3_insert_repair:0,0,2,28"
threeshift,e2-threeshift-50c-01,2,A0_CURRENT,alns_e2_throughput+LOCAL_SEARCH,1420.3531046008047,8,29,1,0,59,0,60,0,0,0,0,0,UNKNOWN,UNKNOWN,9759,285.9828417094541,UNKNOWN,UNKNOWN,random_customer_removal+greedy_insert_repair:28|vehicle_type_swap+greedy_insert_repair:1,random_customer_removal+greedy_insert_repair:UNKNOWN|vehicle_type_swap+greedy_insert_repair:UNKNOWN,False,"random_customer_removal:28,17,5071,10758|route_segment_removal:0,0,0,3|shaw_related_removal:0,0,2,11|vehicle_type_swap:1,0,0,43|whole_route_removal:0,0,0,3|worst_customer_removal:0,0,0,3","greedy_insert_repair:29,17,5070,10796|regret2_insert_repair:0,0,2,14|regret3_insert_repair:0,0,1,11"
threeshift,e2-threeshift-50c-01,3,A0_CURRENT,alns_e2_throughput+LOCAL_SEARCH,1345.795527227774,7,23,1,0,60,0,61,0,0,0,0,0,UNKNOWN,UNKNOWN,9874,256.8343546806136,UNKNOWN,UNKNOWN,random_customer_removal+greedy_insert_repair:16|random_customer_removal+regret2_insert_repair:3|vehicle_type_swap+greedy_insert_repair:1|vehicle_type_swap+regret2_insert_repair:1|worst_customer_removal+regret2_insert_repair:2,random_customer_removal+greedy_insert_repair:UNKNOWN|random_customer_removal+regret2_insert_repair:UNKNOWN|vehicle_type_swap+greedy_insert_repair:UNKNOWN|vehicle_type_swap+regret2_insert_repair:UNKNOWN|worst_customer_removal+regret2_insert_repair:UNKNOWN,False,"random_customer_removal:19,23,2575,12724|route_segment_removal:0,0,6,69|shaw_related_removal:0,0,0,21|vehicle_type_swap:2,0,0,193|whole_route_removal:0,0,0,21|worst_customer_removal:2,0,14,270","greedy_insert_repair:17,23,115,2549|regret2_insert_repair:6,0,2478,10688|regret3_insert_repair:0,0,2,61"
threeshift,e2-threeshift-75c-01,1,A0_CURRENT,alns_e2_throughput+LOCAL_SEARCH,1989.350787509351,11,65,1,0,54,0,55,0,0,0,0,0,UNKNOWN,UNKNOWN,13020,589.0789497054066,UNKNOWN,UNKNOWN,random_customer_removal+greedy_insert_repair:62|route_segment_removal+regret2_insert_repair:1|whole_route_removal+regret2_insert_repair:2,random_customer_removal+greedy_insert_repair:UNKNOWN|route_segment_removal+regret2_insert_repair:UNKNOWN|whole_route_removal+regret2_insert_repair:UNKNOWN,False,"random_customer_removal:62,18,7431,8268|route_segment_removal:1,0,19,58|shaw_related_removal:0,0,0,3|vehicle_type_swap:0,0,0,3|whole_route_removal:2,0,6,62|worst_customer_removal:0,0,3,9","greedy_insert_repair:62,18,7432,8273|regret2_insert_repair:3,0,24,118|regret3_insert_repair:0,0,3,12"
threeshift,e2-threeshift-75c-01,2,A0_CURRENT,alns_e2_throughput+LOCAL_SEARCH,1926.7605333107183,11,55,1,0,60,0,61,0,0,0,0,0,UNKNOWN,UNKNOWN,9830,466.0015616893943,UNKNOWN,UNKNOWN,random_customer_removal+greedy_insert_repair:48|vehicle_type_swap+greedy_insert_repair:3|whole_route_removal+regret3_insert_repair:3|worst_customer_removal+regret2_insert_repair:1,random_customer_removal+greedy_insert_repair:UNKNOWN|vehicle_type_swap+greedy_insert_repair:UNKNOWN|whole_route_removal+regret3_insert_repair:UNKNOWN|worst_customer_removal+regret2_insert_repair:UNKNOWN,False,"random_customer_removal:48,17,409,2910|route_segment_removal:0,0,4208,8001|shaw_related_removal:0,0,0,6|vehicle_type_swap:3,0,0,119|whole_route_removal:3,0,10,151|worst_customer_removal:1,0,1,52","greedy_insert_repair:51,17,411,3039|regret2_insert_repair:1,0,4211,8059|regret3_insert_repair:3,0,6,141"
