algorithm,all_cv_flag,charging_actions,cost_carbon,cost_carbon_share_pct,cost_elec,cost_elec_share_pct,cost_fix,cost_fix_share_pct,cost_fuel,cost_fuel_share_pct,cost_km,cost_km_share_pct,cost_occ,cost_occ_share_pct,cost_transship,cost_transship_share_pct,cv_routes,ev_routes,evaluations,feasible,instance,route_count,run_elapsed_seconds,seed,total_cost,violation_count
scikit-opt-SA,False,58,30.706793557891388,0.40102023895691313,548.560165819689,7.164008458405831,4960.0,64.77590639596811,215.45579876705048,2.8137791639925407,1894.2680364492119,24.738493753610573,8.177242052463178,0.10679198906603407,0.0,0.0,5,57,16000,True,Scale-200,62,513.3033426250331,1,7657.168036646306,0
scikit-opt-SA,False,54,39.92432570962225,0.5177447742194929,486.30610870717624,6.306492144298745,4960.0,64.3220401217637,333.7611006995594,4.32826510287925,1891.2066647705833,24.52545785683879,0.0,0.0,0.0,0.0,8,54,16000,True,Scale-200,62,477.5205207919935,2,7711.198199886941,0
scikit-opt-SA,False,58,27.42217458410998,0.3660488431368518,524.3636138556483,6.9995431487822914,4960.0,66.20927368068217,177.68888999079354,2.371905715205056,1801.9230129583732,24.05322861219362,0.0,0.0,0.0,0.0,4,58,16000,True,Scale-200,62,535.5568787080701,3,7491.397691388925,0
scikit-opt-SA,False,56,34.391344089906774,0.449355632394322,522.5081492443719,6.827066113528218,4960.0,64.80711922305909,248.17744808107773,3.242674489166323,1888.4032000614106,24.673784541852047,0.0,0.0,0.0,0.0,6,56,16000,True,Scale-200,62,509.5587081669364,4,7653.480141476766,0
scikit-opt-SA,False,56,32.40756867012862,0.4290382209585724,503.267113449841,6.662666651093111,4960.0,65.66458587545975,238.20609302779064,3.1535694459034502,1819.6580675507932,24.09013980658512,0.0,0.0,0.0,0.0,6,56,16000,True,Scale-200,62,523.9146008329699,5,7553.538842698554,0
scikit-opt-SA,False,55,38.74115933537698,0.49830228331512183,511.7668250794675,6.5825231313911505,4960.0,63.79724736285964,316.3906418135244,4.069526620780512,1947.7314793450028,25.052400601653567,0.0,0.0,0.0,0.0,7,55,16000,True,Scale-200,62,500.057365457993,6,7774.630105573372,0
scikit-opt-SA,False,56,32.655761199865594,0.4255594585381641,530.100200541902,6.908096642821866,4960.0,64.63713711741565,243.5925348113541,3.174420176084746,1907.2586915096533,24.854786605139562,0.0,0.0,0.0,0.0,6,56,16000,True,Scale-200,62,467.7056692079641,7,7673.607188062776,0
scikit-opt-SA,False,55,31.975049753448644,0.4285335153216271,500.739795635081,6.710975793299292,4880.0,65.40235498911117,237.77078678292412,3.186633074429727,1811.0193867418116,24.271502627838192,0.0,0.0,0.0,0.0,6,55,16000,True,Scale-200,61,444.78076441702433,8,7461.505018913264,0
scikit-opt-SA,False,56,31.5353638443128,0.4202185554624818,493.82031822154784,6.580309705813191,4960.0,66.09354645102016,234.12912013382723,3.119843523609191,1785.0300352295608,23.786081764094984,0.0,0.0,0.0,0.0,6,56,16000,True,Scale-200,62,229.26661425002385,9,7504.5148374292485,0
scikit-opt-SA,False,57,32.28725715103897,0.4283245697658849,493.66066471268164,6.548930150190722,4960.0,65.7996390371743,248.39757479713612,3.2952562014840847,1803.4916351791073,23.92522149220736,0.19814096417393046,0.002628549177645627,0.0,0.0,6,56,16000,True,Scale-200,62,220.8260093749268,10,7538.035272804138,0
