actual_evals,algorithm,best_obj,bundle,candidate_scores,current_obj,eval_budget,feasible,fresh_bundle,pomo_group,pomo_rollout,repair_delta_count,reward_sum,scale,seed,steps,violation_count,wall_time_seconds,worker_integrity_ok,worker_numpy_version,worker_python_executable
120,learned_destroy,546.3949617944293,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_18__curric_d2_s3_seed24016_24h,120,546.3949617944293,120,True,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_18__curric_d2_s3_seed24016_24h,5,3,25701,56.0,25c,24,120,0,7.952999999979511,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,626.3107229220433,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_11__curric_d2_s3_seed24066_24h,120,627.2442986014842,120,True,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_11__curric_d2_s3_seed24066_24h,6,0,20950,104.0,25c,25,120,0,6.218999999924563,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,644.4632514430302,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_11__curric_d2_s3_seed24066_24h,120,644.4632514430302,120,True,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_11__curric_d2_s3_seed24066_24h,6,1,25363,83.0,25c,26,120,0,6.14000000001397,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,623.4064468226434,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_11__curric_d2_s3_seed24066_24h,120,623.7390637153319,120,True,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_11__curric_d2_s3_seed24066_24h,6,2,25132,110.0,25c,27,120,0,6.875,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,627.3611921945401,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_11__curric_d2_s3_seed24066_24h,120,627.3611921945401,120,True,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_11__curric_d2_s3_seed24066_24h,6,3,26368,100.0,25c,28,120,0,6.48499999998603,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,599.6865133259274,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_13__curric_d2_s3_seed24030_24h,120,599.6865133259274,120,True,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_13__curric_d2_s3_seed24030_24h,7,0,27963,83.0,25c,29,120,0,6.922000000020489,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,601.1739573513073,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_13__curric_d2_s3_seed24030_24h,120,601.1739573513073,120,True,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_13__curric_d2_s3_seed24030_24h,7,1,27640,40.0,25c,30,120,0,7.483999999938533,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,600.3640112639395,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_13__curric_d2_s3_seed24030_24h,120,600.378842089105,120,True,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_13__curric_d2_s3_seed24030_24h,7,2,28532,70.0,25c,31,120,0,7.437999999965541,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,598.8608116978934,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_13__curric_d2_s3_seed24030_24h,120,599.1539364216557,120,True,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_13__curric_d2_s3_seed24030_24h,7,3,27726,73.0,25c,32,120,0,5.89000000001397,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,446.8976803579667,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_15__curric_d2_s3_seed24127_24h,120,448.6139278345836,120,True,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_15__curric_d2_s3_seed24127_24h,8,0,22811,49.0,25c,33,120,0,5.545999999972992,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
120,learned_destroy,448.1135860994636,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_15__curric_d2_s3_seed24127_24h,120,449.5798088449949,120,True,models/data_bundle/generated_instances/pilot24_data_generalization/E-UK25_15__curric_d2_s3_seed24127_24h,8,1,23830,65.0,25c,34,120,0,5.547000000020489,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
