check,detail,passed,search_evaluations
C205::hgs_adaptive_elite_alns_03.coverage_capacity_time,"{""capacity"": true, ""coverage"": true, ""route_limit"": true, ""time_windows"": true}",True,0
C205::hgs_adaptive_elite_alns_03.route_count,recorded=3; recomputed=3,True,0
C205::hgs_adaptive_elite_alns_03.distance,recorded=588.8759626534238; recomputed=588.8759626534238,True,0
C205::hgs_adaptive_elite_alns_03.solution_sha,da6ce7efac8e9a8809064c22f1bf8b4dac7d204efe6e32e2f115487f0cb47de4,True,0
R208::hgs_adaptive_elite_alns_03.coverage_capacity_time,"{""capacity"": true, ""coverage"": true, ""route_limit"": true, ""time_windows"": true}",True,0
R208::hgs_adaptive_elite_alns_03.route_count,recorded=2; recomputed=2,True,0
R208::hgs_adaptive_elite_alns_03.distance,recorded=766.4731379341384; recomputed=766.4731379341384,True,0
R208::hgs_adaptive_elite_alns_03.solution_sha,2e117eae814b2d50e324af15ad49e0a5e19ef4efcbb66abe03d232240de5e1a4,True,0
C106::hgs_adaptive_elite_alns_03.coverage_capacity_time,"{""capacity"": true, ""coverage"": true, ""route_limit"": true, ""time_windows"": true}",True,0
C106::hgs_adaptive_elite_alns_03.route_count,recorded=10; recomputed=10,True,0
C106::hgs_adaptive_elite_alns_03.distance,recorded=828.9368669428342; recomputed=828.9368669428342,True,0
C106::hgs_adaptive_elite_alns_03.solution_sha,700da1dbca84617fc16ac0d7209a9833b05e7eadd60a3ad4b792ed71f26b0786,True,0
pairwise_recomputed,"{""hybrid_losses"": 2, ""hybrid_wins"": 2, ""ties"": 2}",True,0
bks_vehicle_excess_recomputed,pure=3; hybrid=11,True,0
decision_recomputed,STOP_HGS_AEALNS_03_ANY_LOSS,True,0
time_and_activation,all six hybrid runs triggered under accepted time limits,True,0
common_initial_per_instance,same initial hash in both arms,True,0
bks_blind_solver_inputs,parent loaded BKS only after all 12 solver tasks completed,True,0
source_input_protected_hashes,all paths still match the pre-run SHA-256 values,True,0
scope_stays_closed,all escalation flags false,True,0
