instance,clients,own_cost,baseline_cost,delta_own_minus_baseline,delta_pct,own_iterations,baseline_iterations,own_runtime_seconds,baseline_runtime_seconds,own_stop,baseline_stop,own_exact_cost,baseline_exact_cost,own_exact_feasible,baseline_exact_feasible,own_exact_time_warp,baseline_exact_time_warp,current_verified_bks
PR19A,700,10708,10676,32,0.299738,11321,25894,1200.054645,1200.021654,MAX_RUNTIME,MAX_RUNTIME,10721.709,10682.378,false,false,3.892,2.215,10521.112
PR19B,700,8136,8117,19,0.234077,10582,31851,1200.273732,1200.002412,MAX_RUNTIME,MAX_RUNTIME,8173.211,8141.050,false,false,4.188,3.248,8061.518
PR20A,880,11992,11919,73,0.612467,5478,19414,1200.085366,1200.022935,MAX_RUNTIME,MAX_RUNTIME,12018.254,11943.891,false,false,5.454,6.826,11686.369
PR20B,880,10252,10152,100,0.985028,5088,20519,1200.394827,1200.055672,MAX_RUNTIME,MAX_RUNTIME,10296.068,10208.797,false,false,2.050,5.961,10013.395
PR21A,420,6230,6256,-26,-0.415601,17561,16924,1140.243892,371.846550,CONVERGED_NO_IMPROVEMENT,CONVERGED_NO_IMPROVEMENT,6241.254,6258.630,true,false,0.000,0.391,6230.046
PR21B,420,4832,4917,-85,-1.728696,29104,19612,1113.393959,374.702279,CONVERGED_NO_IMPROVEMENT,CONVERGED_NO_IMPROVEMENT,4838.343,4923.530,false,false,0.350,1.351,4822.337
PR22A,600,7986,7950,36,0.452830,11913,32718,1200.262529,1200.033332,MAX_RUNTIME,MAX_RUNTIME,8007.954,7958.117,false,false,3.817,4.003,7868.943
PR22B,600,6459,6435,24,0.372960,11428,28661,1200.015201,877.732036,MAX_RUNTIME,CONVERGED_NO_IMPROVEMENT,6488.396,6454.917,false,false,0.317,0.351,6403.374
PR23A,780,10042,9864,178,1.804542,4920,26043,1200.181333,1184.107918,MAX_RUNTIME,CONVERGED_NO_IMPROVEMENT,10067.293,9880.017,false,false,3.115,1.970,9726.158
PR23B,780,8399,8391,8,0.095340,8787,30806,1200.222005,1200.006724,MAX_RUNTIME,MAX_RUNTIME,8446.498,8434.527,false,false,4.232,3.336,8317.649
PR24A,960,12027,11859,168,1.416646,4181,21483,1200.296855,1200.024130,MAX_RUNTIME,MAX_RUNTIME,12056.885,11904.626,false,false,1.304,3.509,11638.608
PR24B,960,10678,10544,134,1.270865,5228,30168,1200.033344,1200.024969,MAX_RUNTIME,MAX_RUNTIME,10740.729,10610.343,false,false,2.072,1.810,10486.450
