task_id,instance_id,region,customer_size,map_index,seed,grid_date,action_index,vehicle_id,station_id,station_type,station_city,station_capacity,energy_kwh,occupancy_minutes,start_energy_kwh,end_energy_kwh,charging_curve_id,earliest_start_second,latest_start_second,candidate_count,asap_start_second,carbon_start_second,start_moved,immovable_reason,asap_predicted_emissions_kg,carbon_predicted_emissions_kg,asap_actual_emissions_kg,carbon_actual_emissions_kg
E4-CARBON-TIMING-01,cn-cy-100c-01-V2-LOCATIONS,cy,100,1,1,2025-02-06,0,SP-EV-0001,D_chongqing,d,chongqing,2,39.57644544227043,107.93576029710117,0.0,39.57644544227043,NL90_mild,0.0,33400.38894217393,39,0.0,25923.854382174,1,,11.370171448217915,5.877892640857799,11.370171448217915,5.877892640857799
E4-CARBON-TIMING-01,cn-cy-100c-01-V2-LOCATIONS,cy,100,1,1,2025-02-06,1,SP-EV-0005,D_chongqing,d,chongqing,2,26.493055060030823,72.2537865273568,0.0,26.493055060030823,NL90_mild,0.0,42902.349228358595,49,7200.0,35264.772808359,1,,8.214722757751884,4.180730464973688,8.214722757751884,4.180730464973688
E4-CARBON-TIMING-01,cn-cy-100c-01-V2-LOCATIONS,cy,100,1,1,2025-02-06,2,SP-EV-0008,D_chongqing,d,chongqing,2,38.557921867300166,105.15796872900046,0.0,38.557921867300166,NL90_mild,0.0,33859.07425625998,39,0.0,26090.52187626,1,,11.07143848367914,5.722771500389821,11.07143848367914,5.722771500389821
E4-CARBON-TIMING-01,cn-cy-100c-01-V2-LOCATIONS,cy,100,1,1,2025-02-06,3,SP-EV-0012,D_chengdu,d,chengdu,2,20.08888424010135,54.787866109367314,0.0,20.08888424010135,NL90_mild,0.0,40382.06189343796,47,0.0,36000.0,1,,1.0345775383652194,0.0,1.0345775383652194,0.0
E4-CARBON-TIMING-01,cn-cy-100c-01-V2-LOCATIONS,cy,100,1,1,2025-02-06,4,SP-EV-0013,D_chengdu,d,chengdu,2,18.92795061512821,51.62168349580421,0.0,18.92795061512821,NL90_mild,0.0,44559.97045025174,51,0.0,36000.0,1,,0.974789456679103,0.0,0.974789456679103,0.0
E4-CARBON-TIMING-01,cn-cy-100c-01-V2-LOCATIONS,cy,100,1,1,2025-02-07,0,SP-EV-0001,D_chongqing,d,chongqing,2,39.57644544227043,107.93576029710117,0.0,39.57644544227043,NL90_mild,0.0,33400.38894217393,39,0.0,25200.0,1,,12.452820186070767,7.945614231155093,12.452820186070767,7.945614231155093
E4-CARBON-TIMING-01,cn-cy-100c-01-V2-LOCATIONS,cy,100,1,1,2025-02-07,1,SP-EV-0005,D_chongqing,d,chongqing,2,26.493055060030823,72.2537865273568,0.0,26.493055060030823,NL90_mild,0.0,42902.349228358595,49,7200.0,42902.349228359,1,,8.735411638712375,5.125962571944017,8.735411638712375,5.125962571944017
E4-CARBON-TIMING-01,cn-cy-100c-01-V2-LOCATIONS,cy,100,1,1,2025-02-07,2,SP-EV-0008,D_chongqing,d,chongqing,2,38.557921867300166,105.15796872900046,0.0,38.557921867300166,NL90_mild,0.0,33859.07425625998,39,0.0,25200.0,1,,12.126790789722785,7.664298019748307,12.126790789722785,7.664298019748307
E4-CARBON-TIMING-01,cn-cy-100c-01-V2-LOCATIONS,cy,100,1,1,2025-02-07,3,SP-EV-0012,D_chengdu,d,chengdu,2,20.08888424010135,54.787866109367314,0.0,20.08888424010135,NL90_mild,0.0,40382.06189343796,47,0.0,36000.0,1,,1.0205153193971486,0.0,1.0205153193971486,0.0
E4-CARBON-TIMING-01,cn-cy-100c-01-V2-LOCATIONS,cy,100,1,1,2025-02-07,4,SP-EV-0013,D_chengdu,d,chengdu,2,18.92795061512821,51.62168349580421,0.0,18.92795061512821,NL90_mild,0.0,44559.97045025174,51,0.0,36000.0,1,,0.9615398912485131,0.0,0.9615398912485131,0.0
E4-CARBON-TIMING-01,cn-cy-100c-01-V2-LOCATIONS,cy,100,1,1,2025-02-08,0,SP-EV-0001,D_chongqing,d,chongqing,2,39.57644544227043,107.93576029710117,0.0,39.57644544227043,NL90_mild,0.0,33400.38894217393,39,0.0,32400.0,1,,9.15103239083103,7.076858724017879,9.15103239083103,7.076858724017879
E4-CARBON-TIMING-01,cn-cy-100c-01-V2-LOCATIONS,cy,100,1,1,2025-02-08,1,SP-EV-0005,D_chongqing,d,chongqing,2,26.493055060030823,72.2537865273568,0.0,26.493055060030823,NL90_mild,0.0,42902.349228358595,49,7200.0,42902.349228359,1,,8.277298454029768,3.074531933450308,8.277298454029768,3.074531933450308
E4-CARBON-TIMING-01,cn-cy-100c-01-V2-LOCATIONS,cy,100,1,1,2025-02-08,2,SP-EV-0008,D_chongqing,d,chongqing,2,38.557921867300166,105.15796872900046,0.0,38.557921867300166,NL90_mild,0.0,33859.07425625998,39,0.0,32400.0,1,,8.842827157045031,6.882218868841067,8.842827157045031,6.882218868841067
E4-CARBON-TIMING-01,cn-cy-100c-01-V2-LOCATIONS,cy,100,1,1,2025-02-08,3,SP-EV-0012,D_chengdu,d,chengdu,2,20.08888424010135,54.787866109367314,0.0,20.08888424010135,NL90_mild,0.0,40382.06189343796,47,0.0,36000.0,1,,0.9361420055887228,0.0,0.9361420055887228,0.0
E4-CARBON-TIMING-01,cn-cy-100c-01-V2-LOCATIONS,cy,100,1,1,2025-02-08,4,SP-EV-0013,D_chengdu,d,chengdu,2,18.92795061512821,51.62168349580421,0.0,18.92795061512821,NL90_mild,0.0,44559.97045025174,51,0.0,36000.0,1,,0.8820424986649748,0.0,0.8820424986649748,0.0
E4-CARBON-TIMING-01,cn-cy-100c-01-V2-LOCATIONS,cy,100,1,1,2025-02-09,0,SP-EV-0001,D_chongqing,d,chongqing,2,39.57644544227043,107.93576029710117,0.0,39.57644544227043,NL90_mild,0.0,33400.38894217393,39,0.0,25200.0,1,,11.597025367211854,6.397813884861911,11.597025367211854,6.397813884861911
E4-CARBON-TIMING-01,cn-cy-100c-01-V2-LOCATIONS,cy,100,1,1,2025-02-09,1,SP-EV-0005,D_chongqing,d,chongqing,2,26.493055060030823,72.2537865273568,0.0,26.493055060030823,NL90_mild,0.0,42902.349228358595,49,7200.0,42902.349228359,1,,8.402963031268147,5.1995811525368465,8.402963031268147,5.1995811525368465
E4-CARBON-TIMING-01,cn-cy-100c-01-V2-LOCATIONS,cy,100,1,1,2025-02-09,2,SP-EV-0008,D_chongqing,d,chongqing,2,38.557921867300166,105.15796872900046,0.0,38.557921867300166,NL90_mild,0.0,33859.07425625998,39,0.0,25200.0,1,,11.29024606643081,6.197775854737752,11.29024606643081,6.197775854737752
E4-CARBON-TIMING-01,cn-cy-100c-01-V2-LOCATIONS,cy,100,1,1,2025-02-09,3,SP-EV-0012,D_chengdu,d,chengdu,2,20.08888424010135,54.787866109367314,0.0,20.08888424010135,NL90_mild,0.0,40382.06189343796,47,0.0,39600.0,1,,1.1068975216295844,0.0,1.1068975216295844,0.0
E4-CARBON-TIMING-01,cn-cy-100c-01-V2-LOCATIONS,cy,100,1,1,2025-02-09,4,SP-EV-0013,D_chengdu,d,chengdu,2,18.92795061512821,51.62168349580421,0.0,18.92795061512821,NL90_mild,0.0,44559.97045025174,51,0.0,39600.0,1,,1.0429300788935645,0.0,1.0429300788935645,0.0
