summary_level,summary_label,row_count,solution_count,grid_day_count,asap_charging_emissions_kg,carbon_charging_emissions_kg,charging_emissions_reduction_pct,unit_reduction_min_pct,unit_reduction_q1_pct,unit_reduction_median_pct,unit_reduction_q3_pct,unit_reduction_max_pct,asap_system_total_emissions_kg,carbon_system_total_emissions_kg,system_total_emissions_reduction_pct,asap_charging_electricity_cost_cny,carbon_charging_electricity_cost_cny,charging_electricity_cost_reduction_pct,charging_energy_kwh,movable_energy_kwh,movable_energy_share_pct,immovable_energy_kwh,immovable_energy_share_pct,window_too_narrow_kwh,already_lowest_carbon_kwh,depot_capacity_constrained_kwh,unclassified_immovable_kwh,asap_violation_count,carbon_violation_count,max_independent_residual
region_x_customer_size,jjj__10,420,15,28,7484.415932706812,2614.1822421603915,65.07166002444565,30.96925990401387,60.40544972309088,67.41540479513357,72.32165998592967,80.80092108900993,17682.042635623842,12811.80894507742,27.5433884586072,8430.681520054612,16224.330508603578,-92.44387858810353,14966.97106229762,14966.97106229762,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
region_x_customer_size,jjj__15,420,15,28,7822.659500319337,2850.7748983146016,63.557471749879596,26.227357681547268,58.67574079344355,65.69637293324858,71.93328331194745,83.50733058987682,31495.290929207742,26523.406327203007,15.786120576501695,8814.144684251845,16620.03492920143,-88.56094975268898,15647.732406246465,15647.732406246465,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
region_x_customer_size,jjj__20,420,15,28,6998.404754792,2724.963435247755,61.06307750517148,23.9956167414806,56.584058699002426,63.12425905370389,69.45703947044807,80.8002510394964,37356.67044888625,33083.229129342006,11.439566931939071,7879.695774977767,14360.682950688431,-82.24920556312914,13988.807235009526,13988.807235009526,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
region_x_customer_size,jjj__25,420,15,28,11289.929093207193,4079.609708858174,63.86505464137281,28.822422023833443,58.8344116874289,65.59074226916093,71.16035942823626,80.14131817906276,44351.390651750946,37141.07126740193,16.257256600959273,12708.737066879403,24111.196768928636,-89.72142268774687,22561.794021736572,22561.794021736572,100.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
region_x_customer_size,jjj__50,420,15,28,19063.653092033455,8206.409122246134,56.952588873558945,24.160055176742517,50.70805678898879,57.65643978199827,67.09772965606923,76.56377999236085,79676.40766532662,68819.16369553929,13.62667355108702,18633.279478134336,37674.89101135645,-102.19141271168579,34770.60224286615,34770.60224286615,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
region_x_customer_size,jjj__75,420,15,28,24669.388434823504,11659.736643906164,52.73601259021408,20.556427162023198,46.115169607038936,53.980523196970815,61.18076737505049,72.51204929975495,112260.49169811235,99250.83990719501,11.58880706304273,24557.399339483607,47253.32048420078,-92.419888730752,45552.090077080575,45552.090077080575,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
region_x_customer_size,jjj__100,420,15,28,40448.96258365661,22163.09389951219,45.20726247632571,13.362270397951471,36.429879404425776,48.10974807974299,57.69606162859155,73.49926243222423,148351.12612761467,130065.25744347024,12.326073391862595,42397.57382292993,77371.32671264262,-82.48998642181216,74688.24666661711,72075.42540831721,96.501696886844,2612.8212582998967,3.4983031131559974,0.0,2612.821258299905,0.0,0.0,0,0,0.0
region_x_customer_size,jjj__150,420,15,28,43933.28573161656,20237.302539144643,53.93628725433372,22.653193840563528,47.60561841052797,54.76903051690623,63.022445079790344,72.41898620034861,209028.7294344606,185332.7462419887,11.336232706663225,44665.800954563245,78718.91300336052,-76.23978820717478,80755.87752785608,80560.4105905455,99.75795329913522,195.46693731057167,0.24204670086477229,0.0,0.0,195.46693731057286,0.0,0,0,0.0
region_x_customer_size,jjj__200,420,15,28,56701.97054814807,26542.219109119982,53.18995291956944,19.26543366018704,47.06997042046184,54.798953699956016,61.3524046166127,73.40612987418656,282834.37994400185,252674.62850497372,10.663396523788741,58729.83050702166,99812.29334706248,-69.9516114474893,105455.71760767308,104415.97916709694,99.01405209298915,1039.7384405761404,0.9859479070108644,0.0,0.0,1039.7384405761363,0.0,0,0,0.0
region_x_customer_size,prd__10,420,15,28,2950.557731601707,900.1449178609362,69.49238077194667,33.59667186334355,56.301216233796005,76.0370848703754,90.25141908086174,95.65610859728508,11539.191633757064,9488.778820016294,17.769120046004232,1925.8137307621894,8529.57538778533,-342.9076006436788,7488.521567111825,7488.521567111825,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
region_x_customer_size,prd__15,420,15,28,3301.7931556563403,891.7199465143194,72.9928585930132,37.00746281727761,63.01024435799012,80.03509683772442,91.97499074216877,95.65610859728507,19944.947286116203,17534.87407697418,12.083627871103413,2155.0632706474175,9660.526379431909,-348.271125540074,8379.957792878868,8379.957792878868,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
region_x_customer_size,prd__20,420,15,28,3361.1215150352587,692.2257643662995,79.4049170412383,39.65914378484761,72.77208804115453,84.81211137544331,93.0871836215227,95.65610859728507,27338.767283588564,24669.871532919606,9.762311968876132,2193.7865831560293,8334.87313576401,-279.9309011988431,8530.5332905185,8530.5332905185,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
region_x_customer_size,prd__25,420,15,28,6276.086466662346,1843.6809354847273,70.62371678149925,35.33667003535696,59.646972276764686,77.6784285041836,89.0290609026641,95.62764509630809,26168.500110714027,21736.09457953641,16.93794261201421,4096.369091001624,18008.56757736442,-339.6226799221614,15928.720309141854,15928.720309141854,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
