budget,category,instance,seed,profile,route_count,cv_route_count,ev_route_count,charging_action_count,cost_fix,cost_km,cost_carbon,cost_fuel,cost_elec,cost_occ,cost_transship,route_count_delta_vs_lns,cost_fix_delta_vs_lns,cost_fix_delta_vs_a0
4000,multidepot,e2-multidepot-150c-01,3,A4_BALANCED_SELECTOR_LOCAL_SEARCH,20,10,10,13,1600.0,999.8697699015727,50.005351340823076,533.0378354260729,138.80653204632546,15.332559645755246,0.0,-1.0,-80.0,-80.0
4000,multidepot,e2-multidepot-150c-01,3,A5_EPS_DECAY_SELECTOR_LOCAL_SEARCH,20,10,10,13,1600.0,1009.6182888606643,50.33039187387954,536.3129608553478,145.08959170108693,19.406949191512954,0.0,-1.0,-80.0,-80.0
4000,multidepot,e2-multidepot-150c-01,3,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,21,10,11,14,1680.0,1022.9162991821902,50.18956651048745,534.3891195664679,134.21882802575473,7.439824833713775,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-150c-01,3,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,21,8,13,18,1680.0,1002.2466861268932,42.79911980683463,447.08103726136204,187.39372456565778,24.832108913453926,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-150c-01,3,LNS_REFERENCE,21,12,9,11,1680.0,1093.2036464036237,58.935376559822316,634.9297948738496,120.76077472123177,12.532440092043888,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-15c-01,1,A0_MAIN_LOCAL_SEARCH,3,3,0,0,240.0,221.0853615912497,15.63524396757479,173.13954708909415,0.0,0.0,0.0,1.0,80.0,0.0
4000,multidepot,e2-multidepot-15c-01,1,A4_BALANCED_SELECTOR_LOCAL_SEARCH,2,2,0,0,160.0,245.1227672247827,17.910754311294053,198.33779990338735,0.0,0.0,0.0,0.0,0.0,-80.0
4000,multidepot,e2-multidepot-15c-01,1,A5_EPS_DECAY_SELECTOR_LOCAL_SEARCH,2,2,0,0,160.0,245.1227672247827,17.910754311294053,198.33779990338735,0.0,0.0,0.0,0.0,0.0,-80.0
4000,multidepot,e2-multidepot-15c-01,1,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,2,2,0,0,160.0,245.1227672247827,17.910754311294053,198.33779990338735,0.0,0.0,0.0,0.0,0.0,-80.0
4000,multidepot,e2-multidepot-15c-01,1,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,3,3,0,0,240.0,221.0853615912497,15.63524396757479,173.13954708909415,0.0,0.0,0.0,1.0,80.0,0.0
4000,multidepot,e2-multidepot-15c-01,1,LNS_REFERENCE,2,2,0,0,160.0,245.1227672247827,17.910754311294053,198.33779990338735,0.0,0.0,0.0,0.0,0.0,-80.0
4000,multidepot,e2-multidepot-15c-01,2,A0_MAIN_LOCAL_SEARCH,3,3,0,0,240.0,221.0853615912497,15.63524396757479,173.13954708909415,0.0,0.0,0.0,1.0,80.0,0.0
4000,multidepot,e2-multidepot-15c-01,2,A4_BALANCED_SELECTOR_LOCAL_SEARCH,3,3,0,0,240.0,221.0853615912497,15.63524396757479,173.13954708909415,0.0,0.0,0.0,1.0,80.0,0.0
4000,multidepot,e2-multidepot-15c-01,2,A5_EPS_DECAY_SELECTOR_LOCAL_SEARCH,3,3,0,0,240.0,221.0853615912497,15.63524396757479,173.13954708909415,0.0,0.0,0.0,1.0,80.0,0.0
4000,multidepot,e2-multidepot-15c-01,2,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,3,3,0,0,240.0,221.0853615912497,15.63524396757479,173.13954708909415,0.0,0.0,0.0,1.0,80.0,0.0
4000,multidepot,e2-multidepot-15c-01,2,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,3,3,0,0,240.0,221.0853615912497,15.63524396757479,173.13954708909415,0.0,0.0,0.0,1.0,80.0,0.0
4000,multidepot,e2-multidepot-15c-01,2,LNS_REFERENCE,2,2,0,0,160.0,245.1227672247827,17.986302481799658,199.17439548525851,0.0,0.0,0.0,0.0,0.0,-80.0
4000,multidepot,e2-multidepot-15c-01,3,A0_MAIN_LOCAL_SEARCH,3,3,0,0,240.0,221.0853615912497,15.63524396757479,173.13954708909415,0.0,0.0,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-15c-01,3,A4_BALANCED_SELECTOR_LOCAL_SEARCH,3,3,0,0,240.0,221.0853615912497,15.63524396757479,173.13954708909415,0.0,0.0,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-15c-01,3,A5_EPS_DECAY_SELECTOR_LOCAL_SEARCH,3,3,0,0,240.0,221.0853615912497,15.63524396757479,173.13954708909415,0.0,0.0,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-15c-01,3,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,2,2,0,0,160.0,245.1227672247827,17.910754311294053,198.33779990338735,0.0,0.0,0.0,-1.0,-80.0,-80.0
4000,multidepot,e2-multidepot-15c-01,3,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,2,2,0,0,160.0,245.1227672247827,17.910754311294053,198.33779990338735,0.0,0.0,0.0,-1.0,-80.0,-80.0
4000,multidepot,e2-multidepot-15c-01,3,LNS_REFERENCE,3,3,0,0,240.0,221.0853615912497,15.63524396757479,173.13954708909415,0.0,0.0,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-20c-01,1,A0_MAIN_LOCAL_SEARCH,3,3,0,0,240.0,250.27142160943333,18.10504557652539,200.48931744512092,0.0,0.0,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-20c-01,1,A4_BALANCED_SELECTOR_LOCAL_SEARCH,3,3,0,0,240.0,250.27142160943333,17.951142338579302,198.7850436283009,0.0,0.0,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-20c-01,1,A5_EPS_DECAY_SELECTOR_LOCAL_SEARCH,3,3,0,0,240.0,250.27142160943333,17.951142338579302,198.7850436283009,0.0,0.0,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-20c-01,1,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,3,2,1,2,240.0,267.2729935904988,16.261809730924927,177.11214037241254,16.699232035273564,1.1434341678497333,0.0,0.0,0.0,0.0
4000,multidepot,e2-multidepot-20c-01,1,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,3,3,0,0,240.0,250.27142160943333,17.951142338579302,198.7850436283009,0.0,0.0,0.0,0.0,0.0,0.0
