figure,series,source_row,x,y,source_path,source_sha256
figure3,Beijing,15,7.00,516.000000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Beijing,16,7.50,516.000000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Beijing,17,8.00,418.600000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Beijing,18,8.50,418.600000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Beijing,19,9.00,205.600000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Beijing,20,9.50,205.600000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Beijing,21,10.00,129.900000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Beijing,22,10.50,129.900000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Beijing,23,11.00,93.700000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Beijing,24,11.50,93.700000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Beijing,25,12.00,72.100000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Beijing,26,12.50,72.100000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Beijing,27,13.00,71.300000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Beijing,28,13.50,71.300000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Beijing,29,14.00,77.100000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Beijing,30,14.50,77.100000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Beijing,31,15.00,95.800000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Beijing,32,15.50,95.800000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Beijing,33,16.00,130.100000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Beijing,34,16.50,130.100000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Beijing,35,17.00,352.800000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Beijing,36,17.50,352.800000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Beijing,37,18.00,422.200000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Beijing,38,18.50,422.200000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Beijing,39,19.00,433.000000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Beijing,40,19.50,433.000000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Beijing,41,20.00,424.800000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Beijing,42,20.50,424.800000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Beijing,43,21.00,445.000000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Beijing,44,21.50,445.000000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Beijing,45,22.00,509.600000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Beijing,46,22.50,509.600000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Beijing,47,23.00,500.800000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Beijing,48,23.50,500.800000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Guangdong,49,0.00,454.600000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Guangdong,50,0.50,454.600000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Guangdong,51,1.00,446.200000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Guangdong,52,1.50,446.200000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Guangdong,53,2.00,455.300000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Guangdong,54,2.50,455.300000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Guangdong,55,3.00,465.800000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Guangdong,56,3.50,465.800000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Guangdong,57,4.00,461.900000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Guangdong,58,4.50,461.900000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Guangdong,59,5.00,448.900000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Guangdong,60,5.50,448.900000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Guangdong,61,6.00,448.800000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Guangdong,62,6.50,448.800000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Guangdong,63,7.00,452.900000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Guangdong,64,7.50,452.900000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Guangdong,65,8.00,398.600000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Guangdong,66,8.50,398.600000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Guangdong,67,9.00,280.000000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Guangdong,68,9.50,280.000000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Guangdong,69,10.00,151.700000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Guangdong,70,10.50,151.700000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Guangdong,71,11.00,133.200000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Guangdong,72,11.50,133.200000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Guangdong,73,12.00,111.900000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Guangdong,74,12.50,111.900000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Guangdong,75,13.00,110.600000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Guangdong,76,13.50,110.600000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Guangdong,77,14.00,114.600000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Guangdong,78,14.50,114.600000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Guangdong,79,15.00,129.300000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Guangdong,80,15.50,129.300000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Guangdong,81,16.00,277.400000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Guangdong,82,16.50,277.400000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Guangdong,83,17.00,288.100000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Guangdong,84,17.50,288.100000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Guangdong,85,18.00,266.300000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Guangdong,86,18.50,266.300000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Guangdong,87,19.00,261.000000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Guangdong,88,19.50,261.000000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Guangdong,89,20.00,261.100000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Guangdong,90,20.50,261.100000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Guangdong,91,21.00,261.400000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Guangdong,92,21.50,261.400000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Guangdong,93,22.00,263.900000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Guangdong,94,22.50,263.900000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Guangdong,95,23.00,270.200000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Guangdong,96,23.50,270.200000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Chongqing,97,0.00,306.400000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Chongqing,98,0.50,306.400000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Chongqing,99,1.00,317.500000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Chongqing,100,1.50,317.500000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Chongqing,101,2.00,324.400000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Chongqing,102,2.50,324.400000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Chongqing,103,3.00,332.600000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Chongqing,104,3.50,332.600000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Chongqing,105,4.00,338.600000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Chongqing,106,4.50,338.600000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Chongqing,107,5.00,346.600000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Chongqing,108,5.50,346.600000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Chongqing,109,6.00,304.400000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Chongqing,110,6.50,304.400000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Chongqing,111,7.00,67.700000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Chongqing,112,7.50,67.700000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Chongqing,113,8.00,276.100000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Chongqing,114,8.50,276.100000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Chongqing,115,9.00,235.500000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Chongqing,116,9.50,235.500000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Chongqing,117,10.00,219.600000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Chongqing,118,10.50,219.600000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Chongqing,119,11.00,172.600000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Chongqing,120,11.50,172.600000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Chongqing,121,12.00,145.800000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Chongqing,122,12.50,145.800000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Chongqing,123,13.00,145.200000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Chongqing,124,13.50,145.200000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Chongqing,125,14.00,146.700000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Chongqing,126,14.50,146.700000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Chongqing,127,15.00,158.000000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
figure3,Chongqing,128,15.50,158.000000,baselines/e2_final_campaign_20260720/p2p3_threeview/artifacts/figure3_carbon_profile_v4.csv,15aad6ce554a8540f4b159e42fb91970a027627ffe1529088aaf90a743b652bd
