instance_id,seed,contractor,standalone_profit_cny,shapley_profit_cny,nucleolus_profit_cny,nucleolus_cost_share_cny,nucleolus_gain_over_standalone_cny,nucleolus_minus_shapley_cny
cn-prd-150c-02-V2-LOCATIONS,8,D_dongguan,4985.580370137924,5616.508772379488,5545.686173407855,910.3138265921452,560.1058032699311,-70.82259897163294
cn-prd-150c-02-V2-LOCATIONS,8,D_foshan,4714.721064653351,5460.633992950006,5295.724265261218,852.7757347387824,581.0032006078663,-164.90972768878873
cn-prd-150c-02-V2-LOCATIONS,8,D_guangzhou,18130.46899991975,19055.04927809272,18927.1275631726,2530.3724368274015,796.6585632528477,-127.9217149201213
cn-prd-150c-02-V2-LOCATIONS,8,D_shenzhen,22222.0398129845,23654.818184359476,24018.472225939986,2650.027774060014,1796.4324129554843,363.65404158051024
cn-prd-150c-02-V2-LOCATIONS,9,D_dongguan,4985.580370137924,5640.53191620936,5600.589077859818,855.4109221401823,615.0087077218941,-39.9428383495424
cn-prd-150c-02-V2-LOCATIONS,9,D_foshan,4714.721064653351,5450.643674146848,5253.593025617638,894.906974382362,538.8719609642867,-197.05064852920987
cn-prd-150c-02-V2-LOCATIONS,9,D_guangzhou,18129.120446394107,19087.291835833024,18966.853041043258,2490.6469589567423,837.732594649151,-120.43879478976669
cn-prd-150c-02-V2-LOCATIONS,9,D_shenzhen,22216.39169010278,23689.64316926602,24047.075450934495,2621.424549065505,1830.6837608317146,357.4322816684762
cn-prd-150c-02-V2-LOCATIONS,10,D_dongguan,4985.580370137924,5630.585911821675,5586.750783716363,869.249216283637,601.1704135784394,-43.835128105311924
cn-prd-150c-02-V2-LOCATIONS,10,D_foshan,4714.721064653351,5486.904771636038,5311.467625659959,837.0323743400413,596.7465610066074,-175.4371459760796
cn-prd-150c-02-V2-LOCATIONS,10,D_guangzhou,18134.385984787386,19076.648072370004,18928.18098883243,2529.3190111675685,793.7950040450451,-148.46708353757276
cn-prd-150c-02-V2-LOCATIONS,10,D_shenzhen,22216.888038284167,23654.950536277007,24022.689893895968,2645.8101061040325,1805.8018556118004,367.73935761896064
cn-prd-150c-03-V2-LOCATIONS,1,D_dongguan,4748.368324954304,5299.156986113549,5165.502322922971,979.997677077029,417.13399796866725,-133.6546631905776
cn-prd-150c-03-V2-LOCATIONS,1,D_foshan,4028.2208837010126,4605.7833776709995,4445.68722093278,760.8127790672197,417.46633723176774,-160.09615673821918
cn-prd-150c-03-V2-LOCATIONS,1,D_guangzhou,18624.350277504695,19849.096406296117,19908.346178402353,2696.653821597647,1283.9959008976584,59.24977210623547
cn-prd-150c-03-V2-LOCATIONS,1,D_shenzhen,19336.619782555354,20819.832023759736,21054.333071582307,2177.6669284176933,1717.7132890269531,234.5010478225704
cn-prd-150c-03-V2-LOCATIONS,2,D_dongguan,4748.368324954304,5327.380991266098,5171.76929239981,973.7307076001898,423.40096744550647,-155.61169886628795
cn-prd-150c-03-V2-LOCATIONS,2,D_foshan,4028.2208837010126,4640.961986415657,4452.6528826210515,753.8471173789485,424.43199892003895,-188.3091037946051
cn-prd-150c-03-V2-LOCATIONS,2,D_guangzhou,18614.260196444637,19784.030745796437,19768.823102729006,2836.1768972709942,1154.562906284369,-15.20764306743149
cn-prd-150c-03-V2-LOCATIONS,2,D_shenzhen,19337.128986690965,20856.551752640906,21215.680198369206,2016.3198016307942,1878.551211678241,359.1284457283
cn-prd-150c-03-V2-LOCATIONS,3,D_dongguan,4748.368324954304,5310.119884118526,5149.815323770761,995.6846762292389,401.4469988164574,-160.3045603477649
cn-prd-150c-03-V2-LOCATIONS,3,D_foshan,4028.2208837010126,4618.5143367063465,4451.6057375426135,754.8942624573865,423.38485384160094,-166.90859916373302
cn-prd-150c-03-V2-LOCATIONS,3,D_guangzhou,18694.392395733506,19807.58486788439,19802.38736233178,2802.6126376682187,1107.994966598275,-5.197505552609073
cn-prd-150c-03-V2-LOCATIONS,3,D_shenzhen,19336.90248018921,20835.974977107104,21168.38564217121,2063.6143578287883,1831.4831619820034,332.4106650641079
cn-prd-150c-03-V2-LOCATIONS,4,D_dongguan,4748.368324954304,5310.473281234174,5165.601967242278,979.8980327577219,417.23364228797436,-144.87131399189548
cn-prd-150c-03-V2-LOCATIONS,4,D_foshan,4028.2208837010126,4626.175134521749,4467.731436599792,738.7685634002082,439.5105528987792,-158.4436979219572
cn-prd-150c-03-V2-LOCATIONS,4,D_guangzhou,18627.8952744151,19841.61973934521,19890.86930003772,2714.1306999622793,1262.9740256226214,49.249560692511295
cn-prd-150c-03-V2-LOCATIONS,4,D_shenzhen,19346.275513170905,20849.782401518765,21103.8478527401,2128.1521472599015,1757.572339569193,254.0654512213332
cn-prd-150c-03-V2-LOCATIONS,5,D_dongguan,4748.368324954304,5287.230610324992,5128.813296354262,1016.6867036457379,380.4449713999584,-158.41731397073
cn-prd-150c-03-V2-LOCATIONS,5,D_foshan,4028.2208837010126,4606.351795423292,4453.880544310395,752.6194556896053,425.6596606093822,-152.47125111289733
cn-prd-150c-03-V2-LOCATIONS,5,D_guangzhou,18625.032467558707,19818.495521343597,19857.179380496145,2747.8206195038547,1232.1469129374382,38.68385915254839
cn-prd-150c-03-V2-LOCATIONS,5,D_shenzhen,19337.012939317086,20816.61378138503,21088.81848731608,2143.181512683921,1751.8055479989926,272.20470593104983
cn-prd-150c-03-V2-LOCATIONS,6,D_dongguan,4748.368324954304,5310.168466603547,5143.263983201523,1002.2360167984771,394.8956582472192,-166.9044834020242
cn-prd-150c-03-V2-LOCATIONS,6,D_foshan,4028.2208837010126,4608.090171378819,4456.754810694655,749.7451893053449,428.5339269936426,-151.3353606841638
cn-prd-150c-03-V2-LOCATIONS,6,D_guangzhou,18618.254230608156,19797.76198530077,19827.810629887525,2777.1893701124754,1209.5563992793686,30.048644586753653
cn-prd-150c-03-V2-LOCATIONS,6,D_shenzhen,19330.364329172946,20834.357070976803,21122.548270476258,2109.451729523742,1792.1839413033122,288.19119949945525
cn-prd-150c-03-V2-LOCATIONS,7,D_dongguan,4748.368324954304,5325.387384675557,5181.17625870758,964.32374129242,432.8079337532763,-144.21112596797684
cn-prd-150c-03-V2-LOCATIONS,7,D_foshan,4028.2208837010126,4619.365044312773,4422.701132216757,783.7988677832427,394.48024851574473,-196.66391209601534
cn-prd-150c-03-V2-LOCATIONS,7,D_guangzhou,18630.141370564546,19800.91794391255,19799.230438834682,2805.769561165318,1169.0890682701356,-1.687505077868991
cn-prd-150c-03-V2-LOCATIONS,7,D_shenzhen,19346.275513170905,20858.682158735013,21201.244701876873,2030.7552981231274,1854.969188705967,342.56254314185935
cn-prd-150c-03-V2-LOCATIONS,8,D_dongguan,4748.368324954304,5314.4682573929895,5162.536533592014,982.9634664079858,414.16820863771045,-151.9317238009753
cn-prd-150c-03-V2-LOCATIONS,8,D_foshan,4028.2208837010126,4604.760845519026,4426.243071167007,780.2569288329933,398.0221874659942,-178.51777435201893
cn-prd-150c-03-V2-LOCATIONS,8,D_guangzhou,18626.73571539341,19792.077290249345,19823.244684925783,2781.755315074217,1196.5089695323732,31.167394676438562
cn-prd-150c-03-V2-LOCATIONS,8,D_shenzhen,19331.47115941698,20830.201291409732,21129.483394886276,2102.516605113724,1798.0122354692976,299.28210347654385
