evaluation,destroy_operator,repair_operator,changed,dynamic_feasible,accepted,candidate_future_cost,current_future_cost,best_future_cost
64,whole_route_removal,regret2_insert_repair,True,True,False,1392.0007100036603,1281.4982313196667,1280.301751536516
65,whole_route_removal,regret3_insert_repair,True,True,False,1304.680395412861,1281.4982313196667,1280.301751536516
66,shaw_related_removal,regret3_insert_repair,True,True,True,1282.417976908328,1282.417976908328,1280.301751536516
67,random_customer_removal,regret3_insert_repair,False,False,False,,1282.417976908328,1280.301751536516
68,route_segment_removal,regret2_insert_repair,False,False,False,,1282.417976908328,1280.301751536516
69,random_customer_removal,regret3_insert_repair,False,False,False,,1282.417976908328,1280.301751536516
70,shaw_related_removal,regret2_insert_repair,True,True,True,1282.8157140633457,1282.8157140633457,1280.301751536516
71,vehicle_type_swap,greedy_insert_repair,True,False,False,,1282.8157140633457,1280.301751536516
72,shaw_related_removal,greedy_insert_repair,False,False,False,,1282.8157140633457,1280.301751536516
73,worst_customer_removal,greedy_insert_repair,False,False,False,,1282.8157140633457,1280.301751536516
74,vehicle_type_swap,greedy_insert_repair,True,False,False,,1282.8157140633457,1280.301751536516
75,whole_route_removal,regret3_insert_repair,True,True,True,1279.4849794806212,1279.4849794806212,1279.4849794806212
76,whole_route_removal,greedy_insert_repair,True,True,True,1279.4849794806212,1279.4849794806212,1279.4849794806212
77,shaw_related_removal,regret3_insert_repair,False,False,False,,1279.4849794806212,1279.4849794806212
78,vehicle_type_swap,regret2_insert_repair,True,False,False,,1279.4849794806212,1279.4849794806212
79,shaw_related_removal,regret2_insert_repair,True,True,True,1278.6012946400485,1278.6012946400485,1278.6012946400485
80,whole_route_removal,greedy_insert_repair,True,True,False,1416.0232713517305,1278.6012946400485,1278.6012946400485
81,whole_route_removal,greedy_insert_repair,True,True,False,1282.3081171584095,1278.6012946400485,1278.6012946400485
82,route_segment_removal,greedy_insert_repair,False,False,False,,1278.6012946400485,1278.6012946400485
83,worst_customer_removal,greedy_insert_repair,True,True,True,1277.6815490513873,1277.6815490513873,1277.6815490513873
84,vehicle_type_swap,greedy_insert_repair,True,False,False,,1277.6815490513873,1277.6815490513873
85,route_segment_removal,regret3_insert_repair,False,False,False,,1277.6815490513873,1277.6815490513873
86,route_segment_removal,greedy_insert_repair,False,False,False,,1277.6815490513873,1277.6815490513873
87,shaw_related_removal,greedy_insert_repair,False,False,False,,1277.6815490513873,1277.6815490513873
88,random_customer_removal,greedy_insert_repair,False,False,False,,1277.6815490513873,1277.6815490513873
89,random_customer_removal,regret3_insert_repair,False,False,False,,1277.6815490513873,1277.6815490513873
90,whole_route_removal,greedy_insert_repair,True,True,False,1312.7890635491983,1277.6815490513873,1277.6815490513873
91,route_segment_removal,greedy_insert_repair,False,False,False,,1277.6815490513873,1277.6815490513873
92,whole_route_removal,regret3_insert_repair,True,False,False,,1277.6815490513873,1277.6815490513873
93,whole_route_removal,greedy_insert_repair,True,True,False,1312.7890635491983,1277.6815490513873,1277.6815490513873
94,worst_customer_removal,greedy_insert_repair,False,False,False,,1277.6815490513873,1277.6815490513873
95,random_customer_removal,regret2_insert_repair,False,False,False,,1277.6815490513873,1277.6815490513873
96,route_segment_removal,greedy_insert_repair,True,True,True,1283.1242322705225,1283.1242322705225,1277.6815490513873
97,worst_customer_removal,greedy_insert_repair,False,False,False,,1283.1242322705225,1277.6815490513873
98,whole_route_removal,regret3_insert_repair,True,True,False,1286.8310547888832,1283.1242322705225,1277.6815490513873
99,random_customer_removal,regret3_insert_repair,False,False,False,,1283.1242322705225,1277.6815490513873
100,random_customer_removal,regret3_insert_repair,False,False,False,,1283.1242322705225,1277.6815490513873
