active_flags,actual_evals,algorithm,best_cost,category,commit_hash,cv_route_count,elapsed_seconds,ev_route_count,eval_budget_backstop,feasible,gate_status,instance,numpy,python,route_count,runtime_cap_seconds,seed,status,violation_count
{},10293,LNS,9023.865534400882,threeshift,bd57906df953945138c794185941200d3fc5a17b,63,900.0619053749979,0,16000,True,OK,e2-threeshift-200c-01,2.3.5,/opt/anaconda3/bin/python3.13,63,900.0,3,HALT_RUNTIME_UNDER_EVAL,0
"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}",16000,alns_scan_bridge,10323.616687677571,threeshift,bd57906df953945138c794185941200d3fc5a17b,30,517.2281089160097,31,16000,True,OK,e2-threeshift-200c-01,2.3.5,/opt/anaconda3/bin/python3.13,61,900.0,1,OK,0
"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}",16000,alns_scan_bridge,9416.507123693342,threeshift,bd57906df953945138c794185941200d3fc5a17b,14,749.4684877079999,57,16000,True,OK,e2-threeshift-200c-01,2.3.5,/opt/anaconda3/bin/python3.13,71,900.0,2,OK,0
"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}",16000,alns_scan_bridge,10561.783335477345,threeshift,bd57906df953945138c794185941200d3fc5a17b,31,494.3420123340038,31,16000,True,OK,e2-threeshift-200c-01,2.3.5,/opt/anaconda3/bin/python3.13,62,900.0,3,OK,0
{},16000,LNS,3637.1016698469216,threeshift,bd57906df953945138c794185941200d3fc5a17b,24,288.1035185410001,0,16000,True,OK,e2-threeshift-75c-01,2.3.5,/opt/anaconda3/bin/python3.13,24,300.0,1,OK,0
{},16000,LNS,3606.8308697704465,threeshift,bd57906df953945138c794185941200d3fc5a17b,24,289.25583287500194,0,16000,True,OK,e2-threeshift-75c-01,2.3.5,/opt/anaconda3/bin/python3.13,24,300.0,2,OK,0
{},16000,LNS,3583.38658473714,threeshift,bd57906df953945138c794185941200d3fc5a17b,23,284.9521655839926,0,16000,True,OK,e2-threeshift-75c-01,2.3.5,/opt/anaconda3/bin/python3.13,23,300.0,3,OK,0
"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}",16000,alns_scan_bridge,3822.950435159385,threeshift,bd57906df953945138c794185941200d3fc5a17b,9,102.37506879199645,16,16000,True,OK,e2-threeshift-75c-01,2.3.5,/opt/anaconda3/bin/python3.13,25,300.0,1,OK,0
"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}",16000,alns_scan_bridge,3692.6569483109092,threeshift,bd57906df953945138c794185941200d3fc5a17b,9,156.74251666700002,16,16000,True,OK,e2-threeshift-75c-01,2.3.5,/opt/anaconda3/bin/python3.13,25,300.0,2,OK,0
"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}",16000,alns_scan_bridge,3482.093633068929,threeshift,bd57906df953945138c794185941200d3fc5a17b,4,187.0216199580027,21,16000,True,OK,e2-threeshift-75c-01,2.3.5,/opt/anaconda3/bin/python3.13,25,300.0,3,OK,0
{},10222,LNS,5691.782118976379,vanilla,bd57906df953945138c794185941200d3fc5a17b,31,300.01336408300267,0,16000,True,OK,e2-vanilla-100c-01,2.3.5,/opt/anaconda3/bin/python3.13,31,300.0,1,HALT_RUNTIME_UNDER_EVAL,0
{},10069,LNS,5702.220021950755,vanilla,bd57906df953945138c794185941200d3fc5a17b,31,300.02934158399876,0,16000,True,OK,e2-vanilla-100c-01,2.3.5,/opt/anaconda3/bin/python3.13,31,300.0,2,HALT_RUNTIME_UNDER_EVAL,0
{},9999,LNS,5680.378556455941,vanilla,bd57906df953945138c794185941200d3fc5a17b,31,300.02234720799606,0,16000,True,OK,e2-vanilla-100c-01,2.3.5,/opt/anaconda3/bin/python3.13,31,300.0,3,HALT_RUNTIME_UNDER_EVAL,0
"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}",1562,alns_scan_bridge,5672.729843666363,vanilla,bd57906df953945138c794185941200d3fc5a17b,20,300.3282737499976,12,16000,True,OK,e2-vanilla-100c-01,2.3.5,/opt/anaconda3/bin/python3.13,32,300.0,1,OK,0
"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}",16000,alns_scan_bridge,5877.107109561586,vanilla,bd57906df953945138c794185941200d3fc5a17b,20,278.6192052910046,14,16000,True,OK,e2-vanilla-100c-01,2.3.5,/opt/anaconda3/bin/python3.13,34,300.0,2,OK,0
"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}",16000,alns_scan_bridge,5870.723014971154,vanilla,bd57906df953945138c794185941200d3fc5a17b,20,279.09096800000407,13,16000,True,OK,e2-vanilla-100c-01,2.3.5,/opt/anaconda3/bin/python3.13,33,300.0,3,OK,0
