curve,condition,arm,instance,cell_count,all_nonlinear_feasible,mean_nl_saving_pct,positive_cells,negative_cells,direction_reversal_count,fixed_start_infeasible_count
NL90_mild,mixed,ownership_fixed,L-main-threeshift-15c-01,28,True,3.6971186120730692,15,8,0,0
NL90_mild,mixed,ownership_fixed,L-main-threeshift-200c-01,28,True,3.0732868050781526,14,9,0,12
NL90_mild,mixed,ownership_fixed,L-main-threeshift-20c-01,28,True,2.4106820006524288,12,11,3,12
NL90_mild,mixed,ownership_fixed,L-main-threeshift-25c-01,28,True,3.2346357629853384,14,10,0,4
NL90_mild,mixed,ownership_fixed,L-main-threeshift-50c-01,28,True,3.1226173841569254,17,9,0,0
NL90_mild,mixed,ownership_fixed,L-main-threeshift-75c-01,28,True,3.124897181338805,11,10,0,0
NL90_mild,mixed,reassignment_allowed,L-main-threeshift-100c-01,28,False,3.9716478666054447,17,10,0,56
NL90_mild,mixed,reassignment_allowed,L-main-threeshift-10c-01,28,True,4.949768063977755,14,9,0,0
NL90_mild,mixed,reassignment_allowed,L-main-threeshift-150c-01,28,False,3.3884148645433734,19,9,0,56
NL90_mild,mixed,reassignment_allowed,L-main-threeshift-15c-01,28,True,4.390529082119003,11,11,0,0
NL90_mild,mixed,reassignment_allowed,L-main-threeshift-200c-01,28,True,3.115094186996474,19,9,0,12
NL90_mild,mixed,reassignment_allowed,L-main-threeshift-20c-01,28,True,2.927521225172594,9,9,2,8
NL90_mild,mixed,reassignment_allowed,L-main-threeshift-25c-01,28,True,3.5526415333173733,7,15,0,0
NL90_mild,mixed,reassignment_allowed,L-main-threeshift-50c-01,28,True,3.669609168446333,15,8,1,4
NL90_mild,mixed,reassignment_allowed,L-main-threeshift-75c-01,28,True,3.2246966166756548,18,10,0,8
