group_type,group_value,metric,statistic,value,unit
all,ALL,demand_kg,value_278_count,1191,order
all,ALL,demand_kg,value_278_share,0.205168,fraction
all,ALL,demand_kg,value_347_count,1162,order
all,ALL,demand_kg,value_347_share,0.200172,fraction
all,ALL,demand_kg,value_417_count,952,order
all,ALL,demand_kg,value_417_share,0.163997,fraction
all,ALL,service_minutes,value_6_count,1334,order
all,ALL,service_minutes,value_6_share,0.229802,fraction
all,ALL,service_minutes,value_9_count,1166,order
all,ALL,service_minutes,value_9_share,0.200861,fraction
all,ALL,service_minutes,value_12_count,1191,order
all,ALL,service_minutes,value_12_share,0.205168,fraction
all,ALL,service_minutes,value_15_count,1162,order
all,ALL,service_minutes,value_15_share,0.200172,fraction
all,ALL,service_minutes,value_18_count,952,order
all,ALL,service_minutes,value_18_share,0.163997,fraction
all,ALL,source_order_uid,unique_count,1211,source_order
all,ALL,source_order_uid,unique_share,0.208613,fraction
customer_size,10,demand_kg,n,90,kg
customer_size,10,demand_kg,min,139.000000,kg
customer_size,10,demand_kg,p05,139.000000,kg
customer_size,10,demand_kg,p25,139.000000,kg
customer_size,10,demand_kg,median,278.000000,kg
customer_size,10,demand_kg,mean,266.266667,kg
customer_size,10,demand_kg,p75,347.000000,kg
customer_size,10,demand_kg,p95,417.000000,kg
customer_size,10,demand_kg,max,417.000000,kg
customer_size,10,demand_kg,std,106.341172,kg
customer_size,10,time_window_early_minute,n,90,minute_after_midnight
customer_size,10,time_window_early_minute,min,676.101182,minute_after_midnight
customer_size,10,time_window_early_minute,p05,700.783651,minute_after_midnight
customer_size,10,time_window_early_minute,p25,759.124597,minute_after_midnight
customer_size,10,time_window_early_minute,median,811.741411,minute_after_midnight
customer_size,10,time_window_early_minute,mean,832.121335,minute_after_midnight
customer_size,10,time_window_early_minute,p75,918.143939,minute_after_midnight
customer_size,10,time_window_early_minute,p95,1020.736458,minute_after_midnight
customer_size,10,time_window_early_minute,max,1072.101186,minute_after_midnight
customer_size,10,time_window_early_minute,std,100.588145,minute_after_midnight
customer_size,10,time_window_width_minute,n,90,minute
customer_size,10,time_window_width_minute,min,30.867495,minute
customer_size,10,time_window_width_minute,p05,31.922913,minute
customer_size,10,time_window_width_minute,p25,37.103487,minute
customer_size,10,time_window_width_minute,median,43.281594,minute
customer_size,10,time_window_width_minute,mean,43.766234,minute
customer_size,10,time_window_width_minute,p75,50.329371,minute
customer_size,10,time_window_width_minute,p95,55.492627,minute
customer_size,10,time_window_width_minute,max,58.037082,minute
customer_size,10,time_window_width_minute,std,7.513498,minute
customer_size,10,service_minutes,n,90,minute
customer_size,10,service_minutes,min,6.000000,minute
customer_size,10,service_minutes,p05,6.000000,minute
customer_size,10,service_minutes,p25,6.000000,minute
customer_size,10,service_minutes,median,12.000000,minute
customer_size,10,service_minutes,mean,11.500000,minute
customer_size,10,service_minutes,p75,15.000000,minute
customer_size,10,service_minutes,p95,18.000000,minute
customer_size,10,service_minutes,max,18.000000,minute
customer_size,10,service_minutes,std,4.591761,minute
customer_size,10,demand_kg,value_139_count,28,order
customer_size,10,demand_kg,value_139_share,0.311111,fraction
customer_size,10,demand_kg,value_208_count,11,order
customer_size,10,demand_kg,value_208_share,0.122222,fraction
customer_size,10,demand_kg,value_278_count,17,order
customer_size,10,demand_kg,value_278_share,0.188889,fraction
customer_size,10,demand_kg,value_347_count,16,order
customer_size,10,demand_kg,value_347_share,0.177778,fraction
customer_size,10,demand_kg,value_417_count,18,order
customer_size,10,demand_kg,value_417_share,0.200000,fraction
customer_size,10,service_minutes,value_6_count,28,order
customer_size,10,service_minutes,value_6_share,0.311111,fraction
customer_size,10,service_minutes,value_9_count,11,order
customer_size,10,service_minutes,value_9_share,0.122222,fraction
customer_size,10,service_minutes,value_12_count,17,order
customer_size,10,service_minutes,value_12_share,0.188889,fraction
customer_size,10,service_minutes,value_15_count,16,order
customer_size,10,service_minutes,value_15_share,0.177778,fraction
customer_size,10,service_minutes,value_18_count,18,order
customer_size,10,service_minutes,value_18_share,0.200000,fraction
customer_size,10,source_order_uid,unique_count,85,source_order
customer_size,10,source_order_uid,unique_share,0.944444,fraction
customer_size,15,demand_kg,n,135,kg
customer_size,15,demand_kg,min,139.000000,kg
customer_size,15,demand_kg,p05,139.000000,kg
customer_size,15,demand_kg,p25,208.000000,kg
customer_size,15,demand_kg,median,278.000000,kg
customer_size,15,demand_kg,mean,271.570370,kg
customer_size,15,demand_kg,p75,347.000000,kg
customer_size,15,demand_kg,p95,417.000000,kg
customer_size,15,demand_kg,max,417.000000,kg
customer_size,15,demand_kg,std,88.841931,kg
customer_size,15,time_window_early_minute,n,135,minute_after_midnight
customer_size,15,time_window_early_minute,min,667.784219,minute_after_midnight
customer_size,15,time_window_early_minute,p05,695.047614,minute_after_midnight
customer_size,15,time_window_early_minute,p25,753.689697,minute_after_midnight
customer_size,15,time_window_early_minute,median,804.698014,minute_after_midnight
customer_size,15,time_window_early_minute,mean,834.017199,minute_after_midnight
customer_size,15,time_window_early_minute,p75,928.786797,minute_after_midnight
customer_size,15,time_window_early_minute,p95,1007.692429,minute_after_midnight
customer_size,15,time_window_early_minute,max,1036.429361,minute_after_midnight
customer_size,15,time_window_early_minute,std,103.393172,minute_after_midnight
customer_size,15,time_window_width_minute,n,135,minute
customer_size,15,time_window_width_minute,min,30.498425,minute
customer_size,15,time_window_width_minute,p05,32.362662,minute
customer_size,15,time_window_width_minute,p25,35.796972,minute
customer_size,15,time_window_width_minute,median,44.987565,minute
customer_size,15,time_window_width_minute,mean,44.775988,minute
customer_size,15,time_window_width_minute,p75,53.115983,minute
customer_size,15,time_window_width_minute,p95,58.315232,minute
customer_size,15,time_window_width_minute,max,59.758357,minute
customer_size,15,time_window_width_minute,std,8.900420,minute
customer_size,15,service_minutes,n,135,minute
customer_size,15,service_minutes,min,6.000000,minute
customer_size,15,service_minutes,p05,6.000000,minute
customer_size,15,service_minutes,p25,9.000000,minute
customer_size,15,service_minutes,median,12.000000,minute
customer_size,15,service_minutes,mean,11.733333,minute
customer_size,15,service_minutes,p75,15.000000,minute
customer_size,15,service_minutes,p95,18.000000,minute
customer_size,15,service_minutes,max,18.000000,minute
customer_size,15,service_minutes,std,3.834642,minute
customer_size,15,demand_kg,value_139_count,20,order
customer_size,15,demand_kg,value_139_share,0.148148,fraction
customer_size,15,demand_kg,value_208_count,38,order
customer_size,15,demand_kg,value_208_share,0.281481,fraction
customer_size,15,demand_kg,value_278_count,29,order
customer_size,15,demand_kg,value_278_share,0.214815,fraction
customer_size,15,demand_kg,value_347_count,30,order
customer_size,15,demand_kg,value_347_share,0.222222,fraction
customer_size,15,demand_kg,value_417_count,18,order
customer_size,15,demand_kg,value_417_share,0.133333,fraction
customer_size,15,service_minutes,value_6_count,20,order
customer_size,15,service_minutes,value_6_share,0.148148,fraction
customer_size,15,service_minutes,value_9_count,38,order
customer_size,15,service_minutes,value_9_share,0.281481,fraction
customer_size,15,service_minutes,value_12_count,29,order
customer_size,15,service_minutes,value_12_share,0.214815,fraction
customer_size,15,service_minutes,value_15_count,30,order
customer_size,15,service_minutes,value_15_share,0.222222,fraction
customer_size,15,service_minutes,value_18_count,18,order
customer_size,15,service_minutes,value_18_share,0.133333,fraction
customer_size,15,source_order_uid,unique_count,124,source_order
customer_size,15,source_order_uid,unique_share,0.918519,fraction
customer_size,20,demand_kg,n,180,kg
customer_size,20,demand_kg,min,139.000000,kg
customer_size,20,demand_kg,p05,139.000000,kg
customer_size,20,demand_kg,p25,208.000000,kg
customer_size,20,demand_kg,median,278.000000,kg
customer_size,20,demand_kg,mean,265.072222,kg
customer_size,20,demand_kg,p75,347.000000,kg
customer_size,20,demand_kg,p95,417.000000,kg
customer_size,20,demand_kg,max,417.000000,kg
customer_size,20,demand_kg,std,100.320772,kg
customer_size,20,time_window_early_minute,n,180,minute_after_midnight
customer_size,20,time_window_early_minute,min,667.784219,minute_after_midnight
customer_size,20,time_window_early_minute,p05,697.385941,minute_after_midnight
customer_size,20,time_window_early_minute,p25,758.389130,minute_after_midnight
customer_size,20,time_window_early_minute,median,826.599016,minute_after_midnight
customer_size,20,time_window_early_minute,mean,849.668043,minute_after_midnight
customer_size,20,time_window_early_minute,p75,944.123231,minute_after_midnight
customer_size,20,time_window_early_minute,p95,1027.938947,minute_after_midnight
customer_size,20,time_window_early_minute,max,1052.768607,minute_after_midnight
customer_size,20,time_window_early_minute,std,108.234350,minute_after_midnight
customer_size,20,time_window_width_minute,n,180,minute
customer_size,20,time_window_width_minute,min,30.015509,minute
customer_size,20,time_window_width_minute,p05,32.184729,minute
customer_size,20,time_window_width_minute,p25,39.658535,minute
customer_size,20,time_window_width_minute,median,45.598111,minute
customer_size,20,time_window_width_minute,mean,45.344430,minute
customer_size,20,time_window_width_minute,p75,50.495712,minute
customer_size,20,time_window_width_minute,p95,58.558144,minute
customer_size,20,time_window_width_minute,max,59.966231,minute
customer_size,20,time_window_width_minute,std,7.843472,minute
customer_size,20,service_minutes,n,180,minute
customer_size,20,service_minutes,min,6.000000,minute
customer_size,20,service_minutes,p05,6.000000,minute
customer_size,20,service_minutes,p25,9.000000,minute
customer_size,20,service_minutes,median,12.000000,minute
customer_size,20,service_minutes,mean,11.450000,minute
customer_size,20,service_minutes,p75,15.000000,minute
customer_size,20,service_minutes,p95,18.000000,minute
customer_size,20,service_minutes,max,18.000000,minute
customer_size,20,service_minutes,std,4.330321,minute
customer_size,20,demand_kg,value_139_count,44,order
customer_size,20,demand_kg,value_139_share,0.244444,fraction
customer_size,20,demand_kg,value_208_count,40,order
customer_size,20,demand_kg,value_208_share,0.222222,fraction
customer_size,20,demand_kg,value_278_count,35,order
customer_size,20,demand_kg,value_278_share,0.194444,fraction
customer_size,20,demand_kg,value_347_count,27,order
customer_size,20,demand_kg,value_347_share,0.150000,fraction
customer_size,20,demand_kg,value_417_count,34,order
customer_size,20,demand_kg,value_417_share,0.188889,fraction
customer_size,20,service_minutes,value_6_count,44,order
customer_size,20,service_minutes,value_6_share,0.244444,fraction
customer_size,20,service_minutes,value_9_count,40,order
customer_size,20,service_minutes,value_9_share,0.222222,fraction
customer_size,20,service_minutes,value_12_count,35,order
customer_size,20,service_minutes,value_12_share,0.194444,fraction
customer_size,20,service_minutes,value_15_count,27,order
customer_size,20,service_minutes,value_15_share,0.150000,fraction
customer_size,20,service_minutes,value_18_count,34,order
customer_size,20,service_minutes,value_18_share,0.188889,fraction
customer_size,20,source_order_uid,unique_count,163,source_order
customer_size,20,source_order_uid,unique_share,0.905556,fraction
customer_size,25,demand_kg,n,225,kg
customer_size,25,demand_kg,min,139.000000,kg
customer_size,25,demand_kg,p05,139.000000,kg
customer_size,25,demand_kg,p25,208.000000,kg
customer_size,25,demand_kg,median,278.000000,kg
customer_size,25,demand_kg,mean,266.377778,kg
customer_size,25,demand_kg,p75,347.000000,kg
customer_size,25,demand_kg,p95,417.000000,kg
customer_size,25,demand_kg,max,417.000000,kg
customer_size,25,demand_kg,std,95.713787,kg
customer_size,25,time_window_early_minute,n,225,minute_after_midnight
customer_size,25,time_window_early_minute,min,676.101182,minute_after_midnight
customer_size,25,time_window_early_minute,p05,692.177176,minute_after_midnight
customer_size,25,time_window_early_minute,p25,744.676373,minute_after_midnight
customer_size,25,time_window_early_minute,median,803.402273,minute_after_midnight
customer_size,25,time_window_early_minute,mean,831.948398,minute_after_midnight
customer_size,25,time_window_early_minute,p75,925.230710,minute_after_midnight
customer_size,25,time_window_early_minute,p95,1026.567146,minute_after_midnight
customer_size,25,time_window_early_minute,max,1054.104139,minute_after_midnight
customer_size,25,time_window_early_minute,std,106.349661,minute_after_midnight
customer_size,25,time_window_width_minute,n,225,minute
customer_size,25,time_window_width_minute,min,30.015509,minute
customer_size,25,time_window_width_minute,p05,31.388326,minute
customer_size,25,time_window_width_minute,p25,38.409013,minute
customer_size,25,time_window_width_minute,median,46.331668,minute
customer_size,25,time_window_width_minute,mean,45.331463,minute
customer_size,25,time_window_width_minute,p75,51.724417,minute
customer_size,25,time_window_width_minute,p95,58.478512,minute
customer_size,25,time_window_width_minute,max,59.736454,minute
customer_size,25,time_window_width_minute,std,8.394577,minute
customer_size,25,service_minutes,n,225,minute
customer_size,25,service_minutes,min,6.000000,minute
customer_size,25,service_minutes,p05,6.000000,minute
customer_size,25,service_minutes,p25,9.000000,minute
customer_size,25,service_minutes,median,12.000000,minute
customer_size,25,service_minutes,mean,11.506667,minute
customer_size,25,service_minutes,p75,15.000000,minute
customer_size,25,service_minutes,p95,18.000000,minute
customer_size,25,service_minutes,max,18.000000,minute
customer_size,25,service_minutes,std,4.131888,minute
customer_size,25,demand_kg,value_139_count,50,order
customer_size,25,demand_kg,value_139_share,0.222222,fraction
customer_size,25,demand_kg,value_208_count,48,order
customer_size,25,demand_kg,value_208_share,0.213333,fraction
customer_size,25,demand_kg,value_278_count,52,order
customer_size,25,demand_kg,value_278_share,0.231111,fraction
customer_size,25,demand_kg,value_347_count,39,order
customer_size,25,demand_kg,value_347_share,0.173333,fraction
customer_size,25,demand_kg,value_417_count,36,order
customer_size,25,demand_kg,value_417_share,0.160000,fraction
customer_size,25,service_minutes,value_6_count,50,order
customer_size,25,service_minutes,value_6_share,0.222222,fraction
customer_size,25,service_minutes,value_9_count,48,order
customer_size,25,service_minutes,value_9_share,0.213333,fraction
customer_size,25,service_minutes,value_12_count,52,order
customer_size,25,service_minutes,value_12_share,0.231111,fraction
customer_size,25,service_minutes,value_15_count,39,order
customer_size,25,service_minutes,value_15_share,0.173333,fraction
customer_size,25,service_minutes,value_18_count,36,order
customer_size,25,service_minutes,value_18_share,0.160000,fraction
customer_size,25,source_order_uid,unique_count,210,source_order
customer_size,25,source_order_uid,unique_share,0.933333,fraction
customer_size,50,demand_kg,n,450,kg
customer_size,50,demand_kg,min,139.000000,kg
customer_size,50,demand_kg,p05,139.000000,kg
customer_size,50,demand_kg,p25,208.000000,kg
customer_size,50,demand_kg,median,278.000000,kg
customer_size,50,demand_kg,mean,266.373333,kg
customer_size,50,demand_kg,p75,347.000000,kg
customer_size,50,demand_kg,p95,417.000000,kg
customer_size,50,demand_kg,max,417.000000,kg
customer_size,50,demand_kg,std,96.488148,kg
customer_size,50,time_window_early_minute,n,450,minute_after_midnight
customer_size,50,time_window_early_minute,min,672.710399,minute_after_midnight
customer_size,50,time_window_early_minute,p05,700.300191,minute_after_midnight
customer_size,50,time_window_early_minute,p25,754.952784,minute_after_midnight
customer_size,50,time_window_early_minute,median,808.832405,minute_after_midnight
customer_size,50,time_window_early_minute,mean,837.552904,minute_after_midnight
customer_size,50,time_window_early_minute,p75,933.988599,minute_after_midnight
customer_size,50,time_window_early_minute,p95,1027.881058,minute_after_midnight
customer_size,50,time_window_early_minute,max,1068.396947,minute_after_midnight
customer_size,50,time_window_early_minute,std,102.678501,minute_after_midnight
customer_size,50,time_window_width_minute,n,450,minute
customer_size,50,time_window_width_minute,min,30.081183,minute
customer_size,50,time_window_width_minute,p05,31.552532,minute
customer_size,50,time_window_width_minute,p25,38.276115,minute
customer_size,50,time_window_width_minute,median,45.378309,minute
customer_size,50,time_window_width_minute,mean,45.106976,minute
customer_size,50,time_window_width_minute,p75,52.706679,minute
customer_size,50,time_window_width_minute,p95,58.172577,minute
customer_size,50,time_window_width_minute,max,59.530098,minute
customer_size,50,time_window_width_minute,std,8.445160,minute
customer_size,50,service_minutes,n,450,minute
customer_size,50,service_minutes,min,6.000000,minute
customer_size,50,service_minutes,p05,6.000000,minute
customer_size,50,service_minutes,p25,9.000000,minute
customer_size,50,service_minutes,median,12.000000,minute
customer_size,50,service_minutes,mean,11.506667,minute
customer_size,50,service_minutes,p75,15.000000,minute
customer_size,50,service_minutes,p95,18.000000,minute
customer_size,50,service_minutes,max,18.000000,minute
customer_size,50,service_minutes,std,4.165956,minute
customer_size,50,demand_kg,value_139_count,106,order
customer_size,50,demand_kg,value_139_share,0.235556,fraction
customer_size,50,demand_kg,value_208_count,89,order
customer_size,50,demand_kg,value_208_share,0.197778,fraction
customer_size,50,demand_kg,value_278_count,97,order
customer_size,50,demand_kg,value_278_share,0.215556,fraction
customer_size,50,demand_kg,value_347_count,89,order
customer_size,50,demand_kg,value_347_share,0.197778,fraction
customer_size,50,demand_kg,value_417_count,69,order
customer_size,50,demand_kg,value_417_share,0.153333,fraction
customer_size,50,service_minutes,value_6_count,106,order
customer_size,50,service_minutes,value_6_share,0.235556,fraction
customer_size,50,service_minutes,value_9_count,89,order
customer_size,50,service_minutes,value_9_share,0.197778,fraction
customer_size,50,service_minutes,value_12_count,97,order
customer_size,50,service_minutes,value_12_share,0.215556,fraction
customer_size,50,service_minutes,value_15_count,89,order
customer_size,50,service_minutes,value_15_share,0.197778,fraction
customer_size,50,service_minutes,value_18_count,69,order
customer_size,50,service_minutes,value_18_share,0.153333,fraction
customer_size,50,source_order_uid,unique_count,373,source_order
customer_size,50,source_order_uid,unique_share,0.828889,fraction
customer_size,75,demand_kg,n,675,kg
customer_size,75,demand_kg,min,139.000000,kg
customer_size,75,demand_kg,p05,139.000000,kg
customer_size,75,demand_kg,p25,208.000000,kg
customer_size,75,demand_kg,median,278.000000,kg
customer_size,75,demand_kg,mean,268.426667,kg
customer_size,75,demand_kg,p75,347.000000,kg
customer_size,75,demand_kg,p95,417.000000,kg
customer_size,75,demand_kg,max,417.000000,kg
customer_size,75,demand_kg,std,97.201442,kg
customer_size,75,time_window_early_minute,n,675,minute_after_midnight
customer_size,75,time_window_early_minute,min,672.710399,minute_after_midnight
customer_size,75,time_window_early_minute,p05,698.170579,minute_after_midnight
customer_size,75,time_window_early_minute,p25,754.366366,minute_after_midnight
customer_size,75,time_window_early_minute,median,812.893584,minute_after_midnight
customer_size,75,time_window_early_minute,mean,840.632905,minute_after_midnight
customer_size,75,time_window_early_minute,p75,939.400911,minute_after_midnight
customer_size,75,time_window_early_minute,p95,1020.697345,minute_after_midnight
customer_size,75,time_window_early_minute,max,1054.104139,minute_after_midnight
customer_size,75,time_window_early_minute,std,104.550817,minute_after_midnight
customer_size,75,time_window_width_minute,n,675,minute
customer_size,75,time_window_width_minute,min,30.015509,minute
customer_size,75,time_window_width_minute,p05,31.468624,minute
customer_size,75,time_window_width_minute,p25,38.034534,minute
customer_size,75,time_window_width_minute,median,45.648680,minute
customer_size,75,time_window_width_minute,mean,45.108638,minute
customer_size,75,time_window_width_minute,p75,52.739363,minute
customer_size,75,time_window_width_minute,p95,58.474196,minute
customer_size,75,time_window_width_minute,max,59.966231,minute
customer_size,75,time_window_width_minute,std,8.463426,minute
customer_size,75,service_minutes,n,675,minute
customer_size,75,service_minutes,min,6.000000,minute
customer_size,75,service_minutes,p05,6.000000,minute
customer_size,75,service_minutes,p25,9.000000,minute
customer_size,75,service_minutes,median,12.000000,minute
customer_size,75,service_minutes,mean,11.595556,minute
customer_size,75,service_minutes,p75,15.000000,minute
customer_size,75,service_minutes,p95,18.000000,minute
customer_size,75,service_minutes,max,18.000000,minute
customer_size,75,service_minutes,std,4.196329,minute
customer_size,75,demand_kg,value_139_count,152,order
customer_size,75,demand_kg,value_139_share,0.225185,fraction
customer_size,75,demand_kg,value_208_count,143,order
customer_size,75,demand_kg,value_208_share,0.211852,fraction
customer_size,75,demand_kg,value_278_count,136,order
customer_size,75,demand_kg,value_278_share,0.201481,fraction
customer_size,75,demand_kg,value_347_count,132,order
customer_size,75,demand_kg,value_347_share,0.195556,fraction
customer_size,75,demand_kg,value_417_count,112,order
customer_size,75,demand_kg,value_417_share,0.165926,fraction
customer_size,75,service_minutes,value_6_count,152,order
customer_size,75,service_minutes,value_6_share,0.225185,fraction
customer_size,75,service_minutes,value_9_count,143,order
customer_size,75,service_minutes,value_9_share,0.211852,fraction
customer_size,75,service_minutes,value_12_count,136,order
customer_size,75,service_minutes,value_12_share,0.201481,fraction
customer_size,75,service_minutes,value_15_count,132,order
customer_size,75,service_minutes,value_15_share,0.195556,fraction
customer_size,75,service_minutes,value_18_count,112,order
customer_size,75,service_minutes,value_18_share,0.165926,fraction
customer_size,75,source_order_uid,unique_count,529,source_order
customer_size,75,source_order_uid,unique_share,0.783704,fraction
customer_size,100,demand_kg,n,900,kg
customer_size,100,demand_kg,min,139.000000,kg
customer_size,100,demand_kg,p05,139.000000,kg
customer_size,100,demand_kg,p25,208.000000,kg
customer_size,100,demand_kg,median,278.000000,kg
customer_size,100,demand_kg,mean,265.900000,kg
customer_size,100,demand_kg,p75,347.000000,kg
customer_size,100,demand_kg,p95,417.000000,kg
customer_size,100,demand_kg,max,417.000000,kg
customer_size,100,demand_kg,std,96.871043,kg
customer_size,100,time_window_early_minute,n,900,minute_after_midnight
customer_size,100,time_window_early_minute,min,667.784219,minute_after_midnight
customer_size,100,time_window_early_minute,p05,706.230176,minute_after_midnight
customer_size,100,time_window_early_minute,p25,764.280504,minute_after_midnight
customer_size,100,time_window_early_minute,median,813.601191,minute_after_midnight
customer_size,100,time_window_early_minute,mean,840.809964,minute_after_midnight
customer_size,100,time_window_early_minute,p75,922.469792,minute_after_midnight
customer_size,100,time_window_early_minute,p95,1020.273049,minute_after_midnight
customer_size,100,time_window_early_minute,max,1072.101186,minute_after_midnight
customer_size,100,time_window_early_minute,std,98.038264,minute_after_midnight
customer_size,100,time_window_width_minute,n,900,minute
customer_size,100,time_window_width_minute,min,30.015509,minute
customer_size,100,time_window_width_minute,p05,31.493373,minute
customer_size,100,time_window_width_minute,p25,38.173003,minute
customer_size,100,time_window_width_minute,median,45.792637,minute
customer_size,100,time_window_width_minute,mean,45.309334,minute
customer_size,100,time_window_width_minute,p75,52.750640,minute
customer_size,100,time_window_width_minute,p95,58.217128,minute
customer_size,100,time_window_width_minute,max,59.974984,minute
customer_size,100,time_window_width_minute,std,8.551794,minute
customer_size,100,service_minutes,n,900,minute
customer_size,100,service_minutes,min,6.000000,minute
customer_size,100,service_minutes,p05,6.000000,minute
customer_size,100,service_minutes,p25,9.000000,minute
customer_size,100,service_minutes,median,12.000000,minute
customer_size,100,service_minutes,mean,11.486667,minute
customer_size,100,service_minutes,p75,15.000000,minute
customer_size,100,service_minutes,p95,18.000000,minute
customer_size,100,service_minutes,max,18.000000,minute
customer_size,100,service_minutes,std,4.182814,minute
customer_size,100,demand_kg,value_139_count,217,order
customer_size,100,demand_kg,value_139_share,0.241111,fraction
customer_size,100,demand_kg,value_208_count,180,order
customer_size,100,demand_kg,value_208_share,0.200000,fraction
customer_size,100,demand_kg,value_278_count,176,order
customer_size,100,demand_kg,value_278_share,0.195556,fraction
customer_size,100,demand_kg,value_347_count,194,order
customer_size,100,demand_kg,value_347_share,0.215556,fraction
customer_size,100,demand_kg,value_417_count,133,order
customer_size,100,demand_kg,value_417_share,0.147778,fraction
customer_size,100,service_minutes,value_6_count,217,order
customer_size,100,service_minutes,value_6_share,0.241111,fraction
customer_size,100,service_minutes,value_9_count,180,order
customer_size,100,service_minutes,value_9_share,0.200000,fraction
customer_size,100,service_minutes,value_12_count,176,order
customer_size,100,service_minutes,value_12_share,0.195556,fraction
customer_size,100,service_minutes,value_15_count,194,order
customer_size,100,service_minutes,value_15_share,0.215556,fraction
customer_size,100,service_minutes,value_18_count,133,order
customer_size,100,service_minutes,value_18_share,0.147778,fraction
customer_size,100,source_order_uid,unique_count,645,source_order
customer_size,100,source_order_uid,unique_share,0.716667,fraction
customer_size,150,demand_kg,n,1350,kg
customer_size,150,demand_kg,min,139.000000,kg
customer_size,150,demand_kg,p05,139.000000,kg
customer_size,150,demand_kg,p25,208.000000,kg
customer_size,150,demand_kg,median,278.000000,kg
customer_size,150,demand_kg,mean,266.368889,kg
customer_size,150,demand_kg,p75,347.000000,kg
customer_size,150,demand_kg,p95,417.000000,kg
customer_size,150,demand_kg,max,417.000000,kg
customer_size,150,demand_kg,std,95.969928,kg
customer_size,150,time_window_early_minute,n,1350,minute_after_midnight
customer_size,150,time_window_early_minute,min,667.784219,minute_after_midnight
customer_size,150,time_window_early_minute,p05,703.966542,minute_after_midnight
customer_size,150,time_window_early_minute,p25,759.548023,minute_after_midnight
customer_size,150,time_window_early_minute,median,818.758908,minute_after_midnight
customer_size,150,time_window_early_minute,mean,841.302584,minute_after_midnight
customer_size,150,time_window_early_minute,p75,927.922354,minute_after_midnight
customer_size,150,time_window_early_minute,p95,1019.088991,minute_after_midnight
customer_size,150,time_window_early_minute,max,1072.101186,minute_after_midnight
customer_size,150,time_window_early_minute,std,99.992211,minute_after_midnight
customer_size,150,time_window_width_minute,n,1350,minute
customer_size,150,time_window_width_minute,min,30.015509,minute
customer_size,150,time_window_width_minute,p05,31.417116,minute
customer_size,150,time_window_width_minute,p25,38.727411,minute
customer_size,150,time_window_width_minute,median,46.026226,minute
customer_size,150,time_window_width_minute,mean,45.537668,minute
customer_size,150,time_window_width_minute,p75,52.320202,minute
customer_size,150,time_window_width_minute,p95,58.563456,minute
customer_size,150,time_window_width_minute,max,59.974984,minute
customer_size,150,time_window_width_minute,std,8.381233,minute
customer_size,150,service_minutes,n,1350,minute
customer_size,150,service_minutes,min,6.000000,minute
customer_size,150,service_minutes,p05,6.000000,minute
customer_size,150,service_minutes,p25,9.000000,minute
customer_size,150,service_minutes,median,12.000000,minute
customer_size,150,service_minutes,mean,11.506667,minute
customer_size,150,service_minutes,p75,15.000000,minute
customer_size,150,service_minutes,p95,18.000000,minute
customer_size,150,service_minutes,max,18.000000,minute
customer_size,150,service_minutes,std,4.143590,minute
customer_size,150,demand_kg,value_139_count,313,order
customer_size,150,demand_kg,value_139_share,0.231852,fraction
