instance_id,seed,contractor,revenue_assignment,owned_customer_revenue_cny,actual_service_revenue_cny,actual_minus_owned_revenue_cny,actual_service_cost_cny,pre_settlement_profit_cny,standalone_profit_cny,pre_settlement_gain_over_standalone_cny,pre_settlement_below_standalone,customers_served,demand_served_kg,cost_fixed_cny,cost_distance_cny,cost_fuel_cny,cost_electricity_cny,cost_occupancy_cny,cost_cross_site_cny,cost_carbon_cny
cn-prd-200c-01-V2-LOCATIONS,2,D_guangzhou,REVENUE_TO_SERVING_CONTRACTOR,32188.5,25939.5,-6249.0,3053.0792327807812,22886.42076721922,26882.536856737894,-3996.116089518673,True,66,17293.0,1870.0,586.2995114095166,541.1881317674156,39.29163744785854,0.0,0.0,16.299952155990297
cn-prd-200c-01-V2-LOCATIONS,2,D_shenzhen,REVENUE_TO_SERVING_CONTRACTOR,34063.5,31978.5,-2085.0,3313.482964420049,28665.01703557995,28868.795250261144,-203.7782146811951,True,77,21319.0,2210.0,556.239041686192,483.9312996650318,49.00894706469172,0.0,0.0,14.303676004133875
cn-prd-200c-01-V2-LOCATIONS,3,D_dongguan,REVENUE_TO_SERVING_CONTRACTOR,8439.0,12187.5,3748.5,1411.4538965096876,10776.046103490313,6811.025385040664,3965.0207184496485,False,29,8125.0,850.0,333.72661471208,191.62948123496523,28.48312877108679,0.0,0.0,7.61467179155576
cn-prd-200c-01-V2-LOCATIONS,3,D_foshan,REVENUE_TO_SERVING_CONTRACTOR,7393.5,12082.5,4689.0,1489.7352065877521,10592.764793412247,6037.604345106547,4555.1604483057,False,29,8055.0,850.0,339.86763978380304,268.02361433964137,22.619295097478908,0.0,0.0,9.224657366828827
cn-prd-200c-01-V2-LOCATIONS,3,D_guangzhou,REVENUE_TO_SERVING_CONTRACTOR,32188.5,25939.5,-6249.0,3072.218288218038,22867.28171178196,26977.557204378034,-4110.275492596073,True,66,17293.0,1870.0,594.0638491655285,551.6418803121295,39.643116273598636,0.0,0.0,16.869442466781567
cn-prd-200c-01-V2-LOCATIONS,3,D_shenzhen,REVENUE_TO_SERVING_CONTRACTOR,34063.5,31875.0,-2188.5,3310.499598009311,28564.50040199069,28855.892892660493,-291.39249066980483,True,76,21250.0,2210.0,551.0184189872195,488.030469144955,47.102397313086,0.0,0.0,14.348312564050172
cn-prd-200c-01-V2-LOCATIONS,4,D_dongguan,REVENUE_TO_SERVING_CONTRACTOR,8439.0,10000.5,1561.5,1037.299587721782,8963.200412278218,6811.025385040664,2152.175027237554,False,23,6667.0,680.0,204.32622699831856,135.14877409535006,13.0129653845857,0.0,0.0,4.811621243527625
cn-prd-200c-01-V2-LOCATIONS,4,D_foshan,REVENUE_TO_SERVING_CONTRACTOR,7393.5,9792.0,2398.5,1150.3098529012634,8641.690147098736,6044.001115679948,2597.6890314187876,False,23,6528.0,680.0,263.6323021967423,178.7649020708679,21.235354847676646,0.0,0.0,6.677293785976479
cn-prd-200c-01-V2-LOCATIONS,4,D_guangzhou,REVENUE_TO_SERVING_CONTRACTOR,32188.5,28230.0,-3958.5,3401.7752754924522,24828.22472450755,27015.017653789724,-2186.7929292821755,True,72,18820.0,2040.0,675.5289391869434,618.1553150052497,49.41684478636412,0.0,0.0,18.6741765138953
cn-prd-200c-01-V2-LOCATIONS,4,D_shenzhen,REVENUE_TO_SERVING_CONTRACTOR,34063.5,34062.0,-1.5,3667.5242521623554,30394.475747837645,28866.652144324235,1527.8236035134105,False,82,22708.0,2380.0,671.6722969962474,548.6578242298076,50.21166320576485,0.0,0.0,16.98246773053553
