B_battery_kwh,E_cv_direct,E_ev_indirect,E_total,avg_ev_route_distance_m,avg_ev_route_drive_kwh,avg_ev_route_drive_kwh_over_battery,battery_kwh,carbon_price,carbon_quota_kg,charge_action_count,cost_carbon,cost_elec,cost_fix,cost_fuel,cost_km,cost_occ,cost_transship,cv_route_count,depot_charge_action_count,depot_charge_cost,depot_charge_kwh,electric_kwh,ev_public_charge_detour_m,ev_route_count,ev_routes_drive_kwh_gt_battery,ev_routes_with_public_charge,evidence_strength,fuel_liters,instance,max_ev_route_distance_m,max_ev_route_drive_kwh,max_ev_route_drive_kwh_over_battery,phase,public_charge_action_count,public_charge_cost,public_charge_kwh,public_occupancy_cost,role,route_count,route_regime,scenario_family,scenario_label,scenario_regime,source_seed,status,total_cost,trigger_eligible,v_speed_ms,violation_count
113.0,2706.4687055542954,0.0,2706.4687055542954,0.0,0.0,0.0,113.0,0.05034,0.0,0,136.24363463760324,0.0,3840.0,1508.717180483216,1954.7808717407029,0.0,0.0,48,0,0.0,0.0,0.0,0.0,0,0,0,conditional,1052.7647620425762,e2-threeshift-150c-01,0.0,0.0,0.0,fixed_replay,0,0.0,0.0,0.0,allcv,48,regional_cross_city_like,van_battery,C_modern_large_van_113,van_delivery,2,OK,7439.741686861522,False,25.0,0
113.0,1385.765958564771,144.2110900522799,1529.9770486170507,81622.26747309242,51.38722890424233,0.4547542380906401,113.0,0.05034,0.0,35,77.01904462738234,333.27187305846365,4000.0,772.4932882190014,2002.8791971608873,0.0,0.0,15,35,333.27187305846365,1798.5530116484815,0.0,0.0,35,0,0,conditional,539.0365558711893,e2-threeshift-150c-01,152328.60900393798,96.02331462973127,0.8497638462808077,fixed_replay,0,0.0,0.0,0.0,mixed,50,regional_cross_city_like,van_battery,C_modern_large_van_113,van_delivery,2,OK,7185.663403065735,False,25.0,0
160.0,2706.4687055542954,0.0,2706.4687055542954,0.0,0.0,0.0,160.0,0.05034,0.0,0,136.24363463760324,0.0,3840.0,1508.717180483216,1954.7808717407029,0.0,0.0,48,0,0.0,0.0,0.0,0.0,0,0,0,diagnostic,1052.7647620425762,e2-threeshift-150c-01,0.0,0.0,0.0,fixed_replay,0,0.0,0.0,0.0,allcv,48,regional_cross_city_like,bridge_battery,D_bridge_160,diagnostic_bridge,2,OK,7439.741686861522,False,25.0,0
160.0,1385.765958564771,144.2110900522799,1529.9770486170507,81622.26747309242,51.38722890424233,0.32117018065151454,160.0,0.05034,0.0,35,77.01904462738234,333.27187305846365,4000.0,772.4932882190014,2002.8791971608873,0.0,0.0,15,35,333.27187305846365,1798.5530116484815,0.0,0.0,35,0,0,diagnostic,539.0365558711893,e2-threeshift-150c-01,152328.60900393798,96.02331462973127,0.6001457164358205,fixed_replay,0,0.0,0.0,0.0,mixed,50,regional_cross_city_like,bridge_battery,D_bridge_160,diagnostic_bridge,2,OK,7185.663403065735,False,25.0,0
280.0,2706.4687055542954,0.0,2706.4687055542954,0.0,0.0,0.0,280.0,0.05034,0.0,0,136.24363463760324,0.0,3840.0,1508.717180483216,1954.7808717407029,0.0,0.0,48,0,0.0,0.0,0.0,0.0,0,0,0,strong,1052.7647620425762,e2-threeshift-150c-01,0.0,0.0,0.0,fixed_replay,0,0.0,0.0,0.0,allcv,48,regional_cross_city_like,distribution_battery,E_distribution_truck_280,regional_distribution,2,OK,7439.741686861522,True,25.0,0
280.0,1385.765958564771,144.2110900522799,1529.9770486170507,81622.26747309242,51.38722890424233,0.18352581751515118,280.0,0.05034,0.0,35,77.01904462738234,333.27187305846365,4000.0,772.4932882190014,2002.8791971608873,0.0,0.0,15,35,333.27187305846365,1798.5530116484815,0.0,0.0,35,0,0,strong,539.0365558711893,e2-threeshift-150c-01,152328.60900393798,96.02331462973127,0.3429404093918974,fixed_replay,0,0.0,0.0,0.0,mixed,50,regional_cross_city_like,distribution_battery,E_distribution_truck_280,regional_distribution,2,OK,7185.663403065735,True,25.0,0
80.0,2420.870404050932,0.0,2420.870404050932,0.0,0.0,0.0,80.0,0.05034,0.0,0,121.86661613992392,0.0,3840.0,1349.5108082422694,1954.7808717407029,0.0,0.0,48,0,0.0,0.0,0.0,0.0,0,0,0,urban_only,941.672464058523,e2-threeshift-150c-01,0.0,0.0,0.0,fixed_replay,0,0.0,0.0,0.0,allcv,48,regional_cross_city_like,urban_speed,F_urban_40_baseline_battery,urban_local,2,OK,7266.158296122896,False,11.1,0
80.0,1239.2242493297758,67.05067485551315,1306.274924185289,81622.26747309242,26.667863727395297,0.3333482965924412,80.0,0.05034,0.0,35,65.75787968348745,172.95443020402223,4000.0,690.8038181259294,2002.8791971608873,0.0,0.0,15,35,172.95443020402223,933.3752304588354,0.0,0.0,35,0,0,urban_only,482.03462293345154,e2-threeshift-150c-01,152328.60900393798,49.89048066881718,0.6236310083602148,fixed_replay,0,0.0,0.0,0.0,mixed,50,regional_cross_city_like,urban_speed,F_urban_40_baseline_battery,urban_local,2,OK,6932.395325174327,False,11.1,0
113.0,2420.870404050932,0.0,2420.870404050932,0.0,0.0,0.0,113.0,0.05034,0.0,0,121.86661613992392,0.0,3840.0,1349.5108082422694,1954.7808717407029,0.0,0.0,48,0,0.0,0.0,0.0,0.0,0,0,0,urban_only,941.672464058523,e2-threeshift-150c-01,0.0,0.0,0.0,fixed_replay,0,0.0,0.0,0.0,allcv,48,regional_cross_city_like,urban_speed_van,G_urban_40_modern_van,urban_local,2,OK,7266.158296122896,False,11.1,0
113.0,1239.2242493297758,67.05067485551315,1306.274924185289,81622.26747309242,26.667863727395297,0.23599879404774599,113.0,0.05034,0.0,35,65.75787968348745,172.95443020402223,4000.0,690.8038181259294,2002.8791971608873,0.0,0.0,15,35,172.95443020402223,933.3752304588354,0.0,0.0,35,0,0,urban_only,482.03462293345154,e2-threeshift-150c-01,152328.60900393798,49.89048066881718,0.44150867848510783,fixed_replay,0,0.0,0.0,0.0,mixed,50,regional_cross_city_like,urban_speed_van,G_urban_40_modern_van,urban_local,2,OK,6932.395325174327,False,11.1,0
