battery_kwh,category,cv_shell_composition,cv_shell_cost,cv_shell_cv_routes,cv_shell_ev_routes,free_mixed_composition,free_mixed_cost,free_mixed_cv_routes,free_mixed_ev_routes,instance,phase,seed,winner_composition,winner_cv_route_count,winner_ev_route_count,winner_ev_route_share,winner_route_count,winner_status,winner_total_cost,winner_variant
113.0,threeshift,all_cv,9436.717673224872,64,0,ev_heavy_mixed,9861.814891052953,12,63,e2-threeshift-200c-01,screen,1,all_cv,64,0,0.0,64,OK,9436.717673224872,cv_shell
113.0,threeshift,all_cv,2539.3832256016008,16,0,ev_heavy_mixed,2205.4863878817205,1,15,e2-threeshift-50c-01,screen,1,ev_heavy_mixed,1,15,0.9375,16,OK,2205.4863878817205,free_mixed
113.0,vanilla,all_cv,6119.29666327237,34,0,balanced_mixed,5539.464489857403,20,12,e2-vanilla-100c-01,screen,1,balanced_mixed,20,12,0.375,32,OK,5539.464489857403,free_mixed
113.0,vanilla,all_cv,11205.548171919037,67,0,ev_heavy_mixed,10747.210149772058,7,66,e2-vanilla-200c-01,screen,1,ev_heavy_mixed,7,66,0.9041095890410958,73,OK,10747.210149772058,free_mixed
113.0,vanilla,all_cv,1237.6525942518206,7,0,balanced_mixed,1102.962645625529,2,5,e2-vanilla-25c-01,screen,1,balanced_mixed,2,5,0.7142857142857143,7,OK,1102.962645625529,free_mixed
123.9,multidepot,all_cv,5022.801116954321,32,0,balanced_mixed,5091.1314467384545,17,18,e2-multidepot-100c-01,screen,1,all_cv,32,0,0.0,32,OK,5022.801116954321,cv_shell
123.9,multidepot,all_cv,9652.757155208541,67,0,balanced_mixed,9759.489596498928,26,47,e2-multidepot-200c-01,screen,1,all_cv,67,0,0.0,67,OK,9652.757155208541,cv_shell
123.9,threeshift,all_cv,5387.880559557449,32,0,balanced_mixed,4917.466825822197,8,25,e2-threeshift-100c-01,screen,1,balanced_mixed,8,25,0.7575757575757576,33,OK,4917.466825822197,free_mixed
123.9,threeshift,all_cv,9436.717673224872,64,0,ev_heavy_mixed,9451.581145200076,14,59,e2-threeshift-200c-01,screen,1,all_cv,64,0,0.0,64,OK,9436.717673224872,cv_shell
123.9,threeshift,all_cv,2539.3832256016008,16,0,ev_heavy_mixed,2188.1181589356925,1,15,e2-threeshift-50c-01,screen,1,ev_heavy_mixed,1,15,0.9375,16,OK,2188.1181589356925,free_mixed
123.9,vanilla,all_cv,6119.29666327237,34,0,balanced_mixed,5791.222806301542,16,19,e2-vanilla-100c-01,screen,1,balanced_mixed,16,19,0.5428571428571428,35,OK,5791.222806301542,free_mixed
123.9,vanilla,all_cv,11205.548171919037,67,0,balanced_mixed,10919.753117851043,29,43,e2-vanilla-200c-01,screen,1,balanced_mixed,29,43,0.5972222222222222,72,OK,10919.753117851043,free_mixed
123.9,vanilla,all_cv,1237.6525942518206,7,0,balanced_mixed,1102.962645625529,2,5,e2-vanilla-25c-01,screen,1,balanced_mixed,2,5,0.7142857142857143,7,OK,1102.962645625529,free_mixed
140.0,multidepot,all_cv,5022.801116954321,32,0,balanced_mixed,5037.998116454932,14,21,e2-multidepot-100c-01,screen,1,all_cv,32,0,0.0,32,OK,5022.801116954321,cv_shell
140.0,multidepot,all_cv,9652.757155208541,67,0,ev_heavy_mixed,9817.002350620356,13,63,e2-multidepot-200c-01,screen,1,all_cv,67,0,0.0,67,OK,9652.757155208541,cv_shell
140.0,threeshift,all_cv,5387.880559557449,32,0,ev_heavy_mixed,4874.643930356471,2,32,e2-threeshift-100c-01,screen,1,ev_heavy_mixed,2,32,0.9411764705882353,34,OK,4874.643930356471,free_mixed
140.0,threeshift,all_cv,9436.717673224872,64,0,ev_heavy_mixed,9504.293882274886,10,64,e2-threeshift-200c-01,screen,1,all_cv,64,0,0.0,64,OK,9436.717673224872,cv_shell
140.0,threeshift,all_cv,2539.3832256016008,16,0,all_ev,2143.413929684961,0,16,e2-threeshift-50c-01,screen,1,all_ev,0,16,1.0,16,OK,2143.413929684961,free_mixed
140.0,vanilla,all_cv,6119.29666327237,34,0,balanced_mixed,5539.794973029572,13,20,e2-vanilla-100c-01,screen,1,balanced_mixed,13,20,0.6060606060606061,33,OK,5539.794973029572,free_mixed
140.0,vanilla,all_cv,11205.548171919037,67,0,ev_heavy_mixed,10323.47204162857,4,68,e2-vanilla-200c-01,screen,1,ev_heavy_mixed,4,68,0.9444444444444444,72,OK,10323.47204162857,free_mixed
140.0,vanilla,all_cv,1237.6525942518206,7,0,balanced_mixed,1102.962645625529,2,5,e2-vanilla-25c-01,screen,1,balanced_mixed,2,5,0.7142857142857143,7,OK,1102.962645625529,free_mixed
141.0,multidepot,all_cv,5022.801116954321,32,0,balanced_mixed,5037.998116454932,14,21,e2-multidepot-100c-01,screen,1,all_cv,32,0,0.0,32,OK,5022.801116954321,cv_shell
141.0,multidepot,all_cv,9652.757155208541,67,0,ev_heavy_mixed,9817.002350620356,13,63,e2-multidepot-200c-01,screen,1,all_cv,67,0,0.0,67,OK,9652.757155208541,cv_shell
141.0,threeshift,all_cv,5387.880559557449,32,0,ev_heavy_mixed,4873.5161241398055,2,32,e2-threeshift-100c-01,screen,1,ev_heavy_mixed,2,32,0.9411764705882353,34,OK,4873.5161241398055,free_mixed
141.0,threeshift,all_cv,9436.717673224872,64,0,ev_heavy_mixed,9503.165939021552,10,64,e2-threeshift-200c-01,screen,1,all_cv,64,0,0.0,64,OK,9436.717673224872,cv_shell
141.0,threeshift,all_cv,2539.3832256016008,16,0,all_ev,2143.413929684961,0,16,e2-threeshift-50c-01,screen,1,all_ev,0,16,1.0,16,OK,2143.413929684961,free_mixed
141.0,vanilla,all_cv,6119.29666327237,34,0,balanced_mixed,5539.794973029572,13,20,e2-vanilla-100c-01,screen,1,balanced_mixed,13,20,0.6060606060606061,33,OK,5539.794973029572,free_mixed
141.0,vanilla,all_cv,11205.548171919037,67,0,ev_heavy_mixed,10323.47204162857,4,68,e2-vanilla-200c-01,screen,1,ev_heavy_mixed,4,68,0.9444444444444444,72,OK,10323.47204162857,free_mixed
141.0,vanilla,all_cv,1237.6525942518206,7,0,balanced_mixed,1102.962645625529,2,5,e2-vanilla-25c-01,screen,1,balanced_mixed,2,5,0.7142857142857143,7,OK,1102.962645625529,free_mixed
150.0,multidepot,all_cv,5022.801116954321,32,0,balanced_mixed,5037.998116454932,14,21,e2-multidepot-100c-01,screen,1,all_cv,32,0,0.0,32,OK,5022.801116954321,cv_shell
150.0,multidepot,all_cv,9652.757155208541,67,0,ev_heavy_mixed,9817.002350620356,13,63,e2-multidepot-200c-01,screen,1,all_cv,67,0,0.0,67,OK,9652.757155208541,cv_shell
150.0,threeshift,all_cv,5387.880559557449,32,0,all_ev,4720.561335511645,0,34,e2-threeshift-100c-01,screen,1,all_ev,0,34,1.0,34,OK,4720.561335511645,free_mixed
150.0,threeshift,all_cv,9436.717673224872,64,0,ev_heavy_mixed,9500.314588610876,10,64,e2-threeshift-200c-01,screen,1,all_cv,64,0,0.0,64,OK,9436.717673224872,cv_shell
150.0,threeshift,all_cv,2539.3832256016008,16,0,ev_heavy_mixed,2376.2351333513125,1,16,e2-threeshift-50c-01,screen,1,ev_heavy_mixed,1,16,0.9411764705882353,17,OK,2376.2351333513125,free_mixed
150.0,vanilla,all_cv,6119.29666327237,34,0,balanced_mixed,5539.794973029572,13,20,e2-vanilla-100c-01,screen,1,balanced_mixed,13,20,0.6060606060606061,33,OK,5539.794973029572,free_mixed
150.0,vanilla,all_cv,11205.548171919037,67,0,ev_heavy_mixed,10323.47204162857,4,68,e2-vanilla-200c-01,screen,1,ev_heavy_mixed,4,68,0.9444444444444444,72,OK,10323.47204162857,free_mixed
150.0,vanilla,all_cv,1237.6525942518206,7,0,balanced_mixed,1102.962645625529,2,5,e2-vanilla-25c-01,screen,1,balanced_mixed,2,5,0.7142857142857143,7,OK,1102.962645625529,free_mixed
160.0,multidepot,all_cv,5022.801116954321,32,0,balanced_mixed,5037.998116454932,14,21,e2-multidepot-100c-01,screen,1,all_cv,32,0,0.0,32,OK,5022.801116954321,cv_shell
