E_cv_direct,E_ev_indirect,E_total,algorithm,battery_kwh,category,checkpoint_path,composition,cost_carbon,cost_elec,cost_fix,cost_fuel,cost_km,cost_occ,cost_transship,cv_route_count,depot_charging_kwh,error,ev_drive_kwh,ev_route_count,fuel_liters,instance,phase,role,route_count,seed,station_charging_kwh,status,total_cost,violation_count
1820.1781064196093,0.0,1820.1781064196093,LNS,82.6,multidepot,baselines/e2_alns/checkpoints/e2-multidepot-100c-01__LNS__seed2.json,all_cv,91.62776587716314,0.0,2560.0,1014.6557301989025,1313.5460387766518,0.0,0.0,32,0.0,,0.0,0,708.0146048418829,e2-multidepot-100c-01,fixed_replay,allcv,32,2,0.0,OK,4979.829534852717,0
1820.1781064196093,0.0,1820.1781064196093,LNS,89.0,multidepot,baselines/e2_alns/checkpoints/e2-multidepot-100c-01__LNS__seed2.json,all_cv,91.62776587716314,0.0,2560.0,1014.6557301989025,1313.5460387766518,0.0,0.0,32,0.0,,0.0,0,708.0146048418829,e2-multidepot-100c-01,fixed_replay,allcv,32,2,0.0,OK,4979.829534852717,0
1820.1781064196093,0.0,1820.1781064196093,LNS,100.0,multidepot,baselines/e2_alns/checkpoints/e2-multidepot-100c-01__LNS__seed2.json,all_cv,91.62776587716314,0.0,2560.0,1014.6557301989025,1313.5460387766518,0.0,0.0,32,0.0,,0.0,0,708.0146048418829,e2-multidepot-100c-01,fixed_replay,allcv,32,2,0.0,OK,4979.829534852717,0
1820.1781064196093,0.0,1820.1781064196093,LNS,113.0,multidepot,baselines/e2_alns/checkpoints/e2-multidepot-100c-01__LNS__seed2.json,all_cv,91.62776587716314,0.0,2560.0,1014.6557301989025,1313.5460387766518,0.0,0.0,32,0.0,,0.0,0,708.0146048418829,e2-multidepot-100c-01,fixed_replay,allcv,32,2,0.0,OK,4979.829534852717,0
1820.1781064196093,0.0,1820.1781064196093,LNS,123.9,multidepot,baselines/e2_alns/checkpoints/e2-multidepot-100c-01__LNS__seed2.json,all_cv,91.62776587716314,0.0,2560.0,1014.6557301989025,1313.5460387766518,0.0,0.0,32,0.0,,0.0,0,708.0146048418829,e2-multidepot-100c-01,fixed_replay,allcv,32,2,0.0,OK,4979.829534852717,0
1820.1781064196093,0.0,1820.1781064196093,LNS,140.0,multidepot,baselines/e2_alns/checkpoints/e2-multidepot-100c-01__LNS__seed2.json,all_cv,91.62776587716314,0.0,2560.0,1014.6557301989025,1313.5460387766518,0.0,0.0,32,0.0,,0.0,0,708.0146048418829,e2-multidepot-100c-01,fixed_replay,allcv,32,2,0.0,OK,4979.829534852717,0
1820.1781064196093,0.0,1820.1781064196093,LNS,141.0,multidepot,baselines/e2_alns/checkpoints/e2-multidepot-100c-01__LNS__seed2.json,all_cv,91.62776587716314,0.0,2560.0,1014.6557301989025,1313.5460387766518,0.0,0.0,32,0.0,,0.0,0,708.0146048418829,e2-multidepot-100c-01,fixed_replay,allcv,32,2,0.0,OK,4979.829534852717,0
1820.1781064196093,0.0,1820.1781064196093,LNS,150.0,multidepot,baselines/e2_alns/checkpoints/e2-multidepot-100c-01__LNS__seed2.json,all_cv,91.62776587716314,0.0,2560.0,1014.6557301989025,1313.5460387766518,0.0,0.0,32,0.0,,0.0,0,708.0146048418829,e2-multidepot-100c-01,fixed_replay,allcv,32,2,0.0,OK,4979.829534852717,0
1820.1781064196093,0.0,1820.1781064196093,LNS,160.0,multidepot,baselines/e2_alns/checkpoints/e2-multidepot-100c-01__LNS__seed2.json,all_cv,91.62776587716314,0.0,2560.0,1014.6557301989025,1313.5460387766518,0.0,0.0,32,0.0,,0.0,0,708.0146048418829,e2-multidepot-100c-01,fixed_replay,allcv,32,2,0.0,OK,4979.829534852717,0
1820.1781064196093,0.0,1820.1781064196093,LNS,176.0,multidepot,baselines/e2_alns/checkpoints/e2-multidepot-100c-01__LNS__seed2.json,all_cv,91.62776587716314,0.0,2560.0,1014.6557301989025,1313.5460387766518,0.0,0.0,32,0.0,,0.0,0,708.0146048418829,e2-multidepot-100c-01,fixed_replay,allcv,32,2,0.0,OK,4979.829534852717,0
