instance_id,seed,n_clients,mother_cost,mother_cpu_seconds,mother_iterations,hybrid_cost,hybrid_cpu_seconds,cpu_ratio,hybrid_vs_mother,improvement_percent,epochs_run
PR13B,4,600,7292.854,240.07844266691245,9016,7276.542,464.847292499966,1.9362308724440551,win,0.22367100726272454,4
PR13B,5,600,7289.472,240.04426625010092,10219,7270.737,460.77849504107144,1.9195563478320645,win,0.25701449981562,4
PR13B,6,600,7321.735,240.04577816696838,9716,7291.415,461.26572204194963,1.9215739829471508,win,0.4141094972707932,4
PR13B,7,600,7286.203,240.03770466707647,10169,7258.482,461.9051613340853,1.924302525616677,win,0.3804587931464503,4
PR13B,8,600,7299.24,240.05693479196634,10096,7288.266,462.83421837491915,1.9280185293376835,win,0.1503444194190102,4
PR13B,9,600,7306.554,240.0428988749627,9284,7237.115,480.2927292919485,2.000862060669126,win,0.9503659317374552,4
PR13B,10,600,7249.925,240.04879924992565,10908,7230.335,472.44635300000664,1.9681262913051334,win,0.2702096918244002,4
PR14A,1,720,11226.832,240.1112345829606,5953,11140.199,480.47260149999056,2.0010417352378527,win,0.7716602510841866,4
PR14A,2,720,11122.262,240.056328084087,5687,11060.17,480.46099075011443,2.0014510535286467,win,0.5582677336678505,4
PR14A,3,720,11205.018,240.0686372909695,5807,11127.273,480.39332775003277,2.0010665831696435,win,0.6938409202020095,4
PR14A,4,720,11189.696,240.0758630830096,5916,11055.153,480.4632134999847,2.001297453771343,win,1.2023829780540924,4
PR14A,5,720,11256.075,240.09508345799986,5876,11140.572,480.4800474169897,2.001207357088762,win,1.0261392181555347,4
PR14A,6,720,11180.503,240.08325579192024,6031,11086.256,480.3881698339246,2.0009232557653926,win,0.8429584965900121,4
PR14A,7,720,11192.486,240.08899550000206,5867,11082.437,480.4401819590712,2.0010920573786444,win,0.9832400058396399,4
PR14A,8,720,11094.776,240.07989125000313,5817,11059.087,480.4022845829604,2.0010100891069698,win,0.3216739121186431,4
PR14A,9,720,11297.006,240.07671833306085,5907,11164.642,480.5002147910418,2.0014444471222697,win,1.1716732734319126,4
PR14A,10,720,11260.733,240.071969624958,5805,11139.51,480.4077521249419,2.0010988907844514,win,1.0765107386881472,4
PR14B,1,720,8837.96,240.0697347499663,7406,8799.366,480.4317138340557,2.0012173310160377,win,0.4366844837496339,4
PR14B,2,720,8782.332,240.07396062510088,7080,8729.859,480.4959362910595,2.0014496159431516,win,0.5974836751787561,4
PR14B,3,720,8840.201,240.06382154196035,7111,8752.281,480.3988892500056,2.0011298918943417,win,0.9945475221660487,4
PR14B,4,720,8827.197,240.0521834579995,7123,8798.83,480.4507717919769,2.0014430398881937,win,0.321359090547092,4
PR14B,5,720,8783.922,240.0568781249458,7596,8756.501,475.0078717080178,1.9787305217756923,win,0.31217262630520026,4
PR14B,6,720,8859.885,240.0636990419589,6660,8780.545,480.4549676249735,2.0013645109292364,win,0.8954969505811886,4
PR14B,7,720,8815.624,240.0712195840897,6835,8735.375,480.4162639590213,2.0011405981579813,win,0.9103042507257546,4
PR14B,8,720,8818.552,240.05009908403736,6213,8726.369,480.42164820898324,2.001339095639348,win,1.0453303444828481,4
PR14B,9,720,8856.699,240.06721975002438,6346,8793.931,480.4885492080357,2.001475043982913,win,0.7087064830813379,4
PR14B,10,720,8755.97,240.08036999998149,7182,8722.913,480.41273995803203,2.0010496483243054,win,0.3775366978187326,4
PR15A,1,840,13178.17,240.09120587492362,4314,13001.191,480.78668779099826,2.002516860369579,win,1.3429709891434043,4
PR15A,2,840,13055.94,240.12901079200674,4223,12897.333,480.9280755420914,2.0027903915310685,win,1.2148263549005278,4
PR15A,3,840,13221.431,240.14266683300957,3905,13081.114,480.748651666916,2.00192934478078,win,1.0612845160255415,4
PR15A,4,840,13169.329,240.09778191708028,3504,12977.893,480.98493062506896,2.003287688809974,win,1.4536503720121177,4
PR15A,5,840,13218.289,240.08585345803294,3418,12977.677,481.13659237499814,2.004018918420368,win,1.820296106402281,4
PR15A,6,840,13152.94,240.10539654095192,3605,12991.218,481.53967191593256,2.0055345646252563,win,1.2295501994230928,4
PR15A,7,840,13214.025,240.07294641702902,3404,13045.686,480.7793666670332,2.002638672297022,win,1.2739418912859628,4
PR15A,8,840,13252.935,240.10013220796827,3132,13085.872,480.92346266598906,2.00301206935374,win,1.2605736012438007,4
PR15A,9,840,13157.533,240.12147170805838,3062,13051.106,480.7479095830349,2.002102961319228,win,0.8088674373835861,4
PR15A,10,840,13181.823,240.14151858293917,3092,13027.394,480.84815262502525,2.002353260121289,win,1.1715299166132036,4
PR15B,1,840,10556.58,240.29949516698252,3595,10436.753,480.864923166926,2.0011066724579516,win,1.135092994132563,4
PR15B,2,840,10497.382,240.16081837494858,3565,10397.57,480.7479535000166,2.0017751303189426,win,0.9508275491927406,4
PR15B,3,840,10470.271,240.0919187499676,3775,10410.603,480.63767366600223,2.0018902600655197,win,0.5698801874373784,4
PR15B,4,840,10447.477,240.1071473750053,4039,10410.965,480.5707959579304,2.001484758832951,win,0.34948150639623926,4
PR15B,5,840,10499.101,240.09443912503775,4366,10369.112,480.7937947920291,2.002519494179699,win,1.2380964808320387,4
PR15B,6,840,10570.24,240.07572512503248,4170,10388.474,480.79694312496576,2.002688705301482,win,1.7196014470816143,4
PR15B,7,840,10468.959,240.071990833967,4571,10402.926,480.64799695904367,2.0020994339629494,win,0.6307503926608297,4
PR15B,8,840,10428.253,240.09312858292833,4546,10385.137,480.62542970792856,2.0018291758063382,win,0.4134537203882566,4
PR15B,9,840,10485.025,240.1037816669559,4413,10430.085,480.8056470419979,2.0024909383098164,win,0.5239853982227082,4
PR15B,10,840,10563.533,240.11075233400334,4233,10437.805,480.66587516700383,2.0018506897116337,win,1.190207859434899,4
PR16A,1,960,14657.261,240.14085270802025,2737,14465.639,480.96918666700367,2.0028628250595872,win,1.3073520352813612,4
PR16A,2,960,14695.496,240.10354791698046,2627,14400.364,481.331237958977,2.004681905514386,win,2.0083160173702175,4
PR16A,3,960,14643.683,240.19919491698965,2440,14417.544,480.80236424994655,2.0016818308492117,win,1.5442768052272164,4
PR16A,4,960,14511.109,240.12663283303846,2485,14299.112,480.94993300002534,2.0029012497519707,win,1.4609290027385309,4
PR16A,5,960,14719.323,240.17429237510078,2187,14454.51,480.90545904205646,2.0023186257211294,win,1.7990841018978936,4
PR16A,6,960,14821.267,240.12431162490975,2297,14550.825,480.8433220000006,2.002476628651871,win,1.8246888069690608,4
PR16A,7,960,14745.957,240.17448466597125,2607,14523.795,481.09571462497115,2.00310917828789,win,1.506596011367728,4
PR16A,8,960,14652.716,240.13688695803285,2962,14459.83,480.96841974998824,2.002892707749826,win,1.3163839386500116,4
PR16A,9,960,14731.923,240.1680460839998,2643,14572.277,481.4224325839896,2.0045232512555398,win,1.0836738693244639,4
PR16A,10,960,14684.68,240.19007320795208,2584,14534.734,481.235457291943,2.0035609751253056,win,1.021104988327971,4
PR16B,1,960,11754.399,240.10415737505537,2435,11603.673,481.48448583402205,2.00531507283282,win,1.2822943988884397,4
PR16B,2,960,11681.041,240.18833375000395,2560,11479.315,481.1870997080114,2.003374153087914,win,1.7269522468074443,4
PR16B,3,960,11768.191,240.2374717919156,2238,11607.907,481.1925075419713,2.002986894395732,win,1.3620105248121948,4
PR16B,4,960,11698.712,240.18062500003725,2194,11560.699,481.2104610420065,2.003535718345024,win,1.179728161527517,4
PR16B,5,960,11688.049,240.52047812507953,2420,11482.477,482.2227012090152,2.0049132820958455,win,1.7588221952183816,4
PR16B,6,960,11714.877,240.21515287505463,2457,11505.518,481.1917135420954,2.003169690932787,win,1.787120769599206,4
