category,cv_shell_composition,cv_shell_cost,cv_shell_cv_routes,cv_shell_ev_routes,ev_shell_composition,ev_shell_cost,ev_shell_cv_routes,ev_shell_ev_routes,free_mixed_composition,free_mixed_cost,free_mixed_cv_routes,free_mixed_ev_routes,instance,seed,winner_composition,winner_cv_route_count,winner_ev_route_count,winner_ev_route_share,winner_route_count,winner_status,winner_total_cost,winner_variant
threeshift,all_cv,8763.891111357876,51,0,ev_heavy_mixed,6981.465201373701,1,51,ev_heavy_mixed,7465.660678923831,3,52,e2-threeshift-150c-01,1,ev_heavy_mixed,1,51,0.9807692307692307,52,OK,6981.465201373701,ev_shell
threeshift,all_cv,7752.50558279969,48,0,ev_heavy_mixed,7448.803535379744,2,54,ev_heavy_mixed,7240.01569694116,2,52,e2-threeshift-150c-01,2,ev_heavy_mixed,2,52,0.9629629629629629,54,OK,7240.01569694116,free_mixed
threeshift,all_cv,7708.740066379589,48,0,ev_heavy_mixed,7378.178606863607,2,52,ev_heavy_mixed,7699.558465460812,2,55,e2-threeshift-150c-01,3,ev_heavy_mixed,2,52,0.9629629629629629,54,OK,7378.178606863607,ev_shell
threeshift,all_cv,9593.344441393387,65,0,all_ev,8848.60763209961,0,70,all_ev,8958.65641269902,0,71,e2-threeshift-200c-01,1,all_ev,0,70,1.0,70,OK,8848.60763209961,ev_shell
threeshift,all_cv,9143.676897656356,62,0,ev_heavy_mixed,8934.026814898947,1,70,ev_heavy_mixed,8894.848825057663,1,69,e2-threeshift-200c-01,2,ev_heavy_mixed,1,69,0.9857142857142858,70,OK,8894.848825057663,free_mixed
threeshift,all_cv,9244.454997079307,63,0,all_ev,8866.206863874466,0,70,all_ev,9143.578030906534,0,73,e2-threeshift-200c-01,3,all_ev,0,70,1.0,70,OK,8866.206863874466,ev_shell
threeshift,all_cv,2523.783984589867,15,0,all_ev,2186.093709487608,0,16,all_ev,2198.754981997946,0,16,e2-threeshift-50c-01,1,all_ev,0,16,1.0,16,OK,2186.093709487608,ev_shell
threeshift,all_cv,2453.0479974387,16,0,all_ev,2147.0925360818346,0,15,all_ev,2222.5872346151073,0,16,e2-threeshift-50c-01,2,all_ev,0,15,1.0,15,OK,2147.0925360818346,ev_shell
threeshift,all_cv,2475.729953376651,16,0,all_ev,2142.3172930128667,0,16,all_ev,2142.3172930128667,0,16,e2-threeshift-50c-01,3,all_ev,0,16,1.0,16,OK,2142.3172930128667,free_mixed
threeshift,all_cv,3677.5354133584797,24,0,ev_heavy_mixed,3723.187196586904,2,23,ev_heavy_mixed,3554.6952023002245,1,24,e2-threeshift-75c-01,1,ev_heavy_mixed,1,24,0.96,25,OK,3554.6952023002245,free_mixed
threeshift,all_cv,3694.169539230952,25,0,ev_heavy_mixed,3585.650221872453,1,26,ev_heavy_mixed,3491.4937699444595,1,25,e2-threeshift-75c-01,2,ev_heavy_mixed,1,25,0.9615384615384616,26,OK,3491.4937699444595,free_mixed
threeshift,all_cv,3651.157717661298,24,0,all_ev,3522.6885508863215,0,26,all_ev,3482.9393181158644,0,26,e2-threeshift-75c-01,3,all_ev,0,26,1.0,26,OK,3482.9393181158644,free_mixed
vanilla,all_cv,6158.0206363550615,34,0,ev_heavy_mixed,5255.908770898716,6,27,ev_heavy_mixed,5173.280637290403,2,31,e2-vanilla-100c-01,1,ev_heavy_mixed,2,31,0.9393939393939394,33,OK,5173.280637290403,free_mixed
vanilla,all_cv,6005.927937498446,33,0,ev_heavy_mixed,5503.083141618283,4,31,ev_heavy_mixed,5419.412183073539,3,32,e2-vanilla-100c-01,2,ev_heavy_mixed,3,32,0.9142857142857143,35,OK,5419.412183073539,free_mixed
vanilla,all_cv,5993.166340762592,33,0,ev_heavy_mixed,5386.207466147553,2,33,ev_heavy_mixed,5386.207466147553,2,33,e2-vanilla-100c-01,3,ev_heavy_mixed,2,33,0.9428571428571428,35,OK,5386.207466147553,free_mixed
vanilla,all_cv,7510.521270058546,48,0,ev_heavy_mixed,6712.249458121984,2,48,all_ev,7368.6302889713625,0,55,e2-vanilla-150c-01,1,ev_heavy_mixed,2,48,0.96,50,OK,6712.249458121984,ev_shell
vanilla,all_cv,7362.084484434414,47,0,ev_heavy_mixed,7522.579480572626,1,55,ev_heavy_mixed,7488.040693604439,1,55,e2-vanilla-150c-01,2,all_cv,47,0,0.0,47,OK,7362.084484434414,cv_shell
vanilla,all_cv,7441.420407611793,48,0,ev_heavy_mixed,7339.889937435596,1,54,all_ev,7257.0922320966365,0,55,e2-vanilla-150c-01,3,all_ev,0,55,1.0,55,OK,7257.0922320966365,free_mixed
vanilla,all_cv,11032.42358750122,66,0,ev_heavy_mixed,10342.38892553456,2,70,ev_heavy_mixed,10342.38892553456,2,70,e2-vanilla-200c-01,1,ev_heavy_mixed,2,70,0.9722222222222222,72,OK,10342.38892553456,free_mixed
vanilla,all_cv,11206.68699949503,67,0,ev_heavy_mixed,10445.758485369792,3,70,ev_heavy_mixed,10377.837588185568,4,69,e2-vanilla-200c-01,2,ev_heavy_mixed,4,69,0.9452054794520548,73,OK,10377.837588185568,free_mixed
vanilla,all_cv,11133.107071445103,67,0,ev_heavy_mixed,10716.441100980726,2,74,ev_heavy_mixed,10600.331158515586,1,74,e2-vanilla-200c-01,3,ev_heavy_mixed,1,74,0.9866666666666667,75,OK,10600.331158515586,free_mixed
vanilla,all_cv,1213.2666144034245,7,0,ev_heavy_mixed,1076.8414200057207,1,6,all_ev,1146.069581709001,0,8,e2-vanilla-25c-01,1,ev_heavy_mixed,1,6,0.8571428571428571,7,OK,1076.8414200057207,ev_shell
vanilla,all_cv,1217.3069621269772,7,0,all_ev,1053.8197267313503,0,7,all_ev,1032.2040854185698,0,7,e2-vanilla-25c-01,2,all_ev,0,7,1.0,7,OK,1032.2040854185698,free_mixed
vanilla,all_cv,1231.7355894264756,7,0,all_ev,1135.438926504942,0,8,ev_heavy_mixed,1179.6984381128796,1,7,e2-vanilla-25c-01,3,all_ev,0,8,1.0,8,OK,1135.438926504942,ev_shell
vanilla,all_cv,2807.8495387442276,16,0,ev_heavy_mixed,2485.038934209467,2,14,ev_heavy_mixed,2453.213226859258,2,14,e2-vanilla-50c-01,1,ev_heavy_mixed,2,14,0.875,16,OK,2453.213226859258,free_mixed
vanilla,all_cv,2799.4022778724207,16,0,ev_heavy_mixed,2583.339193276202,2,15,ev_heavy_mixed,2563.3659927577605,2,15,e2-vanilla-50c-01,2,ev_heavy_mixed,2,15,0.8823529411764706,17,OK,2563.3659927577605,free_mixed
vanilla,all_cv,2827.741990979782,16,0,all_ev,2456.2298494377847,0,16,ev_heavy_mixed,2443.6602824144984,1,15,e2-vanilla-50c-01,3,ev_heavy_mixed,1,15,0.9375,16,OK,2443.6602824144984,free_mixed
vanilla,all_cv,4706.589203813759,25,0,ev_heavy_mixed,4362.8993049830115,4,23,ev_heavy_mixed,4523.59614398588,4,24,e2-vanilla-75c-01,1,ev_heavy_mixed,4,23,0.8518518518518519,27,OK,4362.8993049830115,ev_shell
vanilla,all_cv,4665.900910938217,25,0,ev_heavy_mixed,4281.106881869969,3,24,ev_heavy_mixed,4303.290463227472,3,24,e2-vanilla-75c-01,2,ev_heavy_mixed,3,24,0.8888888888888888,27,OK,4281.106881869969,ev_shell
vanilla,all_cv,4617.983556275101,25,0,ev_heavy_mixed,4354.835639734542,4,22,ev_heavy_mixed,4598.071397359392,3,25,e2-vanilla-75c-01,3,ev_heavy_mixed,4,22,0.8461538461538461,26,OK,4354.835639734542,ev_shell
