category,instance,size,replicate,bundle_dir,route_count,cv_route_count,ev_route_count,cv_physical_vehicle_count,ev_physical_vehicle_count,total_physical_vehicle_count,ev_route_share,max_trips_per_physical_vehicle,reused_physical_vehicle_count,status,violation_count,violation_types,total_cost,Q_capacity,B_battery_kwh,num_cv_cap,num_ev_cap,elapsed_seconds
vanilla,e2-vanilla-75c-01,75,1,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-75c-01,12,11,1,6,1,7,0.08333333333333333,2,5,OK,0,,3817.814284,3650.0,80.0,6,5,0.337878
vanilla,e2-vanilla-75c-02,75,2,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-75c-02,12,11,1,6,1,7,0.08333333333333333,2,5,OK,0,,3247.431901,3650.0,80.0,6,5,0.392638
vanilla,e2-vanilla-75c-03,75,3,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-75c-03,11,10,1,5,1,6,0.09090909090909091,2,5,OK,0,,3089.717607,3650.0,80.0,5,5,0.73501
vanilla,e2-vanilla-100c-01,100,1,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-100c-01,15,14,1,7,1,8,0.06666666666666667,2,7,OK,0,,4635.703685,3650.0,80.0,7,7,2.191434
vanilla,e2-vanilla-100c-02,100,2,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-100c-02,14,13,1,7,1,8,0.07142857142857142,2,6,OK,0,,4535.29841,3650.0,80.0,7,6,0.998063
vanilla,e2-vanilla-100c-03,100,3,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-100c-03,14,13,1,7,1,8,0.07142857142857142,2,6,OK,0,,3788.08674,3650.0,80.0,7,6,0.851603
vanilla,e2-vanilla-150c-01,150,1,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-150c-01,21,20,1,10,1,11,0.047619047619047616,2,10,OK,0,,6015.377587,3650.0,80.0,10,10,3.564231
vanilla,e2-vanilla-150c-02,150,2,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-150c-02,21,20,1,10,1,11,0.047619047619047616,2,10,OK,0,,7109.839228,3650.0,80.0,10,10,3.318091
vanilla,e2-vanilla-150c-03,150,3,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-150c-03,20,19,1,10,1,11,0.05,2,9,OK,0,,5373.417597,3650.0,80.0,10,9,3.206555
vanilla,e2-vanilla-200c-01,200,1,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-200c-01,29,28,1,14,1,15,0.034482758620689655,2,14,OK,0,,8714.983861,3650.0,80.0,14,14,18.727088
vanilla,e2-vanilla-200c-02,200,2,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-200c-02,25,24,1,12,1,13,0.04,2,12,OK,0,,7792.425637,3650.0,80.0,12,12,10.203288
vanilla,e2-vanilla-200c-03,200,3,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-200c-03,28,27,1,14,1,15,0.03571428571428571,2,13,OK,0,,8511.318095,3650.0,80.0,14,13,9.518101
multidepot,e2-multidepot-10c-01,10,1,models/data_bundle/generated_instances/e2_benchmark/multidepot/e2-multidepot-10c-01,3,2,1,1,1,2,0.3333333333333333,2,1,OK,0,,476.144113,3650.0,80.0,1,1,0.018579
multidepot,e2-multidepot-10c-02,10,2,models/data_bundle/generated_instances/e2_benchmark/multidepot/e2-multidepot-10c-02,3,2,1,1,1,2,0.3333333333333333,2,1,OK,0,,546.396403,3650.0,80.0,1,1,0.005862
multidepot,e2-multidepot-10c-03,10,3,models/data_bundle/generated_instances/e2_benchmark/multidepot/e2-multidepot-10c-03,3,2,1,1,1,2,0.3333333333333333,2,1,OK,0,,566.646629,3650.0,80.0,1,1,0.004559
multidepot,e2-multidepot-15c-01,15,1,models/data_bundle/generated_instances/e2_benchmark/multidepot/e2-multidepot-15c-01,3,3,0,2,0,2,0.0,2,1,OK,0,,705.510661,3650.0,80.0,2,0,0.006482
multidepot,e2-multidepot-15c-02,15,2,models/data_bundle/generated_instances/e2_benchmark/multidepot/e2-multidepot-15c-02,3,2,1,1,1,2,0.3333333333333333,2,1,OK,0,,532.951459,3650.0,80.0,1,1,0.009097
multidepot,e2-multidepot-15c-03,15,3,models/data_bundle/generated_instances/e2_benchmark/multidepot/e2-multidepot-15c-03,3,2,1,2,1,3,0.3333333333333333,1,0,OK,0,,681.603876,3650.0,80.0,2,1,0.007674
multidepot,e2-multidepot-20c-01,20,1,models/data_bundle/generated_instances/e2_benchmark/multidepot/e2-multidepot-20c-01,5,4,1,2,1,3,0.2,2,2,OK,0,,1130.70053,3650.0,80.0,2,1,0.015203
multidepot,e2-multidepot-20c-02,20,2,models/data_bundle/generated_instances/e2_benchmark/multidepot/e2-multidepot-20c-02,5,4,1,2,1,3,0.2,2,2,OK,0,,859.363201,3650.0,80.0,2,1,0.017936
multidepot,e2-multidepot-20c-03,20,3,models/data_bundle/generated_instances/e2_benchmark/multidepot/e2-multidepot-20c-03,5,4,1,2,1,3,0.2,2,2,OK,0,,810.426482,3650.0,80.0,2,1,0.017059
multidepot,e2-multidepot-25c-01,25,1,models/data_bundle/generated_instances/e2_benchmark/multidepot/e2-multidepot-25c-01,5,4,1,2,1,3,0.2,2,2,OK,0,,828.678307,3650.0,80.0,2,1,0.024836
multidepot,e2-multidepot-25c-02,25,2,models/data_bundle/generated_instances/e2_benchmark/multidepot/e2-multidepot-25c-02,5,4,1,2,1,3,0.2,2,2,OK,0,,876.449435,3650.0,80.0,2,2,0.017676
multidepot,e2-multidepot-25c-03,25,3,models/data_bundle/generated_instances/e2_benchmark/multidepot/e2-multidepot-25c-03,5,4,1,2,1,3,0.2,2,2,OK,0,,737.336369,3650.0,80.0,2,1,0.027192
multidepot,e2-multidepot-50c-01,50,1,models/data_bundle/generated_instances/e2_benchmark/multidepot/e2-multidepot-50c-01,9,8,1,4,1,5,0.1111111111111111,2,4,OK,0,,2020.688951,3650.0,80.0,4,3,0.104776
multidepot,e2-multidepot-50c-02,50,2,models/data_bundle/generated_instances/e2_benchmark/multidepot/e2-multidepot-50c-02,9,8,1,4,1,5,0.1111111111111111,2,4,OK,0,,1919.933337,3650.0,80.0,4,3,0.106577
multidepot,e2-multidepot-50c-03,50,3,models/data_bundle/generated_instances/e2_benchmark/multidepot/e2-multidepot-50c-03,9,8,1,4,1,5,0.1111111111111111,2,4,OK,0,,1882.911529,3650.0,80.0,4,3,0.103972
multidepot,e2-multidepot-75c-01,75,1,models/data_bundle/generated_instances/e2_benchmark/multidepot/e2-multidepot-75c-01,13,12,1,6,1,7,0.07692307692307693,2,6,OK,0,,3062.797793,3650.0,80.0,6,5,0.264773
multidepot,e2-multidepot-75c-02,75,2,models/data_bundle/generated_instances/e2_benchmark/multidepot/e2-multidepot-75c-02,13,12,1,6,1,7,0.07692307692307693,2,6,OK,0,,2573.231831,3650.0,80.0,6,5,0.274018
multidepot,e2-multidepot-75c-03,75,3,models/data_bundle/generated_instances/e2_benchmark/multidepot/e2-multidepot-75c-03,11,10,1,5,1,6,0.09090909090909091,2,5,OK,0,,2531.971409,3650.0,80.0,5,5,0.266445
multidepot,e2-multidepot-100c-01,100,1,models/data_bundle/generated_instances/e2_benchmark/multidepot/e2-multidepot-100c-01,15,14,1,7,1,8,0.06666666666666667,2,7,OK,0,,3960.914226,3650.0,80.0,7,7,0.626827
multidepot,e2-multidepot-100c-02,100,2,models/data_bundle/generated_instances/e2_benchmark/multidepot/e2-multidepot-100c-02,15,14,1,7,1,8,0.06666666666666667,2,7,OK,0,,3909.254964,3650.0,80.0,7,6,0.689488
multidepot,e2-multidepot-100c-03,100,3,models/data_bundle/generated_instances/e2_benchmark/multidepot/e2-multidepot-100c-03,14,13,1,7,1,8,0.07142857142857142,2,6,OK,0,,3176.424123,3650.0,80.0,7,6,0.367277
multidepot,e2-multidepot-150c-01,150,1,models/data_bundle/generated_instances/e2_benchmark/multidepot/e2-multidepot-150c-01,22,21,1,10,1,11,0.045454545454545456,3,10,OK,0,,5488.782859,3650.0,80.0,10,10,2.045739
multidepot,e2-multidepot-150c-02,150,2,models/data_bundle/generated_instances/e2_benchmark/multidepot/e2-multidepot-150c-02,22,21,1,10,1,11,0.045454545454545456,3,10,OK,0,,5818.062278,3650.0,80.0,10,10,2.043498
multidepot,e2-multidepot-150c-03,150,3,models/data_bundle/generated_instances/e2_benchmark/multidepot/e2-multidepot-150c-03,21,20,1,10,1,11,0.047619047619047616,2,10,OK,0,,4651.310339,3650.0,80.0,10,9,2.101629
multidepot,e2-multidepot-200c-01,200,1,models/data_bundle/generated_instances/e2_benchmark/multidepot/e2-multidepot-200c-01,29,28,1,14,1,15,0.034482758620689655,2,14,OK,0,,6608.239547,3650.0,80.0,14,14,5.505136
multidepot,e2-multidepot-200c-02,200,2,models/data_bundle/generated_instances/e2_benchmark/multidepot/e2-multidepot-200c-02,26,25,1,12,1,13,0.038461538461538464,3,12,OK,0,,6522.766863,3650.0,80.0,12,12,6.37681
multidepot,e2-multidepot-200c-03,200,3,models/data_bundle/generated_instances/e2_benchmark/multidepot/e2-multidepot-200c-03,29,28,1,14,1,15,0.034482758620689655,2,14,OK,0,,6646.447564,3650.0,80.0,14,13,5.52129
threeshift,e2-threeshift-50c-01,50,1,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-01,8,7,1,4,1,5,0.125,2,3,OK,0,,1783.694973,3650.0,80.0,4,3,0.084946
threeshift,e2-threeshift-50c-02,50,2,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-02,8,7,1,4,1,5,0.125,2,3,OK,0,,1688.488211,3650.0,80.0,4,3,0.101216
threeshift,e2-threeshift-50c-03,50,3,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-03,9,8,1,4,1,5,0.1111111111111111,2,4,OK,0,,1846.517577,3650.0,80.0,4,3,0.119888
threeshift,e2-threeshift-75c-01,75,1,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-75c-01,12,11,1,6,1,7,0.08333333333333333,2,5,OK,0,,2732.80396,3650.0,80.0,6,5,0.274096
threeshift,e2-threeshift-75c-02,75,2,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-75c-02,11,10,1,6,1,7,0.09090909090909091,2,4,OK,0,,2515.466831,3650.0,80.0,6,5,0.195773
threeshift,e2-threeshift-75c-03,75,3,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-75c-03,11,10,1,5,1,6,0.09090909090909091,2,5,OK,0,,2561.299883,3650.0,80.0,5,5,0.190828
threeshift,e2-threeshift-100c-01,100,1,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-100c-01,15,14,1,7,1,8,0.06666666666666667,2,7,OK,0,,4086.253616,3650.0,80.0,7,7,0.658159
threeshift,e2-threeshift-100c-02,100,2,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-100c-02,14,13,1,7,1,8,0.07142857142857142,2,6,OK,0,,3583.539855,3650.0,80.0,7,6,0.816847
threeshift,e2-threeshift-100c-03,100,3,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-100c-03,15,14,1,7,1,8,0.06666666666666667,2,7,OK,0,,3414.082362,3650.0,80.0,7,6,0.764194
threeshift,e2-threeshift-150c-01,150,1,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-150c-01,22,21,1,10,1,11,0.045454545454545456,3,10,OK,0,,5803.55335,3650.0,80.0,10,10,2.156542
threeshift,e2-threeshift-150c-02,150,2,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-150c-02,21,20,1,10,1,11,0.047619047619047616,2,10,OK,0,,5059.001494,3650.0,80.0,10,10,2.569973
threeshift,e2-threeshift-150c-03,150,3,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-150c-03,20,19,1,10,1,11,0.05,2,9,OK,0,,5101.305301,3650.0,80.0,10,9,1.442921
threeshift,e2-threeshift-200c-01,200,1,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-200c-01,27,26,1,14,1,15,0.037037037037037035,2,12,OK,0,,6633.434496,3650.0,80.0,14,14,3.469123
threeshift,e2-threeshift-200c-02,200,2,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-200c-02,28,27,1,12,1,13,0.03571428571428571,3,12,OK,0,,6367.435478,3650.0,80.0,12,12,6.590396
threeshift,e2-threeshift-200c-03,200,3,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-200c-03,29,28,1,14,1,15,0.034482758620689655,2,14,OK,0,,6648.691898,3650.0,80.0,14,13,8.423347
