actual_customer_count,actual_evaluations,algorithm,best_cost,best_ev_routes,best_routes,clean,dominant_pair_share,elapsed_seconds,eval_budget,feasible,hidden_local_search_scores,initial_cost,instance,run_id,scale,seed,selected_pair_count,solution_path,vehicle_type_attempts,violation_count
114,400,DEFAULT_ALPHA_UCB,2731.295327023356,11,16,True,0.4599483204134367,9.03386962500008,400,True,0,4088.2257659851743,L-main-threeshift-50c-01,medium__L-main-threeshift-50c-01__DEFAULT_ALPHA_UCB__seed3,medium,3,16,baselines/e2_alns/m1_fair_selector_20260710/solutions/medium__L-main-threeshift-50c-01__DEFAULT_ALPHA_UCB__seed3.json,178,0
114,400,SOFTMAX,2588.3693016568623,10,16,True,0.7493606138107417,10.839769209000224,400,True,0,4088.2257659851743,L-main-threeshift-50c-01,medium__L-main-threeshift-50c-01__SOFTMAX__seed3,medium,3,14,baselines/e2_alns/m1_fair_selector_20260710/solutions/medium__L-main-threeshift-50c-01__SOFTMAX__seed3.json,83,0
114,400,LNS,2829.66409196958,10,16,True,0.0,14.607604749999155,400,True,0,4088.2257659851743,L-main-threeshift-50c-01,medium__L-main-threeshift-50c-01__LNS__seed3,medium,3,0,baselines/e2_alns/m1_fair_selector_20260710/solutions/medium__L-main-threeshift-50c-01__LNS__seed3.json,0,0
221,400,DEFAULT_ALPHA_UCB,4940.13112501407,29,31,True,0.4754521963824289,37.18775141600054,400,True,0,7320.111795906428,L-main-threeshift-100c-01,large__L-main-threeshift-100c-01__DEFAULT_ALPHA_UCB__seed1,large,1,16,baselines/e2_alns/m1_fair_selector_20260710/solutions/large__L-main-threeshift-100c-01__DEFAULT_ALPHA_UCB__seed1.json,152,0
221,400,SOFTMAX,6775.85406708918,22,33,True,0.9038961038961039,10.435713375001797,400,True,0,7320.111795906428,L-main-threeshift-100c-01,large__L-main-threeshift-100c-01__SOFTMAX__seed1,large,1,16,baselines/e2_alns/m1_fair_selector_20260710/solutions/large__L-main-threeshift-100c-01__SOFTMAX__seed1.json,348,0
221,400,LNS,6401.555934049611,22,30,True,0.0,22.02225570799783,400,True,0,7320.111795906428,L-main-threeshift-100c-01,large__L-main-threeshift-100c-01__LNS__seed1,large,1,0,baselines/e2_alns/m1_fair_selector_20260710/solutions/large__L-main-threeshift-100c-01__LNS__seed1.json,0,0
221,400,DEFAULT_ALPHA_UCB,5330.982472913916,6,30,True,0.9949367088607595,68.34754075000092,400,True,0,7320.111795906428,L-main-threeshift-100c-01,large__L-main-threeshift-100c-01__DEFAULT_ALPHA_UCB__seed2,large,2,3,baselines/e2_alns/m1_fair_selector_20260710/solutions/large__L-main-threeshift-100c-01__DEFAULT_ALPHA_UCB__seed2.json,0,0
221,400,SOFTMAX,6588.948613322547,16,28,True,0.9168831168831169,6.258593500002462,400,True,0,7320.111795906428,L-main-threeshift-100c-01,large__L-main-threeshift-100c-01__SOFTMAX__seed2,large,2,16,baselines/e2_alns/m1_fair_selector_20260710/solutions/large__L-main-threeshift-100c-01__SOFTMAX__seed2.json,353,0
221,400,LNS,6351.339833591604,23,30,True,0.0,23.396279125001456,400,True,0,7320.111795906428,L-main-threeshift-100c-01,large__L-main-threeshift-100c-01__LNS__seed2,large,2,0,baselines/e2_alns/m1_fair_selector_20260710/solutions/large__L-main-threeshift-100c-01__LNS__seed2.json,0,0
221,400,DEFAULT_ALPHA_UCB,6324.283000250413,25,33,True,0.7777777777777778,21.392046875000233,400,True,0,7320.111795906428,L-main-threeshift-100c-01,large__L-main-threeshift-100c-01__DEFAULT_ALPHA_UCB__seed3,large,3,16,baselines/e2_alns/m1_fair_selector_20260710/solutions/large__L-main-threeshift-100c-01__DEFAULT_ALPHA_UCB__seed3.json,301,0
221,400,SOFTMAX,6616.603315581206,26,33,True,0.6580976863753213,7.338974667000002,400,True,0,7320.111795906428,L-main-threeshift-100c-01,large__L-main-threeshift-100c-01__SOFTMAX__seed3,large,3,16,baselines/e2_alns/m1_fair_selector_20260710/solutions/large__L-main-threeshift-100c-01__SOFTMAX__seed3.json,256,0
221,400,LNS,6944.238047932056,23,32,True,0.0,24.248619624999264,400,True,0,7320.111795906428,L-main-threeshift-100c-01,large__L-main-threeshift-100c-01__LNS__seed3,large,3,0,baselines/e2_alns/m1_fair_selector_20260710/solutions/large__L-main-threeshift-100c-01__LNS__seed3.json,0,0
