aware_minus_blind_charging_action_changes,aware_minus_blind_cost_cny,aware_minus_blind_distance_m,aware_minus_blind_emissions_kg,aware_minus_blind_remaining_charging_window_minutes,aware_minus_blind_route_arc_changes,aware_minus_blind_used_cv,aware_minus_blind_used_ev,aware_minus_blind_vehicle_count,aware_minus_blind_vehicle_type_customer_changes,aware_solution_sha256,blind_solution_sha256,event_ids,policy,same_frozen_state,stage,state_sha256_aware,state_sha256_blind,stream_seed,trigger_second
0,0.0,0.0,0.0,0,0,0,0,0,0,090ea84c3b03ea43011ec51c40b0fbe2d722c89408e07047dcbd667c4488c18d,090ea84c3b03ea43011ec51c40b0fbe2d722c89408e07047dcbd667c4488c18d,ADD_007_C048,fixed_30_minutes,True,4,57d2a6bb1352f16215efd990842f7a95ee4fd34fb1a21be54a38c275f14a0e5d,57d2a6bb1352f16215efd990842f7a95ee4fd34fb1a21be54a38c275f14a0e5d,2,32400.0
0,0.0,0.0,0.0,0,0,0,0,0,0,db886e920463875740341ca249b9975a979be04b6dbed32a3ef4b305553ff783,db886e920463875740341ca249b9975a979be04b6dbed32a3ef4b305553ff783,ADD_013_C076|ADD_002_C023,fixed_30_minutes,True,5,5c3d23ea228b305c469b602a3277f92deb5c3bc8e4fd5d2b301d3b59f5a8ca88,5c3d23ea228b305c469b602a3277f92deb5c3bc8e4fd5d2b301d3b59f5a8ca88,2,34200.0
0,0.0,0.0,0.0,0,0,0,0,0,0,a922da0ae593e0c8a1a997b91ba93f16ea98d9fdf829cf797d3f62e43cd35080,a922da0ae593e0c8a1a997b91ba93f16ea98d9fdf829cf797d3f62e43cd35080,ADD_012_C073|ADD_006_C046|ADD_005_C042|ADD_014_C077,fixed_30_minutes,True,6,03a0dbd38d23536bd94e4d51b27a0268277c390c18485f447244c2f45d35d922,03a0dbd38d23536bd94e4d51b27a0268277c390c18485f447244c2f45d35d922,2,36000.0
0,0.0,0.0,0.0,0,0,0,0,0,0,c6c0b51dab9e1eddc29f5bbd9b03e397b17509b738fb9e7ea07bc85776dcb4ce,c6c0b51dab9e1eddc29f5bbd9b03e397b17509b738fb9e7ea07bc85776dcb4ce,ADD_009_C056|ADD_010_C066,fixed_30_minutes,True,7,85342ddf659666a8cdcc728ba3298b5e13e20ccfbe525c0ea9d3c6f5a206733c,85342ddf659666a8cdcc728ba3298b5e13e20ccfbe525c0ea9d3c6f5a206733c,2,37800.0
0,0.0,0.0,0.0,0,0,0,0,0,0,d132bc9c31ff34040041aa7db6b504ba9d180c0681de521bd52ae1a4fecc8e0e,d132bc9c31ff34040041aa7db6b504ba9d180c0681de521bd52ae1a4fecc8e0e,ADD_003_C032|ADD_001_C005|ADD_015_C079|ADD_020_C098,fixed_30_minutes,True,8,af9279a65f53c86bdc73303f99fb401ace71b44eb8661e2666a97cdede8f6933,af9279a65f53c86bdc73303f99fb401ace71b44eb8661e2666a97cdede8f6933,2,41400.0
0,0.0,0.0,0.0,0,0,0,0,0,0,93f491b3889db7aa9e3c07bb25fa7cec8136d8ed21c72b80a430e565ec136c8c,93f491b3889db7aa9e3c07bb25fa7cec8136d8ed21c72b80a430e565ec136c8c,ADD_016_C082,fixed_30_minutes,True,9,626aec4233c6517c05a803e988931d41b1c335f0401a24bb980a3302cfa3a848,626aec4233c6517c05a803e988931d41b1c335f0401a24bb980a3302cfa3a848,2,43200.0
0,0.0,0.0,0.0,0,0,0,0,0,0,86659d9747ce56d374a2489f0f1dc043377c9a3525d07a69f2b45b62763cd79a,86659d9747ce56d374a2489f0f1dc043377c9a3525d07a69f2b45b62763cd79a,ADD_004_C036,fixed_30_minutes,True,10,0ee16637596b5f9b288865ee2cb8430de9683b63cc5e8a1a74e6e9c48a479c97,0ee16637596b5f9b288865ee2cb8430de9683b63cc5e8a1a74e6e9c48a479c97,2,45000.0
0,0.0,0.0,0.0,0,0,0,0,0,0,cbdaa518ce672bdbfda769485bc268f35c999eeece7966198ab42f3a31365f47,cbdaa518ce672bdbfda769485bc268f35c999eeece7966198ab42f3a31365f47,ADD_017_C085,fixed_30_minutes,True,11,2bc87ff7d89ae4a35f14ac57133b1d86ba3e4aed725268d38f642af6706af742,2bc87ff7d89ae4a35f14ac57133b1d86ba3e4aed725268d38f642af6706af742,2,57600.0
0,0.0,0.0,0.0,0,0,0,0,0,0,67467737fe7a95da52f327c58e3c58a965fa4a6556378defe9c7688ec9bb8018,67467737fe7a95da52f327c58e3c58a965fa4a6556378defe9c7688ec9bb8018,ADD_016_C071|ADD_015_C069,fixed_30_minutes,True,1,10cd84cd70eb4033afcb67acb607bee3a16e180bb1d10c2a9c838fcd919e3a03,10cd84cd70eb4033afcb67acb607bee3a16e180bb1d10c2a9c838fcd919e3a03,3,23400.0
0,0.0,0.0,0.0,0,0,0,0,0,0,2df1192ae4565186e282fcadf966a2161a1e18124b1367ab7589e4cbd79265ec,2df1192ae4565186e282fcadf966a2161a1e18124b1367ab7589e4cbd79265ec,ADD_006_C043|ADD_005_C026,fixed_30_minutes,True,2,af0e3f508bc224707f2fcf48ea2b13a029dc73f378ce2bcbff3392182be8d6fb,af0e3f508bc224707f2fcf48ea2b13a029dc73f378ce2bcbff3392182be8d6fb,3,25200.0
0,0.0,0.0,0.0,0,0,0,0,0,0,6f0ca63551b99e937c47c8ba7dda00a1af4df37fbe90d6dfc43f3a2fa2aaa9d3,6f0ca63551b99e937c47c8ba7dda00a1af4df37fbe90d6dfc43f3a2fa2aaa9d3,ADD_014_C068,fixed_30_minutes,True,3,b7c7e6349438425e5c01260bed6a873b5793d67934410d0b1a510114e6e17e1e,b7c7e6349438425e5c01260bed6a873b5793d67934410d0b1a510114e6e17e1e,3,27000.0
0,0.0,0.0,0.0,0,0,0,0,0,0,5ca860f587033b46c09e170ac656445c44e0c1d6579cc06ce393906a4c1098ee,5ca860f587033b46c09e170ac656445c44e0c1d6579cc06ce393906a4c1098ee,ADD_004_C024,fixed_30_minutes,True,4,d31e96cbd4c4680c01f408b08da4624dbba130c9afa6c991503d72a9246dcb3f,d31e96cbd4c4680c01f408b08da4624dbba130c9afa6c991503d72a9246dcb3f,3,28800.0
0,0.0,0.0,0.0,0,0,0,0,0,0,3a28d2518c7d3bb0456179ca07136885d6ee9881ef16f7bbfb8203b5172e93ed,3a28d2518c7d3bb0456179ca07136885d6ee9881ef16f7bbfb8203b5172e93ed,ADD_018_C080,fixed_30_minutes,True,5,bfe6d56b433e6c963f46707250a9bae4ae5ce72f71feaf649e3037e743188b73,bfe6d56b433e6c963f46707250a9bae4ae5ce72f71feaf649e3037e743188b73,3,30600.0
0,0.0,0.0,0.0,0,0,0,0,0,0,4381b73c3eed47ca36b43642acb941e9d06642bff0660090a1439a1cec29af33,4381b73c3eed47ca36b43642acb941e9d06642bff0660090a1439a1cec29af33,ADD_013_C065|ADD_007_C046,fixed_30_minutes,True,6,5e0b9541142fdfc9cd8f3582e91c26ef8205e1bc5498eb9ae7a49fe27fdc9853,5e0b9541142fdfc9cd8f3582e91c26ef8205e1bc5498eb9ae7a49fe27fdc9853,3,32400.0
0,0.0,0.0,0.0,0,0,0,0,0,0,fc183b31c02326ed11c1292097fb22a07716ea6ff132ad7bc4b0b82fc02ed820,fc183b31c02326ed11c1292097fb22a07716ea6ff132ad7bc4b0b82fc02ed820,ADD_003_C013|ADD_012_C060,fixed_30_minutes,True,7,dd7fc1b23d0d095d2f6615929066fe963d6192cce54f7657d7e463db80e305cb,dd7fc1b23d0d095d2f6615929066fe963d6192cce54f7657d7e463db80e305cb,3,34200.0
0,0.0,0.0,0.0,0,0,0,0,0,0,19bc3754a1a04d9ee00dfd0322f225faca32bd33e28ccde9efeb860a7c8b5f23,19bc3754a1a04d9ee00dfd0322f225faca32bd33e28ccde9efeb860a7c8b5f23,ADD_019_C098,fixed_30_minutes,True,8,67224c9066ca8a2efbed4898bb05524b0b859249ef4648286f20c8a29c100522,67224c9066ca8a2efbed4898bb05524b0b859249ef4648286f20c8a29c100522,3,41400.0
0,0.0,0.0,0.0,0,0,0,0,0,0,df0d5bd9dd82bd2260316b93188fbb67c7499f0576eacbd692cfeeb36c867cd1,df0d5bd9dd82bd2260316b93188fbb67c7499f0576eacbd692cfeeb36c867cd1,ADD_001_C005,fixed_30_minutes,True,9,f602db18a91d1b12d42347b09ebd6986ff82df0e308b97405aeb965d9e8895e5,f602db18a91d1b12d42347b09ebd6986ff82df0e308b97405aeb965d9e8895e5,3,43200.0
0,0.0,0.0,0.0,0,0,0,0,0,0,6249fccd84a672bdf0c905c0334faa7a28db886ac92503244ffbd3d818d92f88,6249fccd84a672bdf0c905c0334faa7a28db886ac92503244ffbd3d818d92f88,ADD_009_C050,fixed_30_minutes,True,10,d5377302f1fb97238c7d4cbf41446abfb90fdcda132484967ee6526df840e448,d5377302f1fb97238c7d4cbf41446abfb90fdcda132484967ee6526df840e448,3,45000.0
0,0.0,0.0,0.0,0,0,0,0,0,0,9248c5cf8d1692bcf5190525cead476f9d682a9f39e51cb59c4986aa038dea2b,9248c5cf8d1692bcf5190525cead476f9d682a9f39e51cb59c4986aa038dea2b,ADD_017_C075,fixed_30_minutes,True,11,2ce11433a92c020dc7c955bd40812d7648808fc2344bfb16867b4acd780b399a,2ce11433a92c020dc7c955bd40812d7648808fc2344bfb16867b4acd780b399a,3,46800.0
0,0.0,0.0,0.0,0,0,0,0,0,0,bf94e6b0eeedf749fcba37d24153dabc7e1930a255fa5bfd7960d57063e4af28,bf94e6b0eeedf749fcba37d24153dabc7e1930a255fa5bfd7960d57063e4af28,ADD_020_C100,fixed_30_minutes,True,12,d568a61f0eb0e18294a3445c2a82bcb3e6f6e5e9aed91594a1212b192c909c6f,d568a61f0eb0e18294a3445c2a82bcb3e6f6e5e9aed91594a1212b192c909c6f,3,48600.0
0,0.0,0.0,0.0,0,0,0,0,0,0,dd365f9d1ffc477bad64d60b347ef66ba6de608e91b36186b39fde5b7ab10ebd,dd365f9d1ffc477bad64d60b347ef66ba6de608e91b36186b39fde5b7ab10ebd,ADD_010_C052,fixed_30_minutes,True,13,d9e3b10fd5b20665450ac0bbd3371899fc0530fd0e39b33af880d5adf00d26d5,d9e3b10fd5b20665450ac0bbd3371899fc0530fd0e39b33af880d5adf00d26d5,3,50400.0
0,0.0,0.0,0.0,0,0,0,0,0,0,66ee35e4c14bc35003e9280e22f8a090b22738adf2f5ddb9471bac2f2db4bf96,66ee35e4c14bc35003e9280e22f8a090b22738adf2f5ddb9471bac2f2db4bf96,ADD_002_C006,fixed_30_minutes,True,14,a485eba8f484d63bc781b90fea10eaef1caf56a38744fd8a6dcd7f86f70e11ba,a485eba8f484d63bc781b90fea10eaef1caf56a38744fd8a6dcd7f86f70e11ba,3,54000.0
0,0.0,0.0,0.0,0.0,0,0,0,0,0,02a5251cb47a115489193e56f08ed9edcfa30914f736439a9b0cc0a9e39ad3b9,02a5251cb47a115489193e56f08ed9edcfa30914f736439a9b0cc0a9e39ad3b9,ADD_008_C049|ADD_011_C053,fixed_30_minutes,True,15,911befc0e9a256c89c159ae55ae13d7f30a6a68e38f1ba91116ae087da37a197,911befc0e9a256c89c159ae55ae13d7f30a6a68e38f1ba91116ae087da37a197,3,55800.0
0,0.0,0.0,0.0,0,0,0,0,0,0,d4a380484d9aae7cf60fda2bdbb26e0904667106d14e93b878fda7b7751b0c8e,d4a380484d9aae7cf60fda2bdbb26e0904667106d14e93b878fda7b7751b0c8e,ADD_004_C023,fixed_30_minutes,True,1,29a5f0a7479ee66733c1677cc0f14e73f8b717dc11dbc32ffff4ff3795c810f8,29a5f0a7479ee66733c1677cc0f14e73f8b717dc11dbc32ffff4ff3795c810f8,4,23400.0
0,0.0,0.0,0.0,0,0,0,0,0,0,747bdd2e25c45b9142fce5500a73b232f948bb3f058947e89af510893d0cafda,747bdd2e25c45b9142fce5500a73b232f948bb3f058947e89af510893d0cafda,ADD_013_C069,fixed_30_minutes,True,2,02b11efe4b809bbd1ba12eb11bb77d846cfcc389556f34a574091fde88d0f268,02b11efe4b809bbd1ba12eb11bb77d846cfcc389556f34a574091fde88d0f268,4,25200.0
0,0.0,0.0,0.0,0,0,0,0,0,0,a4c72041b44ef3ca74bcbf907bd9a6bae9402ae66f5a20ffe7780199c436577c,a4c72041b44ef3ca74bcbf907bd9a6bae9402ae66f5a20ffe7780199c436577c,ADD_015_C073|ADD_020_C095|ADD_018_C090,fixed_30_minutes,True,3,08ba05264e43dbcd375822cd3c8876d7ec30555e8be98f33eb7d5112437ba3b3,08ba05264e43dbcd375822cd3c8876d7ec30555e8be98f33eb7d5112437ba3b3,4,27000.0
0,0.0,0.0,0.0,0,0,0,0,0,0,0797441bee92bdd852425112b947b286b293bba8c9e0355835d5fb9581f7181a,0797441bee92bdd852425112b947b286b293bba8c9e0355835d5fb9581f7181a,ADD_010_C051,fixed_30_minutes,True,4,8ec83cf7075fb7936ba29a8c79fdee776cf24a1431b083f45266e1d9b6c33b35,8ec83cf7075fb7936ba29a8c79fdee776cf24a1431b083f45266e1d9b6c33b35,4,30600.0
0,0.0,0.0,0.0,0,0,0,0,0,0,d837e171a0f98d49d5d9a51c3b6dc5aa0a09e65a27628bf83cbb5f1e54d74efd,d837e171a0f98d49d5d9a51c3b6dc5aa0a09e65a27628bf83cbb5f1e54d74efd,ADD_001_C001|ADD_016_C081|ADD_017_C082,fixed_30_minutes,True,5,fe06a62b1c16958f16c493612527dcf7ae9301827fe12782100d2d5c016888c7,fe06a62b1c16958f16c493612527dcf7ae9301827fe12782100d2d5c016888c7,4,32400.0
0,0.0,0.0,0.0,0,0,0,0,0,0,b0cc2582dfb87147275adefe9f1a07b7e735d2077380ade0ebbd9cbfbca6a209,b0cc2582dfb87147275adefe9f1a07b7e735d2077380ade0ebbd9cbfbca6a209,ADD_011_C062,fixed_30_minutes,True,6,9e2b60f8eb50a4c6892b101f0a719c0cbaef7672b8d561b04878f436bb101b7d,9e2b60f8eb50a4c6892b101f0a719c0cbaef7672b8d561b04878f436bb101b7d,4,34200.0
0,0.0,0.0,0.0,0,0,0,0,0,0,959700975075758df5a930e59e9cdeb9bf4aa60890a4659fdf8b5d203abe3ec1,959700975075758df5a930e59e9cdeb9bf4aa60890a4659fdf8b5d203abe3ec1,ADD_006_C035,fixed_30_minutes,True,7,0b3add165892b42222d81ba490f6bbd6c66545cf05c8ce16673b4b929402af6e,0b3add165892b42222d81ba490f6bbd6c66545cf05c8ce16673b4b929402af6e,4,36000.0
0,0.0,0.0,0.0,0,0,0,0,0,0,fac051f9ba04dcfa5dd3cc4575e75636bf5313325b47816e5c782b25d1671d7f,fac051f9ba04dcfa5dd3cc4575e75636bf5313325b47816e5c782b25d1671d7f,ADD_003_C021|ADD_005_C027,fixed_30_minutes,True,8,310c4b4484bbbbc269b6e16d7193100f7747e7b9791e260368dc37e5fb19ce63,310c4b4484bbbbc269b6e16d7193100f7747e7b9791e260368dc37e5fb19ce63,4,37800.0
0,0.0,0.0,0.0,0,0,0,0,0,0,00ecab9271575f66969e08eb38570b22650c441c754cfb29d42c603b10e2926c,00ecab9271575f66969e08eb38570b22650c441c754cfb29d42c603b10e2926c,ADD_009_C046,fixed_30_minutes,True,9,6fadc0b2a2c7de8a376f08a8e502faf4cc376792e85c8f96c0fc3d6db470fd26,6fadc0b2a2c7de8a376f08a8e502faf4cc376792e85c8f96c0fc3d6db470fd26,4,41400.0
0,0.0,0.0,0.0,0,0,0,0,0,0,def14da59438c42dafb33a80a425c687d4639c5951f1c53084d0c96c51884b81,def14da59438c42dafb33a80a425c687d4639c5951f1c53084d0c96c51884b81,ADD_007_C038|ADD_008_C043,fixed_30_minutes,True,10,db0db18565adc3ddeb21735748d8f75da083e50b760b83bc429537c2dd23cb63,db0db18565adc3ddeb21735748d8f75da083e50b760b83bc429537c2dd23cb63,4,45000.0
0,0.0,0.0,0.0,0,0,0,0,0,0,fb0d5d827cb8d1590a08de2059f0d9d7deb4cccfcecb56f381e2698b94a6d30b,fb0d5d827cb8d1590a08de2059f0d9d7deb4cccfcecb56f381e2698b94a6d30b,ADD_002_C003|ADD_014_C070,fixed_30_minutes,True,11,bb25217f0d705af67c0fd051ce31f1b67ecb8343d68069cd3ddf906cca0539bf,bb25217f0d705af67c0fd051ce31f1b67ecb8343d68069cd3ddf906cca0539bf,4,46800.0
0,0.0,0.0,0.0,0,0,0,0,0,0,cec49b0a1bb7ecabb98e84eec3d639bfd55eb605ea70da4b54541ba67845bd83,cec49b0a1bb7ecabb98e84eec3d639bfd55eb605ea70da4b54541ba67845bd83,ADD_012_C067,fixed_30_minutes,True,12,0dd544ba3aa5ec028358f83623596fd334fe04a6c559be96973dcbb68385aa09,0dd544ba3aa5ec028358f83623596fd334fe04a6c559be96973dcbb68385aa09,4,48600.0
0,0.0,0.0,0.0,0,0,0,0,0,0,fa55caee9d9399632ecae935244f21b74ecb60b60baf0b6279e07011c0b6623c,fa55caee9d9399632ecae935244f21b74ecb60b60baf0b6279e07011c0b6623c,ADD_019_C091,fixed_30_minutes,True,13,dea5cd11ad53fd57a2d74cf71c91d51f5d12726fb2ec72a5eac77d09065073c1,dea5cd11ad53fd57a2d74cf71c91d51f5d12726fb2ec72a5eac77d09065073c1,4,50400.0
0,0.0,0.0,0.0,0,0,0,0,0,0,bbc464ec713e27f3f8a5133393af3dae58d8cb92ccd89c28bc3688f2b4f82e3d,bbc464ec713e27f3f8a5133393af3dae58d8cb92ccd89c28bc3688f2b4f82e3d,ADD_003_C011|ADD_017_C095|ADD_012_C056|ADD_002_C007,fixed_30_minutes,True,1,5ad0c1116f574876decbda7eb82ef9642b7a2f08f913b03eb184ca8d8f013ecd,5ad0c1116f574876decbda7eb82ef9642b7a2f08f913b03eb184ca8d8f013ecd,5,23400.0
0,0.0,0.0,0.0,0,0,0,0,0,0,b3510d882b30a166b477264a8edc45ee1e135b72c3700267481405ee7e8402b8,b3510d882b30a166b477264a8edc45ee1e135b72c3700267481405ee7e8402b8,ADD_016_C091,fixed_30_minutes,True,2,d3c3aa9f4f219977f368876c90bcdff7bee37f3dc93487fe6a0824605b4fa371,d3c3aa9f4f219977f368876c90bcdff7bee37f3dc93487fe6a0824605b4fa371,5,25200.0
0,0.0,0.0,0.0,0,0,0,0,0,0,3c316a681b034b38c2f71a02b48fde83c56eea2509209c91aa3c5ba865dce91d,3c316a681b034b38c2f71a02b48fde83c56eea2509209c91aa3c5ba865dce91d,ADD_001_C003|ADD_011_C054,fixed_30_minutes,True,3,dcb102073a06d51db834deb4d4d563230fcd8eff939ccceb358f666317b441e2,dcb102073a06d51db834deb4d4d563230fcd8eff939ccceb358f666317b441e2,5,28800.0
0,0.0,0.0,0.0,0,0,0,0,0,0,7ccfb7910be9ecdcd30d04c773e179993a7616e0cabb5ee007063828c97767b6,7ccfb7910be9ecdcd30d04c773e179993a7616e0cabb5ee007063828c97767b6,ADD_006_C029|ADD_007_C031|ADD_008_C036,fixed_30_minutes,True,1,b0837ca783b7695f48ef9c273b92339bcd397bafd61b02531609b18777830bed,b0837ca783b7695f48ef9c273b92339bcd397bafd61b02531609b18777830bed,6,23400.0
0,0.0,0.0,0.0,0,0,0,0,0,0,cdd3f8e8ddc599d7fa8925b1b2b8deb27435c861e3699db3b270e336f99f1067,cdd3f8e8ddc599d7fa8925b1b2b8deb27435c861e3699db3b270e336f99f1067,ADD_002_C018|ADD_011_C047,fixed_30_minutes,True,2,895131245af8873fdbdf8b1948dd4971c33c0be291b70452ec08f7c6f918dc8e,895131245af8873fdbdf8b1948dd4971c33c0be291b70452ec08f7c6f918dc8e,6,25200.0
0,0.0,0.0,0.0,0,0,0,0,0,0,4c89bc4ce78ef63dc178675b73323162972b26647967a27bfab5c8347329b8b0,4c89bc4ce78ef63dc178675b73323162972b26647967a27bfab5c8347329b8b0,ADD_016_C074,fixed_30_minutes,True,3,3476bae2c9012ca9ee6fd812d52193cdf623bb1e36a5aa3d9871febc1c2d6d79,3476bae2c9012ca9ee6fd812d52193cdf623bb1e36a5aa3d9871febc1c2d6d79,6,27000.0
0,0.0,0.0,0.0,0,0,0,0,0,0,d6d1fbbad79f2d3b57197925b9bd22478203a01adae9d8d670f070c96e2677f8,d6d1fbbad79f2d3b57197925b9bd22478203a01adae9d8d670f070c96e2677f8,ADD_001_C005|ADD_017_C082|ADD_002_C008|ADD_005_C025,fixed_30_minutes,True,1,e2e47b8f834b0e5174d3976eb66559cccbff83e0256a3c14f8bf3f65e1e8fbc4,e2e47b8f834b0e5174d3976eb66559cccbff83e0256a3c14f8bf3f65e1e8fbc4,7,23400.0
0,0.0,0.0,0.0,0,0,0,0,0,0,903df241ba9db50e182f74c7eef04d32a11a8c9ea178715bcc574d4f86f76a75,903df241ba9db50e182f74c7eef04d32a11a8c9ea178715bcc574d4f86f76a75,ADD_013_C058,fixed_30_minutes,True,2,3613d0f3cc22ba33f82e08cf531c01d1af619fbd38fa826ac4d218cfd58f3789,3613d0f3cc22ba33f82e08cf531c01d1af619fbd38fa826ac4d218cfd58f3789,7,25200.0
0,0.0,0.0,0.0,0,0,0,0,0,0,2247cbfa311be9e51305c17465db9f619b3541eed7b36df899ea7c159cb63fdb,2247cbfa311be9e51305c17465db9f619b3541eed7b36df899ea7c159cb63fdb,ADD_007_C034,fixed_30_minutes,True,3,b2f47cd6944d379c5711c5c41ab5bd1e43901379b574ce0cd11f282c2f24a73f,b2f47cd6944d379c5711c5c41ab5bd1e43901379b574ce0cd11f282c2f24a73f,7,28800.0
0,0.0,0.0,0.0,0,0,0,0,0,0,21241d9725aea995490fb5a27e17bf9b3f30757b9948945764eda0f5c22b4dea,21241d9725aea995490fb5a27e17bf9b3f30757b9948945764eda0f5c22b4dea,ADD_015_C069,fixed_30_minutes,True,4,9367df477284fa79b85d6fc4e041fe0da96d4074598987fc8ac911fa2b6c208a,9367df477284fa79b85d6fc4e041fe0da96d4074598987fc8ac911fa2b6c208a,7,30600.0
0,0.0,0.0,0.0,0,0,0,0,0,0,60071acca9eb143d85a56cad3baa95088ff928d41c16efb277ebc935f744f877,60071acca9eb143d85a56cad3baa95088ff928d41c16efb277ebc935f744f877,ADD_008_C040|ADD_016_C076,fixed_30_minutes,True,5,1fffd9935763ccc4a236c2b62e1c5c1a8ecc9561d7f8f5d532058f1979a93181,1fffd9935763ccc4a236c2b62e1c5c1a8ecc9561d7f8f5d532058f1979a93181,7,32400.0
