algorithm,bundle,bundle_id,scale,seed,budget_multiplier,eval_budget,step_index,actual_evals,best_obj,current_obj,candidate_obj,reward,elapsed_seconds,wall_clock_capped,violation_count,feasible,action_destroy,action_repair,action_q,action_threshold,action_exploration,action_candidate_generator,action_search_control,requested_destroy,requested_repair,requested_q_ratio,requested_threshold_ratio,requested_exploration_ratio,requested_candidate_generator,requested_search_control,search_control_stop_requested,block_best_delta,block_current_delta,block_improved_best_count,block_improved_current_count,block_accepted_count,block_rejected_count,worker_python_executable,worker_python_version,worker_numpy_version,pilot17_best_obj,pilot17_actual_evals
dr_pilot16_final_replay,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-03,e2-threeshift-50c-03,50,2,1,20,3,8,1764.4490893154866,1764.4490893154866,1764.4490893154866,-0.16235704785124855,2.064372699940577,0,0,1,0,1,0,0,3,1,1,random_customer_removal,regret2_insert_repair,0.1,0.0,0.3,route_compression_rebuild,stop,1,0.0,0.0,0,0,0,0,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,1764.4490893154866,8
winner_static_meta,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-03,e2-threeshift-50c-03,50,2,1,20,1,4,1770.782166933431,1770.782166933431,1770.782166933431,-0.02,1.3220242999959737,0,0,1,6,3,4,1,2,,,alpha_ucb,alpha_ucb,0.4,0.0025,0.15,default,continue,0,0.0,0.0,0,0,0,4,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,,
winner_static_meta,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-03,e2-threeshift-50c-03,50,2,1,20,2,8,1770.782166933431,1770.782166933431,1770.782166933431,-0.02,1.7744723999639973,0,0,1,6,3,4,1,2,,,alpha_ucb,alpha_ucb,0.4,0.0025,0.15,default,continue,0,0.0,0.0,0,0,0,4,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,,
winner_static_meta,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-03,e2-threeshift-50c-03,50,2,1,20,3,12,1770.782166933431,1770.782166933431,1770.782166933431,-0.02,2.0892839999869466,0,0,1,6,3,4,1,2,,,alpha_ucb,alpha_ucb,0.4,0.0025,0.15,default,continue,0,0.0,0.0,0,0,0,4,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,,
winner_static_meta,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-03,e2-threeshift-50c-03,50,2,1,20,4,16,1770.782166933431,1770.782166933431,1770.782166933431,-0.02,2.3598256999393925,0,0,1,6,3,4,1,2,,,alpha_ucb,alpha_ucb,0.4,0.0025,0.15,default,continue,0,0.0,0.0,0,0,0,4,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,,
winner_static_meta,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-03,e2-threeshift-50c-03,50,2,1,20,5,20,1770.782166933431,1770.782166933431,1770.782166933431,-0.02,2.386851799907163,0,0,1,6,3,4,1,2,,,alpha_ucb,alpha_ucb,0.4,0.0025,0.15,default,continue,0,0.0,0.0,0,0,0,4,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,,
dr_pilot16_final_replay,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-03,e2-threeshift-50c-03,50,3,1,20,1,4,1764.4490893154866,1764.4490893154866,1783.839192308816,2.4434072473636266,1.779360800050199,0,0,1,0,1,0,0,3,1,0,random_customer_removal,regret2_insert_repair,0.1,0.0,0.3,route_compression_rebuild,continue,0,-6.333077617944355,-6.333077617944355,1,1,1,3,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,1764.4490893154866,8
dr_pilot16_final_replay,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-03,e2-threeshift-50c-03,50,3,1,20,2,8,1764.4490893154866,1764.4490893154866,1764.4490893154866,-0.27,2.1371864000102505,0,0,1,0,1,3,0,3,1,0,random_customer_removal,regret2_insert_repair,0.3,0.0,0.3,route_compression_rebuild,continue,0,0.0,0.0,0,0,0,4,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,1764.4490893154866,8
dr_pilot16_final_replay,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-03,e2-threeshift-50c-03,50,3,1,20,3,8,1764.4490893154866,1764.4490893154866,1764.4490893154866,-0.16235704785124855,2.1399337000912055,0,0,1,0,1,0,0,3,1,1,random_customer_removal,regret2_insert_repair,0.1,0.0,0.3,route_compression_rebuild,stop,1,0.0,0.0,0,0,0,0,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,1764.4490893154866,8
winner_static_meta,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-03,e2-threeshift-50c-03,50,3,1,20,1,4,1770.782166933431,1770.782166933431,1770.782166933431,-0.02,1.2050189999863505,0,0,1,6,3,4,1,2,,,alpha_ucb,alpha_ucb,0.4,0.0025,0.15,default,continue,0,0.0,0.0,0,0,0,4,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,,
winner_static_meta,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-03,e2-threeshift-50c-03,50,3,1,20,2,8,1770.782166933431,1770.782166933431,1770.782166933431,-0.02,1.6538340999977663,0,0,1,6,3,4,1,2,,,alpha_ucb,alpha_ucb,0.4,0.0025,0.15,default,continue,0,0.0,0.0,0,0,0,4,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,,
winner_static_meta,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-03,e2-threeshift-50c-03,50,3,1,20,3,12,1770.782166933431,1770.782166933431,1770.782166933431,-0.02,1.8834555000066757,0,0,1,6,3,4,1,2,,,alpha_ucb,alpha_ucb,0.4,0.0025,0.15,default,continue,0,0.0,0.0,0,0,0,4,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,,
winner_static_meta,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-03,e2-threeshift-50c-03,50,3,1,20,4,16,1770.782166933431,1770.782166933431,1770.782166933431,-0.02,1.9253102000802755,0,0,1,6,3,4,1,2,,,alpha_ucb,alpha_ucb,0.4,0.0025,0.15,default,continue,0,0.0,0.0,0,0,0,4,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,,
winner_static_meta,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-03,e2-threeshift-50c-03,50,3,1,20,5,20,1770.782166933431,1770.782166933431,1770.782166933431,-0.02,1.9555533999809995,0,0,1,6,3,4,1,2,,,alpha_ucb,alpha_ucb,0.4,0.0025,0.15,default,continue,0,0.0,0.0,0,0,0,4,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,,
dr_pilot16_final_replay,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-75c-03,e2-threeshift-75c-03,75,1,1,20,1,4,2478.309599401725,2478.309599401725,2478.309599401725,-0.27,2.5818477000575513,0,0,1,0,1,0,0,3,1,0,random_customer_removal,regret2_insert_repair,0.1,0.0,0.3,route_compression_rebuild,continue,0,0.0,0.0,0,0,0,4,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,2478.309599401725,8
dr_pilot16_final_replay,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-75c-03,e2-threeshift-75c-03,75,1,1,20,2,8,2478.309599401725,2478.309599401725,2478.309599401725,-0.27,4.1624864001059905,0,0,1,0,1,0,1,3,1,0,random_customer_removal,regret2_insert_repair,0.1,0.0025,0.3,route_compression_rebuild,continue,0,0.0,0.0,0,0,0,4,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,2478.309599401725,8
dr_pilot16_final_replay,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-75c-03,e2-threeshift-75c-03,75,1,1,20,3,8,2478.309599401725,2478.309599401725,2478.309599401725,-0.52,4.165334500023164,0,0,1,0,1,0,1,3,1,1,random_customer_removal,regret2_insert_repair,0.1,0.0025,0.3,route_compression_rebuild,stop,1,0.0,0.0,0,0,0,0,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,2478.309599401725,8
winner_static_meta,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-75c-03,e2-threeshift-75c-03,75,1,1,20,1,4,2478.309599401725,2478.309599401725,2478.309599401725,-0.02,1.9127796000102535,0,0,1,6,3,4,1,2,,,alpha_ucb,alpha_ucb,0.4,0.0025,0.15,default,continue,0,0.0,0.0,0,0,0,4,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,,
winner_static_meta,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-75c-03,e2-threeshift-75c-03,75,1,1,20,2,8,2478.309599401725,2478.309599401725,2478.309599401725,-0.02,3.098300200072117,0,0,1,6,3,4,1,2,,,alpha_ucb,alpha_ucb,0.4,0.0025,0.15,default,continue,0,0.0,0.0,0,0,0,4,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,,
winner_static_meta,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-75c-03,e2-threeshift-75c-03,75,1,1,20,3,12,2478.309599401725,2478.309599401725,2478.309599401725,-0.02,3.844247200060636,0,0,1,6,3,4,1,2,,,alpha_ucb,alpha_ucb,0.4,0.0025,0.15,default,continue,0,0.0,0.0,0,0,0,4,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,,
winner_static_meta,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-75c-03,e2-threeshift-75c-03,75,1,1,20,4,16,2478.309599401725,2478.309599401725,2478.309599401725,-0.02,3.9033017000183463,0,0,1,6,3,4,1,2,,,alpha_ucb,alpha_ucb,0.4,0.0025,0.15,default,continue,0,0.0,0.0,0,0,0,4,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,,
winner_static_meta,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-75c-03,e2-threeshift-75c-03,75,1,1,20,5,20,2478.309599401725,2478.309599401725,2478.309599401725,-0.02,3.9412149999989197,0,0,1,6,3,4,1,2,,,alpha_ucb,alpha_ucb,0.4,0.0025,0.15,default,continue,0,0.0,0.0,0,0,0,4,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,,
dr_pilot16_final_replay,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-75c-03,e2-threeshift-75c-03,75,2,1,20,1,4,2478.309599401725,2478.309599401725,2478.309599401725,-0.27,2.6163504000287503,0,0,1,0,1,0,0,3,1,0,random_customer_removal,regret2_insert_repair,0.1,0.0,0.3,route_compression_rebuild,continue,0,0.0,0.0,0,0,0,4,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,2478.309599401725,8
dr_pilot16_final_replay,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-75c-03,e2-threeshift-75c-03,75,2,1,20,2,8,2478.309599401725,2478.309599401725,2478.309599401725,-0.27,4.232156699988991,0,0,1,0,1,0,1,3,1,0,random_customer_removal,regret2_insert_repair,0.1,0.0025,0.3,route_compression_rebuild,continue,0,0.0,0.0,0,0,0,4,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,2478.309599401725,8
dr_pilot16_final_replay,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-75c-03,e2-threeshift-75c-03,75,2,1,20,3,8,2478.309599401725,2478.309599401725,2478.309599401725,-0.52,4.234764599939808,0,0,1,0,1,0,1,3,1,1,random_customer_removal,regret2_insert_repair,0.1,0.0025,0.3,route_compression_rebuild,stop,1,0.0,0.0,0,0,0,0,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,2478.309599401725,8
winner_static_meta,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-75c-03,e2-threeshift-75c-03,75,2,1,20,1,4,2478.309599401725,2478.309599401725,2478.309599401725,-0.02,2.0967704000649974,0,0,1,6,3,4,1,2,,,alpha_ucb,alpha_ucb,0.4,0.0025,0.15,default,continue,0,0.0,0.0,0,0,0,4,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,,
winner_static_meta,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-75c-03,e2-threeshift-75c-03,75,2,1,20,2,8,2478.309599401725,2478.309599401725,2478.309599401725,-0.02,2.8981305999914184,0,0,1,6,3,4,1,2,,,alpha_ucb,alpha_ucb,0.4,0.0025,0.15,default,continue,0,0.0,0.0,0,0,0,4,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,,
winner_static_meta,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-75c-03,e2-threeshift-75c-03,75,2,1,20,3,12,2478.309599401725,2478.309599401725,2478.309599401725,-0.02,3.4260892000747845,0,0,1,6,3,4,1,2,,,alpha_ucb,alpha_ucb,0.4,0.0025,0.15,default,continue,0,0.0,0.0,0,0,0,4,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,,
winner_static_meta,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-75c-03,e2-threeshift-75c-03,75,2,1,20,4,16,2478.309599401725,2478.309599401725,2478.309599401725,-0.02,3.72170150000602,0,0,1,6,3,4,1,2,,,alpha_ucb,alpha_ucb,0.4,0.0025,0.15,default,continue,0,0.0,0.0,0,0,0,4,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,,
winner_static_meta,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-75c-03,e2-threeshift-75c-03,75,2,1,20,5,20,2478.309599401725,2478.309599401725,2478.309599401725,-0.02,3.753230300033465,0,0,1,6,3,4,1,2,,,alpha_ucb,alpha_ucb,0.4,0.0025,0.15,default,continue,0,0.0,0.0,0,0,0,4,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,,
dr_pilot16_final_replay,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-75c-03,e2-threeshift-75c-03,75,3,1,20,1,4,2478.309599401725,2478.309599401725,2478.309599401725,-0.27,2.484636800014414,0,0,1,0,1,0,0,3,1,0,random_customer_removal,regret2_insert_repair,0.1,0.0,0.3,route_compression_rebuild,continue,0,0.0,0.0,0,0,0,4,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,2478.309599401725,8
dr_pilot16_final_replay,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-75c-03,e2-threeshift-75c-03,75,3,1,20,2,8,2478.309599401725,2478.309599401725,2478.309599401725,-0.27,4.084445500047877,0,0,1,0,1,0,1,3,1,0,random_customer_removal,regret2_insert_repair,0.1,0.0025,0.3,route_compression_rebuild,continue,0,0.0,0.0,0,0,0,4,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,2478.309599401725,8
dr_pilot16_final_replay,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-75c-03,e2-threeshift-75c-03,75,3,1,20,3,8,2478.309599401725,2478.309599401725,2478.309599401725,-0.52,4.087039200006984,0,0,1,0,1,0,1,3,1,1,random_customer_removal,regret2_insert_repair,0.1,0.0025,0.3,route_compression_rebuild,stop,1,0.0,0.0,0,0,0,0,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,2478.309599401725,8
winner_static_meta,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-75c-03,e2-threeshift-75c-03,75,3,1,20,1,4,2478.309599401725,2478.309599401725,2478.309599401725,-0.02,2.156246199971065,0,0,1,6,3,4,1,2,,,alpha_ucb,alpha_ucb,0.4,0.0025,0.15,default,continue,0,0.0,0.0,0,0,0,4,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,,
winner_static_meta,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-75c-03,e2-threeshift-75c-03,75,3,1,20,2,8,2478.309599401725,2478.309599401725,2478.309599401725,-0.02,3.1681070000631735,0,0,1,6,3,4,1,2,,,alpha_ucb,alpha_ucb,0.4,0.0025,0.15,default,continue,0,0.0,0.0,0,0,0,4,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,,
winner_static_meta,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-75c-03,e2-threeshift-75c-03,75,3,1,20,3,12,2478.309599401725,2478.309599401725,2478.309599401725,-0.02,3.738158700056374,0,0,1,6,3,4,1,2,,,alpha_ucb,alpha_ucb,0.4,0.0025,0.15,default,continue,0,0.0,0.0,0,0,0,4,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,,
winner_static_meta,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-75c-03,e2-threeshift-75c-03,75,3,1,20,4,16,2478.309599401725,2478.309599401725,2478.309599401725,-0.02,3.7860588000621647,0,0,1,6,3,4,1,2,,,alpha_ucb,alpha_ucb,0.4,0.0025,0.15,default,continue,0,0.0,0.0,0,0,0,4,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,,
