budget,fee,layer,run_id,seed,size
4000,0.0,M2,E3__200c__M2__seed4__fee0__eval4000,4,200c
4000,0.0,M3,E3__200c__M3__seed4__fee0__eval4000,4,200c
4000,0.0,M4,E3__200c__M4__seed4__fee0__eval4000,4,200c
4000,0.0,M5,E3__200c__M5__seed4__fee0__eval4000,4,200c
4000,0.0,M0,E3__100c__M0__seed4__fee0__eval4000,4,100c
4000,0.0,M1,E3__100c__M1__seed4__fee0__eval4000,4,100c
4000,0.0,M3,E3__100c__M3__seed4__fee0__eval4000,4,100c
4000,0.0,M5,E3__100c__M5__seed4__fee0__eval4000,4,100c
4000,10.0,M5,E3__200c__M5__seed4__fee10__eval4000,4,200c
4000,25.0,M5,E3__200c__M5__seed4__fee25__eval4000,4,200c
4000,50.0,M5,E3__200c__M5__seed4__fee50__eval4000,4,200c
4000,95.0,M5,E3__200c__M5__seed4__fee95__eval4000,4,200c
4000,0.0,M0,E3__200c__M0__seed5__fee0__eval4000,5,200c
4000,0.0,M1,E3__200c__M1__seed5__fee0__eval4000,5,200c
4000,0.0,M2,E3__200c__M2__seed5__fee0__eval4000,5,200c
4000,0.0,M3,E3__200c__M3__seed5__fee0__eval4000,5,200c
4000,0.0,M4,E3__200c__M4__seed5__fee0__eval4000,5,200c
4000,0.0,M5,E3__200c__M5__seed5__fee0__eval4000,5,200c
4000,0.0,M0,E3__100c__M0__seed5__fee0__eval4000,5,100c
4000,0.0,M1,E3__100c__M1__seed5__fee0__eval4000,5,100c
4000,0.0,M3,E3__100c__M3__seed5__fee0__eval4000,5,100c
4000,0.0,M5,E3__100c__M5__seed5__fee0__eval4000,5,100c
4000,10.0,M5,E3__200c__M5__seed5__fee10__eval4000,5,200c
4000,25.0,M5,E3__200c__M5__seed5__fee25__eval4000,5,200c
4000,50.0,M5,E3__200c__M5__seed5__fee50__eval4000,5,200c
4000,95.0,M5,E3__200c__M5__seed5__fee95__eval4000,5,200c
4000,0.0,M0,E3__200c__M0__seed6__fee0__eval4000,6,200c
4000,0.0,M1,E3__200c__M1__seed6__fee0__eval4000,6,200c
4000,0.0,M2,E3__200c__M2__seed6__fee0__eval4000,6,200c
4000,0.0,M3,E3__200c__M3__seed6__fee0__eval4000,6,200c
4000,0.0,M4,E3__200c__M4__seed6__fee0__eval4000,6,200c
4000,0.0,M5,E3__200c__M5__seed6__fee0__eval4000,6,200c
4000,0.0,M0,E3__200c__M0__seed7__fee0__eval4000,7,200c
4000,0.0,M1,E3__200c__M1__seed7__fee0__eval4000,7,200c
4000,0.0,M2,E3__200c__M2__seed7__fee0__eval4000,7,200c
4000,0.0,M3,E3__200c__M3__seed7__fee0__eval4000,7,200c
4000,0.0,M4,E3__200c__M4__seed7__fee0__eval4000,7,200c
4000,0.0,M5,E3__200c__M5__seed7__fee0__eval4000,7,200c
4000,0.0,M0,E3__200c__M0__seed8__fee0__eval4000,8,200c
4000,0.0,M1,E3__200c__M1__seed8__fee0__eval4000,8,200c
4000,0.0,M2,E3__200c__M2__seed8__fee0__eval4000,8,200c
4000,0.0,M3,E3__200c__M3__seed8__fee0__eval4000,8,200c
4000,0.0,M4,E3__200c__M4__seed8__fee0__eval4000,8,200c
4000,0.0,M5,E3__200c__M5__seed8__fee0__eval4000,8,200c
4000,0.0,M0,E3__200c__M0__seed9__fee0__eval4000,9,200c
4000,0.0,M1,E3__200c__M1__seed9__fee0__eval4000,9,200c
4000,0.0,M2,E3__200c__M2__seed9__fee0__eval4000,9,200c
4000,0.0,M3,E3__200c__M3__seed9__fee0__eval4000,9,200c
4000,0.0,M4,E3__200c__M4__seed9__fee0__eval4000,9,200c
4000,0.0,M5,E3__200c__M5__seed9__fee0__eval4000,9,200c
4000,0.0,M0,E3__200c__M0__seed10__fee0__eval4000,10,200c
4000,0.0,M1,E3__200c__M1__seed10__fee0__eval4000,10,200c
4000,0.0,M2,E3__200c__M2__seed10__fee0__eval4000,10,200c
4000,0.0,M3,E3__200c__M3__seed10__fee0__eval4000,10,200c
4000,0.0,M4,E3__200c__M4__seed10__fee0__eval4000,10,200c
4000,0.0,M5,E3__200c__M5__seed10__fee0__eval4000,10,200c
