operating_day,previous_day,seed,arm,timing_rule,vehicle_trip,charge_scope,charge_day_offset,charge_start_second,energy_kwh,earliest_start_second,latest_start_second,timing_slack_hours,moved_from_immediate,actual_emissions_kg,forecast_emissions_kg
2025-11-02,2025-11-01,1,ownership_fixed,immediate,EV_D1_2#T1,pre_day_first_trip,-1,0.0,176.94072073120162,0.0,57446.063880348825,15.957239966763563,False,8.275036036560083,7.894450991441671
2025-11-02,2025-11-01,1,ownership_fixed,immediate,EV_D1_2#T2,same_day_between_trip,0,10522.897653032971,55.11998252192706,10522.897653032971,10522.897653032973,5.052748343182935e-16,False,3.9983719176377455,4.0088919875500375
2025-11-02,2025-11-01,1,ownership_fixed,forecast_timed,EV_D0_1#T1,pre_day_first_trip,-1,20851.296174835847,180.57541226489207,0.0,56851.29617483585,15.792026715232181,True,8.339468964185036,6.865468964185035
2025-11-02,2025-11-01,1,ownership_fixed,forecast_timed,EV_D0_1#T2,same_day_between_trip,0,9689.999940627406,64.46179292895413,9689.999940627406,9689.999940627406,0.0,False,4.672822675654108,4.64865396317108
2025-11-02,2025-11-01,1,ownership_fixed,forecast_timed,EV_D0_1#T3,same_day_between_trip,0,39089.52251805697,60.16173534604745,39089.52251805697,39089.52251805697,0.0,False,4.166018606303164,3.408647289657084
2025-11-02,2025-11-01,1,ownership_fixed,forecast_timed,EV_D0_2#T1,pre_day_first_trip,-1,25411.829300054655,130.7054876107771,0.0,65011.829300054655,18.058841472237404,True,5.827390843371187,4.607692066377198
2025-11-02,2025-11-01,1,ownership_fixed,forecast_timed,EV_D0_2#T2,same_day_between_trip,0,23029.014081683934,151.8766621639073,14446.203358178047,23029.014081683934,2.3841140898627464,True,11.069626324456955,9.509366805666058
2025-11-02,2025-11-01,1,ownership_fixed,forecast_timed,EV_D0_3#T1,pre_day_first_trip,-1,24871.4782472391,156.00763293353882,0.0,60871.4782472391,16.90874395756642,True,7.15338927961048,5.708374013743402
2025-11-02,2025-11-01,1,ownership_fixed,forecast_timed,EV_D0_3#T2,same_day_between_trip,0,6961.966796391645,51.3993398630945,6961.966796391645,6961.966796391645,0.0,False,3.6444239258735913,3.6614947214674745
2025-11-02,2025-11-01,1,ownership_fixed,forecast_timed,EV_D0_3#T3,same_day_between_trip,0,45337.9034761395,103.26091088655683,45337.9034761395,45337.9034761395,0.0,False,10.251382918832201,9.348182732214404
2025-11-02,2025-11-01,1,ownership_fixed,forecast_timed,EV_D1_1#T1,pre_day_first_trip,-1,23855.494789381315,162.21642073155863,0.0,59855.494789381315,16.626526330383697,True,7.47003745730949,6.012604615846373
2025-11-02,2025-11-01,1,ownership_fixed,forecast_timed,EV_D1_1#T2,same_day_between_trip,0,21419.71426116435,159.34877579116448,15861.042441208516,21419.71426116435,1.5440755055432873,True,11.635303467764956,10.058786844297549
2025-11-02,2025-11-01,1,ownership_fixed,forecast_timed,EV_D1_2#T1,pre_day_first_trip,-1,21446.063880348825,176.94072073120162,0.0,57446.063880348825,15.957239966763563,True,8.172273153635274,6.698273153635274
2025-11-02,2025-11-01,1,ownership_fixed,forecast_timed,EV_D1_2#T2,same_day_between_trip,0,10522.897653032971,55.11998252192706,10522.897653032971,10522.897653032973,5.052748343182935e-16,False,3.9983719176377455,4.0088919875500375
2025-11-02,2025-11-01,1,ownership_fixed,actual_oracle,EV_D0_1#T1,pre_day_first_trip,-1,9000.0,180.57541226489207,0.0,56851.29617483585,15.792026715232181,True,8.07731813965525,7.533837780211654
