actual_evals,algorithm,best_obj,bundle,candidate_k_evaluated,candidate_scores,control_mode,current_obj,eval_budget,evidence_role,feasible,repair_delta_count,scale,seed,steps,trace_destroy_id,trace_repair_id,track,violation_count,wall_time_seconds,worker_integrity_ok,worker_numpy_version,worker_python_executable
80,worst_removal_fixed,619.0563488082439,models/data_bundle/generated_instances/E-UK25_13__curric_d2_s3_seed2213_24h,0,80,block_ppo,619.5714525844296,80,DESTROY_LEVERAGE_GATE,,,25c,1203,80,random_customer_removal,greedy_insert_repair,track22,0,2.609999999869615,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,best_of_k_destroy,598.2032427285898,models/data_bundle/generated_instances/E-UK25_13__curric_d2_s3_seed2213_24h,4,80,best_of_k_destroy,598.2032427285898,80,DESTROY_LEVERAGE_GATE,,,25c,1203,10,best_of_k_destroy,greedy_insert_repair,track22,0,2.280999999959022,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,operator_select,933.7818726608352,models/data_bundle/generated_instances/E-UK50_11__curric_d2_s3_seed2251_24h,,80,,933.7818726608352,80,DESTROY_LEVERAGE_GATE,True,125859,50c,1201,80,,,track22,0,14.5,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,worst_removal_fixed,992.5429501517718,models/data_bundle/generated_instances/E-UK50_11__curric_d2_s3_seed2251_24h,0,80,block_ppo,994.1743433235025,80,DESTROY_LEVERAGE_GATE,,,50c,1201,80,random_customer_removal,regret3_insert_repair,track22,0,9.688000000081956,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,best_of_k_destroy,1071.7874063898626,models/data_bundle/generated_instances/E-UK50_11__curric_d2_s3_seed2251_24h,4,80,best_of_k_destroy,1071.7874063898626,80,DESTROY_LEVERAGE_GATE,,,50c,1201,10,best_of_k_destroy,greedy_insert_repair,track22,0,6.983999999938533,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,operator_select,967.1116048901757,models/data_bundle/generated_instances/E-UK50_11__curric_d2_s3_seed2251_24h,,80,,967.9340135933411,80,DESTROY_LEVERAGE_GATE,True,119065,50c,1202,80,,,track22,0,12.687000000150874,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,worst_removal_fixed,1076.0462898718329,models/data_bundle/generated_instances/E-UK50_11__curric_d2_s3_seed2251_24h,0,80,block_ppo,1079.6053792484126,80,DESTROY_LEVERAGE_GATE,,,50c,1202,80,random_customer_removal,regret2_insert_repair,track22,0,9.390999999828637,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,best_of_k_destroy,1101.8915964911891,models/data_bundle/generated_instances/E-UK50_11__curric_d2_s3_seed2251_24h,4,80,best_of_k_destroy,1101.8915964911891,80,DESTROY_LEVERAGE_GATE,,,50c,1202,10,best_of_k_destroy,greedy_insert_repair,track22,0,7.061999999918044,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,operator_select,999.8076583483427,models/data_bundle/generated_instances/E-UK50_11__curric_d2_s3_seed2251_24h,,80,,1000.67414481385,80,DESTROY_LEVERAGE_GATE,True,109072,50c,1203,80,,,track22,0,13.485000000102445,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
80,worst_removal_fixed,1076.5436362869323,models/data_bundle/generated_instances/E-UK50_11__curric_d2_s3_seed2251_24h,0,80,block_ppo,1076.5436362869323,80,DESTROY_LEVERAGE_GATE,,,50c,1203,80,random_customer_removal,regret2_insert_repair,track22,0,9.328000000212342,True,2.3.5,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe
