instance_id,sample_role,seed,state,state_status,source,source_solution_sha256,total_cost_cny,vehicle_count,route_count,elapsed_seconds,time_accounting,complete_candidate_evaluations_consumed,profit_D_guangzhou_cny,profit_D_shenzhen_cny,member_profit_json,member_cost_json,member_profit_margin_vs_I_json,member_profit_ratio_vs_I_json,weak_member_id,weak_member_profit_change_vs_I_cny,u_weak_member_id,u_weak_member_improvement_vs_U_cny,minimum_member_profit_ratio,all_members_no_worse_than_I,theta,candidate_pool_size,participation_satisfying_candidate_count,selected_f_candidate_id,f_fallback_to_I,search_reruns,nested_candidate_is_independent_sample
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,7,F,PASS_FALLBACK_TO_I_NO_FAIR_CANDIDATE,SEALED_E3_ZONE_I_FALLBACK,1491cd6362a9601c2684314409815f710d909ee726116b44e25ef5b593ad0183,2341.446789956353,9,9,52.90105270798085,SHARED_U_SEARCH_TIME_NOT_ADDITIONAL_TRAJECTORY,314,6917.233079222592,9075.820130821055,"{""D_guangzhou"": 6917.233079222592, ""D_shenzhen"": 9075.820130821055}","{""D_guangzhou"": 1103.2669207774081, ""D_shenzhen"": 1238.1798691789447}","{""D_guangzhou"": 0.0, ""D_shenzhen"": 0.0}","{""D_guangzhou"": 1.0, ""D_shenzhen"": 1.0}",D_guangzhou,0.0,D_guangzhou,966.9993319555515,1.0,True,1.0,115,0,,True,1,False
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,8,I,PASS_REUSED_SEALED_E3_ZONE,baselines/china_e3_e7/e3_zone_joint_20260731/formal/plans/cn-prd-50c-01-V2-LOCATIONS__seed08__ZONE.json,1491cd6362a9601c2684314409815f710d909ee726116b44e25ef5b593ad0183,2341.446789956353,9,9,53.70268283301266,SEALED_E3_ARM_TIME,322,6917.233079222592,9075.820130821055,"{""D_guangzhou"": 6917.233079222592, ""D_shenzhen"": 9075.820130821055}","{""D_guangzhou"": 1103.2669207774081, ""D_shenzhen"": 1238.1798691789447}","{""D_guangzhou"": 0.0, ""D_shenzhen"": 0.0}","{""D_guangzhou"": 1.0, ""D_shenzhen"": 1.0}",D_guangzhou,0.0,D_guangzhou,966.9993319555515,1.0,True,1.0,137,0,,True,1,False
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,8,U,PASS_REUSED_SEALED_E3_JOINT_BITWISE_REPLAYED,baselines/china_e3_e7/e3_zone_joint_20260731/formal/plans/cn-prd-50c-01-V2-LOCATIONS__seed08__JOINT.json,8d22c7d6dcdee06c2b780447228695e5482a4f936515cc8f963485a60026515a,2288.011934963607,8,8,52.92376879201038,SEALED_E3_ARM_TIME,363,5950.233747267041,10096.254317769351,"{""D_guangzhou"": 5950.233747267041, ""D_shenzhen"": 10096.254317769351}","{""D_guangzhou"": 820.7662527329592, ""D_shenzhen"": 1467.245682230648}","{""D_guangzhou"": -966.9993319555515, ""D_shenzhen"": 1020.434186948296}","{""D_guangzhou"": 0.8602043156735395, ""D_shenzhen"": 1.1124343775261643}",D_guangzhou,-966.9993319555515,D_guangzhou,0.0,0.8602043156735395,False,1.0,137,0,,True,1,False
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,8,F,PASS_FALLBACK_TO_I_NO_FAIR_CANDIDATE,SEALED_E3_ZONE_I_FALLBACK,1491cd6362a9601c2684314409815f710d909ee726116b44e25ef5b593ad0183,2341.446789956353,9,9,52.92376879201038,SHARED_U_SEARCH_TIME_NOT_ADDITIONAL_TRAJECTORY,363,6917.233079222592,9075.820130821055,"{""D_guangzhou"": 6917.233079222592, ""D_shenzhen"": 9075.820130821055}","{""D_guangzhou"": 1103.2669207774081, ""D_shenzhen"": 1238.1798691789447}","{""D_guangzhou"": 0.0, ""D_shenzhen"": 0.0}","{""D_guangzhou"": 1.0, ""D_shenzhen"": 1.0}",D_guangzhou,0.0,D_guangzhou,966.9993319555515,1.0,True,1.0,137,0,,True,1,False
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,9,I,PASS_REUSED_SEALED_E3_ZONE,baselines/china_e3_e7/e3_zone_joint_20260731/formal/plans/cn-prd-50c-01-V2-LOCATIONS__seed09__ZONE.json,1491cd6362a9601c2684314409815f710d909ee726116b44e25ef5b593ad0183,2341.446789956353,9,9,54.43747937498847,SEALED_E3_ARM_TIME,355,6917.233079222592,9075.820130821055,"{""D_guangzhou"": 6917.233079222592, ""D_shenzhen"": 9075.820130821055}","{""D_guangzhou"": 1103.2669207774081, ""D_shenzhen"": 1238.1798691789447}","{""D_guangzhou"": 0.0, ""D_shenzhen"": 0.0}","{""D_guangzhou"": 1.0, ""D_shenzhen"": 1.0}",D_guangzhou,0.0,D_guangzhou,966.9993319555515,1.0,True,1.0,144,0,,True,1,False
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,9,U,PASS_REUSED_SEALED_E3_JOINT_BITWISE_REPLAYED,baselines/china_e3_e7/e3_zone_joint_20260731/formal/plans/cn-prd-50c-01-V2-LOCATIONS__seed09__JOINT.json,97331f7596a2cdb3469b2a30709ddc7d43231be4e43d4de69f9ef774234672e4,2288.011934963607,8,8,55.431025374971796,SEALED_E3_ARM_TIME,364,5950.233747267041,10096.254317769351,"{""D_guangzhou"": 5950.233747267041, ""D_shenzhen"": 10096.254317769351}","{""D_guangzhou"": 820.7662527329592, ""D_shenzhen"": 1467.245682230648}","{""D_guangzhou"": -966.9993319555515, ""D_shenzhen"": 1020.434186948296}","{""D_guangzhou"": 0.8602043156735395, ""D_shenzhen"": 1.1124343775261643}",D_guangzhou,-966.9993319555515,D_guangzhou,0.0,0.8602043156735395,False,1.0,144,0,,True,1,False
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,9,F,PASS_FALLBACK_TO_I_NO_FAIR_CANDIDATE,SEALED_E3_ZONE_I_FALLBACK,1491cd6362a9601c2684314409815f710d909ee726116b44e25ef5b593ad0183,2341.446789956353,9,9,55.431025374971796,SHARED_U_SEARCH_TIME_NOT_ADDITIONAL_TRAJECTORY,364,6917.233079222592,9075.820130821055,"{""D_guangzhou"": 6917.233079222592, ""D_shenzhen"": 9075.820130821055}","{""D_guangzhou"": 1103.2669207774081, ""D_shenzhen"": 1238.1798691789447}","{""D_guangzhou"": 0.0, ""D_shenzhen"": 0.0}","{""D_guangzhou"": 1.0, ""D_shenzhen"": 1.0}",D_guangzhou,0.0,D_guangzhou,966.9993319555515,1.0,True,1.0,144,0,,True,1,False
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,10,I,PASS_REUSED_SEALED_E3_ZONE,baselines/china_e3_e7/e3_zone_joint_20260731/formal/plans/cn-prd-50c-01-V2-LOCATIONS__seed10__ZONE.json,1491cd6362a9601c2684314409815f710d909ee726116b44e25ef5b593ad0183,2341.446789956353,9,9,53.33894787495956,SEALED_E3_ARM_TIME,323,6917.233079222592,9075.820130821055,"{""D_guangzhou"": 6917.233079222592, ""D_shenzhen"": 9075.820130821055}","{""D_guangzhou"": 1103.2669207774081, ""D_shenzhen"": 1238.1798691789447}","{""D_guangzhou"": 0.0, ""D_shenzhen"": 0.0}","{""D_guangzhou"": 1.0, ""D_shenzhen"": 1.0}",D_guangzhou,0.0,D_guangzhou,966.9993319555515,1.0,True,1.0,152,0,,True,1,False
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,10,U,PASS_REUSED_SEALED_E3_JOINT_BITWISE_REPLAYED,baselines/china_e3_e7/e3_zone_joint_20260731/formal/plans/cn-prd-50c-01-V2-LOCATIONS__seed10__JOINT.json,0180b673c55b3afabfeacecb245ccb42b869169b24cea43ba1b28e637f14abd3,2288.011934963607,8,8,53.843862832989544,SEALED_E3_ARM_TIME,339,5950.233747267041,10096.254317769351,"{""D_guangzhou"": 5950.233747267041, ""D_shenzhen"": 10096.254317769351}","{""D_guangzhou"": 820.7662527329592, ""D_shenzhen"": 1467.245682230648}","{""D_guangzhou"": -966.9993319555515, ""D_shenzhen"": 1020.434186948296}","{""D_guangzhou"": 0.8602043156735395, ""D_shenzhen"": 1.1124343775261643}",D_guangzhou,-966.9993319555515,D_guangzhou,0.0,0.8602043156735395,False,1.0,152,0,,True,1,False
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,10,F,PASS_FALLBACK_TO_I_NO_FAIR_CANDIDATE,SEALED_E3_ZONE_I_FALLBACK,1491cd6362a9601c2684314409815f710d909ee726116b44e25ef5b593ad0183,2341.446789956353,9,9,53.843862832989544,SHARED_U_SEARCH_TIME_NOT_ADDITIONAL_TRAJECTORY,339,6917.233079222592,9075.820130821055,"{""D_guangzhou"": 6917.233079222592, ""D_shenzhen"": 9075.820130821055}","{""D_guangzhou"": 1103.2669207774081, ""D_shenzhen"": 1238.1798691789447}","{""D_guangzhou"": 0.0, ""D_shenzhen"": 0.0}","{""D_guangzhou"": 1.0, ""D_shenzhen"": 1.0}",D_guangzhou,0.0,D_guangzhou,966.9993319555515,1.0,True,1.0,152,0,,True,1,False
