instance_id,n,cv_only_best,cv_only_avg,naive_ev_best,naive_ev_avg,mechanism_ev_best,mechanism_ev_avg,mv_hgs_sp_best,mv_hgs_sp_avg
cn-jjj-200c-03-V2-LOCATIONS,200,9460.216190522897,9463.97459164987,9418.152020865924,9436.78571664657,9407.415649894674,9424.853195070647,9403.259383802742,9414.760742925317
cn-jjj-20c-01-V2-LOCATIONS,20,1002.1439390070711,1002.1439390070711,1002.1439390070711,1002.1439390070711,1002.1439390070711,1002.1439390070711,1002.1439390070711,1002.1439390070711
cn-jjj-20c-02-V2-LOCATIONS,20,1160.1109760477127,1160.1109760477127,1123.6952653442459,1123.6952653442459,1123.6952653442459,1123.6952653442459,1123.6952653442459,1123.6952653442459
cn-jjj-20c-03-V2-LOCATIONS,20,1190.0773541463209,1190.0773541463209,1144.6675647535765,1144.6675647535765,1144.6675647535765,1144.6675647535765,1144.6675647535765,1144.6675647535765
cn-jjj-25c-01-V2-LOCATIONS,25,1253.672412632888,1253.672412632888,1214.6067800693247,1214.6067800693247,1214.6067800693247,1215.0757946877463,1214.6067800693247,1214.6067800693247
cn-jjj-25c-02-V2-LOCATIONS,25,1491.3435544220167,1491.3435544220167,1450.8981609532013,1452.19530539488,1450.8981609532013,1450.8981609532013,1450.8981609532013,1450.8981609532013
cn-jjj-25c-03-V2-LOCATIONS,25,1515.5188570640723,1517.5694174728808,1464.352359919282,1464.352359919282,1464.352359919282,1464.352359919282,1464.352359919282,1464.352359919282
cn-jjj-50c-01-V2-LOCATIONS,50,2456.771459157014,2456.854203670573,2456.4908730626385,2456.963575478817,2456.771459157014,2456.854203670573,2456.4908730626385,2456.7153419381384
cn-jjj-50c-02-V2-LOCATIONS,50,2616.933841489219,2618.8023082433842,2582.6735032713705,2582.6735032713705,2582.6735032713705,2582.6735032713705,2582.6735032713705,2582.6735032713705
cn-jjj-50c-03-V2-LOCATIONS,50,2843.2263286473517,2845.8624142861872,2825.851708302689,2826.860942211447,2825.851708302689,2826.3908153184907,2825.851708302689,2826.3908153184907
cn-jjj-75c-01-V2-LOCATIONS,75,3786.5820616313235,3786.5820616313235,3754.0211698541716,3754.120583290079,3754.319936483976,3754.36964320193,3754.0211698541716,3754.0809231801322
cn-jjj-75c-02-V2-LOCATIONS,75,3613.1873436102246,3614.051554599082,3613.1873436102246,3613.187343610224,3613.1873436102246,3615.812153905943,3613.1873436102246,3614.3401261530735
cn-jjj-75c-03-V2-LOCATIONS,75,3877.0484507941337,3880.0416843735597,3836.707889836056,3840.169344935121,3836.938240639587,3838.425378048254,3834.6942149955266,3836.5372079731897
cn-prd-100c-01-V2-LOCATIONS,100,4318.926150488106,4320.205906100333,4261.362648850183,4262.231691995987,4261.362648850183,4262.883467087193,4261.362648850183,4261.426002469666
cn-prd-100c-02-V2-LOCATIONS,100,4955.151793524659,4959.932874984663,4924.552116748079,4930.742113110967,4924.872804747837,4933.985443864119,4924.234397584127,4925.5462138122275
cn-prd-100c-03-V2-LOCATIONS,100,4551.827521980735,4552.012675177083,4551.827521980735,4552.087914194615,4551.827521980735,4552.273045974094,4551.827521980735,4552.058014792192
cn-prd-10c-01-V2-LOCATIONS,10,609.4714830422761,609.4714830422761,609.4714830422761,609.4714830422761,609.4714830422761,609.4714830422761,609.4714830422761,609.4714830422761
cn-prd-10c-02-V2-LOCATIONS,10,516.1923407714056,516.1923407714056,512.6707511927534,512.6707511927534,512.6707511927534,512.6707511927534,512.6707511927534,512.6707511927534
cn-prd-10c-03-V2-LOCATIONS,10,501.003602296064,501.00360229606406,501.003602296064,501.00360229606406,501.003602296064,501.00360229606406,501.003602296064,501.00360229606406
cn-prd-150c-01-V2-LOCATIONS,150,7100.418183941305,7188.889955243081,7128.945681947263,7141.301225343514,7117.2481157563025,7155.4588831548945,7102.671740389114,7118.095256093766
cn-prd-150c-02-V2-LOCATIONS,150,7109.065202593179,7159.632431310123,7120.778133385592,7220.765625669721,7236.317432564439,7284.405843243701,7111.926489164257,7164.552066287397
cn-prd-150c-03-V2-LOCATIONS,150,6827.189346452286,6829.246413372178,6756.172281259035,6893.972444558867,6761.406784675557,6897.804031732681,6731.89181041471,6738.467345600661
cn-prd-15c-01-V2-LOCATIONS,15,781.2415253713735,781.5533523621319,780.6951078362445,780.6951078362445,780.6951078362445,780.6951078362445,780.6951078362445,780.6951078362445
cn-prd-15c-02-V2-LOCATIONS,15,771.5925526682386,774.1083060039384,770.6709636598509,770.6709636598509,770.6709636598509,770.6709636598509,770.6709636598509,770.6709636598509
cn-prd-15c-03-V2-LOCATIONS,15,770.5097689219729,770.5097689219729,770.5097689219729,770.5097689219729,770.5097689219729,770.5097689219729,770.5097689219729,770.5097689219729
cn-prd-200c-01-V2-LOCATIONS,200,9515.6755609224,9523.619551427475,9483.01943216556,9492.607681139254,9481.181623671333,9492.109020310418,9472.015951248883,9481.997264417625
cn-prd-200c-02-V2-LOCATIONS,200,9735.192456585393,9763.608172778715,9735.804957160814,9739.775637008954,9747.861966077822,9794.889502430524,9735.97845371527,9746.172044267432
cn-prd-200c-03-V2-LOCATIONS,200,9791.679851138379,9794.191557129689,9797.225357239638,9832.320972047102,9713.237474420353,9739.607389698518,9712.808222849893,9733.69198688833
cn-prd-20c-01-V2-LOCATIONS,20,1015.3726322309399,1015.3726322309398,997.3130551352752,997.3130551352754,997.3130551352752,999.3248751772796,997.3130551352752,997.3130551352754
cn-prd-20c-02-V2-LOCATIONS,20,1062.0927306081976,1065.58864641559,1044.298894617965,1047.7382111407035,1044.298894617965,1047.7382111407035,1044.298894617965,1047.7382111407035
cn-prd-20c-03-V2-LOCATIONS,20,1030.2603636266856,1030.2603636266856,1030.2603636266856,1030.2603636266856,1030.2603636266856,1030.2603636266856,1030.2603636266856,1030.2603636266856
cn-prd-25c-01-V2-LOCATIONS,25,1107.3484400972677,1107.3484400972677,1107.3484400972677,1107.3484400972677,1107.3484400972677,1107.3484400972677,1107.3484400972677,1107.3484400972677
cn-prd-25c-02-V2-LOCATIONS,25,1317.9039100989687,1317.9039100989687,1290.682548051032,1290.682548051032,1289.9481852922356,1289.9481852922356,1289.9481852922356,1289.9481852922356
cn-prd-25c-03-V2-LOCATIONS,25,1099.7421512441958,1099.7421512441958,1099.7421512441958,1099.7421512441958,1099.7421512441958,1099.7421512441958,1099.7421512441958,1099.7421512441958
cn-prd-50c-01-V2-LOCATIONS,50,2473.7397280806654,2479.5933089887667,2357.498946659032,2359.330122530789,2358.7308493232913,2361.601297159629,2357.11786239211,2358.517312736364
cn-prd-50c-02-V2-LOCATIONS,50,2473.994270007933,2474.0409057088555,2435.1275641951356,2462.8714653161464,2433.3081931278675,2443.5705383088352,2433.3081931278675,2442.266685846101
cn-prd-50c-03-V2-LOCATIONS,50,2500.559609693888,2500.5670275099533,2500.559609693888,2500.5744453260186,2500.596698774214,2501.7134839828655,2500.559609693888,2500.559609693888
cn-prd-75c-01-V2-LOCATIONS,75,3584.943073330884,3602.3155951363924,3577.9558167368746,3581.6924356145378,3576.2674455920414,3576.6733454210275,3576.2674455920414,3576.437263239637
cn-prd-75c-02-V2-LOCATIONS,75,3602.0254699274396,3602.041878103958,3588.8020741730907,3588.808405236933,3588.8020741730907,3588.8052397050114,3588.8020741730907,3588.8052397050114
cn-prd-75c-03-V2-LOCATIONS,75,3897.499527282721,3897.8073417747946,3897.499527282721,3897.499527282721,3897.499527282721,3897.499527282721,3897.499527282721,3897.499527282721
