instance_id,tier,seed,route_proxy_mode,status,cost,cpu_seconds,hgs_elapsed_seconds,hgs_iterations,violation_count,violations,error_type,error,reused_mechanism_ev_cost,reused_mechanism_ev_cpu_seconds,reused_mv_hgs_sp_cost,reused_mv_hgs_sp_cpu_seconds
cn-cy-150c-02-V2-LOCATIONS,150,4,naive_ev,OK,7565.029288144596,204.90449095808435,199.8243846669793,17192,0,[],,,7571.620529930682,266.1700157080777,7558.250149093793,565.0948403330985
cn-cy-150c-03-V2-LOCATIONS,150,2,cv_only,OK,7528.334414757814,80.28972041700035,75.23643087502569,7737,0,[],,,7472.724315449654,179.26400133303832,7459.806831375671,475.38965720811393
cn-cy-150c-03-V2-LOCATIONS,150,1,cv_only,OK,7527.70698000361,144.11743116599973,138.7189505000133,15793,0,[],,,7448.948416950308,235.48736883397214,7327.973627035418,534.1410316260299
cn-cy-150c-03-V2-LOCATIONS,150,1,naive_ev,OK,7449.718425183883,152.14788504200988,146.4805996249197,12296,0,[],,,7448.948416950308,235.48736883397214,7327.973627035418,534.1410316260299
cn-cy-150c-03-V2-LOCATIONS,150,3,cv_only,OK,7364.936045522535,84.75529412494507,79.95559183403384,9478,0,[],,,7460.394979432852,267.84184800006915,7323.840489083876,552.1287916671718
cn-cy-150c-02-V2-LOCATIONS,150,5,naive_ev,OK,7555.186305530115,245.68066854204517,239.8804620829178,20010,0,[],,,7550.7332375035085,225.06733154098038,7550.7332375035085,346.78910816600546
cn-cy-150c-03-V2-LOCATIONS,150,4,cv_only,OK,7595.67961747816,100.11175483395346,95.5022193340119,9120,0,[],,,7306.961760646735,315.8591305410955,7191.84757918068,479.0758387070382
cn-cy-15c-01-V2-LOCATIONS,15,1,cv_only,OK,893.3467194655217,2.2949584999587387,2.086618583998643,3277,0,[],,,892.5949765633276,2.986959083005786,892.5949765633276,7.133250958053395
cn-cy-15c-01-V2-LOCATIONS,15,1,naive_ev,OK,892.5949765633276,3.0983770840102807,2.976594625040889,3315,0,[],,,892.5949765633276,2.986959083005786,892.5949765633276,7.133250958053395
cn-cy-15c-01-V2-LOCATIONS,15,2,cv_only,OK,893.3467194655217,2.6854656669311225,2.549621958984062,3235,0,[],,,892.5949765633276,3.867520291940309,892.5949765633276,8.12401949998457
cn-cy-15c-01-V2-LOCATIONS,15,2,naive_ev,OK,892.5949765633276,2.5097141669830307,2.3882465839851648,3262,0,[],,,892.5949765633276,3.867520291940309,892.5949765633276,8.12401949998457
cn-cy-15c-01-V2-LOCATIONS,15,3,cv_only,OK,893.3467194655217,2.023563832975924,1.911225000047125,3239,0,[],,,892.5949765633276,3.204852208029479,892.5949765633276,5.364135124022141
cn-cy-15c-01-V2-LOCATIONS,15,3,naive_ev,OK,892.5949765633276,2.6020885839825496,2.492080791038461,3235,0,[],,,892.5949765633276,3.204852208029479,892.5949765633276,5.364135124022141
cn-cy-15c-01-V2-LOCATIONS,15,4,cv_only,OK,893.3467194655217,2.107146417023614,2.008389416965656,3231,0,[],,,892.5949765633276,1.7099855409469455,892.5949765633276,4.2614914999576285
