phase_index,bundle,seed,requested_timesteps,rollout_timesteps,model_timesteps_after_phase,monitor_file
188,models/data_bundle/generated_instances/E-UK24h-三班-200,4513,3072,3072,580608,monitor_phase_0188.csv
189,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,4537,3072,3072,583680,monitor_phase_0189.csv
190,models/data_bundle/generated_instances/E-UK24h-三班-150,4561,3072,3072,586752,monitor_phase_0190.csv
191,models/data_bundle/generated_instances/E-UK24h-三班-200,4585,3072,3072,589824,monitor_phase_0191.csv
192,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,4609,3072,3072,592896,monitor_phase_0192.csv
193,models/data_bundle/generated_instances/E-UK24h-三班-150,4633,3072,3072,595968,monitor_phase_0193.csv
194,models/data_bundle/generated_instances/E-UK24h-三班-200,4657,3072,3072,599040,monitor_phase_0194.csv
195,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,4681,3072,3072,602112,monitor_phase_0195.csv
196,models/data_bundle/generated_instances/E-UK24h-三班-150,4705,3072,3072,605184,monitor_phase_0196.csv
197,models/data_bundle/generated_instances/E-UK24h-三班-200,4729,3072,3072,608256,monitor_phase_0197.csv
198,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,4753,3072,3072,611328,monitor_phase_0198.csv
199,models/data_bundle/generated_instances/E-UK24h-三班-150,4777,3072,3072,614400,monitor_phase_0199.csv
200,models/data_bundle/generated_instances/E-UK24h-三班-200,4801,3072,3072,617472,monitor_phase_0200.csv
201,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,4825,3072,3072,620544,monitor_phase_0201.csv
202,models/data_bundle/generated_instances/E-UK24h-三班-150,4849,3072,3072,623616,monitor_phase_0202.csv
203,models/data_bundle/generated_instances/E-UK24h-三班-200,4873,3072,3072,626688,monitor_phase_0203.csv
204,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,4897,3072,3072,629760,monitor_phase_0204.csv
205,models/data_bundle/generated_instances/E-UK24h-三班-150,4921,3072,3072,632832,monitor_phase_0205.csv
206,models/data_bundle/generated_instances/E-UK24h-三班-200,4945,3072,3072,635904,monitor_phase_0206.csv
207,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,4969,3072,3072,638976,monitor_phase_0207.csv
208,models/data_bundle/generated_instances/E-UK24h-三班-150,4993,3072,3072,642048,monitor_phase_0208.csv
209,models/data_bundle/generated_instances/E-UK24h-三班-200,5017,3072,3072,645120,monitor_phase_0209.csv
210,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,5041,3072,3072,648192,monitor_phase_0210.csv
211,models/data_bundle/generated_instances/E-UK24h-三班-150,5065,3072,3072,651264,monitor_phase_0211.csv
212,models/data_bundle/generated_instances/E-UK24h-三班-200,5089,3072,3072,654336,monitor_phase_0212.csv
213,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,5113,3072,3072,657408,monitor_phase_0213.csv
214,models/data_bundle/generated_instances/E-UK24h-三班-150,5137,3072,3072,660480,monitor_phase_0214.csv
215,models/data_bundle/generated_instances/E-UK24h-三班-200,5161,3072,3072,663552,monitor_phase_0215.csv
216,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,5185,3072,3072,666624,monitor_phase_0216.csv
217,models/data_bundle/generated_instances/E-UK24h-三班-150,5209,3072,3072,669696,monitor_phase_0217.csv
218,models/data_bundle/generated_instances/E-UK24h-三班-200,5233,3072,3072,672768,monitor_phase_0218.csv
219,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,5257,3072,3072,675840,monitor_phase_0219.csv
220,models/data_bundle/generated_instances/E-UK24h-三班-150,5281,3072,3072,678912,monitor_phase_0220.csv
221,models/data_bundle/generated_instances/E-UK24h-三班-200,5305,3072,3072,681984,monitor_phase_0221.csv
222,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,5329,3072,3072,685056,monitor_phase_0222.csv
223,models/data_bundle/generated_instances/E-UK24h-三班-150,5353,3072,3072,688128,monitor_phase_0223.csv
224,models/data_bundle/generated_instances/E-UK24h-三班-200,5377,3072,3072,691200,monitor_phase_0224.csv
225,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,5401,3072,3072,694272,monitor_phase_0225.csv
226,models/data_bundle/generated_instances/E-UK24h-三班-150,5425,3072,3072,697344,monitor_phase_0226.csv
227,models/data_bundle/generated_instances/E-UK24h-三班-200,5449,3072,3072,700416,monitor_phase_0227.csv
228,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,5473,3072,3072,703488,monitor_phase_0228.csv
229,models/data_bundle/generated_instances/E-UK24h-三班-150,5497,3072,3072,706560,monitor_phase_0229.csv
230,models/data_bundle/generated_instances/E-UK24h-三班-200,5521,3072,3072,709632,monitor_phase_0230.csv
231,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,5545,3072,3072,712704,monitor_phase_0231.csv
232,models/data_bundle/generated_instances/E-UK24h-三班-150,5569,3072,3072,715776,monitor_phase_0232.csv
233,models/data_bundle/generated_instances/E-UK24h-三班-200,5593,3072,3072,718848,monitor_phase_0233.csv
234,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,5617,3072,3072,721920,monitor_phase_0234.csv
235,models/data_bundle/generated_instances/E-UK24h-三班-150,5641,3072,3072,724992,monitor_phase_0235.csv
236,models/data_bundle/generated_instances/E-UK24h-三班-200,5665,3072,3072,728064,monitor_phase_0236.csv
237,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,5689,3072,3072,731136,monitor_phase_0237.csv
238,models/data_bundle/generated_instances/E-UK24h-三班-150,5713,3072,3072,734208,monitor_phase_0238.csv
239,models/data_bundle/generated_instances/E-UK24h-三班-200,5737,3072,3072,737280,monitor_phase_0239.csv
240,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,5761,3072,3072,740352,monitor_phase_0240.csv
241,models/data_bundle/generated_instances/E-UK24h-三班-150,5785,3072,3072,743424,monitor_phase_0241.csv
242,models/data_bundle/generated_instances/E-UK24h-三班-200,5809,3072,3072,746496,monitor_phase_0242.csv
243,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,5833,3072,3072,749568,monitor_phase_0243.csv
244,models/data_bundle/generated_instances/E-UK24h-三班-150,5857,3072,3072,752640,monitor_phase_0244.csv
245,models/data_bundle/generated_instances/E-UK24h-三班-200,5881,3072,3072,755712,monitor_phase_0245.csv
246,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,5905,3072,3072,758784,monitor_phase_0246.csv
247,models/data_bundle/generated_instances/E-UK24h-三班-150,5929,3072,3072,761856,monitor_phase_0247.csv
248,models/data_bundle/generated_instances/E-UK24h-三班-200,5953,3072,3072,764928,monitor_phase_0248.csv
249,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,5977,3072,3072,768000,monitor_phase_0249.csv
250,models/data_bundle/generated_instances/E-UK24h-三班-150,6001,3072,3072,771072,monitor_phase_0250.csv
251,models/data_bundle/generated_instances/E-UK24h-三班-200,6025,3072,3072,774144,monitor_phase_0251.csv
252,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,6049,3072,3072,777216,monitor_phase_0252.csv
