episode_index,bundle,seed,policy_version,curriculum_phase,accepted_for_update,block_steps,reward_sum,reward_finite,best_obj,actual_evals,candidate_scores,repair_delta_count,violation_count,feasible,wall_time_seconds,worker_python_executable,worker_python_version,worker_numpy_version,pid,mask_invalid_rate_head_0,mask_invalid_rate_head_1,mask_invalid_rate_head_2,mask_invalid_rate_head_3,mask_invalid_rate_head_4
21,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,20260642,1,route,1,24,33.31997172551809,1,3909.76507739236,1500,1500,867791,0,1,376.43799999999464,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,40528,0.27976190476190477,0.0,0.15,0.0,0.0
19,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,20260640,1,route,1,24,47.12366834984583,1,3526.235802023368,1500,1500,1812741,0,1,479.7810000000027,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,25592,0.25595238095238093,0.0,0.06666666666666667,0.0,0.0
25,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,20260646,1,route,1,24,45.74220522323457,1,3581.9353795990605,1500,1500,469166,0,1,179.0460000000021,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,30164,0.27380952380952384,0.0,0.03333333333333333,0.0,0.0
24,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,20260645,1,route,1,24,41.01257529455244,1,3645.3527048615033,1500,1500,1205670,0,1,415.10899999999674,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,19128,0.26785714285714285,0.0,0.03333333333333333,0.0,0.0
27,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,20260648,1,route,1,24,41.059062093928354,1,3670.106530454976,1500,1500,761021,0,1,290.9850000000006,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,4704,0.27380952380952384,0.0,0.06666666666666667,0.0,0.0
28,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,20260649,1,route,1,24,42.55567385907473,1,3599.7618904518754,1500,1500,972182,0,1,333.81200000000536,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,40528,0.26785714285714285,0.0,0.06666666666666667,0.0,0.0
29,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,20260650,1,route,1,24,36.80775574735232,1,3789.0715076938905,1500,1500,1036811,0,1,328.875,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,25592,0.27380952380952384,0.0,0.08333333333333333,0.0,0.0
30,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,20260651,2,route,1,24,42.771720886989165,1,3739.013443842851,1500,1500,698142,0,1,286.9219999999914,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,30164,0.27380952380952384,0.0,0.016666666666666666,0.0,0.0
26,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,20260647,1,route,1,24,42.62537833088256,1,3708.8504189338682,1500,1500,1630653,0,1,495.9530000000086,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,41236,0.30357142857142855,0.0,0.05,0.0,0.0
31,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,20260652,2,route,1,24,29.931070471986356,1,4003.6253112970094,1500,1500,559195,0,1,275.0469999999914,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,19128,0.27976190476190477,0.0,0.06666666666666667,0.0,0.0
32,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,20260653,2,route,1,24,36.51316359326716,1,3890.0359827711077,1500,1500,653011,0,1,268.9689999999973,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,4704,0.2857142857142857,0.0,0.11666666666666667,0.0,0.0
33,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,20260654,2,route,1,24,43.74557437994867,1,3614.9354591784413,1500,1500,655931,0,1,295.43799999999464,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,40528,0.26785714285714285,0.0,0.11666666666666667,0.0,0.0
34,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,20260655,2,route,1,24,47.20102921872413,1,3573.7396757109946,1500,1500,1045154,0,1,294.18799999999464,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,25592,0.25595238095238093,0.0,0.03333333333333333,0.0,0.0
35,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,20260656,2,route,1,24,42.2342221577465,1,3662.9513351857854,1500,1500,1042331,0,1,397.9219999999914,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,30164,0.26785714285714285,0.0,0.06666666666666667,0.0,0.0
36,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,20260657,2,route,1,24,41.09438748401201,1,3614.421791345565,1500,1500,1127415,0,1,392.0,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,41236,0.27976190476190477,0.0,0.08333333333333333,0.0,0.0
