completed_episodes,elapsed_seconds,num_actors,busy_time_seconds_sum,busy_ratio,idle_ratio,episodes_per_hour,block_steps_per_hour,worker_failure_count
47,2788.202999999994,6,15894.345000000016,0.9500949177660336,0.04990508223396639,60.68424716564768,1456.4219319755443,0
48,2876.4850000000006,6,16126.689000000013,0.934397884918573,0.06560211508142699,60.07331865106196,1441.759647625487,0
49,2925.422000000006,6,16446.11100000002,0.9369651626329458,0.06303483736705418,60.29899276070243,1447.1758262568585,0
50,3002.9850000000006,6,16961.283000000025,0.9413568499343166,0.058643150065683436,59.940359342454244,1438.568624218902,0
51,3006.077999999994,6,17349.580000000016,0.9619167122964458,0.03808328770355418,61.076259498256654,1465.8302279581596,0
52,3157.7350000000006,6,17719.112000000023,0.9352226622352213,0.06477733776477868,59.282998731685836,1422.79196956046,0
53,3178.5939999999973,6,18108.87800000001,0.9495224408443915,0.050477559155608476,60.02654003625507,1440.6369608701218,0
54,3200.75,6,18306.64300000001,0.9532475721836033,0.04675242781639666,60.73576505506522,1457.6583613215653,0
55,3211.4850000000006,6,18592.706000000006,0.9649069926633111,0.03509300733668885,61.65372094218094,1479.6893026123425,0
56,3356.2810000000027,6,18942.909000000014,0.9406695982845298,0.059330401715470216,60.06648430211887,1441.595623250853,0
57,3435.7810000000027,6,19177.924000000014,0.9303039590319251,0.06969604096807491,59.72441200414108,1433.385888099386,0
58,3448.0,6,19468.189000000013,0.9410377513534423,0.05896224864655775,60.556844547563806,1453.3642691415314,0
59,3456.452999999994,6,20048.157000000007,0.9667018472405112,0.033298152759488775,61.450278652711425,1474.8066876650742,0
60,3478.952999999994,6,20348.516000000003,0.9748390775423927,0.02516092245760726,62.08764533467407,1490.1034880321777,0
61,3565.422000000006,6,20701.297000000006,0.9676880230914214,0.032311976908578566,61.591587195007946,1478.1980926801907,0
62,3586.4689999999973,6,20931.468999999997,0.9727055124878171,0.027294487512182886,62.23391307717986,1493.6139138523165,0
63,3595.625,6,21079.093999999997,0.9770713946346832,0.022928605365316823,63.076655657917605,1513.8397357900226,0
64,3772.7810000000027,6,21416.077999999994,0.9460783261295395,0.05392167387046054,61.069009836510475,1465.6562360762514,0
65,3801.6410000000033,6,21761.266000000003,0.9540295011198228,0.045970498880177235,61.55236646490287,1477.2567951576689,0
66,3828.625,6,22110.922000000006,0.9625266686255948,0.03747333137440523,62.05883313199909,1489.4119951679781,0
67,3851.327999999994,6,22396.812000000005,0.9692246414743192,0.030775358525680807,62.62774814297831,1503.0659554314796,0
68,3929.7810000000027,6,22730.968000000008,0.9640472755776125,0.035952724422387505,62.29354765570901,1495.0451437370164,0
69,3980.7350000000006,6,22938.906000000003,0.9604133407523987,0.0395866592476013,62.40053658432424,1497.6128780237818,0
70,3981.9060000000027,6,23334.343000000008,0.9766823141145635,0.02331768588543648,63.28627546707527,1518.8706112098066,0
71,4078.7350000000006,6,23561.750000000015,0.9627882991499411,0.03721170085005887,62.66648850685322,1503.9957241644772,0
72,4124.766000000003,6,23857.891000000018,0.9640098775704286,0.03599012242957145,62.83992837411863,1508.158280978847,0
73,4157.375,6,24210.625000000015,0.9705894143940994,0.029410585605900597,63.21296491175321,1517.1111578820771,0
74,4262.562999999995,6,24543.407000000007,0.9596498241394531,0.0403501758605469,62.497610005998816,1499.9426401439716,0
75,4264.687999999995,6,24729.345,0.9664382247892472,0.033561775210752764,63.310610295524626,1519.4546470925911,0
76,4274.0,6,25021.439,0.9757229371392918,0.024277062860708187,64.01497426298549,1536.3593823116519,0
77,4315.485000000001,6,25356.174,0.9792709278331403,0.020729072166859708,64.2337999089326,1541.6111978143822,0
78,4343.547000000006,6,25574.955,0.9813390991279695,0.01866090087203054,64.64762554658661,1551.5430131180785,0
79,4453.266000000003,6,25763.51800000001,0.9642180967107434,0.03578190328925657,63.86324104600978,1532.7177851042347,0
80,4486.437999999995,6,26091.909000000014,0.9692882192955765,0.030711780704423486,64.19346483780681,1540.6431561073637,0
