arm,stream_seed,stage,trigger_second,trigger_reason,event_ids,event_types,applied_event_ids,ignored_locked_event_ids,event_count,next_trigger_second,available_compute_seconds,committed_route_count,future_route_count,future_cost,running_total_cost,cross_site_customer_count,initial_continuation_feasible,initial_type_trial_count,changed_candidate_count,search_exact_check_count,executable_candidate_count,accepted_candidate_count,evaluations,elapsed_seconds,completed_before_next_trigger,customer_accounting_pass
independent,4,5,26758.01449203482,q_bar,33;34;35;36;37;38;39;40,add;add;demand_change;add;add;cancel;demand_change;demand_change,33;34;35;36;37;38;39;40,,8,36993.67205186767,10235.657559832845,27,23,4427.322296961855,8994.656561634869,0,True,1,400,400,3,3,400,24.779181583959144,True,True
independent,4,6,36993.67205186767,q_bar,41;42;43;44;45;46;47;48,add;add;add;demand_change;demand_change;add;add;add,41;42;43;44;46;47;48,45,8,47793.67205186767,10800.0,38,14,2213.803193817322,9315.21144084233,0,True,1,400,400,2,2,400,6.419797917013057,True,True
independent,4,7,47793.67205186767,delta_t,49;50;51;52;53;54;55,add;cancel;cancel;demand_change;add;add;add,49;50;51;52;53;54;55,,7,,,45,4,858.7731595279196,9011.562382821076,0,True,1,275,275,42,24,400,2.6766580420080572,,True
cooperative,5,1,4692.632056046293,q_bar,1;2;3;4;5;6;7;8,add;add;add;demand_change;demand_change;cancel;demand_change;demand_change,1;2;3;4;5;6;7;8,,8,13776.912348558379,9084.280292512085,8,27,4894.872254279806,6329.657307548208,5,True,1,393,393,1,1,400,12.944237083022017,True,True
cooperative,5,2,13776.912348558379,q_bar,9;10;11;12;13;14;15;16,demand_change;demand_change;demand_change;cancel;demand_change;cancel;cancel;cancel,9;10;11;12;13;14;15;16,,8,15407.992020404161,1631.0796718457823,12,25,4359.26204831145,6571.580497821791,4,True,1,392,392,6,4,400,8.880047750019003,True,True
cooperative,5,3,15407.992020404161,q_bar,17;18;19;20;21;22;23;24,add;add;add;add;add;add;add;cancel,17;18;19;20;21;22;23;24,,8,23355.20016237953,7947.208141975369,17,39,7190.196797396232,10368.740592124032,34,False,0,400,400,1,1,400,43.69106833299156,True,True
cooperative,5,4,23355.20016237953,q_bar,25;26;27;28;29;30;31;32,add;demand_change;add;add;add;demand_change;demand_change;add,25;26;27;28;29;30;31;32,,8,31543.031716107234,8187.831553727705,31,26,5349.827263227022,10483.244462837803,34,True,1,387,387,4,4,400,10.851217292016372,True,True
cooperative,5,5,31543.031716107234,q_bar,33;34;35;36;37;38;39;40,demand_change;add;demand_change;cancel;demand_change;cancel;cancel;add,33;34;36;38;39;40,35;37,8,37855.229773535175,6312.1980574279405,34,23,4252.777696923726,10489.184120704092,29,True,1,381,381,14,10,400,5.939023833023384,True,True
cooperative,5,6,37855.229773535175,q_bar,41;42;43;44;45;46;47;48,add;add;demand_change;add;cancel;add;demand_change;demand_change,41;42;43;44;45;46;47;48,,8,48655.229773535175,10800.0,38,20,3299.717950030422,10591.499744647037,28,False,0,400,400,1,1,400,18.071436709025875,True,True
cooperative,5,7,48655.229773535175,delta_t,49;50;51;52;53;54;55,demand_change;demand_change;demand_change;cancel;demand_change;add;demand_change,50;51;52;53;54,49;55,7,,,49,9,1400.673341065298,10593.990064813239,9,True,1,382,382,30,7,400,3.3843076250050217,,True
independent,5,1,4692.632056046293,q_bar,1;2;3;4;5;6;7;8,add;add;add;demand_change;demand_change;cancel;demand_change;demand_change,1;2;3;4;5;6;7;8,,8,13776.912348558379,9084.280292512085,9,28,5164.594109869301,6711.456644692112,0,True,5,400,400,2,2,400,55.7680562500027,True,True
independent,5,2,13776.912348558379,q_bar,9;10;11;12;13;14;15;16,demand_change;demand_change;demand_change;cancel;demand_change;cancel;cancel;cancel,9;10;11;12;13;14;15;16,,8,15407.992020404161,1631.0796718457823,14,23,4172.168298017966,6703.02052003366,0,True,2,400,400,4,4,400,6.892924208019394,True,True
independent,5,3,15407.992020404161,q_bar,17;18;19;20;21;22;23;24,add;add;add;add;add;add;add;cancel,17;18;19;20;21;22;23;24,,8,23355.20016237953,7947.208141975369,16,25,4299.778007381756,7361.386614925661,0,True,13,400,400,2,2,400,7.658160249993671,True,True
independent,5,4,23355.20016237953,q_bar,25;26;27;28;29;30;31;32,add;demand_change;add;add;add;demand_change;demand_change;add,25;27;28;29;30;31;32,26,8,31543.031716107234,8187.831553727705,28,15,2630.5407297254023,7667.5235440766255,0,True,17,400,400,3,3,400,4.6705402079969645,True,True
independent,5,5,31543.031716107234,q_bar,33;34;35;36;37;38;39;40,demand_change;add;demand_change;cancel;demand_change;cancel;cancel;add,33;34;35;36;38;39;40,37,8,37855.229773535175,6312.1980574279405,29,14,2568.423381574958,7714.162834725319,0,True,5,400,400,6,4,400,4.0099233749788254,True,True
independent,5,6,37855.229773535175,q_bar,41;42;43;44;45;46;47;48,add;add;demand_change;add;cancel;add;demand_change;demand_change,41;42;43;44;45;46;47;48,,8,48655.229773535175,10800.0,31,21,3199.0720134101834,8822.563643812191,0,False,0,400,400,2,2,400,5.846985416021198,True,True
independent,5,7,48655.229773535175,delta_t,49;50;51;52;53;54;55,demand_change;demand_change;demand_change;cancel;demand_change;add;demand_change,50;51;52;53;54,49;55,7,,,44,8,1375.0699757379966,8892.280299710848,0,True,1,400,400,7,4,400,1.4566254170495085,,True
