task_id,instance_id,region,arm,charge_timing_policy,seed,view,improvement_sequence,iteration,global_iteration,elapsed_seconds,global_elapsed_seconds,objective_before,objective_after,improvement_absolute,improvement_relative,objective_type
T26_SMOKE__JJJ__COST_CARBON__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080201,cv_only,15,1242,1242,108.53155412500018,108.53155429199978,2183548,2179125,4423,0.002025602368255701,PyVRP integer proxy objective
T26_SMOKE__JJJ__COST_CARBON__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080201,cv_only,16,2453,2453,169.31103570800042,169.31103587500002,2179125,2178166,959,0.0004400848964607354,PyVRP integer proxy objective
T26_SMOKE__JJJ__COST_CARBON__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080201,cv_only,17,2628,2628,177.87720383299893,177.87720399999853,2178166,2177282,884,0.0004058460190821085,PyVRP integer proxy objective
T26_SMOKE__JJJ__COST_CARBON__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080201,naive_ev,1,4,13444,0.03833887499786215,819.4257614579983,9223372036854775807,2106579,9223372036852669228,0.9999999999997716,PyVRP integer proxy objective
T26_SMOKE__JJJ__COST_CARBON__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080201,naive_ev,2,11,13451,0.09305408299769624,819.4804766659981,2106579,1958324,148255,0.07037713752961555,PyVRP integer proxy objective
T26_SMOKE__JJJ__COST_CARBON__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080201,naive_ev,3,22,13462,1.1011582499995711,820.488580833,1958324,1732409,225915,0.11536140087135735,PyVRP integer proxy objective
T26_SMOKE__JJJ__COST_CARBON__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080201,naive_ev,4,48,13488,2.19878845799758,821.586211040998,1732409,1708331,24078,0.013898565523499358,PyVRP integer proxy objective
T26_SMOKE__JJJ__COST_CARBON__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080201,naive_ev,5,147,13587,7.515286832996935,826.9027094159974,1708331,1674000,34331,0.02009622257045034,PyVRP integer proxy objective
T26_SMOKE__JJJ__COST_CARBON__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080201,naive_ev,6,333,13773,17.3612272499995,836.748649833,1674000,1673593,407,0.00024313022700119474,PyVRP integer proxy objective
T26_SMOKE__JJJ__COST_CARBON__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080201,naive_ev,7,555,13995,29.51113174999773,848.8985543329982,1673593,1672025,1568,0.000936906404364741,PyVRP integer proxy objective
T26_SMOKE__JJJ__COST_CARBON__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080201,naive_ev,8,684,14124,36.91765262499757,856.305075207998,1672025,1645050,26975,0.016133131980682107,PyVRP integer proxy objective
T26_SMOKE__JJJ__COST_CARBON__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080201,naive_ev,9,1453,14893,77.83067579199997,897.2180983750004,1645050,1628763,16287,0.009900610923680131,PyVRP integer proxy objective
T26_SMOKE__JJJ__COST_CARBON__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080201,naive_ev,10,4552,17992,321.2300425829999,1140.6174651660003,1628763,1616611,12152,0.007460876751252331,PyVRP integer proxy objective
T26_SMOKE__JJJ__COST_CARBON__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080201,naive_ev,11,9295,22735,685.6238393329986,1505.011261915999,1616611,1605642,10969,0.006785182087713123,PyVRP integer proxy objective
T26_SMOKE__JJJ__COST_CARBON__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080201,naive_ev,12,13599,27039,1071.1719323329999,1890.5593549160003,1605642,1603564,2078,0.001294186375294119,PyVRP integer proxy objective
T26_SMOKE__JJJ__COST_CARBON__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080201,naive_ev,13,16967,30407,1247.7383839579998,2067.125806541,1603564,1600530,3034,0.0018920354909439225,PyVRP integer proxy objective
T26_SMOKE__JJJ__COST_CARBON__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080201,mechanism_ev,1,7,36447,0.07665391699993052,2675.897620749998,9223372036854775807,1734510,9223372036853041297,0.9999999999998119,PyVRP integer proxy objective
T26_SMOKE__JJJ__COST_CARBON__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080201,mechanism_ev,2,22,36462,1.387835334000556,2677.208802166999,1734510,1703431,31079,0.017918028722809325,PyVRP integer proxy objective
T26_SMOKE__JJJ__COST_CARBON__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080201,mechanism_ev,3,122,36562,6.990292624999711,2682.811259457998,1703431,1699386,4045,0.002374619224377154,PyVRP integer proxy objective
T26_SMOKE__JJJ__COST_CARBON__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080201,mechanism_ev,4,170,36610,9.359497959001601,2685.180464792,1699386,1673646,25740,0.015146647083122963,PyVRP integer proxy objective
T26_SMOKE__JJJ__COST_CARBON__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080201,mechanism_ev,5,214,36654,11.584004084001208,2687.4049709169994,1673646,1667688,5958,0.003559892593774311,PyVRP integer proxy objective
T26_SMOKE__JJJ__COST_CARBON__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080201,mechanism_ev,6,239,36679,12.708266749999893,2688.529233582998,1667688,1646786,20902,0.012533519459275356,PyVRP integer proxy objective
T26_SMOKE__JJJ__COST_CARBON__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080201,mechanism_ev,7,426,36866,22.8692212499991,2698.6901880829973,1646786,1633268,13518,0.008208716858171008,PyVRP integer proxy objective
T26_SMOKE__JJJ__COST_CARBON__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080201,mechanism_ev,8,840,37280,43.238789667000674,2719.059756499999,1633268,1620085,13183,0.008071547351689986,PyVRP integer proxy objective
T26_SMOKE__JJJ__COST_CARBON__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080201,mechanism_ev,9,1072,37512,56.40526491700075,2732.226231749999,1620085,1607265,12820,0.007913165049981945,PyVRP integer proxy objective
T26_SMOKE__JJJ__COST_CARBON__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080201,mechanism_ev,10,1524,37964,81.0419987919995,2756.8629656249977,1607265,1602058,5207,0.003239664896578971,PyVRP integer proxy objective
T26_SMOKE__JJJ__COST_CARBON__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080201,mechanism_ev,11,1599,38039,84.28472925000096,2760.105696082999,1602058,1581629,20429,0.012751723096167554,PyVRP integer proxy objective
T26_SMOKE__JJJ__COST_CARBON__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080201,mechanism_ev,12,2655,39095,138.36612937500104,2814.1870962079993,1581629,1535120,46509,0.029405758240396453,PyVRP integer proxy objective
T26_SMOKE__JJJ__COST_CARBON__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080201,mechanism_ev,13,6336,42776,705.0298573750006,3380.850824207999,1535120,1534366,754,0.0004911668143207045,PyVRP integer proxy objective
T26_SMOKE__JJJ__COST_CARBON__S2026080201,cn-jjj-100c-01-V2-LOCATIONS,JJJ,COST_CARBON,cost_plus_carbon,2026080201,mechanism_ev,14,7408,43848,762.4955386670008,3438.316505499999,1534366,1531071,3295,0.002147466771291856,PyVRP integer proxy objective
