scope,comparison_group,category,instance,seed,a0_profile,a3_profile,wins_vs_a0,losses_vs_a0,ties_vs_a0,a0_mean_gap_vs_lns,a3_mean_gap_vs_lns,a0_unchanged_rate,a3_unchanged_rate,a0_best_improved_rate,a3_best_improved_rate,a0_best_cost,a3_best_cost,lns_best_cost,a0_gap_vs_lns,a3_gap_vs_lns,outcome_vs_a0
run,BACKEND_ONLY,threeshift,e2-threeshift-75c-01,2,A0_THROUGHPUT_ONLY,A3_BACKEND_ONLY,,,,,,,,,,1924.8907455087053,1980.4691385434169,1928.0455806021268,0.0016362865718331581,-0.027189999276323228,A3_WORSE
run,BACKEND_ONLY,threeshift,e2-threeshift-75c-01,3,A0_THROUGHPUT_ONLY,A3_BACKEND_ONLY,,,,,,,,,,1898.7584295857882,2031.0341437135316,1945.4259507481493,0.023988330753177304,-0.04400485813014892,A3_WORSE
run,BACKEND_ONLY,vanilla,e2-vanilla-100c-01,1,A0_THROUGHPUT_ONLY,A3_BACKEND_ONLY,,,,,,,,,,2841.54274530027,2973.3573224949278,2897.948426411168,0.019464004464962513,-0.026021476226596115,A3_WORSE
run,BACKEND_ONLY,vanilla,e2-vanilla-100c-01,2,A0_THROUGHPUT_ONLY,A3_BACKEND_ONLY,,,,,,,,,,2861.3902314736793,2837.0601573622353,2872.139491877431,0.0037425969156968455,0.01221365975239081,A3_BETTER
run,BACKEND_ONLY,vanilla,e2-vanilla-100c-01,3,A0_THROUGHPUT_ONLY,A3_BACKEND_ONLY,,,,,,,,,,2919.3762012163124,2877.7668597878574,2898.297619306196,-0.007272745824896483,0.0070837305946700015,A3_BETTER
run,BACKEND_ONLY,vanilla,e2-vanilla-150c-01,1,A0_THROUGHPUT_ONLY,A3_BACKEND_ONLY,,,,,,,,,,3572.4065357215877,3580.717030917729,3757.471175284482,0.04925244424500016,0.04704071864326959,A3_WORSE
run,BACKEND_ONLY,vanilla,e2-vanilla-150c-01,2,A0_THROUGHPUT_ONLY,A3_BACKEND_ONLY,,,,,,,,,,3512.8738500982768,3662.23475005205,3435.1201224295414,-0.0226349370320543,-0.06611548345560571,A3_WORSE
run,BACKEND_ONLY,vanilla,e2-vanilla-150c-01,3,A0_THROUGHPUT_ONLY,A3_BACKEND_ONLY,,,,,,,,,,3680.266348563604,3625.8584172896904,3659.1719704558836,-0.005764795499647494,0.00910412340145983,A3_BETTER
run,BACKEND_ONLY,vanilla,e2-vanilla-15c-01,1,A0_THROUGHPUT_ONLY,A3_BACKEND_ONLY,,,,,,,,,,642.185285005708,730.0550710521558,647.3784356649101,0.008021815947372824,-0.1277099001642372,A3_WORSE
run,BACKEND_ONLY,vanilla,e2-vanilla-15c-01,2,A0_THROUGHPUT_ONLY,A3_BACKEND_ONLY,,,,,,,,,,644.386285554954,642.185285005708,642.185285005708,-0.003427360608592065,0.0,A3_BETTER
run,BACKEND_ONLY,vanilla,e2-vanilla-15c-01,3,A0_THROUGHPUT_ONLY,A3_BACKEND_ONLY,,,,,,,,,,741.6906859330122,730.0550710521558,644.386285554954,-0.1510032143130705,-0.13294632027033695,A3_BETTER
run,BACKEND_ONLY,vanilla,e2-vanilla-25c-01,1,A0_THROUGHPUT_ONLY,A3_BACKEND_ONLY,,,,,,,,,,640.5619371609267,640.1754851140676,640.1754851140676,-0.0006036658007769817,0.0,A3_BETTER
run,BACKEND_ONLY,vanilla,e2-vanilla-25c-01,2,A0_THROUGHPUT_ONLY,A3_BACKEND_ONLY,,,,,,,,,,651.626936659881,640.1754851140676,640.1754851140676,-0.017887988234621396,0.0,A3_BETTER
run,BACKEND_ONLY,vanilla,e2-vanilla-25c-01,3,A0_THROUGHPUT_ONLY,A3_BACKEND_ONLY,,,,,,,,,,640.5619371609267,655.3719891317776,640.1754851140676,-0.0006036658007769817,-0.023738028667252522,A3_WORSE
run,BACKEND_ONLY,vanilla,e2-vanilla-50c-01,1,A0_THROUGHPUT_ONLY,A3_BACKEND_ONLY,,,,,,,,,,1391.2298111966845,1431.1514705100667,1391.5523237466293,0.0002317645872463265,-0.028456814801487477,A3_WORSE
run,BACKEND_ONLY,vanilla,e2-vanilla-50c-01,2,A0_THROUGHPUT_ONLY,A3_BACKEND_ONLY,,,,,,,,,,1433.5221005440258,1419.7435903163314,1414.4593867353233,-0.013477031569425712,-0.0037358468051913785,A3_BETTER
run,BACKEND_ONLY,vanilla,e2-vanilla-50c-01,3,A0_THROUGHPUT_ONLY,A3_BACKEND_ONLY,,,,,,,,,,1429.8863703671404,1451.4803626165203,1414.6385784001584,-0.010778577793506851,-0.026043248628230542,A3_WORSE
run,MAIN_LOCAL_SEARCH,multidepot,e2-multidepot-100c-01,1,A0_MAIN_LOCAL_SEARCH,A3_BACKEND_LOCAL_SEARCH,,,,,,,,,,2465.4295205798335,2472.188658525077,2524.1709481815974,0.023271572650054074,0.020593807124659462,A3_WORSE
run,MAIN_LOCAL_SEARCH,multidepot,e2-multidepot-100c-01,2,A0_MAIN_LOCAL_SEARCH,A3_BACKEND_LOCAL_SEARCH,,,,,,,,,,2523.2246807715674,2563.085019130127,2515.691011919639,-0.0029946717686046747,-0.01883935943879018,A3_WORSE
run,MAIN_LOCAL_SEARCH,multidepot,e2-multidepot-100c-01,3,A0_MAIN_LOCAL_SEARCH,A3_BACKEND_LOCAL_SEARCH,,,,,,,,,,2576.7140100177817,2518.51256608502,2551.814954251537,-0.009757390803263651,0.013050471434471614,A3_BETTER
run,MAIN_LOCAL_SEARCH,multidepot,e2-multidepot-10c-01,1,A0_MAIN_LOCAL_SEARCH,A3_BACKEND_LOCAL_SEARCH,,,,,,,,,,371.9993673208387,387.9007343319535,373.5325844458525,0.00410464090378716,-0.038465586362208926,A3_WORSE
run,MAIN_LOCAL_SEARCH,multidepot,e2-multidepot-10c-01,2,A0_MAIN_LOCAL_SEARCH,A3_BACKEND_LOCAL_SEARCH,,,,,,,,,,387.9007343319535,387.9007343319535,371.9993673208387,-0.0427456829446711,-0.0427456829446711,TIE
run,MAIN_LOCAL_SEARCH,multidepot,e2-multidepot-10c-01,3,A0_MAIN_LOCAL_SEARCH,A3_BACKEND_LOCAL_SEARCH,,,,,,,,,,387.9007343319535,387.9007343319535,371.9993673208387,-0.0427456829446711,-0.0427456829446711,TIE
run,MAIN_LOCAL_SEARCH,multidepot,e2-multidepot-150c-01,1,A0_MAIN_LOCAL_SEARCH,A3_BACKEND_LOCAL_SEARCH,,,,,,,,,,3503.0090119384577,3442.0340438936696,3685.5317025257395,0.04952411356608244,0.06606852912571558,A3_BETTER
run,MAIN_LOCAL_SEARCH,multidepot,e2-multidepot-150c-01,2,A0_MAIN_LOCAL_SEARCH,A3_BACKEND_LOCAL_SEARCH,,,,,,,,,,3318.4378948483127,3478.0881154007625,3581.7494699726385,0.07351479418976149,0.028941542517396647,A3_WORSE
run,MAIN_LOCAL_SEARCH,multidepot,e2-multidepot-150c-01,3,A0_MAIN_LOCAL_SEARCH,A3_BACKEND_LOCAL_SEARCH,,,,,,,,,,3437.4426574987574,3434.761854587148,3600.3620326505716,0.045250831353721835,0.04599542394949366,A3_BETTER
run,MAIN_LOCAL_SEARCH,multidepot,e2-multidepot-15c-01,1,A0_MAIN_LOCAL_SEARCH,A3_BACKEND_LOCAL_SEARCH,,,,,,,,,,649.8601526479185,649.8601526479185,621.371321439464,-0.04584832003906694,-0.04584832003906694,TIE
run,MAIN_LOCAL_SEARCH,multidepot,e2-multidepot-15c-01,2,A0_MAIN_LOCAL_SEARCH,A3_BACKEND_LOCAL_SEARCH,,,,,,,,,,649.8601526479185,649.8601526479185,622.2834651918408,-0.04431531448063821,-0.04431531448063821,TIE
run,MAIN_LOCAL_SEARCH,multidepot,e2-multidepot-15c-01,3,A0_MAIN_LOCAL_SEARCH,A3_BACKEND_LOCAL_SEARCH,,,,,,,,,,649.8601526479185,621.371321439464,649.8601526479185,0.0,0.043838402912340396,A3_BETTER
run,MAIN_LOCAL_SEARCH,multidepot,e2-multidepot-20c-01,1,A0_MAIN_LOCAL_SEARCH,A3_BACKEND_LOCAL_SEARCH,,,,,,,,,,708.8657846310797,705.750850756463,700.4933751651098,-0.01195216080951012,-0.007505389455130841,A3_BETTER
run,MAIN_LOCAL_SEARCH,multidepot,e2-multidepot-20c-01,2,A0_MAIN_LOCAL_SEARCH,A3_BACKEND_LOCAL_SEARCH,,,,,,,,,,705.750850756463,705.750850756463,705.750850756463,0.0,0.0,TIE
run,MAIN_LOCAL_SEARCH,multidepot,e2-multidepot-20c-01,3,A0_MAIN_LOCAL_SEARCH,A3_BACKEND_LOCAL_SEARCH,,,,,,,,,,705.750850756463,773.9929843512555,707.2366001999801,0.0021007813270650373,-0.09439045452738046,A3_WORSE
run,MAIN_LOCAL_SEARCH,multidepot,e2-multidepot-50c-01,1,A0_MAIN_LOCAL_SEARCH,A3_BACKEND_LOCAL_SEARCH,,,,,,,,,,1192.7479646155844,1238.967895910517,1288.1390712046432,0.07405342227516698,0.038172256702176006,A3_WORSE
run,MAIN_LOCAL_SEARCH,multidepot,e2-multidepot-50c-01,2,A0_MAIN_LOCAL_SEARCH,A3_BACKEND_LOCAL_SEARCH,,,,,,,,,,1227.4789826420586,1276.9766258334078,1192.7479646155844,-0.029118488613533545,-0.07061731708338718,A3_WORSE
run,MAIN_LOCAL_SEARCH,multidepot,e2-multidepot-50c-01,3,A0_MAIN_LOCAL_SEARCH,A3_BACKEND_LOCAL_SEARCH,,,,,,,,,,1192.938027839612,1310.3298834737702,1219.7934346230413,0.02201635622979769,-0.07422277107001139,A3_WORSE
run,MAIN_LOCAL_SEARCH,multidepot,e2-multidepot-75c-01,1,A0_MAIN_LOCAL_SEARCH,A3_BACKEND_LOCAL_SEARCH,,,,,,,,,,2048.558721815465,2026.8673331595455,2031.5906719071968,-0.008352100717384774,0.0023249460695825793,A3_BETTER
run,MAIN_LOCAL_SEARCH,multidepot,e2-multidepot-75c-01,2,A0_MAIN_LOCAL_SEARCH,A3_BACKEND_LOCAL_SEARCH,,,,,,,,,,2105.681103176144,2060.8624070024593,2019.5553444161362,-0.042645901731852356,-0.020453543251752384,A3_BETTER
run,MAIN_LOCAL_SEARCH,multidepot,e2-multidepot-75c-01,3,A0_MAIN_LOCAL_SEARCH,A3_BACKEND_LOCAL_SEARCH,,,,,,,,,,2085.5026899963696,2089.9563557285474,2062.1369385235994,-0.011330843765157049,-0.013490577024853385,A3_WORSE
run,MAIN_LOCAL_SEARCH,threeshift,e2-threeshift-100c-01,1,A0_MAIN_LOCAL_SEARCH,A3_BACKEND_LOCAL_SEARCH,,,,,,,,,,2787.3343603866006,2863.4922653413314,2702.079682384095,-0.03155150403532277,-0.059736425986823216,A3_WORSE
run,MAIN_LOCAL_SEARCH,threeshift,e2-threeshift-100c-01,2,A0_MAIN_LOCAL_SEARCH,A3_BACKEND_LOCAL_SEARCH,,,,,,,,,,2831.401041853692,2792.0803673303085,2768.271074957225,-0.022804835649067382,-0.008600780678045114,A3_BETTER
run,MAIN_LOCAL_SEARCH,threeshift,e2-threeshift-100c-01,3,A0_MAIN_LOCAL_SEARCH,A3_BACKEND_LOCAL_SEARCH,,,,,,,,,,2664.9289531046097,2841.8319640103405,2763.9022002300962,0.03580924358222478,-0.028195557633608214,A3_WORSE
run,MAIN_LOCAL_SEARCH,threeshift,e2-threeshift-150c-01,1,A0_MAIN_LOCAL_SEARCH,A3_BACKEND_LOCAL_SEARCH,,,,,,,,,,4157.1529100310045,3827.693563065041,3908.7527003956066,-0.06354973790238948,0.020737852594860134,A3_BETTER
run,MAIN_LOCAL_SEARCH,threeshift,e2-threeshift-150c-01,2,A0_MAIN_LOCAL_SEARCH,A3_BACKEND_LOCAL_SEARCH,,,,,,,,,,4211.625119011526,3874.858395414669,4002.850420277527,-0.05215650769171744,0.03197522051148347,A3_BETTER
run,MAIN_LOCAL_SEARCH,threeshift,e2-threeshift-150c-01,3,A0_MAIN_LOCAL_SEARCH,A3_BACKEND_LOCAL_SEARCH,,,,,,,,,,3660.334756006946,3710.2681561126315,4059.0358393620645,0.09822556368898189,0.08592377526389293,A3_WORSE
run,MAIN_LOCAL_SEARCH,threeshift,e2-threeshift-50c-01,1,A0_MAIN_LOCAL_SEARCH,A3_BACKEND_LOCAL_SEARCH,,,,,,,,,,1359.0922800453534,1370.280821616514,1352.8899307919728,-0.004584518749245014,-0.012854623594072202,A3_WORSE
run,MAIN_LOCAL_SEARCH,threeshift,e2-threeshift-50c-01,2,A0_MAIN_LOCAL_SEARCH,A3_BACKEND_LOCAL_SEARCH,,,,,,,,,,1429.947926684468,1367.8407152147356,1334.4596675803778,-0.07155574756127936,-0.02501465457917051,A3_BETTER
run,MAIN_LOCAL_SEARCH,threeshift,e2-threeshift-50c-01,3,A0_MAIN_LOCAL_SEARCH,A3_BACKEND_LOCAL_SEARCH,,,,,,,,,,1345.795527227774,1334.4596675803778,1352.8899307919728,0.005243888214945699,0.013622884458018025,A3_BETTER
run,MAIN_LOCAL_SEARCH,threeshift,e2-threeshift-75c-01,1,A0_MAIN_LOCAL_SEARCH,A3_BACKEND_LOCAL_SEARCH,,,,,,,,,,2108.669689511453,2013.6596096163498,1987.6252716039037,-0.06089901332854003,-0.013098212416789141,A3_BETTER
