instance,seed,hybrid_cost,lns_cost,gain_vs_lns_pct,outcome,loss_class,route_delta,ev_route_delta,cv_emissions_delta,ev_emissions_delta,carbon_cost_delta,runtime_ratio,best_stage,phase_best_costs
L-main-threeshift-20c-01,3,1211.2795813844964,1120.9920695142848,-8.054250723587392,LOSS,large_stochastic_tail,1,1,0.0,13.662215782279901,0.6877559424799697,0.23601861775139818,3,"[1250.0967101443787,1214.3354973342418,1211.2795813844964]"
L-main-threeshift-20c-01,4,1185.7272222575075,1241.7879345432814,4.514515782148626,WIN,,1,2,-201.91788484152397,20.68709721069989,-9.123157849335682,0.23185811120810168,1,"[1185.7272222575075,1185.7272222575075,1185.7272222575075]"
L-main-threeshift-20c-01,5,1165.3646610456601,1151.2645335973218,-1.2247513092651308,LOSS,route_fleet_structure,0,-1,116.20238618938896,-38.72997237518271,3.899961311407143,0.2544241031084449,2,"[1245.6125025010615,1165.3646610456601,1165.3646610456601]"
L-main-threeshift-25c-01,1,1200.6727124775032,1223.7106305249129,1.882627924669374,WIN,,0,0,0.0,-13.014621921428855,-0.6551560675247288,0.21048126927472185,2,"[1209.0984460782656,1200.6727124775032,1200.6727124775032]"
L-main-threeshift-25c-01,2,1154.300270189253,1200.825267226648,3.874418560899061,WIN,,-1,-2,96.20027511709449,-43.20760015456621,2.667651257613673,0.20204757556020672,2,"[1197.174481947832,1154.300270189253,1154.300270189253]"
L-main-threeshift-25c-01,3,1185.5715736798995,1233.7975948466305,3.908746569790958,WIN,,0,0,0.0,13.671814185041143,0.6882391260749712,0.2612204468302701,1,"[1185.5715736798995,1185.5715736798995,1185.5715736798995]"
L-main-threeshift-25c-01,4,1198.168648799729,1221.740501742608,1.929366580649312,WIN,,-1,-2,87.94577296184666,-1.2523751146862878,4.364145647626054,0.19540782951934735,1,"[1198.168648799729,1198.168648799729,1198.168648799729]"
L-main-threeshift-25c-01,5,1153.8202097249168,1145.8880204929317,-0.6922307494385816,LOSS,route_fleet_structure,0,1,-123.20727589172154,24.509326076772737,-4.968454793684523,0.19935254643587533,2,"[1163.3869964064274,1153.8202097249168,1153.8202097249168]"
L-main-threeshift-50c-01,1,2535.531108613054,2575.1292458093067,1.5377145539663082,WIN,,0,2,-240.12565094416897,54.08570601335545,-9.36525082781715,0.24876054060536582,2,"[2538.2817074055847,2535.531108613054,2535.531108613054]"
L-main-threeshift-50c-01,2,2522.0567573973794,2548.9422606820945,1.0547709808664116,WIN,,0,-1,78.54108060371487,-61.440496720467024,0.8608433926826962,0.1749359871483453,3,"[2604.963320472017,2533.510833343851,2523.0967303811094]"
L-main-threeshift-50c-01,3,2626.651455359303,2648.9564302556805,0.8420287567442074,WIN,,2,3,-34.08270567531855,-33.234986752520655,-3.388772636817425,0.2163457405735541,2,"[2735.074644439854,2626.651455359303,2626.651455359303]"
L-main-threeshift-50c-01,4,2410.9039238631376,2407.0927556585466,-0.1583307579498876,LOSS,fleet_energy_mix_tradeoff,-1,-2,79.23958723973783,-13.482588809339234,3.3102073009862636,0.2184891102018877,3,"[2415.7267504860474,2415.7267504860474,2410.9039238631376]"
L-main-threeshift-50c-01,5,2672.4572409716147,2516.5440175972317,-6.195529356297421,LOSS,large_stochastic_tail,2,3,-112.97721283456154,3.7569043527137467,-5.498150328976218,0.17841376764665012,2,"[3503.4897885319288,2672.4572409716147,2672.4572409716147]"
L-main-threeshift-75c-01,1,3825.496840735729,3741.9119272160915,-2.2337488200002396,LOSS,extra_route_or_partition,1,0,6.848653056943192,-2.054091677402539,0.2413582198460773,0.2033936077541296,2,"[4836.552531235462,3825.7738522243976,3825.7738522243976]"
L-main-threeshift-75c-01,2,3942.420892450074,3920.277441786688,-0.5648439681170606,LOSS,extra_route_or_partition,3,2,153.46627376743834,-117.2610090063965,1.8225730280708454,0.23708564160327394,2,"[5003.095017231481,3942.420892450074,3942.420892450074]"
L-main-threeshift-75c-01,3,3895.445812112434,3870.0950801687086,-0.6550415795629558,LOSS,extra_route_or_partition,1,1,22.963022330402225,-59.40598013474798,-1.8345384958707633,0.2570076236821591,2,"[3977.5102448835837,3895.9166897583927,3895.9166897583927]"
L-main-threeshift-75c-01,4,3909.076309344999,3854.4982863751707,-1.4159566022574228,LOSS,extra_route_or_partition,2,4,-219.73320336243603,-4.593267777364019,-11.292594557177534,0.23741844218561176,3,"[5492.153246823199,4012.94761855276,3909.076309344999]"
L-main-threeshift-75c-01,5,3755.2360143305314,3981.028177575106,5.671704724835869,WIN,,-1,-1,-117.46846323103827,16.141227477243064,-5.100813047846053,0.2577528432285131,3,"[3766.2987292776093,3766.2987292776093,3755.2360143305314]"
