node_id,node_type,x,y,service_depot,cross_site
C047,c,21145.077623551577,7169.699677315396,D1,否
C048,c,-7509.246708540656,-27062.15540786369,D0,否
C049,c,24872.109483392218,-10454.286673444383,D1,否
C050,c,-6457.468864978597,3717.5463798285928,D0,否
C051,c,40144.04334387307,-35615.10447123205,D1,否
C052,c,37663.989722237646,7233.302002911662,D1,否
C053,c,34430.99865369361,-13893.144618647857,D1,否
C054,c,-26556.833209107823,30727.448627257196,D0,否
C055,c,47243.222582179136,22683.16908784616,D1,否
C056,c,40698.56516117087,-14251.15984518507,D1,否
C057,c,36024.85015557091,-5874.412771653027,D1,否
C058,c,2558.834796906473,-12287.01903384328,D0,否
C059,c,-27385.483011445438,-3414.9774621697907,D0,否
C060,c,-17943.935564574153,12369.017938224966,D0,否
C061,c,20793.068330691327,3463.1622900938337,D1,否
C062,c,56808.444997738145,2269.171638064241,D1,否
C063,c,40159.644610754054,-18254.406112083845,D1,否
C064,c,42343.586139335945,821.105614186301,D1,否
C065,c,21433.107238439712,-16057.219708580054,D1,否
C066,c,-28638.091352115345,-1742.8648900543703,D0,否
C067,c,40114.83142047989,-12331.08481100657,D1,否
C068,c,55344.85020408202,8134.572747503916,D1,否
C069,c,-38049.493824239165,-11254.101284546115,D0,否
C070,c,-53182.12452469188,36624.05059986656,D0,否
C071,c,40107.27807496915,2176.58410274992,D1,否
C072,c,22501.15439661106,21498.96171240747,D1,否
C073,c,60000.0,-20163.136728545192,D1,否
C074,c,43055.091314403435,-15416.009377561531,D1,否
C075,c,-30275.61369828415,2294.8473572775565,D0,否
C076,c,-3003.6971215898593,6689.078451097414,D0,否
C077,c,-34154.199467514685,27866.617618679353,D0,否
C078,c,-39215.46630074302,17199.164422542683,D0,否
C079,c,29570.139770980193,-7642.289278385473,D1,否
C080,c,20830.739614084123,-12027.48269741597,D1,否
C081,c,-1986.2416410347532,-16660.27297811896,D0,否
C082,c,1809.3518252922122,-16075.290482076201,D0,否
C083,c,-19044.348250023682,15991.242079371881,D0,否
C084,c,35718.79937286775,-15293.305647083114,D1,否
C085,c,-6588.7972228378485,-30063.314711143274,D0,否
C086,c,-22420.089670908084,4193.003956491946,D0,否
C087,c,26946.221425616604,-547.3314197814943,D1,否
C088,c,43483.61002912975,-11482.106823215861,D1,否
C089,c,8609.125888489736,334.9369283134438,D0,否
C090,c,4730.730282867223,-32192.908026132984,D0,否
C091,c,-18797.954539310027,10549.426284446494,D0,否
C092,c,21469.444686920957,-4341.932170857542,D1,否
C093,c,35268.976279229864,-1912.6481004552093,D1,否
C094,c,-22129.75556505035,14241.495150982759,D0,否
C095,c,29160.66644194888,-27001.52775707605,D1,否
C096,c,9904.343990188518,-16963.797996796362,D0,否
C097,c,5670.978669951378,-16744.979924339972,D0,否
C098,c,36826.29236861763,-2181.3254589065123,D1,否
C099,c,-40642.3940609045,30419.113591065467,D0,否
C100,c,30919.992132783056,-18243.94928479764,D1,否
C101,c,22357.456889141242,-30765.383479305223,D1,否
C102,c,-7594.613690973054,11566.400233591838,D0,否
C103,c,-22598.528462492,4790.592326659743,D0,否
C104,c,35753.08520715066,-35017.52279307872,D1,否
C105,c,-38956.96541886966,-20648.51124980166,D0,否
C106,c,43655.82316113668,-18599.60799990495,D1,否
C107,c,4818.975595748139,14270.342496353314,D0,否
C108,c,-30711.619277925573,13188.51503855125,D0,否
C109,c,25292.089063623916,-37722.52031032427,D1,否
C110,c,-29671.70272610476,39840.935360921125,D0,否
C111,c,31497.610782578315,-13666.266273469424,D1,否
C112,c,22412.61746609698,-29594.194096135707,D1,否
C113,c,-21439.217116430405,-29532.383396517864,D0,否
C114,c,-27857.900762383833,12467.86251050957,D0,否
C115,c,-33065.307363859276,9042.993211548213,D0,否
C116,c,42655.840082913724,-31701.858770366733,D1,否
C117,c,-13708.027186192568,-37639.489738741686,D0,否
C118,c,-32069.925717427126,-40069.72844239701,D0,否
C119,c,-37479.24725615428,-27343.138938101285,D0,否
C120,c,20135.498985022197,-29783.818074148057,D1,否
C121,c,-26688.30509877036,2574.609919930681,D0,否
C122,c,-39535.89585132542,10612.550789627645,D0,否
C123,c,-14247.902504671443,19387.320857171795,D0,否
C124,c,-10706.301431993517,41691.979057567114,D0,否
C125,c,-12337.728408092724,7828.105116522001,D0,否
C126,c,10024.794819817733,-680.6273586117313,D0,否
C127,c,40341.03978703949,-33416.317061939466,D1,否
C128,c,31494.170079381187,-45000.0,D1,否
C129,c,39344.5036000883,-21940.998037814523,D1,否
C130,c,-48213.67405348047,-3856.5283198416037,D0,否
C131,c,-23257.953414419713,-27366.12964279369,D0,否
C132,c,-45013.4456592297,-28650.18377634594,D0,否
C133,c,-36639.63504720668,-17588.98097102496,D0,否
C134,c,-5434.461344512625,4783.621320559705,D0,否
C135,c,-42189.9969355534,-35687.5031980287,D0,否
C136,c,-53709.22920676565,-36544.44079165021,D0,否
C137,c,-21355.25686202949,16256.041138157438,D0,否
C138,c,2086.7206936679722,2759.1325522886873,D0,否
C139,c,34329.02426901028,-26062.410668063814,D1,否
C140,c,56277.66618886117,-20363.851420514115,D1,否
C141,c,33625.59058380359,-33142.96738308878,D1,否
C142,c,-31698.509008969428,9210.745468373385,D0,否
C143,c,-22457.128040357868,19486.668922158853,D0,否
C144,c,-42514.84804077211,15839.204705980908,D0,否
C145,c,-47231.578012680024,-3222.865570342048,D0,否
C146,c,-24178.509008836245,22106.949666994056,D0,否
C147,c,-37014.50380244112,20576.139110157488,D0,否
C148,c,-47066.68783209392,-35036.965067094134,D0,否
C149,c,26749.15011347356,-24228.111901762546,D1,否
C150,c,30200.243212028894,-8895.994203094624,D1,否
C151,c,-7526.681150319699,13139.579835477281,D0,否
C152,c,-53912.46020442649,-39612.66641174385,D0,否
C153,c,23576.072807839744,-45000.0,D1,否
C154,c,37224.92269469878,-23113.022347441965,D1,否
C155,c,-20545.741853152787,28055.93062231713,D0,否
C156,c,-7308.832663221961,17581.727104187317,D0,否
C157,c,11975.75855375768,-15192.161679379738,D1,否
C158,c,31379.918765136405,-32402.968384152307,D1,否
C159,c,-19255.370289837785,-20712.187054241916,D0,否
C160,c,-1967.6286679141776,-17906.160302651733,D0,否
C161,c,-35138.39506643263,30762.2513240419,D0,否
C162,c,-22657.85827203866,-43917.46927892882,D0,否
C163,c,-32766.747597982212,7773.020436149085,D0,否
C164,c,-20365.61973469594,36362.23754363815,D0,否
C165,c,-6256.720985833486,10332.360828430596,D0,否
C166,c,-25964.559415711763,-45000.0,D0,否
C167,c,-12464.692454410924,26875.57483876991,D0,否
C168,c,23818.046050426172,-29889.316732732826,D1,否
C169,c,-11876.578994478074,34510.38521349893,D0,否
C170,c,-31328.948208363316,-44163.5208275964,D0,否
C171,c,3892.8449928264454,-12651.77052844939,D0,否
C172,c,-9680.594036436049,6019.166241231353,D0,否
C173,c,-6623.963315374227,-5926.097760815303,D0,否
C174,c,45458.370614199484,-15338.299875849345,D1,否
C175,c,1528.4571171867829,-45000.0,D0,否
C176,c,-21478.519335589066,33035.960638255616,D0,否
C177,c,-32449.828353147168,-27059.224361961944,D0,否
C178,c,22997.947005105187,-9036.469930940653,D1,否
C179,c,-14591.074850651003,10343.313716284896,D0,否
C180,c,-34204.5910786113,23411.420776176754,D0,否
C181,c,2701.6139900319904,-4340.177502096729,D0,否
C182,c,13116.949189909938,16710.428028286566,D1,否
C183,c,19367.67586202637,-45000.0,D1,否
C184,c,-10565.992303421244,14334.496912786482,D0,否
C185,c,17817.86393956573,-45000.0,D1,否
C186,c,42587.42752345186,-28134.02530245309,D1,否
C187,c,19601.833126468377,21315.05669503319,D1,否
C188,c,13716.055682863207,28133.122122643726,D1,否
C189,c,-23484.80669688135,23751.555534432468,D0,否
C190,c,-60000.0,-26491.691575300327,D0,否
C191,c,-27868.12721087892,-4113.40087962804,D0,否
C192,c,-57071.44514567728,-20463.72346861499,D0,否
C193,c,-15640.81857750058,16699.333950745244,D0,否
C194,c,-4796.528757518767,2215.7069203617903,D0,否
C195,c,8602.546065567221,-45000.0,D0,否
C196,c,-39105.89152519626,-17079.51307486093,D0,否
C197,c,-36430.759624626946,-18793.516536951753,D0,否
C198,c,9387.78873401021,-26417.579556856672,D0,否
C199,c,-31054.06893494874,-11670.307331557771,D0,否
C200,c,-7502.641924094798,-15754.93535736037,D0,否
C201,c,-10605.022532457726,8618.028473217037,D0,否
C202,c,-33921.97941826588,-39452.93069384871,D0,否
C203,c,-23901.486915418187,-45000.0,D0,否
C204,c,-35276.6387930497,6004.949058383622,D0,否
C205,c,-2303.5401628935715,-32959.92204709751,D0,否
C206,c,28412.42636261677,-5886.809490977371,D1,否
C207,c,1915.0288028982977,-3989.2670217038976,D0,否
C208,c,-46342.346915184564,-24946.434574777566,D0,否
C209,c,16131.594360935276,8053.110819281541,D1,否
C210,c,-24118.39675848896,-5862.7690462623505,D0,否
C211,c,-46523.79283446093,-3898.652921135228,D0,否
C212,c,16371.625644382824,-25830.52810906028,D1,否
C213,c,-48638.60234068243,-35798.207293063824,D0,否
C214,c,8168.3786668089815,787.676967829454,D0,否
C215,c,10789.991868782357,-18626.110379995487,D1,否
C216,c,22588.30231771438,-13306.976048460994,D1,否
C217,c,4178.084538470429,-45000.0,D0,否
C218,c,-23927.557925128913,-19285.70783826666,D0,否
C219,c,17157.73036835926,23790.298164708016,D1,否
F1,f,42561.55611763163,-3889.412171697191,,否
F2,f,27883.470662622312,2009.8766105464783,D1,否
F3,f,36720.03566732402,12527.039885928922,D1,否
