instance,algorithm,seed,final_obj,elapsed_seconds,actual_evals,actual_moves,candidate_scores,repair_scores,repair_delta_count,feasible
100-01-24h,ALNS@wangqianlongucas,7,6331.298733608956,24.65963104099501,16000,16000,16000,0,0,True
100-01-24h,ALNS@wangqianlongucas,8,6331.298733608956,29.490156749991,16000,16000,16000,0,0,True
100-01-24h,ALNS@wangqianlongucas,9,6331.298733608956,33.26717558398377,16000,16000,16000,0,0,True
100-01-24h,ALNS@wangqianlongucas,10,6330.191795057195,28.642461165989516,16000,16000,16000,0,0,True
100-01-24h,NSGA-II@haris989,1,5534.447011382984,82.0753867910098,16001,4273,16001,0,0,True
100-01-24h,NSGA-II@haris989,2,5630.530078744139,72.16337987499719,16001,4273,16001,0,0,True
100-01-24h,NSGA-II@haris989,3,5672.279797473244,60.7887292910018,16001,4273,16001,0,0,True
100-01-24h,NSGA-II@haris989,4,5466.91326768456,64.29044362501008,16001,4273,16001,0,0,True
100-01-24h,NSGA-II@haris989,5,5472.22731542663,70.61339683400001,16001,4273,16001,0,0,True
100-01-24h,NSGA-II@haris989,6,5635.744073558853,64.02289158399799,16001,4273,16001,0,0,True
100-01-24h,NSGA-II@haris989,7,5649.27400056934,64.52272629199433,16001,4273,16001,0,0,True
100-01-24h,NSGA-II@haris989,8,5800.832927611019,68.70074204198318,16001,4273,16001,0,0,True
100-01-24h,NSGA-II@haris989,9,5694.149706829079,68.96832595800515,16001,4273,16001,0,0,True
100-01-24h,NSGA-II@haris989,10,5570.584593448169,78.73567254198133,16001,4273,16001,0,0,True
