scenario,slot_index,horizon_second_start,gamma_gco2_per_kwh,depot_kwh,station_kwh,other_kwh,total_kwh
carbon_aware,41,73800.0,147.83333333333334,0.0,0.0,0.0,0.0
carbon_aware,42,75600.0,134.33333333333334,0.0,0.0,0.0,0.0
carbon_aware,43,77400.0,119.88888888888889,0.0,0.0,0.0,0.0
carbon_aware,44,79200.0,103.05555555555556,0.0,0.0,0.0,0.0
carbon_aware,45,81000.0,80.77777777777777,0.0,0.0,0.0,0.0
carbon_aware,46,82800.0,75.55555555555556,0.0,0.0,0.0,0.0
carbon_aware,47,84600.0,69.88888888888889,0.0,0.0,0.0,0.0
naive_return_charge,0,0.0,59.0,0.0,0.0,0.0,0.0
naive_return_charge,1,1800.0,58.333333333333336,0.0,60.0,0.0,60.0
naive_return_charge,2,3600.0,56.611111111111114,0.0,60.0,0.0,60.0
naive_return_charge,3,5400.0,54.55555555555556,0.0,31.793845757274237,0.0,31.793845757274237
naive_return_charge,4,7200.0,52.44444444444444,0.0,0.0,0.0,0.0
naive_return_charge,5,9000.0,49.611111111111114,0.0,0.0,0.0,0.0
naive_return_charge,6,10800.0,49.05555555555556,0.0,0.0,0.0,0.0
naive_return_charge,7,12600.0,47.5,0.0,0.0,0.0,0.0
naive_return_charge,8,14400.0,51.5,0.0,0.0,0.0,0.0
naive_return_charge,9,16200.0,53.5,0.0,0.0,0.0,0.0
naive_return_charge,10,18000.0,55.111111111111114,0.0,0.0,0.0,0.0
naive_return_charge,11,19800.0,57.388888888888886,0.0,0.0,0.0,0.0
naive_return_charge,12,21600.0,64.05555555555556,0.0,0.0,0.0,0.0
naive_return_charge,13,23400.0,67.38888888888889,0.0,0.0,0.0,0.0
naive_return_charge,14,25200.0,74.11111111111111,0.0,0.0,0.0,0.0
naive_return_charge,15,27000.0,80.61111111111111,0.0,0.0,0.0,0.0
naive_return_charge,16,28800.0,79.27777777777777,0.0,0.0,0.0,0.0
naive_return_charge,17,30600.0,76.94444444444444,0.0,0.0,0.0,0.0
naive_return_charge,18,32400.0,76.77777777777777,0.0,0.0,0.0,0.0
naive_return_charge,19,34200.0,75.88888888888889,31.753487551377628,0.0,0.0,31.753487551377628
naive_return_charge,20,36000.0,77.55555555555556,124.98118536681169,0.0,0.0,124.98118536681169
naive_return_charge,21,37800.0,80.83333333333333,162.24950887440275,0.0,0.0,162.24950887440275
naive_return_charge,22,39600.0,85.55555555555556,152.77580558471348,0.0,0.0,152.77580558471348
naive_return_charge,23,41400.0,90.33333333333333,135.4848657373574,0.0,0.0,135.4848657373574
naive_return_charge,24,43200.0,98.27777777777777,92.74323466104994,0.0,0.0,92.74323466104994
naive_return_charge,25,45000.0,111.44444444444444,50.13151017490523,0.0,0.0,50.13151017490523
naive_return_charge,26,46800.0,124.27777777777777,32.546275854417644,0.0,0.0,32.546275854417644
naive_return_charge,27,48600.0,140.05555555555554,5.297427032498203,0.0,0.0,5.297427032498203
naive_return_charge,28,50400.0,157.33333333333334,0.0,0.0,0.0,0.0
naive_return_charge,29,52200.0,172.44444444444446,0.0,0.0,0.0,0.0
naive_return_charge,30,54000.0,184.16666666666666,0.0,0.0,0.0,0.0
naive_return_charge,31,55800.0,188.61111111111111,0.0,0.0,0.0,0.0
naive_return_charge,32,57600.0,187.94444444444446,0.0,0.0,0.0,0.0
naive_return_charge,33,59400.0,188.94444444444446,0.0,0.0,0.0,0.0
naive_return_charge,34,61200.0,184.44444444444446,0.0,0.0,0.0,0.0
naive_return_charge,35,63000.0,184.72222222222223,0.0,0.0,0.0,0.0
naive_return_charge,36,64800.0,181.72222222222223,0.0,0.0,0.0,0.0
naive_return_charge,37,66600.0,179.88888888888889,0.0,0.0,0.0,0.0
naive_return_charge,38,68400.0,174.44444444444446,0.0,0.0,0.0,0.0
naive_return_charge,39,70200.0,166.38888888888889,0.0,0.0,0.0,0.0
naive_return_charge,40,72000.0,154.66666666666666,0.0,0.0,0.0,0.0
naive_return_charge,41,73800.0,147.83333333333334,0.0,0.0,0.0,0.0
naive_return_charge,42,75600.0,134.33333333333334,0.0,0.0,0.0,0.0
naive_return_charge,43,77400.0,119.88888888888889,0.0,0.0,0.0,0.0
naive_return_charge,44,79200.0,103.05555555555556,0.0,0.0,0.0,0.0
naive_return_charge,45,81000.0,80.77777777777777,0.0,0.0,0.0,0.0
naive_return_charge,46,82800.0,75.55555555555556,0.0,0.0,0.0,0.0
naive_return_charge,47,84600.0,69.88888888888889,0.0,0.0,0.0,0.0
