run_id,phase,algorithm,seed,step,eval,operator,channel,best_cost,best_cost_before,route_count,signature,time_seconds
G0_ALNS_seed2,E_G0_REAUDIT,ALNS,2,2,11,whole_route_removal+greedy_insert_repair,native_whole_route_removal+greedy_insert_repair,5146.8278404642015,,,,1.2407155420005438
G0_ALNS_seed2,E_G0_REAUDIT,ALNS,2,3,35,vehicle_type_swap+greedy_insert_repair,native_vehicle_type_swap+greedy_insert_repair,5133.251973401268,,,,1.3963196670010802
G0_ALNS_seed2,E_G0_REAUDIT,ALNS,2,4,36,vehicle_type_swap+greedy_insert_repair,native_vehicle_type_swap+greedy_insert_repair,5132.197604582017,,,,1.413788834001025
G0_ALNS_seed2,E_G0_REAUDIT,ALNS,2,5,1456,shaw_related_removal+greedy_insert_repair,native_shaw_related_removal+greedy_insert_repair,5131.384118498833,,,,18.330657792001148
G0_ALNS_seed2,E_G0_REAUDIT,ALNS,2,6,1471,shaw_related_removal+greedy_insert_repair,native_shaw_related_removal+greedy_insert_repair,4833.251364426746,,,,21.147788542002672
G0_ALNS_seed2,E_G0_REAUDIT,ALNS,2,7,1542,shaw_related_removal+greedy_insert_repair,native_shaw_related_removal+greedy_insert_repair,4810.278807712848,,,,30.388875292002922
G0_ALNS_seed2,E_G0_REAUDIT,ALNS,2,8,1553,shaw_related_removal+greedy_insert_repair,native_shaw_related_removal+greedy_insert_repair,4707.964279698903,,,,32.351430959002755
G0_ALNS_seed2,E_G0_REAUDIT,ALNS,2,9,1557,shaw_related_removal+greedy_insert_repair,native_shaw_related_removal+greedy_insert_repair,4652.774033816567,,,,32.711053209000966
G0_ALNS_seed2,E_G0_REAUDIT,ALNS,2,10,1609,shaw_related_removal+greedy_insert_repair,native_shaw_related_removal+greedy_insert_repair,4652.743392075967,,,,38.853457250002975
G0_ALNS_seed2,E_G0_REAUDIT,ALNS,2,11,1640,shaw_related_removal+greedy_insert_repair,native_shaw_related_removal+greedy_insert_repair,4629.02216238185,,,,42.56131000000096
G0_ALNS_seed2,E_G0_REAUDIT,ALNS,2,12,1645,shaw_related_removal+greedy_insert_repair,native_shaw_related_removal+greedy_insert_repair,4612.95188518065,,,,43.245583167001314
G0_ALNS_seed2,E_G0_REAUDIT,ALNS,2,13,1688,shaw_related_removal+greedy_insert_repair,native_shaw_related_removal+greedy_insert_repair,4502.089905641596,,,,48.64500608399976
G0_ALNS_seed2,E_G0_REAUDIT,ALNS,2,14,1782,shaw_related_removal+greedy_insert_repair,native_shaw_related_removal+greedy_insert_repair,4499.255383946674,,,,60.85825725000177
G0_ALNS_seed2,E_G0_REAUDIT,ALNS,2,15,1836,shaw_related_removal+greedy_insert_repair,native_shaw_related_removal+greedy_insert_repair,4478.092028717405,,,,67.37826129200039
G0_ALNS_seed2,E_G0_REAUDIT,ALNS,2,16,1884,shaw_related_removal+greedy_insert_repair,native_shaw_related_removal+greedy_insert_repair,4286.05748638692,,,,72.98502637500133
G0_ALNS_seed2,E_G0_REAUDIT,ALNS,2,17,1943,shaw_related_removal+greedy_insert_repair,native_shaw_related_removal+greedy_insert_repair,4197.408117614932,,,,81.06122920900089
G0_ALNS_seed2,E_G0_REAUDIT,ALNS,2,18,2171,whole_route_removal+regret2_insert_repair,native_whole_route_removal+regret2_insert_repair,4189.513818620939,,,,106.5713617500005
G0_ALNS_seed2,E_G0_REAUDIT,ALNS,2,19,2213,whole_route_removal+regret2_insert_repair,native_whole_route_removal+regret2_insert_repair,4186.450032767241,,,,106.83284695900147
G0_ALNS_seed2,E_G0_REAUDIT,ALNS,2,20,2429,whole_route_removal+regret3_insert_repair,native_whole_route_removal+regret3_insert_repair,4177.981906660777,,,,107.83956495900202
G0_ALNS_seed2,E_G0_REAUDIT,ALNS,2,21,2645,route_segment_removal+greedy_insert_repair,native_route_segment_removal+greedy_insert_repair,4177.122576543815,,,,108.8986434590006
G0_ALNS_seed2,E_G0_REAUDIT,ALNS,2,22,2647,route_segment_removal+greedy_insert_repair,native_route_segment_removal+greedy_insert_repair,4175.424657920504,,,,108.91587658400022
G0_ALNS_seed2,E_G0_REAUDIT,ALNS,2,23,2649,route_segment_removal+greedy_insert_repair,native_route_segment_removal+greedy_insert_repair,4174.795717808866,,,,108.9394537090011
G0_ALNS_seed2,E_G0_REAUDIT,ALNS,2,24,2659,route_segment_removal+greedy_insert_repair,native_route_segment_removal+greedy_insert_repair,4171.1816367906395,,,,108.99041029200089
G0_ALNS_seed2,E_G0_REAUDIT,ALNS,2,25,2691,route_segment_removal+greedy_insert_repair,native_route_segment_removal+greedy_insert_repair,4168.000523123627,,,,109.10534850000113
G0_ALNS_seed2,E_G0_REAUDIT,ALNS,2,26,2719,route_segment_removal+greedy_insert_repair,native_route_segment_removal+greedy_insert_repair,4164.811925795406,,,,109.2160875840018
G0_ALNS_seed2,E_G0_REAUDIT,ALNS,2,27,2825,route_segment_removal+greedy_insert_repair,native_route_segment_removal+greedy_insert_repair,4162.23467319313,,,,109.59742904200175
G0_ALNS_seed2,E_G0_REAUDIT,ALNS,2,28,2928,route_segment_removal+greedy_insert_repair,native_route_segment_removal+greedy_insert_repair,4161.230545553963,,,,109.96653062500263
G0_ALNS_seed2,E_G0_REAUDIT,ALNS,2,29,2947,route_segment_removal+greedy_insert_repair,native_route_segment_removal+greedy_insert_repair,4159.912477481993,,,,110.04064104200006
G0_ALNS_seed2,E_G0_REAUDIT,ALNS,2,30,2958,route_segment_removal+greedy_insert_repair,native_route_segment_removal+greedy_insert_repair,4155.380057241541,,,,110.08694508400004
G0_ALNS_seed2,E_G0_REAUDIT,ALNS,2,31,2973,route_segment_removal+greedy_insert_repair,native_route_segment_removal+greedy_insert_repair,4144.273314113451,,,,110.15277670900105
G0_ALNS_seed2,E_G0_REAUDIT,ALNS,2,32,2986,route_segment_removal+greedy_insert_repair,native_route_segment_removal+greedy_insert_repair,4141.358605520029,,,,110.2036223340001
G0_ALNS_seed2,E_G0_REAUDIT,ALNS,2,33,3121,route_segment_removal+greedy_insert_repair,native_route_segment_removal+greedy_insert_repair,4129.609217944396,,,,110.67253366700243
G0_ALNS_seed2,E_G0_REAUDIT,ALNS,2,34,3264,route_segment_removal+greedy_insert_repair,native_route_segment_removal+greedy_insert_repair,4122.988907192557,,,,111.19206775000202
G0_ALNS_seed2,E_G0_REAUDIT,ALNS,2,35,3279,route_segment_removal+greedy_insert_repair,native_route_segment_removal+greedy_insert_repair,4119.256171227398,,,,111.25605433400051
