instance,algorithm,algorithm_label,eval,seed_count,mean_best_cost,median_best_cost,q10_best_cost,q90_best_cost
L-main-threeshift-25c-01,GA,GA,100,10,1488.3191449787269,1458.2507236597207,1426.826577700146,1582.4486823810253
L-main-threeshift-25c-01,GA,GA,200,10,1488.3191449787269,1458.2507236597207,1426.826577700146,1582.4486823810253
L-main-threeshift-25c-01,GA,GA,300,10,1487.84968883276,1458.2507236597207,1426.826577700146,1581.9792262350584
L-main-threeshift-25c-01,GA,GA,400,10,1487.84968883276,1458.2507236597207,1426.826577700146,1581.9792262350584
L-main-threeshift-25c-01,GA,GA,500,10,1487.84968883276,1458.2507236597207,1426.826577700146,1581.9792262350584
L-main-threeshift-25c-01,GA,GA,600,10,1487.84968883276,1458.2507236597207,1426.826577700146,1581.9792262350584
L-main-threeshift-25c-01,GA,GA,700,10,1487.84968883276,1458.2507236597207,1426.826577700146,1581.9792262350584
L-main-threeshift-25c-01,GA,GA,800,10,1486.6765532093455,1458.2507236597207,1426.826577700146,1580.8060906116439
L-main-threeshift-25c-01,GA,GA,900,10,1486.6765532093455,1458.2507236597207,1426.826577700146,1580.8060906116439
L-main-threeshift-25c-01,GA,GA,1000,10,1486.6765532093455,1458.2507236597207,1426.826577700146,1580.8060906116439
L-main-threeshift-25c-01,GA,GA,1100,10,1486.6765532093455,1458.2507236597207,1426.826577700146,1580.8060906116439
L-main-threeshift-25c-01,GA,GA,1200,10,1482.599203535257,1458.2507236597207,1426.826577700146,1559.7983608066017
L-main-threeshift-25c-01,GA,GA,1300,10,1482.599203535257,1458.2507236597207,1426.826577700146,1559.7983608066017
L-main-threeshift-25c-01,GA,GA,1400,10,1482.599203535257,1458.2507236597207,1426.826577700146,1559.7983608066017
L-main-threeshift-25c-01,GA,GA,1500,10,1482.599203535257,1458.2507236597207,1426.826577700146,1559.7983608066017
L-main-threeshift-25c-01,GA,GA,1600,10,1482.599203535257,1458.2507236597207,1426.826577700146,1559.7983608066017
L-main-threeshift-25c-01,GA,GA,1700,10,1482.599203535257,1458.2507236597207,1426.826577700146,1559.7983608066017
L-main-threeshift-25c-01,GA,GA,1800,10,1482.599203535257,1458.2507236597207,1426.826577700146,1559.7983608066017
L-main-threeshift-25c-01,GA,GA,1900,10,1480.4095011113775,1456.698360599285,1426.826577700146,1559.7983608066017
L-main-threeshift-25c-01,GA,GA,2000,10,1480.4095011113775,1456.698360599285,1426.826577700146,1559.7983608066017
L-main-threeshift-25c-01,GA,GA,2100,10,1478.5938554652287,1456.698360599285,1426.826577700146,1559.7983608066017
L-main-threeshift-25c-01,GA,GA,2200,10,1478.5938554652287,1456.698360599285,1426.826577700146,1559.7983608066017
L-main-threeshift-25c-01,GA,GA,2300,10,1478.5938554652287,1456.698360599285,1426.826577700146,1559.7983608066017
L-main-threeshift-25c-01,GA,GA,2400,10,1478.5938554652287,1456.698360599285,1426.826577700146,1559.7983608066017
L-main-threeshift-25c-01,GA,GA,2500,10,1478.5938554652287,1456.698360599285,1426.826577700146,1559.7983608066017
L-main-threeshift-25c-01,GA,GA,2600,10,1477.971727311805,1456.698360599285,1423.974739226272,1559.7983608066017
L-main-threeshift-25c-01,GA,GA,2700,10,1477.971727311805,1456.698360599285,1423.974739226272,1559.7983608066017
L-main-threeshift-25c-01,GA,GA,2800,10,1477.971727311805,1456.698360599285,1423.974739226272,1559.7983608066017
L-main-threeshift-25c-01,GA,GA,2900,10,1477.971727311805,1456.698360599285,1423.974739226272,1559.7983608066017
L-main-threeshift-25c-01,GA,GA,3000,10,1477.971727311805,1456.698360599285,1423.974739226272,1559.7983608066017
L-main-threeshift-25c-01,GA,GA,3100,10,1477.971727311805,1456.698360599285,1423.974739226272,1559.7983608066017
L-main-threeshift-25c-01,GA,GA,3200,10,1477.971727311805,1456.698360599285,1423.974739226272,1559.7983608066017
L-main-threeshift-25c-01,GA,GA,3300,10,1477.971727311805,1456.698360599285,1423.974739226272,1559.7983608066017
L-main-threeshift-25c-01,GA,GA,3400,10,1477.971727311805,1456.698360599285,1423.974739226272,1559.7983608066017
L-main-threeshift-25c-01,GA,GA,3500,10,1477.971727311805,1456.698360599285,1423.974739226272,1559.7983608066017
L-main-threeshift-25c-01,GA,GA,3600,10,1477.971727311805,1456.698360599285,1423.974739226272,1559.7983608066017
L-main-threeshift-25c-01,GA,GA,3700,10,1477.971727311805,1456.698360599285,1423.974739226272,1559.7983608066017
L-main-threeshift-25c-01,GA,GA,3800,10,1477.971727311805,1456.698360599285,1423.974739226272,1559.7983608066017
L-main-threeshift-25c-01,GA,GA,3900,10,1477.971727311805,1456.698360599285,1423.974739226272,1559.7983608066017
L-main-threeshift-25c-01,GA,GA,4000,10,1477.971727311805,1456.698360599285,1423.974739226272,1559.7983608066017
L-main-threeshift-25c-01,PSO,PSO,0,10,1811.8374767193643,1811.8374767193643,1811.8374767193643,1811.8374767193643
L-main-threeshift-25c-01,PSO,PSO,100,10,1630.660600352558,1609.8343643307894,1526.576766810581,1736.8314989661142
L-main-threeshift-25c-01,PSO,PSO,200,10,1624.7853780848402,1609.8343643307894,1526.576766810581,1723.763377887757
L-main-threeshift-25c-01,PSO,PSO,300,10,1614.296582862765,1609.8343643307894,1526.576766810581,1702.9247810848606
L-main-threeshift-25c-01,PSO,PSO,400,10,1602.8318002982828,1609.8343643307894,1526.576766810581,1670.510212049727
L-main-threeshift-25c-01,PSO,PSO,500,10,1600.9175130978706,1609.8343643307894,1526.576766810581,1670.510212049727
L-main-threeshift-25c-01,PSO,PSO,600,10,1596.3444502760874,1603.3262146490629,1526.576766810581,1653.8574606196782
L-main-threeshift-25c-01,PSO,PSO,700,10,1592.6985247427197,1599.1470407316103,1526.576766810581,1650.9157428599735
L-main-threeshift-25c-01,PSO,PSO,800,10,1579.319787345791,1578.4663422781573,1526.576766810581,1625.447801752967
L-main-threeshift-25c-01,PSO,PSO,900,10,1569.7543122413704,1573.5132963633246,1504.247387427712,1625.447801752967
L-main-threeshift-25c-01,PSO,PSO,1000,10,1562.930232443785,1573.5132963633246,1504.247387427712,1602.7325294875375
L-main-threeshift-25c-01,PSO,PSO,1100,10,1557.0791139617752,1562.982110683779,1504.247387427712,1598.8178054423024
L-main-threeshift-25c-01,PSO,PSO,1200,10,1556.0095797609235,1562.982110683779,1504.247387427712,1598.8178054423024
L-main-threeshift-25c-01,PSO,PSO,1300,10,1554.8621585942099,1562.982110683779,1504.247387427712,1593.9707515752818
L-main-threeshift-25c-01,PSO,PSO,1400,10,1548.87905736711,1541.414741244112,1504.247387427712,1593.9707515752818
L-main-threeshift-25c-01,PSO,PSO,1500,10,1548.87905736711,1541.414741244112,1504.247387427712,1593.9707515752818
L-main-threeshift-25c-01,PSO,PSO,1600,10,1548.87905736711,1541.414741244112,1504.247387427712,1593.9707515752818
L-main-threeshift-25c-01,PSO,PSO,1700,10,1548.87905736711,1541.414741244112,1504.247387427712,1593.9707515752818
L-main-threeshift-25c-01,PSO,PSO,1800,10,1548.87905736711,1541.414741244112,1504.247387427712,1593.9707515752818
L-main-threeshift-25c-01,PSO,PSO,1900,10,1548.87905736711,1541.414741244112,1504.247387427712,1593.9707515752818
L-main-threeshift-25c-01,PSO,PSO,2000,10,1548.87905736711,1541.414741244112,1504.247387427712,1593.9707515752818
L-main-threeshift-25c-01,PSO,PSO,2100,10,1548.87905736711,1541.414741244112,1504.247387427712,1593.9707515752818
L-main-threeshift-25c-01,PSO,PSO,2200,10,1548.87905736711,1541.414741244112,1504.247387427712,1593.9707515752818
L-main-threeshift-25c-01,PSO,PSO,2300,10,1548.87905736711,1541.414741244112,1504.247387427712,1593.9707515752818
L-main-threeshift-25c-01,PSO,PSO,2400,10,1548.87905736711,1541.414741244112,1504.247387427712,1593.9707515752818
L-main-threeshift-25c-01,PSO,PSO,2500,10,1548.87905736711,1541.414741244112,1504.247387427712,1593.9707515752818
L-main-threeshift-25c-01,PSO,PSO,2600,10,1548.87905736711,1541.414741244112,1504.247387427712,1593.9707515752818
L-main-threeshift-25c-01,PSO,PSO,2700,10,1548.87905736711,1541.414741244112,1504.247387427712,1593.9707515752818
L-main-threeshift-25c-01,PSO,PSO,2800,10,1548.87905736711,1541.414741244112,1504.247387427712,1593.9707515752818
L-main-threeshift-25c-01,PSO,PSO,2900,10,1548.87905736711,1541.414741244112,1504.247387427712,1593.9707515752818
L-main-threeshift-25c-01,PSO,PSO,3000,10,1548.87905736711,1541.414741244112,1504.247387427712,1593.9707515752818
L-main-threeshift-25c-01,PSO,PSO,3100,10,1548.87905736711,1541.414741244112,1504.247387427712,1593.9707515752818
L-main-threeshift-25c-01,PSO,PSO,3200,10,1548.87905736711,1541.414741244112,1504.247387427712,1593.9707515752818
L-main-threeshift-25c-01,PSO,PSO,3300,10,1548.87905736711,1541.414741244112,1504.247387427712,1593.9707515752818
L-main-threeshift-25c-01,PSO,PSO,3400,10,1548.87905736711,1541.414741244112,1504.247387427712,1593.9707515752818
L-main-threeshift-25c-01,PSO,PSO,3500,10,1548.87905736711,1541.414741244112,1504.247387427712,1593.9707515752818
L-main-threeshift-25c-01,PSO,PSO,3600,10,1548.87905736711,1541.414741244112,1504.247387427712,1593.9707515752818
L-main-threeshift-25c-01,PSO,PSO,3700,10,1548.87905736711,1541.414741244112,1504.247387427712,1593.9707515752818
L-main-threeshift-25c-01,PSO,PSO,3800,10,1548.87905736711,1541.414741244112,1504.247387427712,1593.9707515752818
L-main-threeshift-25c-01,PSO,PSO,3900,10,1548.87905736711,1541.414741244112,1504.247387427712,1593.9707515752818
L-main-threeshift-25c-01,PSO,PSO,4000,10,1548.87905736711,1541.414741244112,1504.247387427712,1593.9707515752818
L-main-threeshift-25c-01,VNS,VNS,0,10,1811.8374767193643,1811.8374767193643,1811.8374767193643,1811.8374767193643
L-main-threeshift-25c-01,VNS,VNS,100,10,1489.6644213653005,1477.2451920443832,1403.6092161073705,1579.7451628295144
L-main-threeshift-25c-01,VNS,VNS,200,10,1452.9221833910115,1440.706605637799,1365.6836517760216,1569.0238645176032
L-main-threeshift-25c-01,VNS,VNS,300,10,1406.8944133665361,1393.1429931385428,1346.072725267495,1467.973202289827
L-main-threeshift-25c-01,VNS,VNS,400,10,1406.4675647440781,1392.9265419809717,1346.072725267495,1467.973202289827
L-main-threeshift-25c-01,VNS,VNS,500,10,1395.6263454714638,1388.0653819889162,1346.072725267495,1458.1042150156236
L-main-threeshift-25c-01,VNS,VNS,600,10,1395.1501389613063,1388.0653819889162,1345.671141675629,1458.1042150156236
L-main-threeshift-25c-01,VNS,VNS,700,10,1384.7439481223596,1380.8268126574808,1345.671141675629,1426.690456712879
L-main-threeshift-25c-01,VNS,VNS,800,10,1379.0959336954093,1370.294134007183,1329.100697163262,1426.690456712879
L-main-threeshift-25c-01,VNS,VNS,900,10,1368.8506842869335,1367.6074998782854,1308.1475106121345,1426.6875098128928
L-main-threeshift-25c-01,VNS,VNS,1000,10,1349.197374458713,1349.1768960005406,1300.788076145458,1426.6875098128928
L-main-threeshift-25c-01,VNS,VNS,1100,10,1344.7148177046818,1349.1768960005406,1260.4450653591769,1426.6875098128928
L-main-threeshift-25c-01,VNS,VNS,1200,10,1341.0451204335034,1338.9039533276446,1251.585059009891,1426.6875098128928
L-main-threeshift-25c-01,VNS,VNS,1300,10,1337.9816256184465,1338.9039533276446,1251.585059009891,1426.6875098128928
L-main-threeshift-25c-01,VNS,VNS,1400,10,1335.3458096722027,1338.9039533276446,1244.2851064521287,1426.6875098128928
L-main-threeshift-25c-01,VNS,VNS,1500,10,1321.2807909987591,1325.1894704545705,1244.2851064521287,1377.7438398492177
L-main-threeshift-25c-01,VNS,VNS,1600,10,1318.8240170852391,1323.7568058643049,1244.2851064521287,1367.9639146886473
L-main-threeshift-25c-01,VNS,VNS,1700,10,1316.1458439475416,1321.4347031199272,1244.2851064521287,1365.7501620998255
L-main-threeshift-25c-01,VNS,VNS,1800,10,1315.9400628671276,1321.4347031199272,1244.0793253717145,1365.7501620998255
L-main-threeshift-25c-01,VNS,VNS,1900,10,1305.1692518764503,1297.69155026169,1244.0793253717145,1365.7501620998255
L-main-threeshift-25c-01,VNS,VNS,2000,10,1305.1692518764503,1297.69155026169,1244.0793253717145,1365.7501620998255
L-main-threeshift-25c-01,VNS,VNS,2100,10,1302.1843678095502,1297.69155026169,1244.0793253717145,1365.7501620998255
L-main-threeshift-25c-01,VNS,VNS,2200,10,1300.6009170267962,1297.69155026169,1244.0793253717145,1365.7501620998255
L-main-threeshift-25c-01,VNS,VNS,2300,10,1296.1489719598335,1287.6285362673193,1240.9497168994412,1365.5179866605665
L-main-threeshift-25c-01,VNS,VNS,2400,10,1292.6673209461906,1285.8368088458087,1240.9497168994412,1365.5179866605665
L-main-threeshift-25c-01,VNS,VNS,2500,10,1292.6673209461906,1285.8368088458087,1240.9497168994412,1365.5179866605665
L-main-threeshift-25c-01,VNS,VNS,2600,10,1284.926576755415,1281.564246851933,1224.970245132104,1365.5179866605665
L-main-threeshift-25c-01,VNS,VNS,2700,10,1280.3754934937542,1281.564246851933,1224.970245132104,1335.6613701936096
L-main-threeshift-25c-01,VNS,VNS,2800,10,1276.4376760005714,1266.2205735910338,1224.970245132104,1335.6613701936096
L-main-threeshift-25c-01,VNS,VNS,2900,10,1276.1755201466108,1264.909794321231,1224.970245132104,1335.6613701936096
L-main-threeshift-25c-01,VNS,VNS,3000,10,1273.8315562343935,1264.909794321231,1224.7477061683749,1334.535997434798
L-main-threeshift-25c-01,VNS,VNS,3100,10,1273.8143427834643,1264.909794321231,1224.7477061683749,1334.535997434798
L-main-threeshift-25c-01,VNS,VNS,3200,10,1264.676725460844,1264.909794321231,1224.7477061683749,1317.5969689460992
L-main-threeshift-25c-01,VNS,VNS,3300,10,1264.4704198193892,1263.878266113958,1224.7477061683749,1317.5969689460992
L-main-threeshift-25c-01,VNS,VNS,3400,10,1259.1965843534103,1263.878266113958,1213.8128470282395,1317.5969689460992
L-main-threeshift-25c-01,VNS,VNS,3500,10,1255.6058144151573,1255.4182124361164,1213.8128470282395,1317.5969689460992
L-main-threeshift-25c-01,VNS,VNS,3600,10,1250.8037164404238,1236.2946538732508,1213.8128470282395,1317.5969689460992
L-main-threeshift-25c-01,VNS,VNS,3700,10,1246.2617531229419,1224.8501078901731,1212.8843546181947,1316.7161098745848
L-main-threeshift-25c-01,VNS,VNS,3800,10,1246.2617531229419,1224.8501078901731,1212.8843546181947,1316.7161098745848
L-main-threeshift-25c-01,VNS,VNS,3900,10,1244.4762154576795,1224.8501078901731,1210.3416350020611,1316.7161098745848
L-main-threeshift-25c-01,VNS,VNS,4000,10,1243.6323512663566,1220.6307869335592,1210.3416350020611,1316.7161098745848
L-main-threeshift-25c-01,ACO,ACO,0,10,1811.8374767193643,1811.8374767193643,1811.8374767193643,1811.8374767193643
L-main-threeshift-25c-01,ACO,ACO,100,10,1754.490470983858,1762.0782634647935,1687.3352263056831,1811.8374767193643
L-main-threeshift-25c-01,ACO,ACO,200,10,1718.2202492737597,1720.0425459907046,1672.099891122045,1763.3640455231514
L-main-threeshift-25c-01,ACO,ACO,300,10,1685.9272791885378,1679.8060130192443,1639.4361109753183,1731.1220881700153
L-main-threeshift-25c-01,ACO,ACO,400,10,1644.0085142574796,1641.2472644436343,1624.0665459683175,1658.5242382785395
L-main-threeshift-25c-01,ACO,ACO,500,10,1606.3626289873134,1623.3851213410107,1553.0997372758616,1646.7491433910232
L-main-threeshift-25c-01,ACO,ACO,600,10,1574.981893070083,1572.3256351052082,1525.2984137755352,1627.296459478382
L-main-threeshift-25c-01,ACO,ACO,700,10,1565.566680202503,1559.4994810868739,1525.2984137755352,1619.2219885753136
L-main-threeshift-25c-01,ACO,ACO,800,10,1550.140870413484,1554.6925679661515,1525.2984137755352,1573.0342777377869
L-main-threeshift-25c-01,ACO,ACO,900,10,1542.6510743198864,1547.969235546473,1501.8604302902509,1573.0342777377869
L-main-threeshift-25c-01,ACO,ACO,1000,10,1542.6510743198864,1547.969235546473,1501.8604302902509,1573.0342777377869
L-main-threeshift-25c-01,ACO,ACO,1100,10,1530.62939874136,1538.1596426161,1463.1568884586643,1573.0342777377869
L-main-threeshift-25c-01,ACO,ACO,1200,10,1518.9614265576836,1532.8781699166957,1456.3920934784874,1573.0342777377869
L-main-threeshift-25c-01,ACO,ACO,1300,10,1512.2109441474613,1523.7701226442791,1456.3920934784874,1573.0342777377869
L-main-threeshift-25c-01,ACO,ACO,1400,10,1503.5353549656704,1516.2796847158295,1456.3920934784874,1554.100455426311
L-main-threeshift-25c-01,ACO,ACO,1500,10,1493.967230806847,1507.417011119665,1451.4458258838556,1540.23874221207
L-main-threeshift-25c-01,ACO,ACO,1600,10,1490.0654148037627,1502.2299852533429,1437.0380971206268,1540.23874221207
L-main-threeshift-25c-01,ACO,ACO,1700,10,1490.0654148037627,1502.2299852533429,1437.0380971206268,1540.23874221207
L-main-threeshift-25c-01,ACO,ACO,1800,10,1483.4034767464211,1496.8045824149135,1437.0380971206268,1528.747021162322
L-main-threeshift-25c-01,ACO,ACO,1900,10,1483.4034767464211,1496.8045824149135,1437.0380971206268,1528.747021162322
L-main-threeshift-25c-01,ACO,ACO,2000,10,1483.4034767464211,1496.8045824149135,1437.0380971206268,1528.747021162322
L-main-threeshift-25c-01,ACO,ACO,2100,10,1483.4034767464211,1496.8045824149135,1437.0380971206268,1528.747021162322
L-main-threeshift-25c-01,ACO,ACO,2200,10,1481.4267365543471,1493.4879050102013,1437.0380971206268,1516.926378762139
L-main-threeshift-25c-01,ACO,ACO,2300,10,1481.4267365543471,1493.4879050102013,1437.0380971206268,1516.926378762139
L-main-threeshift-25c-01,ACO,ACO,2400,10,1481.0861860921173,1493.4879050102013,1433.9731429605583,1516.926378762139
L-main-threeshift-25c-01,ACO,ACO,2500,10,1478.2691828538377,1492.7099067020063,1433.9731429605583,1515.986878595616
L-main-threeshift-25c-01,ACO,ACO,2600,10,1477.2163064700621,1492.7099067020063,1424.4972555065783,1515.986878595616
L-main-threeshift-25c-01,ACO,ACO,2700,10,1477.2163064700621,1492.7099067020063,1424.4972555065783,1515.986878595616
L-main-threeshift-25c-01,ACO,ACO,2800,10,1477.2163064700621,1492.7099067020063,1424.4972555065783,1515.986878595616
L-main-threeshift-25c-01,ACO,ACO,2900,10,1477.2163064700621,1492.7099067020063,1424.4972555065783,1515.986878595616
L-main-threeshift-25c-01,ACO,ACO,3000,10,1477.2163064700621,1492.7099067020063,1424.4972555065783,1515.986878595616
L-main-threeshift-25c-01,ACO,ACO,3100,10,1477.2163064700621,1492.7099067020063,1424.4972555065783,1515.986878595616
L-main-threeshift-25c-01,ACO,ACO,3200,10,1477.2163064700621,1492.7099067020063,1424.4972555065783,1515.986878595616
L-main-threeshift-25c-01,ACO,ACO,3300,10,1476.6672147806244,1492.7099067020063,1424.4972555065783,1511.045053390677
L-main-threeshift-25c-01,ACO,ACO,3400,10,1475.3733891743464,1492.7099067020063,1424.4972555065783,1511.045053390677
L-main-threeshift-25c-01,ACO,ACO,3500,10,1471.662581875856,1492.7099067020063,1392.5126680235874,1511.045053390677
L-main-threeshift-25c-01,ACO,ACO,3600,10,1471.662581875856,1492.7099067020063,1392.5126680235874,1511.045053390677
L-main-threeshift-25c-01,ACO,ACO,3700,10,1471.34171048073,1492.7099067020063,1392.5126680235874,1510.724181995551
L-main-threeshift-25c-01,ACO,ACO,3800,10,1470.9360828278404,1492.7099067020063,1392.5126680235874,1510.3185543426614
L-main-threeshift-25c-01,ACO,ACO,3900,10,1470.9360828278404,1492.7099067020063,1392.5126680235874,1510.3185543426614
L-main-threeshift-25c-01,ACO,ACO,4000,10,1470.9360828278404,1492.7099067020063,1392.5126680235874,1510.3185543426614
L-main-threeshift-25c-01,GA-VNS,GA-VNS,0,10,1811.8374767193643,1811.8374767193643,1811.8374767193643,1811.8374767193643
L-main-threeshift-25c-01,GA-VNS,GA-VNS,100,10,1488.3191449787269,1458.2507236597207,1426.826577700146,1582.4486823810253
L-main-threeshift-25c-01,GA-VNS,GA-VNS,200,10,1488.3191449787269,1458.2507236597207,1426.826577700146,1582.4486823810253
L-main-threeshift-25c-01,GA-VNS,GA-VNS,300,10,1436.3572111526669,1442.8977838796752,1415.1113294200745,1476.5673589026446
L-main-threeshift-25c-01,GA-VNS,GA-VNS,400,10,1421.2295046849772,1428.5489041349906,1335.7767275422075,1476.5673589026446
L-main-threeshift-25c-01,GA-VNS,GA-VNS,500,10,1416.3046751407635,1420.7895198191227,1335.7767275422075,1476.5673589026446
L-main-threeshift-25c-01,GA-VNS,GA-VNS,600,10,1401.8077898706874,1400.6332235899604,1335.7767275422075,1476.5673589026446
