instance,arm,seed,requested_iterations,iterations,runtime_seconds,cost,route_sha256,complete,feasible,completed_clients,total_clients,completed_delivery,total_delivery,no_duplicate_clients,compound_calls,compound_accepted_calls,compound_route_slot_evaluations,compound_rotations_evaluated,compound_assignments_changed,compound_rotations_changed,compound_runtime_seconds
PR15B,integrated_with_compound,11,1000,1000,69.5874122499954,10663,d341c72fb5017ea0c08f138c2408deb710296e5b06e2d39eff651eb1776729d8,True,True,840,840,11056,11056,True,635,201,3306560,2133600,331,57,8.070830752782058
PR16A,copied_loop,11,1000,1000,83.37091733299894,14934,d503f63e8157478c223ead8f40f1a586008ed2c9c0028ba547e666832bf71a0f,True,True,960,960,12309,12309,True,0,0,0,0,0,0,0.0
PR16A,integrated_with_compound,11,1000,1000,101.64883754204493,14895,a8fe9f9a82666f47a60ef36bd83c8101e427ee241593b9bf0aa5a6d38ba3b334,True,True,960,960,12309,12309,True,804,339,6894264,3087360,887,4,11.180993336602114
PR16B,copied_loop,11,1000,1000,78.63927166699432,11821,58adae7c6d39c89a9458d20a91fc1bcd7cf596cc40ccd645cfce42a76edff364,True,True,960,960,12005,12005,True,0,0,0,0,0,0,0.0
PR16B,integrated_with_compound,11,1000,1000,90.36348058300791,11840,a332c1b7ec7b2c07264fd8a8841111cb56370d6a826e14c6f79bb08e1192618f,True,True,960,960,12005,12005,True,737,256,4937272,2830080,530,100,10.801243219000753
PR17A,copied_loop,11,1000,1000,16.072249291988555,6398,c13cef003f2276f4edba384a7ac3e8bc6a25bdbc7095e08e2f9c3dceb1d0481d,True,True,360,360,4814,4814,True,0,0,0,0,0,0,0.0
PR17A,integrated_with_compound,11,1000,1000,23.72889283398399,6351,0eaac5fbb0b3cf8b214eca1b665833b6c69079de0563af8f43f3b98d2d38f360,True,True,360,360,4814,4814,True,777,299,1048404,1678320,718,0,5.8194729193346575
PR17B,copied_loop,11,1000,1000,16.14876720798202,4883,12139ec395df7fb36c31c0da82f106d0ca4e7e6351f69ac8e8f6874cc0080e1f,True,True,360,360,4691,4691,True,0,0,0,0,0,0,0.0
PR17B,integrated_with_compound,11,1000,1000,21.064391500025522,4885,49d0c7b83ef56af242ffbf3b0c4c7a2c568f47391da2e206636e18f86027c623,True,True,360,360,4691,4691,True,725,217,704952,1566000,400,27,5.362984282372054
PR18A,copied_loop,11,1000,1000,27.994024459039792,8555,04b947215d46d985c624093b2c32b22d009ad6def29f357553e139e9675b88ef,True,True,520,520,6838,6838,True,0,0,0,0,0,0,0.0
PR18A,integrated_with_compound,11,1000,1000,42.12495058297645,8473,3f1e418ec2f8a3992d2610165828b58001400ecc805751043cf6a6c6eeb2981b,True,True,520,520,6838,6838,True,846,347,2297040,2639520,952,6,8.960882383515127
PR18B,copied_loop,11,1000,1000,27.180646124994382,6687,aa9c7beea3a2cae210c9fdf46299d5b053cd9304f3feeec5d43b8d93d4f94dad,True,True,520,520,6830,6830,True,0,0,0,0,0,0,0.0
PR18B,integrated_with_compound,11,1000,1000,40.86180345900357,6671,2f0144b09ffa6fe2732e81f5c56a0e271f3c93b4f51f1c9705e8d0055a90873f,True,True,520,520,6830,6830,True,806,299,1712610,2514720,675,65,9.090713943354785
PR19A,copied_loop,11,1000,1000,50.438071249984205,11152,8e6cd6274a273f418ea1859a6f2476d286a50241b52e0bbdc2bf05c7ec4c8d20,True,True,700,700,9137,9137,True,0,0,0,0,0,0,0.0
PR19A,integrated_with_compound,11,1000,1000,65.02302287501516,11053,c8157066892cc4712d88d374163e6a5e6f61e910da0a0dbac46c4d8b3189a25f,True,True,700,700,9137,9137,True,761,290,3522246,3196200,808,0,11.089294559904374
PR19B,copied_loop,11,1000,1000,46.27009037497919,8449,fb721c6260dd96c85332a822bdf9e229065380e3461e367dcd2754c3043c267e,True,True,700,700,8905,8905,True,0,0,0,0,0,0,0.0
PR19B,integrated_with_compound,11,1000,1000,62.77394591696793,8465,5e67e2da179451f9dccf468673e9bbe73bf67f87bf4929b3b30570eb196fd789,True,True,700,700,8905,8905,True,850,340,3241008,3570000,843,117,13.102024886582512
PR20A,copied_loop,11,1000,1000,71.45688191702357,12383,8755703cad163ce3fa8c60a86c9057bdf432f56b950b2085689569c4f0744642,True,True,880,880,11112,11112,True,0,0,0,0,0,0,0.0
PR20A,integrated_with_compound,11,1000,1000,87.86463600001298,12345,fc921ee4746ff287ff2dd64101d894b1ca176b02dee1e5d601383682dea5d0f1,True,True,880,880,11112,11112,True,862,333,6031008,4551360,866,3,15.299036865355447
PR20B,copied_loop,11,1000,1000,66.16132141603157,10534,eda682755215ba0f97a1be2f190cb2bf36c507ec8e4c06ae9133adb7771ec562,True,True,880,880,11112,11112,True,0,0,0,0,0,0,0.0
PR20B,integrated_with_compound,11,1000,1000,88.08036862500012,10478,e366b9ac1106e114462440cdf9326d19c1b456a2bbecafa9cf31445578f8de70,True,True,880,880,11112,11112,True,799,313,4953780,4218720,842,193,15.363403066701721
PR21A,copied_loop,11,1000,1000,23.760413500014693,6571,50a335bc0d81e46408ae1bbd5f926db32f80bec42bdd1b48711c6c8b748f3f1f,True,True,420,420,5299,5299,True,0,0,0,0,0,0,0.0
PR21A,integrated_with_compound,11,1000,1000,37.886358999996446,6456,6b9298a3b708c6bc0c46c51176fd35de74f49a0fc0c26ccaf8be5e7d124fe73e,True,True,420,420,5299,5299,True,826,338,1457472,4163040,1175,10,13.355315950990189
PR21B,copied_loop,11,1000,1000,21.451838374952786,5010,13038da839d067e1a348829291e15fbc4912b5a53295b77ec07ce17b72353671,True,True,420,420,5299,5299,True,0,0,0,0,0,0,0.0
PR21B,integrated_with_compound,11,1000,1000,37.45450870797504,5015,193c2325861121f5da396bd50b25a5143a3ab9b6f4c5602a0943e543ee72989c,True,True,420,420,5299,5299,True,857,336,1286736,4319280,1113,100,14.575136005063541
PR22A,copied_loop,11,1000,1000,38.2611919590272,8265,5ed01fae4b6dbd651464dbfdbd52dbf4b61585e316aac8d4b628e5d7d99282c5,True,True,600,600,7575,7575,True,0,0,0,0,0,0,0.0
PR22A,integrated_with_compound,11,1000,1000,65.9677814579918,8240,af11ad73b05852a7dc726d8fd5bdde95f28f02c442c5c258ac5faac4dad3e808,True,True,600,600,7575,7575,True,1007,417,3594528,7250400,1610,3,22.744830273615662
PR22B,copied_loop,11,1000,1000,37.93116641702363,6720,74082a7ded2beeb9330462d1d1e54addf3ee49e11df18e088ff7b288e5c32c59,True,True,600,600,7575,7575,True,0,0,0,0,0,0,0.0
PR22B,integrated_with_compound,11,1000,1000,59.8741052079713,6679,ffea0bc5b4080f06cded735eed9d04984ac970c4a9f3c27c78eb4b04733d2032,True,True,600,600,7575,7575,True,860,341,2723616,6192000,1206,119,20.771664081083145
PR23A,copied_loop,11,1000,1000,63.45528608298628,10311,bb1abbe804187b080b88f91f081e6823fb55a0a53c6575b3f5e1ccb9c14fa7c5,True,True,780,780,9956,9956,True,0,0,0,0,0,0,0.0
PR23A,integrated_with_compound,11,1000,1000,85.82728562504053,10248,22ffcfc25b87a2d7e6b7dfe397f07c58ccc093b0f86030ec1759b6bbb61bbbde,True,True,780,780,9956,9956,True,914,415,5702496,8555040,1834,27,24.1140193650499
PR23B,copied_loop,11,1000,1000,61.26708575000521,8627,6ec1510ed8cd9c152b3fa000188d3766234a4ddce5b0baa47fc0f5e81ac4b5cc,True,True,780,780,9956,9956,True,0,0,0,0,0,0,0.0
PR23B,integrated_with_compound,11,1000,1000,84.87075345800258,8681,0d557afaeea47a1e026bbe69c5a6d15500aa3a4c01843e0e0846146bd6909ee3,True,True,780,780,9956,9956,True,859,357,4226544,8040240,1572,375,24.175100937951356
PR24A,copied_loop,11,1000,1000,72.80813666601898,12498,988a48700cd8790f461a8b9734e580c12133e19f527987c218cae555882e1471,True,True,960,960,12524,12524,True,0,0,0,0,0,0,0.0
PR24A,integrated_with_compound,11,1000,1000,89.82790350000141,12321,a2f020c35a49a364398e0dfdcdd83c96a5905bd60d38a1f6c5f9924791d68fb0,True,True,960,960,12524,12524,True,970,425,9523680,11174400,1770,11,26.20096678606933
PR24B,copied_loop,11,1000,1000,67.4045355420094,11002,9ddacd7af4607241f4fb8710fad083d3f99e247d050c5e0058a29eb03a5642cc,True,True,960,960,12524,12524,True,0,0,0,0,0,0,0.0
PR24B,integrated_with_compound,11,1000,1000,82.26218729198445,10979,621ca4bbab97112b6f68ba2531feb41900716f6259266d939eec016bd6821ab4,True,True,960,960,12524,12524,True,812,330,6021216,9354240,1507,284,24.91072371334303
