key_id,experiment,instance,algorithm,seed,variant,theta,carbon_price,quota,status,actual_evals,violation_count,feasible,best_cost,best_penalized_obj,elapsed_seconds
E2|100-01-24h|ALNS@wangqianlongucas|10|formal,E2,100-01-24h,ALNS@wangqianlongucas,10,formal,,,,completed,16000,0,True,6330.191795057195,6330.191795057195,28.642461165989516
E2|100-01-24h|NSGA-II@haris989|10|formal,E2,100-01-24h,NSGA-II@haris989,10,formal,,,,completed,16001,0,True,5570.584593448169,5570.584593448169,78.73567254198133
E2|L-main|ALNS-Wouda|2|formal,E2,L-main,ALNS-Wouda,2,formal,,,,completed,16000,0,True,8413.042539617747,8413.042539617747,725.0859635829984
E2|L-main|VNS@Valdecy|2|formal,E2,L-main,VNS@Valdecy,2,formal,,,,completed,16000,0,True,8965.353276643173,8965.353276643173,61.61649283400038
E2|L-main|PyGAD|2|formal,E2,L-main,PyGAD,2,formal,,,,completed,16000,0,True,9617.786692601741,9617.786692601741,82.73110333399381
E2|L-main|scikit-opt-GA|2|formal,E2,L-main,scikit-opt-GA,2,formal,,,,completed,16000,0,True,9594.964193726879,9594.964193726879,83.36163483299606
E2|L-main|scikit-opt-SA|2|formal,E2,L-main,scikit-opt-SA,2,formal,,,,completed,16000,0,True,8521.411595624506,8521.411595624506,243.24929274999886
E2|L-main|ALNS@wangqianlongucas|2|formal,E2,L-main,ALNS@wangqianlongucas,2,formal,,,,completed,16000,0,True,9666.358832368967,9666.358832368967,79.72205962501175
E2|L-main|NSGA-II@haris989|2|formal,E2,L-main,NSGA-II@haris989,2,formal,,,,completed,16001,0,True,8641.969001254547,8641.969001254547,264.9114702920051
E2|100-01-24h|ALNS-Wouda|2|formal,E2,100-01-24h,ALNS-Wouda,2,formal,,,,completed,16000,0,True,4731.514705663005,4731.514705663005,364.2224373749923
E2|100-01-24h|VNS@Valdecy|2|formal,E2,100-01-24h,VNS@Valdecy,2,formal,,,,completed,16000,0,True,5284.307007461321,5284.307007461321,25.478063333008322
E2|100-01-24h|PyGAD|2|formal,E2,100-01-24h,PyGAD,2,formal,,,,completed,16000,0,True,6241.3221410349115,6241.3221410349115,35.929509082998266
E2|100-01-24h|scikit-opt-GA|2|formal,E2,100-01-24h,scikit-opt-GA,2,formal,,,,completed,16000,0,True,6233.839461774462,6233.839461774462,32.497922458001995
E2|100-01-24h|scikit-opt-SA|2|formal,E2,100-01-24h,scikit-opt-SA,2,formal,,,,completed,16000,0,True,5166.498854217437,5166.498854217437,76.62989325000672
E2|100-01-24h|ALNS@wangqianlongucas|2|formal,E2,100-01-24h,ALNS@wangqianlongucas,2,formal,,,,completed,16000,0,True,6331.298733608956,6331.298733608956,24.42839791601
E2|100-01-24h|NSGA-II@haris989|2|formal,E2,100-01-24h,NSGA-II@haris989,2,formal,,,,completed,16001,0,True,5630.530078744139,5630.530078744139,72.16337987499719
E2|L-main|ALNS-Wouda|3|formal,E2,L-main,ALNS-Wouda,3,formal,,,,completed,16000,0,True,8568.672975509571,8568.672975509571,831.4239351249998
E2|L-main|VNS@Valdecy|3|formal,E2,L-main,VNS@Valdecy,3,formal,,,,completed,16000,0,True,9067.882966713292,9067.882966713292,88.41112762500416
E2|L-main|PyGAD|3|formal,E2,L-main,PyGAD,3,formal,,,,completed,16000,0,True,9586.108962052238,9586.108962052238,95.58435958399787
E2|L-main|scikit-opt-GA|3|formal,E2,L-main,scikit-opt-GA,3,formal,,,,completed,16000,0,True,9611.972307315753,9611.972307315753,101.51603908301331
E2|L-main|scikit-opt-SA|3|formal,E2,L-main,scikit-opt-SA,3,formal,,,,completed,16000,0,True,8183.255822799835,8183.255822799835,283.2951999170182
E2|L-main|ALNS@wangqianlongucas|3|formal,E2,L-main,ALNS@wangqianlongucas,3,formal,,,,completed,16000,0,True,9666.247345066975,9666.247345066975,91.68044579200796
E2|L-main|NSGA-II@haris989|3|formal,E2,L-main,NSGA-II@haris989,3,formal,,,,completed,16001,0,True,8544.896926521958,8544.896926521958,249.51859083300224
E2|100-01-24h|ALNS-Wouda|3|formal,E2,100-01-24h,ALNS-Wouda,3,formal,,,,completed,16000,0,True,4764.231256190809,4764.231256190809,391.1751736669976
E2|100-01-24h|VNS@Valdecy|3|formal,E2,100-01-24h,VNS@Valdecy,3,formal,,,,completed,16000,0,True,5561.666684488057,5561.666684488057,20.878273332986282
E2|100-01-24h|PyGAD|3|formal,E2,100-01-24h,PyGAD,3,formal,,,,completed,16000,0,True,6263.730713130869,6263.730713130869,29.246913125010906
E2|100-01-24h|scikit-opt-GA|3|formal,E2,100-01-24h,scikit-opt-GA,3,formal,,,,completed,16000,0,True,6215.089092871072,6215.089092871072,30.427179499994963
E2|100-01-24h|scikit-opt-SA|3|formal,E2,100-01-24h,scikit-opt-SA,3,formal,,,,completed,16000,0,True,5332.825414800519,5332.825414800519,72.95136645899038
E2|100-01-24h|ALNS@wangqianlongucas|3|formal,E2,100-01-24h,ALNS@wangqianlongucas,3,formal,,,,completed,16000,0,True,6284.456359002224,6284.456359002224,22.05626937499619
E2|100-01-24h|NSGA-II@haris989|3|formal,E2,100-01-24h,NSGA-II@haris989,3,formal,,,,completed,16001,0,True,5672.279797473244,5672.279797473244,60.7887292910018
E2|L-main|ALNS-Wouda|4|formal,E2,L-main,ALNS-Wouda,4,formal,,,,completed,16000,0,True,8340.131003315564,8340.131003315564,639.2465441660024
E2|L-main|VNS@Valdecy|4|formal,E2,L-main,VNS@Valdecy,4,formal,,,,completed,16000,0,True,9071.653335890534,9071.653335890534,57.481242665991886
E2|L-main|PyGAD|4|formal,E2,L-main,PyGAD,4,formal,,,,completed,16000,0,True,9586.108962052238,9586.108962052238,77.03501829199377
E2|L-main|scikit-opt-GA|4|formal,E2,L-main,scikit-opt-GA,4,formal,,,,completed,16000,0,True,9612.992388439921,9612.992388439921,77.58386741700815
E2|L-main|scikit-opt-SA|4|formal,E2,L-main,scikit-opt-SA,4,formal,,,,completed,16000,0,True,8270.42725739489,8270.42725739489,243.01438079201034
E2|L-main|ALNS@wangqianlongucas|4|formal,E2,L-main,ALNS@wangqianlongucas,4,formal,,,,completed,16000,0,True,9666.358832368967,9666.358832368967,87.13147087499965
E2|L-main|NSGA-II@haris989|4|formal,E2,L-main,NSGA-II@haris989,4,formal,,,,completed,16001,0,True,8687.911805638516,8687.911805638516,235.14980962499976
E2|100-01-24h|ALNS-Wouda|4|formal,E2,100-01-24h,ALNS-Wouda,4,formal,,,,completed,16000,0,True,4976.419480502044,4976.419480502044,187.43387841698132
E2|100-01-24h|VNS@Valdecy|4|formal,E2,100-01-24h,VNS@Valdecy,4,formal,,,,completed,16000,0,True,5358.948933878766,5358.948933878766,20.251165958994534
E2|100-01-24h|PyGAD|4|formal,E2,100-01-24h,PyGAD,4,formal,,,,completed,16000,0,True,6215.089092871072,6215.089092871072,30.199770541017642
E2|100-01-24h|scikit-opt-GA|4|formal,E2,100-01-24h,scikit-opt-GA,4,formal,,,,completed,16000,0,True,6239.59643626457,6239.59643626457,30.023292666999623
E2|100-01-24h|scikit-opt-SA|4|formal,E2,100-01-24h,scikit-opt-SA,4,formal,,,,completed,16000,0,True,5426.307929647546,5426.307929647546,72.94306470800075
E2|100-01-24h|ALNS@wangqianlongucas|4|formal,E2,100-01-24h,ALNS@wangqianlongucas,4,formal,,,,completed,16000,0,True,6331.298733608956,6331.298733608956,27.171433250012342
E2|100-01-24h|NSGA-II@haris989|4|formal,E2,100-01-24h,NSGA-II@haris989,4,formal,,,,completed,16001,0,True,5466.91326768456,5466.91326768456,64.29044362501008
E2|L-main|ALNS-Wouda|5|formal,E2,L-main,ALNS-Wouda,5,formal,,,,completed,16000,0,True,8421.309844113977,8421.309844113977,637.4170455829881
E2|L-main|VNS@Valdecy|5|formal,E2,L-main,VNS@Valdecy,5,formal,,,,completed,16000,0,True,9089.508619170567,9089.508619170567,57.7726389169984
E2|L-main|PyGAD|5|formal,E2,L-main,PyGAD,5,formal,,,,completed,16000,0,True,9565.242502920893,9565.242502920893,77.97975320898695
E2|L-main|scikit-opt-GA|5|formal,E2,L-main,scikit-opt-GA,5,formal,,,,completed,16000,0,True,9608.04294760258,9608.04294760258,78.64869112498127
E2|L-main|scikit-opt-SA|5|formal,E2,L-main,scikit-opt-SA,5,formal,,,,completed,16000,0,True,8180.722121400683,8180.722121400683,253.1441737920104
E2|L-main|ALNS@wangqianlongucas|5|formal,E2,L-main,ALNS@wangqianlongucas,5,formal,,,,completed,16000,0,True,9595.863482059609,9595.863482059609,103.45559699999285
E2|L-main|NSGA-II@haris989|5|formal,E2,L-main,NSGA-II@haris989,5,formal,,,,completed,16001,0,True,8582.067256036336,8582.067256036336,240.71235912499833
E2|100-01-24h|ALNS-Wouda|5|formal,E2,100-01-24h,ALNS-Wouda,5,formal,,,,completed,16000,0,True,4867.706967483797,4867.706967483797,227.63933587499196
E2|100-01-24h|VNS@Valdecy|5|formal,E2,100-01-24h,VNS@Valdecy,5,formal,,,,completed,16000,0,True,5454.530930171396,5454.530930171396,20.742939957999624
E2|100-01-24h|PyGAD|5|formal,E2,100-01-24h,PyGAD,5,formal,,,,completed,16000,0,True,6215.089092871072,6215.089092871072,30.604998374998104
E2|100-01-24h|scikit-opt-GA|5|formal,E2,100-01-24h,scikit-opt-GA,5,formal,,,,completed,16000,0,True,6241.200725375683,6241.200725375683,32.46609641701798
E2|100-01-24h|scikit-opt-SA|5|formal,E2,100-01-24h,scikit-opt-SA,5,formal,,,,completed,16000,0,True,5390.023409930269,5390.023409930269,57.964570042007836
E2|100-01-24h|ALNS@wangqianlongucas|5|formal,E2,100-01-24h,ALNS@wangqianlongucas,5,formal,,,,completed,16000,0,True,6331.298733608956,6331.298733608956,23.863722167006927
E2|100-01-24h|NSGA-II@haris989|5|formal,E2,100-01-24h,NSGA-II@haris989,5,formal,,,,completed,16001,0,True,5472.22731542663,5472.22731542663,70.61339683400001
E2|L-main|ALNS-Wouda|6|formal,E2,L-main,ALNS-Wouda,6,formal,,,,completed,16000,0,True,7990.859372869912,7990.859372869912,696.1693886250141
E2|L-main|VNS@Valdecy|6|formal,E2,L-main,VNS@Valdecy,6,formal,,,,completed,16000,0,True,9011.282304064205,9011.282304064205,54.82113654099521
E2|L-main|PyGAD|6|formal,E2,L-main,PyGAD,6,formal,,,,completed,16000,0,True,9611.184936633104,9611.184936633104,77.83395837500575
E2|L-main|scikit-opt-GA|6|formal,E2,L-main,scikit-opt-GA,6,formal,,,,completed,16000,0,True,9586.15810811651,9586.15810811651,78.16696366597898
E2|L-main|scikit-opt-SA|6|formal,E2,L-main,scikit-opt-SA,6,formal,,,,completed,16000,0,True,8363.003526632543,8363.003526632543,235.62579979200382
E2|L-main|ALNS@wangqianlongucas|6|formal,E2,L-main,ALNS@wangqianlongucas,6,formal,,,,completed,16000,0,True,9666.358832368967,9666.358832368967,80.38039129102253
E2|L-main|NSGA-II@haris989|6|formal,E2,L-main,NSGA-II@haris989,6,formal,,,,completed,16001,0,True,8498.939511213895,8498.939511213895,236.98083262500586
E2|100-01-24h|ALNS-Wouda|6|formal,E2,100-01-24h,ALNS-Wouda,6,formal,,,,completed,16000,0,True,4812.465538936207,4812.465538936207,269.5297179159825
E2|100-01-24h|VNS@Valdecy|6|formal,E2,100-01-24h,VNS@Valdecy,6,formal,,,,completed,16000,0,True,5334.576320748435,5334.576320748435,20.722848958015675
E2|100-01-24h|PyGAD|6|formal,E2,100-01-24h,PyGAD,6,formal,,,,completed,16000,0,True,6215.089092871072,6215.089092871072,30.46341387499706
E2|100-01-24h|scikit-opt-GA|6|formal,E2,100-01-24h,scikit-opt-GA,6,formal,,,,completed,16000,0,True,6241.278407351685,6241.278407351685,30.771946666995063
E2|100-01-24h|scikit-opt-SA|6|formal,E2,100-01-24h,scikit-opt-SA,6,formal,,,,completed,16000,0,True,5385.925188983677,5385.925188983677,62.257095250010025
E2|100-01-24h|ALNS@wangqianlongucas|6|formal,E2,100-01-24h,ALNS@wangqianlongucas,6,formal,,,,completed,16000,0,True,6331.298733608956,6331.298733608956,40.76709049998317
E2|100-01-24h|NSGA-II@haris989|6|formal,E2,100-01-24h,NSGA-II@haris989,6,formal,,,,completed,16001,0,True,5635.744073558853,5635.744073558853,64.02289158399799
E2|L-main|ALNS-Wouda|7|formal,E2,L-main,ALNS-Wouda,7,formal,,,,completed,16000,0,True,8182.059845614874,8182.059845614874,712.5046550830011
E2|L-main|VNS@Valdecy|7|formal,E2,L-main,VNS@Valdecy,7,formal,,,,completed,16000,0,True,9048.64574200186,9048.64574200186,57.81365545900189
E2|L-main|PyGAD|7|formal,E2,L-main,PyGAD,7,formal,,,,completed,16000,0,True,9566.066272879507,9566.066272879507,81.9164158339845
E2|L-main|scikit-opt-GA|7|formal,E2,L-main,scikit-opt-GA,7,formal,,,,completed,16000,0,True,9586.137137309355,9586.137137309355,82.3370455839904
E2|L-main|scikit-opt-SA|7|formal,E2,L-main,scikit-opt-SA,7,formal,,,,completed,16000,0,True,8283.167432926088,8283.167432926088,253.67340308401617
E2|L-main|ALNS@wangqianlongucas|7|formal,E2,L-main,ALNS@wangqianlongucas,7,formal,,,,completed,16000,0,True,9666.358832368967,9666.358832368967,52.0815294579952
E2|L-main|NSGA-II@haris989|7|formal,E2,L-main,NSGA-II@haris989,7,formal,,,,completed,16001,0,True,8574.907658814689,8574.907658814689,243.77845700000762
E2|100-01-24h|ALNS-Wouda|7|formal,E2,100-01-24h,ALNS-Wouda,7,formal,,,,completed,16000,0,True,4939.79786764588,4939.79786764588,230.08499233299517
E2|100-01-24h|VNS@Valdecy|7|formal,E2,100-01-24h,VNS@Valdecy,7,formal,,,,completed,16000,0,True,5383.360228112057,5383.360228112057,23.96580808298313
E2|100-01-24h|PyGAD|7|formal,E2,100-01-24h,PyGAD,7,formal,,,,completed,16000,0,True,6214.342777172105,6214.342777172105,30.828114459000062
E2|100-01-24h|scikit-opt-GA|7|formal,E2,100-01-24h,scikit-opt-GA,7,formal,,,,completed,16000,0,True,6215.089092871072,6215.089092871072,34.376129541982664
E2|100-01-24h|scikit-opt-SA|7|formal,E2,100-01-24h,scikit-opt-SA,7,formal,,,,completed,16000,0,True,5394.859028426146,5394.859028426146,71.18061554100132
E2|100-01-24h|ALNS@wangqianlongucas|7|formal,E2,100-01-24h,ALNS@wangqianlongucas,7,formal,,,,completed,16000,0,True,6331.298733608956,6331.298733608956,24.65963104099501
E2|100-01-24h|NSGA-II@haris989|7|formal,E2,100-01-24h,NSGA-II@haris989,7,formal,,,,completed,16001,0,True,5649.27400056934,5649.27400056934,64.52272629199433
E2|L-main|ALNS-Wouda|8|formal,E2,L-main,ALNS-Wouda,8,formal,,,,completed,16000,0,True,8264.278635339235,8264.278635339235,674.7612277080189
E2|L-main|VNS@Valdecy|8|formal,E2,L-main,VNS@Valdecy,8,formal,,,,completed,16000,0,True,8988.077170293247,8988.077170293247,56.719125833013095
E2|L-main|PyGAD|8|formal,E2,L-main,PyGAD,8,formal,,,,completed,16000,0,True,9566.066272879507,9566.066272879507,83.01401962499949
E2|L-main|scikit-opt-GA|8|formal,E2,L-main,scikit-opt-GA,8,formal,,,,completed,16000,0,True,9612.45263429036,9612.45263429036,81.69978604200878
E2|L-main|scikit-opt-SA|8|formal,E2,L-main,scikit-opt-SA,8,formal,,,,completed,16000,0,True,8367.185809677136,8367.185809677136,259.5493367080053
E2|L-main|ALNS@wangqianlongucas|8|formal,E2,L-main,ALNS@wangqianlongucas,8,formal,,,,completed,16000,0,True,9666.358832368967,9666.358832368967,54.810145958996145
E2|L-main|NSGA-II@haris989|8|formal,E2,L-main,NSGA-II@haris989,8,formal,,,,completed,16001,0,True,8644.980413436557,8644.980413436557,245.23820154200075
E2|100-01-24h|ALNS-Wouda|8|formal,E2,100-01-24h,ALNS-Wouda,8,formal,,,,completed,16000,0,True,4947.570498507485,4947.570498507485,431.8724954170175
E2|100-01-24h|VNS@Valdecy|8|formal,E2,100-01-24h,VNS@Valdecy,8,formal,,,,completed,16000,0,True,5458.839123513698,5458.839123513698,24.395069708989467
E2|100-01-24h|PyGAD|8|formal,E2,100-01-24h,PyGAD,8,formal,,,,completed,16000,0,True,6231.145416464056,6231.145416464056,32.335466666001594
E2|100-01-24h|scikit-opt-GA|8|formal,E2,100-01-24h,scikit-opt-GA,8,formal,,,,completed,16000,0,True,6224.483959151962,6224.483959151962,31.46803058302612
E2|100-01-24h|scikit-opt-SA|8|formal,E2,100-01-24h,scikit-opt-SA,8,formal,,,,completed,16000,0,True,5292.8701959697655,5292.8701959697655,65.539479167026
