run_id,phase,category,instance,profile,algorithm,seed,status,failure_reason,eval_budget,actual_evals,best_cost,best_signature,feasible,violation_count,route_count
STRONG_BRIDGE_BACKEND_PROBE__multidepot__e2-multidepot-50c-01__A0_TRACE__seed2,STRONG_BRIDGE_BACKEND_PROBE,multidepot,e2-multidepot-50c-01,A0_TRACE,alns_e2_throughput,2,OK,,4000,4000,1233.55858421235,3f3e5419d588bd62b243c92f4bf9c0ab392268e9a15f8033dea3642ba1bfe255,True,0,7
STRONG_BRIDGE_BACKEND_PROBE__multidepot__e2-multidepot-50c-01__A3_STRONG_BRIDGE_BACKEND__seed2,STRONG_BRIDGE_BACKEND_PROBE,multidepot,e2-multidepot-50c-01,A3_STRONG_BRIDGE_BACKEND,alns_e2_throughput,2,OK,,4000,4000,1253.8491892793832,1883f68874f5ccaf9440a167681c2f297a5571f9b4c6a7bcb1b2e6bd8962df17,True,0,7
STRONG_BRIDGE_BACKEND_PROBE__multidepot__e2-multidepot-50c-01__LNS_TRACE_REFERENCE__seed2,STRONG_BRIDGE_BACKEND_PROBE,multidepot,e2-multidepot-50c-01,LNS_TRACE_REFERENCE,LNS,2,OK,,4000,4000,1192.7479646155844,97137feb3044f66a4648312f564c0e86ef5121c2fd9050f6ef716eec93cf2021,True,0,7
STRONG_BRIDGE_BACKEND_PROBE__multidepot__e2-multidepot-50c-01__A0_TRACE__seed3,STRONG_BRIDGE_BACKEND_PROBE,multidepot,e2-multidepot-50c-01,A0_TRACE,alns_e2_throughput,3,OK,,4000,4000,1191.9803676825516,49e14cdafd01b924930f344cf51714b1f42a1892e7817c3aacf71f5fbbd1b32f,True,0,7
STRONG_BRIDGE_BACKEND_PROBE__multidepot__e2-multidepot-50c-01__A3_STRONG_BRIDGE_BACKEND__seed3,STRONG_BRIDGE_BACKEND_PROBE,multidepot,e2-multidepot-50c-01,A3_STRONG_BRIDGE_BACKEND,alns_e2_throughput,3,OK,,4000,4000,1192.7479646155844,d247b7e82a83edeca977b3daf626571df33cb530cc0bb3344187d62c050760b6,True,0,7
STRONG_BRIDGE_BACKEND_PROBE__multidepot__e2-multidepot-50c-01__LNS_TRACE_REFERENCE__seed3,STRONG_BRIDGE_BACKEND_PROBE,multidepot,e2-multidepot-50c-01,LNS_TRACE_REFERENCE,LNS,3,OK,,4000,4000,1219.7934346230413,ab39baa8d7c8e940998c9656a7a11aac1d1bc6f435fc513f423e5ee6ab4237a5,True,0,7
STRONG_BRIDGE_BACKEND_PROBE__multidepot__e2-multidepot-75c-01__A0_TRACE__seed1,STRONG_BRIDGE_BACKEND_PROBE,multidepot,e2-multidepot-75c-01,A0_TRACE,alns_e2_throughput,1,OK,,4000,4000,2039.515023318754,b89ee0560824af2ed6aef97b83949c0be802f9ead9f88ad17f9207e4af872d0a,True,0,11
STRONG_BRIDGE_BACKEND_PROBE__multidepot__e2-multidepot-75c-01__A3_STRONG_BRIDGE_BACKEND__seed1,STRONG_BRIDGE_BACKEND_PROBE,multidepot,e2-multidepot-75c-01,A3_STRONG_BRIDGE_BACKEND,alns_e2_throughput,1,OK,,4000,4000,2042.7309963215941,5118d3e74afa5eabb288f1309c6133bc46cba97f8dfaeda934545b6300049e7d,True,0,11
STRONG_BRIDGE_BACKEND_PROBE__multidepot__e2-multidepot-75c-01__LNS_TRACE_REFERENCE__seed1,STRONG_BRIDGE_BACKEND_PROBE,multidepot,e2-multidepot-75c-01,LNS_TRACE_REFERENCE,LNS,1,OK,,4000,4000,2031.5906719071968,d0f3131d9dbd31f33040ad1465d941189e14de8d13614598c70872c45f2e2b3b,True,0,11
STRONG_BRIDGE_BACKEND_PROBE__multidepot__e2-multidepot-75c-01__A0_TRACE__seed2,STRONG_BRIDGE_BACKEND_PROBE,multidepot,e2-multidepot-75c-01,A0_TRACE,alns_e2_throughput,2,OK,,4000,4000,2014.262712557926,f1edc31c0497b745f847f9164e84d28c95f55dc5f7126d3326de523d7a640c21,True,0,11
