scope,category,instance,seed,wins_vs_a0,losses_vs_a0,ties_vs_a0,a0_mean_gap_vs_lns,a3_mean_gap_vs_lns,a0_unchanged_rate,a3_unchanged_rate,a0_best_improved_rate,a3_best_improved_rate,a0_best_cost,a3_best_cost,lns_best_cost,a0_gap_vs_lns,a3_gap_vs_lns,outcome_vs_a0
run,threeshift,e2-threeshift-100c-01,2,,,,,,,,,,2720.4174402217823,2879.3703020465623,2768.271074957225,0.017286469944487775,-0.040133073705960594,A3_WORSE
run,threeshift,e2-threeshift-100c-01,3,,,,,,,,,,2725.487995598678,2819.732111022763,2763.9022002300962,0.013898539763172594,-0.020199669434041112,A3_WORSE
run,threeshift,e2-threeshift-150c-01,1,,,,,,,,,,4162.42374960184,3938.178905381108,3908.7527003956066,-0.06489820887889881,-0.007528285169466787,A3_BETTER
run,threeshift,e2-threeshift-150c-01,2,,,,,,,,,,3957.577916839313,3767.4975358024244,4002.850420277527,0.011310066249009473,0.058796322561257504,A3_BETTER
run,threeshift,e2-threeshift-150c-01,3,,,,,,,,,,3748.830976893307,3721.1451628484574,4059.0358393620645,0.07642328738775335,0.08324407319515352,A3_BETTER
run,threeshift,e2-threeshift-50c-01,1,,,,,,,,,,1375.1938970651051,1370.280821616514,1352.8899307919728,-0.01648616473926726,-0.012854623594072202,A3_BETTER
run,threeshift,e2-threeshift-50c-01,2,,,,,,,,,,1363.6552754340728,1386.2883155149157,1334.4596675803778,-0.021878224245347237,-0.03883867695193279,A3_WORSE
run,threeshift,e2-threeshift-50c-01,3,,,,,,,,,,1364.35297701062,1368.9459139087787,1352.8899307919728,-0.008473007269657745,-0.011867915305871819,A3_WORSE
run,threeshift,e2-threeshift-75c-01,1,,,,,,,,,,1887.2330592895107,2102.0500103389722,1987.6252716039037,0.05050862139289566,-0.057568567058283636,A3_WORSE
run,threeshift,e2-threeshift-75c-01,2,,,,,,,,,,1924.8907455087053,1980.4691385434169,1928.0455806021268,0.0016362865718331581,-0.027189999276323228,A3_WORSE
run,threeshift,e2-threeshift-75c-01,3,,,,,,,,,,1898.7584295857882,2031.0341437135316,1945.4259507481493,0.023988330753177304,-0.04400485813014892,A3_WORSE
run,vanilla,e2-vanilla-100c-01,1,,,,,,,,,,2841.54274530027,2973.3573224949278,2897.948426411168,0.019464004464962513,-0.026021476226596115,A3_WORSE
run,vanilla,e2-vanilla-100c-01,2,,,,,,,,,,2861.3902314736793,2837.0601573622353,2872.139491877431,0.0037425969156968455,0.01221365975239081,A3_BETTER
run,vanilla,e2-vanilla-100c-01,3,,,,,,,,,,2919.3762012163124,2877.7668597878574,2898.297619306196,-0.007272745824896483,0.0070837305946700015,A3_BETTER
run,vanilla,e2-vanilla-150c-01,1,,,,,,,,,,3572.4065357215877,3580.717030917729,3757.471175284482,0.04925244424500016,0.04704071864326959,A3_WORSE
run,vanilla,e2-vanilla-150c-01,2,,,,,,,,,,3512.8738500982768,3662.23475005205,3435.1201224295414,-0.0226349370320543,-0.06611548345560571,A3_WORSE
run,vanilla,e2-vanilla-150c-01,3,,,,,,,,,,3680.266348563604,3625.8584172896904,3659.1719704558836,-0.005764795499647494,0.00910412340145983,A3_BETTER
run,vanilla,e2-vanilla-15c-01,1,,,,,,,,,,642.185285005708,730.0550710521558,647.3784356649101,0.008021815947372824,-0.1277099001642372,A3_WORSE
run,vanilla,e2-vanilla-15c-01,2,,,,,,,,,,644.386285554954,642.185285005708,642.185285005708,-0.003427360608592065,0.0,A3_BETTER
run,vanilla,e2-vanilla-15c-01,3,,,,,,,,,,741.6906859330122,730.0550710521558,644.386285554954,-0.1510032143130705,-0.13294632027033695,A3_BETTER
run,vanilla,e2-vanilla-25c-01,1,,,,,,,,,,640.5619371609267,640.1754851140676,640.1754851140676,-0.0006036658007769817,0.0,A3_BETTER
run,vanilla,e2-vanilla-25c-01,2,,,,,,,,,,651.626936659881,640.1754851140676,640.1754851140676,-0.017887988234621396,0.0,A3_BETTER
run,vanilla,e2-vanilla-25c-01,3,,,,,,,,,,640.5619371609267,655.3719891317776,640.1754851140676,-0.0006036658007769817,-0.023738028667252522,A3_WORSE
run,vanilla,e2-vanilla-50c-01,1,,,,,,,,,,1391.2298111966845,1431.1514705100667,1391.5523237466293,0.0002317645872463265,-0.028456814801487477,A3_WORSE
run,vanilla,e2-vanilla-50c-01,2,,,,,,,,,,1433.5221005440258,1419.7435903163314,1414.4593867353233,-0.013477031569425712,-0.0037358468051913785,A3_BETTER
run,vanilla,e2-vanilla-50c-01,3,,,,,,,,,,1429.8863703671404,1451.4803626165203,1414.6385784001584,-0.010778577793506851,-0.026043248628230542,A3_WORSE
